"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","trackdechets.beta.gouv.fr/5.104.101.30","443","INFO","HTTP","",""
"pre_128cipher","trackdechets.beta.gouv.fr/5.104.101.30","443","INFO","No 128 cipher limit bug","",""
"SSLv2","trackdechets.beta.gouv.fr/5.104.101.30","443","OK","not offered","",""
"SSLv3","trackdechets.beta.gouv.fr/5.104.101.30","443","OK","not offered","",""
"TLS1","trackdechets.beta.gouv.fr/5.104.101.30","443","INFO","not offered","",""
"TLS1_1","trackdechets.beta.gouv.fr/5.104.101.30","443","INFO","not offered","",""
"TLS1_2","trackdechets.beta.gouv.fr/5.104.101.30","443","OK","offered","",""
"TLS1_3","trackdechets.beta.gouv.fr/5.104.101.30","443","OK","offered with final","",""
"ALPN_HTTP2","trackdechets.beta.gouv.fr/5.104.101.30","443","OK","h2","",""
"ALPN","trackdechets.beta.gouv.fr/5.104.101.30","443","INFO","http/1.1","",""
"cipherlist_NULL","trackdechets.beta.gouv.fr/5.104.101.30","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","trackdechets.beta.gouv.fr/5.104.101.30","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","trackdechets.beta.gouv.fr/5.104.101.30","443","OK","not offered","","CWE-327"
"cipherlist_LOW","trackdechets.beta.gouv.fr/5.104.101.30","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","trackdechets.beta.gouv.fr/5.104.101.30","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","trackdechets.beta.gouv.fr/5.104.101.30","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","trackdechets.beta.gouv.fr/5.104.101.30","443","INFO","not offered","",""
"cipherlist_STRONG_FS","trackdechets.beta.gouv.fr/5.104.101.30","443","OK","offered","",""
"cipher_order-tls1_2","trackdechets.beta.gouv.fr/5.104.101.30","443","OK","server","",""
"cipherorder_TLSv1_2","trackdechets.beta.gouv.fr/5.104.101.30","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","trackdechets.beta.gouv.fr/5.104.101.30","443","OK","server","",""
"FS","trackdechets.beta.gouv.fr/5.104.101.30","443","OK","offered","",""
"FS_ciphers","trackdechets.beta.gouv.fr/5.104.101.30","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","trackdechets.beta.gouv.fr/5.104.101.30","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","trackdechets.beta.gouv.fr/5.104.101.30","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","trackdechets.beta.gouv.fr/5.104.101.30","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","trackdechets.beta.gouv.fr/5.104.101.30","443","INFO","yes","",""
"sessionresumption_ticket","trackdechets.beta.gouv.fr/5.104.101.30","443","INFO","not supported","",""
"sessionresumption_ID","trackdechets.beta.gouv.fr/5.104.101.30","443","INFO","not supported","",""
"TLS_timestamp","trackdechets.beta.gouv.fr/5.104.101.30","443","INFO","random","",""
"certificate_compression","trackdechets.beta.gouv.fr/5.104.101.30","443","INFO","none","",""
"clientAuth","trackdechets.beta.gouv.fr/5.104.101.30","443","INFO","none","",""
"cert_numbers","trackdechets.beta.gouv.fr/5.104.101.30","443","INFO","1","",""
"cert_signatureAlgorithm","trackdechets.beta.gouv.fr/5.104.101.30","443","OK","SHA256 with RSA","",""
"cert_keySize","trackdechets.beta.gouv.fr/5.104.101.30","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","trackdechets.beta.gouv.fr/5.104.101.30","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","trackdechets.beta.gouv.fr/5.104.101.30","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","trackdechets.beta.gouv.fr/5.104.101.30","443","INFO","05B9887F00979E0508C9F1538F735208CE77","",""
"cert_serialNumberLen","trackdechets.beta.gouv.fr/5.104.101.30","443","INFO","18","",""
"cert_fingerprintSHA1","trackdechets.beta.gouv.fr/5.104.101.30","443","INFO","4463A00F6C263F2133F3FE04BDAB61A9E4DD1BBB","",""
"cert_fingerprintSHA256","trackdechets.beta.gouv.fr/5.104.101.30","443","INFO","70FB33C665D3EAD52DB334121857DEC520DE67D94F2757EAD1F74B27EBD4F486","",""
"cert","trackdechets.beta.gouv.fr/5.104.101.30","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFDjCCA/agAwIBAgISBbmIfwCXngUIyfFTj3NSCM53MA0GCSqGSIb3DQEBCwUAMDMxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQwwCgYDVQQDEwNSMTAwHhcNMjUwNzI1MTYwMDM4WhcNMjUxMDIzMTYwMDM3WjAkMSIwIAYDVQQDExl0cmFja2RlY2hldHMuYmV0YS5nb3V2LmZyMIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAtd4f1H8u3TH2uUpjdLk3hCBv4cW+0P7yzyHE1oLp8I3oif7xdmlUMKF56T7O06zKE7TjX/Oww1IhQx+s77nzUoLuIew9nZ5kXEGIeo6/W2Ywl9rI6e9TCQzn7sqSwzwY4wKidD+gPIM3GmRiSMlfbm2jzka2CQNU7zKJfPB/yLKCxItWeT6UoPcp329Myrp5QSmN73xXM1bjrK13kCjxraiJn3Oh2JnB0SNxHfSucqxc99Rk/KCEPx0uRSB8htKkUk/zVJXd0Z4PMb9+1dLRg2/gio5sOkiitrtzcxps83GdT8W470fVVqiC43ukzt0os/yipQAexlJ5gNZLcEq6ewIDAQABo4ICKTCCAiUwDgYDVR0PAQH/BAQDAgWgMB0GA1UdJQQWMBQGCCsGAQUFBwMBBggrBgEFBQcDAjAMBgNVHRMBAf8EAjAAMB0GA1UdDgQWBBTo0Cy/fucp1/u7KRak8nLb37ARATAfBgNVHSMEGDAWgBS7vMNHpeS8qcbDpHIMEI2iNeHI6DAzBggrBgEFBQcBAQQnMCUwIwYIKwYBBQUHMAKGF2h0dHA6Ly9yMTAuaS5sZW5jci5vcmcvMCQGA1UdEQQdMBuCGXRyYWNrZGVjaGV0cy5iZXRhLmdvdXYuZnIwEwYDVR0gBAwwCjAIBgZngQwBAgEwLwYDVR0fBCgwJjAkoCKgIIYeaHR0cDovL3IxMC5jLmxlbmNyLm9yZy8xMjAuY3JsMIIBAwYKKwYBBAHWeQIEAgSB9ASB8QDvAHUApELFBklgYVSPD9TqnPt6LSZFTYepfy/fRVn2J086hFQAAAGYQoY3mwAABAMARjBEAiA0R0crqKWyJezu145Z494Rc1xMJumYmjS6+/LyGlGuKQIgSM+j7EQPqNKh4H40VmsOKyNorHvFwd7RXAxeXEAkAEEAdgDM+w9qhXEJZf6Vm1PO6bJ8IumFXA2XjbapflTA/kwNsAAAAZhChjerAAAEAwBHMEUCIEc4QXyQ2/i0MS7Q/pUvneT6WvMM5RuTkz69AJc1TrdRAiEAyXu8Zn4BUcW/SyTvbguh3LFITHYk/YmdbF2gnfLFMKMwDQYJKoZIhvcNAQELBQADggEBADwLpCcEnv7G9DeG15D3eqQWuHs5pfesUltbHq5d2bP7yzmeg1wv+DVmzZTk6WwRsV/UaZbNYSS8wgK5br/6/rRUADUSmB7vtXpQasEZMTjyGOP7bGY3TDXLP9eR4Mdo3yscLmkBzjUQWy+h9EowFaMbrxWZbmkikMrS7+lOO8wFmo99qpmuhHsRCMEhfUUm9clm7EzHoktVV8jBpV61VRwA8hAYRmgIhH6vkDepi+DNGbn47Ije8myGk4G+eeFxLcEXT7H7It+ABPNN66qnHMuMErjFwbR16pq7vbaWYsfDYVLgUgDS6uOHl85PM9tesruEsiSCkehUZkExLG0qGlI=\n-----END CERTIFICATE-----","",""
"cert_commonName","trackdechets.beta.gouv.fr/5.104.101.30","443","OK","trackdechets.beta.gouv.fr","",""
"cert_commonName_wo_SNI","trackdechets.beta.gouv.fr/5.104.101.30","443","INFO","*.osc-fr1.scalingo.io","",""
"cert_subjectAltName","trackdechets.beta.gouv.fr/5.104.101.30","443","INFO","trackdechets.beta.gouv.fr","",""
"cert_trust","trackdechets.beta.gouv.fr/5.104.101.30","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_trust_wildcard","trackdechets.beta.gouv.fr/5.104.101.30","443","LOW","trust is via wildcard","",""
"cert_chain_of_trust","trackdechets.beta.gouv.fr/5.104.101.30","443","OK","passed.","",""
"cert_certificatePolicies_EV","trackdechets.beta.gouv.fr/5.104.101.30","443","INFO","no","",""
"cert_expirationStatus","trackdechets.beta.gouv.fr/5.104.101.30","443","OK","39 >= 30 days","",""
"cert_notBefore","trackdechets.beta.gouv.fr/5.104.101.30","443","INFO","2025-07-25 16:00","",""
"cert_notAfter","trackdechets.beta.gouv.fr/5.104.101.30","443","OK","2025-10-23 16:00","",""
"cert_extlifeSpan","trackdechets.beta.gouv.fr/5.104.101.30","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","trackdechets.beta.gouv.fr/5.104.101.30","443","INFO","not present","",""
"cert_crlDistributionPoints","trackdechets.beta.gouv.fr/5.104.101.30","443","INFO","http://r10.c.lencr.org/120.crl","",""
"cert_ocspURL","trackdechets.beta.gouv.fr/5.104.101.30","443","INFO","--","",""
"OCSP_stapling","trackdechets.beta.gouv.fr/5.104.101.30","443","INFO","not offered","",""
"cert_mustStapleExtension","trackdechets.beta.gouv.fr/5.104.101.30","443","INFO","--","",""
"DNS_CAArecord","trackdechets.beta.gouv.fr/5.104.101.30","443","LOW","--","",""
"certificate_transparency","trackdechets.beta.gouv.fr/5.104.101.30","443","OK","yes (certificate extension)","",""
"certs_countServer","trackdechets.beta.gouv.fr/5.104.101.30","443","INFO","2","",""
"certs_list_ordering_problem","trackdechets.beta.gouv.fr/5.104.101.30","443","INFO","no","",""
"cert_caIssuers","trackdechets.beta.gouv.fr/5.104.101.30","443","INFO","R10 (Let's Encrypt from US)","",""
