"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","turgot.beta.gouv.fr/185.21.194.105","443","INFO","HTTP","",""
"pre_128cipher","turgot.beta.gouv.fr/185.21.194.105","443","INFO","No 128 cipher limit bug","",""
"SSLv2","turgot.beta.gouv.fr/185.21.194.105","443","OK","not offered","",""
"SSLv3","turgot.beta.gouv.fr/185.21.194.105","443","OK","not offered","",""
"TLS1","turgot.beta.gouv.fr/185.21.194.105","443","INFO","not offered","",""
"TLS1_1","turgot.beta.gouv.fr/185.21.194.105","443","INFO","not offered","",""
"TLS1_2","turgot.beta.gouv.fr/185.21.194.105","443","OK","offered","",""
"TLS1_3","turgot.beta.gouv.fr/185.21.194.105","443","OK","offered with final","",""
"ALPN_HTTP2","turgot.beta.gouv.fr/185.21.194.105","443","OK","h2","",""
"ALPN","turgot.beta.gouv.fr/185.21.194.105","443","INFO","http/1.1","",""
"cipherlist_NULL","turgot.beta.gouv.fr/185.21.194.105","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","turgot.beta.gouv.fr/185.21.194.105","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","turgot.beta.gouv.fr/185.21.194.105","443","OK","not offered","","CWE-327"
"cipherlist_LOW","turgot.beta.gouv.fr/185.21.194.105","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","turgot.beta.gouv.fr/185.21.194.105","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","turgot.beta.gouv.fr/185.21.194.105","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","turgot.beta.gouv.fr/185.21.194.105","443","INFO","not offered","",""
"cipherlist_STRONG_FS","turgot.beta.gouv.fr/185.21.194.105","443","OK","offered","",""
"cipher_order-tls1_2","turgot.beta.gouv.fr/185.21.194.105","443","OK","server","",""
"cipherorder_TLSv1_2","turgot.beta.gouv.fr/185.21.194.105","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","turgot.beta.gouv.fr/185.21.194.105","443","OK","server","",""
"FS","turgot.beta.gouv.fr/185.21.194.105","443","OK","offered","",""
