"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","vae.gouv.fr/185.21.194.105","443","INFO","HTTP","",""
"pre_128cipher","vae.gouv.fr/185.21.194.105","443","INFO","No 128 cipher limit bug","",""
"SSLv2","vae.gouv.fr/185.21.194.105","443","OK","not offered","",""
"SSLv3","vae.gouv.fr/185.21.194.105","443","OK","not offered","",""
"TLS1","vae.gouv.fr/185.21.194.105","443","INFO","not offered","",""
"TLS1_1","vae.gouv.fr/185.21.194.105","443","INFO","not offered","",""
"TLS1_2","vae.gouv.fr/185.21.194.105","443","OK","offered","",""
"TLS1_3","vae.gouv.fr/185.21.194.105","443","OK","offered with final","",""
"ALPN_HTTP2","vae.gouv.fr/185.21.194.105","443","OK","h2","",""
"ALPN","vae.gouv.fr/185.21.194.105","443","INFO","http/1.1","",""
"cipherlist_NULL","vae.gouv.fr/185.21.194.105","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","vae.gouv.fr/185.21.194.105","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","vae.gouv.fr/185.21.194.105","443","OK","not offered","","CWE-327"
"cipherlist_LOW","vae.gouv.fr/185.21.194.105","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","vae.gouv.fr/185.21.194.105","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","vae.gouv.fr/185.21.194.105","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","vae.gouv.fr/185.21.194.105","443","INFO","not offered","",""
"cipherlist_STRONG_FS","vae.gouv.fr/185.21.194.105","443","OK","offered","",""
"cipher_order-tls1_2","vae.gouv.fr/185.21.194.105","443","OK","server","",""
"cipherorder_TLSv1_2","vae.gouv.fr/185.21.194.105","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","vae.gouv.fr/185.21.194.105","443","OK","server","",""
"FS","vae.gouv.fr/185.21.194.105","443","OK","offered","",""
"FS_ciphers","vae.gouv.fr/185.21.194.105","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_KEMs","vae.gouv.fr/185.21.194.105","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","vae.gouv.fr/185.21.194.105","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","vae.gouv.fr/185.21.194.105","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","vae.gouv.fr/185.21.194.105","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","vae.gouv.fr/185.21.194.105","443","INFO","yes","",""
"sessionresumption_ticket","vae.gouv.fr/185.21.194.105","443","INFO","not supported","",""
"sessionresumption_ID","vae.gouv.fr/185.21.194.105","443","INFO","not supported","",""
"TLS_timestamp","vae.gouv.fr/185.21.194.105","443","INFO","random","",""
"certificate_compression","vae.gouv.fr/185.21.194.105","443","INFO","none","",""
"clientAuth","vae.gouv.fr/185.21.194.105","443","INFO","none","",""
"cert_numbers","vae.gouv.fr/185.21.194.105","443","INFO","1","",""
"cert_signatureAlgorithm","vae.gouv.fr/185.21.194.105","443","OK","SHA256 with RSA","",""
"cert_keySize","vae.gouv.fr/185.21.194.105","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","vae.gouv.fr/185.21.194.105","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","vae.gouv.fr/185.21.194.105","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","vae.gouv.fr/185.21.194.105","443","INFO","06FBEF0C7A8A22C6BF1885FF40882E229A52","",""
"cert_serialNumberLen","vae.gouv.fr/185.21.194.105","443","INFO","18","",""
"cert_fingerprintSHA1","vae.gouv.fr/185.21.194.105","443","INFO","9F0326136D4782CF57B1CEB3E0C8640E12864DC2","",""
"cert_fingerprintSHA256","vae.gouv.fr/185.21.194.105","443","INFO","25781A70D129196CAC1621B37939AB28F778C8C915371532388F90F4FBC3FDA7","",""
