"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.data.gouv.fr/37.59.183.73","443","INFO","HTTP","",""
"pre_128cipher","www.data.gouv.fr/37.59.183.73","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.data.gouv.fr/37.59.183.73","443","OK","not offered","",""
"SSLv3","www.data.gouv.fr/37.59.183.73","443","OK","not offered","",""
"TLS1","www.data.gouv.fr/37.59.183.73","443","INFO","not offered","",""
"TLS1_1","www.data.gouv.fr/37.59.183.73","443","INFO","not offered","",""
"TLS1_2","www.data.gouv.fr/37.59.183.73","443","OK","offered","",""
"TLS1_3","www.data.gouv.fr/37.59.183.73","443","OK","offered with final","",""
"ALPN_HTTP2","www.data.gouv.fr/37.59.183.73","443","OK","h2","",""
"ALPN","www.data.gouv.fr/37.59.183.73","443","INFO","http/1.1","",""
"cipherlist_NULL","www.data.gouv.fr/37.59.183.73","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.data.gouv.fr/37.59.183.73","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.data.gouv.fr/37.59.183.73","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.data.gouv.fr/37.59.183.73","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.data.gouv.fr/37.59.183.73","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.data.gouv.fr/37.59.183.73","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.data.gouv.fr/37.59.183.73","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.data.gouv.fr/37.59.183.73","443","OK","offered","",""
"cipher_order-tls1_2","www.data.gouv.fr/37.59.183.73","443","OK","server","",""
"cipherorder_TLSv1_2","www.data.gouv.fr/37.59.183.73","443","INFO","ECDHE-ECDSA-AES256-GCM-SHA384","",""
"cipher_order","www.data.gouv.fr/37.59.183.73","443","OK","server","",""
"FS","www.data.gouv.fr/37.59.183.73","443","OK","offered","",""
"FS_ciphers","www.data.gouv.fr/37.59.183.73","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES128-SHA256 ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES256-SHA384","",""
"FS_KEMs","www.data.gouv.fr/37.59.183.73","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","www.data.gouv.fr/37.59.183.73","443","OK","prime256v1","",""
"TLS_extensions","www.data.gouv.fr/37.59.183.73","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","www.data.gouv.fr/37.59.183.73","443","INFO","valid for 7200 seconds only (<daily)","",""
"SSL_sessionID_support","www.data.gouv.fr/37.59.183.73","443","INFO","yes","",""
"sessionresumption_ticket","www.data.gouv.fr/37.59.183.73","443","INFO","supported","",""
"sessionresumption_ID","www.data.gouv.fr/37.59.183.73","443","INFO","supported","",""
"TLS_timestamp","www.data.gouv.fr/37.59.183.73","443","INFO","random","",""
"certificate_compression","www.data.gouv.fr/37.59.183.73","443","INFO","none","",""
"clientAuth","www.data.gouv.fr/37.59.183.73","443","INFO","none","",""
"cert_numbers","www.data.gouv.fr/37.59.183.73","443","INFO","1","",""
"cert_signatureAlgorithm","www.data.gouv.fr/37.59.183.73","443","OK","ECDSA with SHA384","",""
"cert_keySize","www.data.gouv.fr/37.59.183.73","443","OK","EC 256 bits (curve P-256)","",""
"cert_keyUsage","www.data.gouv.fr/37.59.183.73","443","INFO","Digital Signature","",""
"cert_extKeyUsage","www.data.gouv.fr/37.59.183.73","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","www.data.gouv.fr/37.59.183.73","443","INFO","0566C0F3A224123D7AEA281F1D451D4D6921","",""
"cert_serialNumberLen","www.data.gouv.fr/37.59.183.73","443","INFO","18","",""
"cert_fingerprintSHA1","www.data.gouv.fr/37.59.183.73","443","INFO","665FFE736F3163C7F02848908251E677F463838F","",""
"cert_fingerprintSHA256","www.data.gouv.fr/37.59.183.73","443","INFO","628EA107E24255387AB620E88C275B82D290F81E915C198D0AF23695FA3A73E0","",""
"cert","www.data.gouv.fr/37.59.183.73","443","INFO","-----BEGIN CERTIFICATE-----\nMIIEkTCCBBegAwIBAgISBWbA86IkEj166igfHUUdTWkhMAoGCCqGSM49BAMDMDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQDEwJFODAeFw0yNjA1MTEyMTA3MDRaFw0yNjA4MDkyMTA3MDNaMBkxFzAVBgNVBAMMDiouZGF0YS5nb3V2LmZyMFkwEwYHKoZIzj0CAQYIKoZIzj0DAQcDQgAEFKu0I3aFthRxv/cbUCRi/TtO2R/r9/zeKgYqPPj0qkXhwapCwBf1MlYCAyIz0w8ScYv7vQXjo3rDEzJEip8M2aOCAyQwggMgMA4GA1UdDwEB/wQEAwIHgDATBgNVHSUEDDAKBggrBgEFBQcDATAMBgNVHRMBAf8EAjAAMB0GA1UdDgQWBBT/SJhgI7MymIz4FSGweBzgLmSwdzAfBgNVHSMEGDAWgBSPDROi9i5+0VBsMxg4XVmOI3KRyjAyBggrBgEFBQcBAQQmMCQwIgYIKwYBBQUHMAKGFmh0dHA6Ly9lOC5pLmxlbmNyLm9yZy8wggEgBgNVHREEggEXMIIBE4IOKi5kYXRhLmdvdXYuZnKCFCouaW5mcmEuZGF0YS5nb3V2LmZyghYqLnByZXByb2QuZGF0YS5nb3V2LmZyggxkYXRhLmdvdXYuZnKCKGRlbW8tZm9ydW0ub2JqZWN0LWFwaS5pbmZyYS5kYXRhLmdvdXYuZnKCGmRlbW8uZWNvbG9naWUuZGF0YS5nb3V2LmZygidkZXYtZm9ydW0ub2JqZWN0LWFwaS5pbmZyYS5kYXRhLmdvdXYuZnKCGWRldi5lY29sb2dpZS5kYXRhLmdvdXYuZnKCI2ZvcnVtLm9iamVjdC1hcGkuaW5mcmEuZGF0YS5nb3V2LmZyghZyb2xlcy5kZXYuZGF0YS5nb3V2LmZyMBMGA1UdIAQMMAowCAYGZ4EMAQIBMC0GA1UdHwQmMCQwIqAgoB6GHGh0dHA6Ly9lOC5jLmxlbmNyLm9yZy8zNC5jcmwwggENBgorBgEEAdZ5AgQCBIH+BIH7APkAdwDIo8R/x7OtuTVrAT9qehJt4zpOQ6XGRvmXrTl1mR3PmgAAAZ4ZEvscAAAEAwBIMEYCIQDOpYaRUJAPBYHGRXewAt3mOxJ9Hfm2b621zEt6fw80HwIhANvjIsxHZe6ulD+RpLHI9IpBgN/rlMqGaLouI9BLtjPIAH4AbP5QGUOoXqkWvFLRM+TcyR7xQRx9JYQg0XOAnhgY6zoAAAGeGRL8LgAIAAAFAAsKF9gEAwBHMEUCIQDG0Kdo+1u4MDA6ws3OE8rgkuYJDPxpL+bWGSuAHEiocwIgeSY3bfumqgiR5nIAqDO6Fc2hvWS3q3aRcmiOZP13g7UwCgYIKoZIzj0EAwMDaAAwZQIxAKns6KFbVvy5rSwSVegmw1sZvGUwj3qLbKGlQc6E4AOVPqaQMKbARBPRpyjikVHXbgIwfJUJg4hVYwM/O0JRh4BzOsSBPoM7sFyffacpQ5FVj2zz5tJaVqEut+0p2OVIMeD1\n-----END CERTIFICATE-----","",""
"cert_commonName","www.data.gouv.fr/37.59.183.73","443","OK","*.data.gouv.fr","",""
"cert_commonName_wo_SNI","www.data.gouv.fr/37.59.183.73","443","INFO","*.data.gouv.fr","",""
"cert_subjectAltName","www.data.gouv.fr/37.59.183.73","443","INFO","*.data.gouv.fr *.infra.data.gouv.fr *.preprod.data.gouv.fr data.gouv.fr demo-forum.object-api.infra.data.gouv.fr demo.ecologie.data.gouv.fr dev-forum.object-api.infra.data.gouv.fr dev.ecologie.data.gouv.fr forum.object-api.infra.data.gouv.fr roles.dev.data.gouv.fr","",""
"cert_trust","www.data.gouv.fr/37.59.183.73","443","OK","Ok via SAN wildcard and CN wildcard (same w/o SNI)","",""
"cert_trust_wildcard","www.data.gouv.fr/37.59.183.73","443","LOW","trust is via wildcard","",""
"cert_chain_of_trust","www.data.gouv.fr/37.59.183.73","443","OK","passed.","",""
"cert_certificatePolicies_EV","www.data.gouv.fr/37.59.183.73","443","INFO","no","",""
"cert_expirationStatus","www.data.gouv.fr/37.59.183.73","443","OK","70 >= 30 days","",""
"cert_notBefore","www.data.gouv.fr/37.59.183.73","443","INFO","2026-05-11 21:07","",""
"cert_notAfter","www.data.gouv.fr/37.59.183.73","443","OK","2026-08-09 21:07","",""
"cert_extlifeSpan","www.data.gouv.fr/37.59.183.73","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","www.data.gouv.fr/37.59.183.73","443","INFO","not present","",""
"cert_crlDistributionPoints","www.data.gouv.fr/37.59.183.73","443","INFO","http://e8.c.lencr.org/34.crl","",""
"cert_ocspURL","www.data.gouv.fr/37.59.183.73","443","INFO","--","",""
"OCSP_stapling","www.data.gouv.fr/37.59.183.73","443","INFO","not offered","",""
"cert_mustStapleExtension","www.data.gouv.fr/37.59.183.73","443","INFO","--","",""
"DNS_CAArecord","www.data.gouv.fr/37.59.183.73","443","LOW","--","",""
"certificate_transparency","www.data.gouv.fr/37.59.183.73","443","OK","yes (certificate extension)","",""
"certs_countServer","www.data.gouv.fr/37.59.183.73","443","INFO","4","",""
"certs_list_ordering_problem","www.data.gouv.fr/37.59.183.73","443","LOW","yes","",""
"cert_caIssuers","www.data.gouv.fr/37.59.183.73","443","INFO","E8 (Let's Encrypt from US)","",""
"intermediate_cert <#1>","www.data.gouv.fr/37.59.183.73","443","INFO","-----BEGIN CERTIFICATE-----\nMIIEVjCCAj6gAwIBAgIQY5WTY8JOcIJxWRi/w9ftVjANBgkqhkiG9w0BAQsFADBPMQswCQYDVQQGEwJVUzEpMCcGA1UEChMgSW50ZXJuZXQgU2VjdXJpdHkgUmVzZWFyY2ggR3JvdXAxFTATBgNVBAMTDElTUkcgUm9vdCBYMTAeFw0yNDAzMTMwMDAwMDBaFw0yNzAzMTIyMzU5NTlaMDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQDEwJFODB2MBAGByqGSM49AgEGBSuBBAAiA2IABNFl8l7cS7QMApzSsvru6WyrOq44ofTUOTIzxULUzDMMNMchIJBwXOhiLxxxs0LXeb5GDcHbR6EToMffgSZjO9SNHfY9gjMy9vQr5/WWOrQTZxh7az6NSNnq3u2ubT6HTKOB+DCB9TAOBgNVHQ8BAf8EBAMCAYYwHQYDVR0lBBYwFAYIKwYBBQUHAwIGCCsGAQUFBwMBMBIGA1UdEwEB/wQIMAYBAf8CAQAwHQYDVR0OBBYEFI8NE6L2Ln7RUGwzGDhdWY4jcpHKMB8GA1UdIwQYMBaAFHm0WeZ7tuXkAXOACIjIGlj26ZtuMDIGCCsGAQUFBwEBBCYwJDAiBggrBgEFBQcwAoYWaHR0cDovL3gxLmkubGVuY3Iub3JnLzATBgNVHSAEDDAKMAgGBmeBDAECATAnBgNVHR8EIDAeMBygGqAYhhZodHRwOi8veDEuYy5sZW5jci5vcmcvMA0GCSqGSIb3DQEBCwUAA4ICAQBnE0hGINKsCYWi0Xx1ygxD5qihEjZ0RI3tTZz1wuATH3ZwYPIp97kWEayanD1j0cDhIYzy4CkDo2jB8D5t0a6zZWzlr98dAQFNh8uKJkIHdLShy+nUyeZxc5bNeMp1Lu0gSzE4McqfmNMvIpeiwWSYO9w82Ob8otvXcO2JUYi3svHIWRm3+707DUbL51XMcY2iZdlCq4Wa9nbuk3WTU4gr6LY8MzVAaDQG2+4U3eJ6qUF10bBnR1uuVyDYs9RhrwucRVnfuDj29CMLTsplM5f5wSV5hUpmUwp/vV7M4w4aGunt74koX71n4EdagCsL/Yk5+mAQU0+tue0JOfAV/R6t1k+Xk9s2HMQFeoxppfzAVC04FdG9M+AC2JWxmFSt6BCuh3CEey3fE52Qrj9YM75rtvIjsm/1Hl+u//Wqxnu1ZQ4jpa+VpuZiGOlWrqSP9eogdOhCGisnyewWJwRQOqK16wiGyZeRxs/Bekw65vwSIaVkBruPiTfMOo0Zh4gVa8/qJgMbJbyrwwG97z/PRgmLKCDl8z3dtA0Z7qq7fta0Gl24uyuB05dqI5J1LvAzKuWdIjT1tP8qCoxSE/xpix8hX2dt3h+/jujUgFPFZ0EVZ0xSyBNRF3MboGZnYXFUxpNjTWPKpagDHJQmqrAcDmWJnMsFY3jSu1igv3OefnWjSQ==\n-----END CERTIFICATE-----","",""
"intermediate_cert_fingerprintSHA256 <#1>","www.data.gouv.fr/37.59.183.73","443","INFO","83624FD338C8D9B023C18A67CB7A9C0519DA43D11775B4C6CBDAD45C3D997C52","",""
"intermediate_cert_notBefore <#1>","www.data.gouv.fr/37.59.183.73","443","INFO","2024-03-13 00:00","",""
"intermediate_cert_notAfter <#1>","www.data.gouv.fr/37.59.183.73","443","OK","2027-03-12 23:59","",""
"intermediate_cert_expiration <#1>","www.data.gouv.fr/37.59.183.73","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#1>","www.data.gouv.fr/37.59.183.73","443","INFO","E8 <-- ISRG Root X1","",""
