"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.demarches-simplifiees.fr/176.31.79.200","443","INFO","HTTP","",""
"pre_128cipher","www.demarches-simplifiees.fr/176.31.79.200","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.demarches-simplifiees.fr/176.31.79.200","443","OK","not offered","",""
"SSLv3","www.demarches-simplifiees.fr/176.31.79.200","443","OK","not offered","",""
"TLS1","www.demarches-simplifiees.fr/176.31.79.200","443","INFO","not offered","",""
"TLS1_1","www.demarches-simplifiees.fr/176.31.79.200","443","INFO","not offered","",""
"TLS1_2","www.demarches-simplifiees.fr/176.31.79.200","443","OK","offered","",""
"TLS1_3","www.demarches-simplifiees.fr/176.31.79.200","443","OK","offered with final","",""
"ALPN_HTTP2","www.demarches-simplifiees.fr/176.31.79.200","443","OK","h2","",""
"ALPN","www.demarches-simplifiees.fr/176.31.79.200","443","INFO","http/1.1","",""
"cipherlist_NULL","www.demarches-simplifiees.fr/176.31.79.200","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.demarches-simplifiees.fr/176.31.79.200","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.demarches-simplifiees.fr/176.31.79.200","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.demarches-simplifiees.fr/176.31.79.200","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.demarches-simplifiees.fr/176.31.79.200","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.demarches-simplifiees.fr/176.31.79.200","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.demarches-simplifiees.fr/176.31.79.200","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.demarches-simplifiees.fr/176.31.79.200","443","OK","offered","",""
"cipher_order-tls1_2","www.demarches-simplifiees.fr/176.31.79.200","443","OK","server","",""
"cipherorder_TLSv1_2","www.demarches-simplifiees.fr/176.31.79.200","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.demarches-simplifiees.fr/176.31.79.200","443","OK","server","",""
"FS","www.demarches-simplifiees.fr/176.31.79.200","443","OK","offered","",""
"FS_ciphers","www.demarches-simplifiees.fr/176.31.79.200","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_KEMs","www.demarches-simplifiees.fr/176.31.79.200","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","www.demarches-simplifiees.fr/176.31.79.200","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.demarches-simplifiees.fr/176.31.79.200","443","INFO","'server name/#0' 'supported_groups/#10' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","www.demarches-simplifiees.fr/176.31.79.200","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.demarches-simplifiees.fr/176.31.79.200","443","INFO","yes","",""
"sessionresumption_ticket","www.demarches-simplifiees.fr/176.31.79.200","443","INFO","not supported","",""
"sessionresumption_ID","www.demarches-simplifiees.fr/176.31.79.200","443","INFO","supported","",""
"TLS_timestamp","www.demarches-simplifiees.fr/176.31.79.200","443","INFO","random","",""
"certificate_compression","www.demarches-simplifiees.fr/176.31.79.200","443","INFO","none","",""
"clientAuth","www.demarches-simplifiees.fr/176.31.79.200","443","INFO","none","",""
"cert_numbers","www.demarches-simplifiees.fr/176.31.79.200","443","INFO","1","",""
"cert_signatureAlgorithm","www.demarches-simplifiees.fr/176.31.79.200","443","OK","SHA256 with RSA","",""
"cert_keySize","www.demarches-simplifiees.fr/176.31.79.200","443","OK","RSA 3072 bits (exponent is 65537)","",""
"cert_keyUsage","www.demarches-simplifiees.fr/176.31.79.200","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.demarches-simplifiees.fr/176.31.79.200","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","www.demarches-simplifiees.fr/176.31.79.200","443","INFO","589A8926928578A32DD04E76A5C40D3F","",""
"cert_serialNumberLen","www.demarches-simplifiees.fr/176.31.79.200","443","INFO","16","",""
"cert_fingerprintSHA1","www.demarches-simplifiees.fr/176.31.79.200","443","INFO","A26DC9042A2F80D921657E0E3D00DAB99090F786","",""
"cert_fingerprintSHA256","www.demarches-simplifiees.fr/176.31.79.200","443","INFO","5E857C7B45DE4452920860DF70803780DFF19CB116C5DADF15475952D61FF166","",""
