"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.monstagedetroisieme.fr/91.208.207.223","443","INFO","HTTP","",""
"pre_128cipher","www.monstagedetroisieme.fr/91.208.207.223","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.monstagedetroisieme.fr/91.208.207.223","443","OK","not offered","",""
"SSLv3","www.monstagedetroisieme.fr/91.208.207.223","443","OK","not offered","",""
"TLS1","www.monstagedetroisieme.fr/91.208.207.223","443","INFO","not offered","",""
"TLS1_1","www.monstagedetroisieme.fr/91.208.207.223","443","INFO","not offered","",""
"TLS1_2","www.monstagedetroisieme.fr/91.208.207.223","443","OK","offered","",""
"TLS1_3","www.monstagedetroisieme.fr/91.208.207.223","443","OK","offered with final","",""
"ALPN","www.monstagedetroisieme.fr/91.208.207.223","443","INFO","http/1.1","",""
"cipherlist_NULL","www.monstagedetroisieme.fr/91.208.207.223","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.monstagedetroisieme.fr/91.208.207.223","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.monstagedetroisieme.fr/91.208.207.223","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.monstagedetroisieme.fr/91.208.207.223","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.monstagedetroisieme.fr/91.208.207.223","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.monstagedetroisieme.fr/91.208.207.223","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.monstagedetroisieme.fr/91.208.207.223","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.monstagedetroisieme.fr/91.208.207.223","443","OK","offered","",""
"cipher_order-tls1_2","www.monstagedetroisieme.fr/91.208.207.223","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc030","www.monstagedetroisieme.fr/91.208.207.223","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 384   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","www.monstagedetroisieme.fr/91.208.207.223","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 384   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","www.monstagedetroisieme.fr/91.208.207.223","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.monstagedetroisieme.fr/91.208.207.223","443","INFO","NOT a cipher order configured","",""
"FS","www.monstagedetroisieme.fr/91.208.207.223","443","OK","offered","",""
"FS_ciphers","www.monstagedetroisieme.fr/91.208.207.223","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","www.monstagedetroisieme.fr/91.208.207.223","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","www.monstagedetroisieme.fr/91.208.207.223","443","INFO","'server name/#0' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","www.monstagedetroisieme.fr/91.208.207.223","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.monstagedetroisieme.fr/91.208.207.223","443","INFO","yes","",""
"sessionresumption_ticket","www.monstagedetroisieme.fr/91.208.207.223","443","INFO","not supported","",""
"sessionresumption_ID","www.monstagedetroisieme.fr/91.208.207.223","443","INFO","not supported","",""
"TLS_timestamp","www.monstagedetroisieme.fr/91.208.207.223","443","INFO","random","",""
"certificate_compression","www.monstagedetroisieme.fr/91.208.207.223","443","INFO","none","",""
"clientAuth","www.monstagedetroisieme.fr/91.208.207.223","443","INFO","none","",""
"cert_numbers","www.monstagedetroisieme.fr/91.208.207.223","443","INFO","1","",""
"cert_signatureAlgorithm","www.monstagedetroisieme.fr/91.208.207.223","443","OK","SHA256 with RSA","",""
"cert_keySize","www.monstagedetroisieme.fr/91.208.207.223","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.monstagedetroisieme.fr/91.208.207.223","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.monstagedetroisieme.fr/91.208.207.223","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","www.monstagedetroisieme.fr/91.208.207.223","443","INFO","04C404D8AEE91345E40D2CF16D1D3510839B","",""
"cert_serialNumberLen","www.monstagedetroisieme.fr/91.208.207.223","443","INFO","18","",""
"cert_fingerprintSHA1","www.monstagedetroisieme.fr/91.208.207.223","443","INFO","6A5C4604285108B211EC5389273F2ACB299C29AA","",""
"cert_fingerprintSHA256","www.monstagedetroisieme.fr/91.208.207.223","443","INFO","CF750DB4AAD8DCE94141CBC3A7E3A0B022DA8188941CA1860D1E5FC6D64FD8A7","",""
"cert","www.monstagedetroisieme.fr/91.208.207.223","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFBDCCA+ygAwIBAgISBMQE2K7pE0XkDSzxbR01EIObMA0GCSqGSIb3DQEBCwUAMDMxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQwwCgYDVQQDEwNSMTAwHhcNMjUwMjI4MTkxMjA3WhcNMjUwNTI5MTkxMjA2WjAlMSMwIQYDVQQDExp3d3cubW9uc3RhZ2VkZXRyb2lzaWVtZS5mcjCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBAIJROK2VyAPBE3brgAmHJKa5sfuoulkMFxKNKnlzU7wluL8m/HMmB7THk/iti5nxe72172N+27c//EcC2x/GkpEarFexxxaHsByK370+/GuPBF05AhyIZmaKFiVkIxmrwgO/XTEug1HTe+kflmFFWQ7mEIMGgwccz3BF/DEGgCQviEPdevdE70eLOdg5YslRApf390hWE4o99Xo+Gw6NU0kedibOtT8T1VTytUWppEiUvDGyOGtygex2ACzlmTycBsnRRnZX91sUsnZIKehmXBINdKeiwoAyKzHXuMSRPiezSHBA5f3Sn1c4/CJAaBZfKcihVJ0fyYVpR05QHq/5yOsCAwEAAaOCAh4wggIaMA4GA1UdDwEB/wQEAwIFoDAdBgNVHSUEFjAUBggrBgEFBQcDAQYIKwYBBQUHAwIwDAYDVR0TAQH/BAIwADAdBgNVHQ4EFgQUWKiUWpaB7X5lZuby3T5Z/BGUWKYwHwYDVR0jBBgwFoAUu7zDR6XkvKnGw6RyDBCNojXhyOgwVwYIKwYBBQUHAQEESzBJMCIGCCsGAQUFBzABhhZodHRwOi8vcjEwLm8ubGVuY3Iub3JnMCMGCCsGAQUFBzAChhdodHRwOi8vcjEwLmkubGVuY3Iub3JnLzAlBgNVHREEHjAcghp3d3cubW9uc3RhZ2VkZXRyb2lzaWVtZS5mcjATBgNVHSAEDDAKMAgGBmeBDAECATCCAQQGCisGAQQB1nkCBAIEgfUEgfIA8AB3AM8RVu7VLnyv84db2Wkum+kacWdKsBfsrAHSW3fOzDsIAAABlU4usWcAAAQDAEgwRgIhAKceAHV2k9M0y0GyBeR/VrfcjcQ/8ePfe5AEyv7JQrXCAiEAsADUWoIBhciSTHWywlGOBONFatlqD27CKdT84ZTLDq8AdQATSt8atZhCCXgMb+9MepGkFrcjSc5YV2rfrtqnwqvgIgAAAZVOLrLrAAAEAwBGMEQCICxdZXCvrbBpzjywFTxkSi4Me6IwU4ixyeUOqaaERjw+AiBDl2iWScSiPONeod7s+quTtC4PrJkrSnF5p3Vc1bsxXDANBgkqhkiG9w0BAQsFAAOCAQEAoUMCX+OfFEFdI+U5/rSJ39Z+jOfug/BYVcL8SJe4ZKkNaAHlq6ZmGoTfx0xOKb7SHMkeN/o6qSGcu1ZoO1vWYtDbpSYEfZ7BX7WfWLdxWFfKFhA1jVIJmxxgiVh48GT0kr/x0nl7qmDHZg9qkziEd02mOVvT50ZQRSfn3beSWQsy3VAgJHH61wgZqMqJ8kve4Rv9pCJ6AmSQkmZY35ZA57crW3493u3snR3AKOT+j1SZzpDUN1YF07Vhg1x1txDzNHugB1cZ0PKwX98TnUoP+C4XoqSJKsayQZ5RmBiy0MKuoCvk/NtbDoQ66s2loR6PflO2Hz1+0ds0vq6vjtDd2w==\n-----END CERTIFICATE-----","",""
"cert_commonName","www.monstagedetroisieme.fr/91.208.207.223","443","OK","www.monstagedetroisieme.fr","",""
"cert_commonName_wo_SNI","www.monstagedetroisieme.fr/91.208.207.223","443","INFO","request w/o SNI didn't succeed","",""
"cert_subjectAltName","www.monstagedetroisieme.fr/91.208.207.223","443","INFO","www.monstagedetroisieme.fr","",""
"cert_trust","www.monstagedetroisieme.fr/91.208.207.223","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","www.monstagedetroisieme.fr/91.208.207.223","443","OK","passed.","",""
"cert_certificatePolicies_EV","www.monstagedetroisieme.fr/91.208.207.223","443","INFO","no","",""
"cert_expirationStatus","www.monstagedetroisieme.fr/91.208.207.223","443","OK","67 >= 30 days","",""
"cert_notBefore","www.monstagedetroisieme.fr/91.208.207.223","443","INFO","2025-02-28 19:12","",""
"cert_notAfter","www.monstagedetroisieme.fr/91.208.207.223","443","OK","2025-05-29 19:12","",""
"cert_extlifeSpan","www.monstagedetroisieme.fr/91.208.207.223","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","www.monstagedetroisieme.fr/91.208.207.223","443","INFO","not present","",""
"cert_crlDistributionPoints","www.monstagedetroisieme.fr/91.208.207.223","443","INFO","--","",""
"cert_ocspURL","www.monstagedetroisieme.fr/91.208.207.223","443","INFO","http://r10.o.lencr.org","",""
"OCSP_stapling","www.monstagedetroisieme.fr/91.208.207.223","443","LOW","not offered","",""
"cert_mustStapleExtension","www.monstagedetroisieme.fr/91.208.207.223","443","INFO","--","",""
"DNS_CAArecord","www.monstagedetroisieme.fr/91.208.207.223","443","LOW","--","",""
"certificate_transparency","www.monstagedetroisieme.fr/91.208.207.223","443","OK","yes (certificate extension)","",""
"certs_countServer","www.monstagedetroisieme.fr/91.208.207.223","443","INFO","2","",""
"certs_list_ordering_problem","www.monstagedetroisieme.fr/91.208.207.223","443","INFO","no","",""
"cert_caIssuers","www.monstagedetroisieme.fr/91.208.207.223","443","INFO","R10 (Let's Encrypt from US)","",""
