"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","acceslibre.beta.gouv.fr/109.232.236.90","443","INFO","HTTP","",""
"pre_128cipher","acceslibre.beta.gouv.fr/109.232.236.90","443","INFO","No 128 cipher limit bug","",""
"SSLv2","acceslibre.beta.gouv.fr/109.232.236.90","443","OK","not offered","",""
"SSLv3","acceslibre.beta.gouv.fr/109.232.236.90","443","OK","not offered","",""
"TLS1","acceslibre.beta.gouv.fr/109.232.236.90","443","INFO","not offered","",""
"TLS1_1","acceslibre.beta.gouv.fr/109.232.236.90","443","INFO","not offered","",""
"TLS1_2","acceslibre.beta.gouv.fr/109.232.236.90","443","OK","offered","",""
"TLS1_3","acceslibre.beta.gouv.fr/109.232.236.90","443","OK","offered with final","",""
"ALPN_HTTP2","acceslibre.beta.gouv.fr/109.232.236.90","443","OK","h2","",""
"ALPN","acceslibre.beta.gouv.fr/109.232.236.90","443","INFO","http/1.1","",""
"cipherlist_NULL","acceslibre.beta.gouv.fr/109.232.236.90","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","acceslibre.beta.gouv.fr/109.232.236.90","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","acceslibre.beta.gouv.fr/109.232.236.90","443","OK","not offered","","CWE-327"
"cipherlist_LOW","acceslibre.beta.gouv.fr/109.232.236.90","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","acceslibre.beta.gouv.fr/109.232.236.90","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","acceslibre.beta.gouv.fr/109.232.236.90","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","acceslibre.beta.gouv.fr/109.232.236.90","443","INFO","not offered","",""
"cipherlist_STRONG_FS","acceslibre.beta.gouv.fr/109.232.236.90","443","OK","offered","",""
"cipher_order-tls1_2","acceslibre.beta.gouv.fr/109.232.236.90","443","OK","server","",""
"cipherorder_TLSv1_2","acceslibre.beta.gouv.fr/109.232.236.90","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","acceslibre.beta.gouv.fr/109.232.236.90","443","OK","server","",""
"FS","acceslibre.beta.gouv.fr/109.232.236.90","443","OK","offered","",""
"FS_ciphers","acceslibre.beta.gouv.fr/109.232.236.90","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_KEMs","acceslibre.beta.gouv.fr/109.232.236.90","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","acceslibre.beta.gouv.fr/109.232.236.90","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","acceslibre.beta.gouv.fr/109.232.236.90","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","acceslibre.beta.gouv.fr/109.232.236.90","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","acceslibre.beta.gouv.fr/109.232.236.90","443","INFO","yes","",""
"sessionresumption_ticket","acceslibre.beta.gouv.fr/109.232.236.90","443","INFO","not supported","",""
"sessionresumption_ID","acceslibre.beta.gouv.fr/109.232.236.90","443","INFO","supported","",""
"TLS_timestamp","acceslibre.beta.gouv.fr/109.232.236.90","443","INFO","random","",""
"certificate_compression","acceslibre.beta.gouv.fr/109.232.236.90","443","INFO","none","",""
"clientAuth","acceslibre.beta.gouv.fr/109.232.236.90","443","INFO","none","",""
"cert_numbers","acceslibre.beta.gouv.fr/109.232.236.90","443","INFO","1","",""
"cert_signatureAlgorithm","acceslibre.beta.gouv.fr/109.232.236.90","443","OK","SHA256 with RSA","",""
"cert_keySize","acceslibre.beta.gouv.fr/109.232.236.90","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","acceslibre.beta.gouv.fr/109.232.236.90","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","acceslibre.beta.gouv.fr/109.232.236.90","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","acceslibre.beta.gouv.fr/109.232.236.90","443","INFO","0531D977218BB7C829B23DCC9B5CB608DE3D","",""
"cert_serialNumberLen","acceslibre.beta.gouv.fr/109.232.236.90","443","INFO","18","",""
"cert_fingerprintSHA1","acceslibre.beta.gouv.fr/109.232.236.90","443","INFO","4FC8BC5DD3A5DAC9A08AD5AC88D651C603771335","",""
