"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","acces-cible.incubateur.net/109.232.236.90","443","INFO","HTTP","",""
"pre_128cipher","acces-cible.incubateur.net/109.232.236.90","443","INFO","No 128 cipher limit bug","",""
"SSLv2","acces-cible.incubateur.net/109.232.236.90","443","OK","not offered","",""
"SSLv3","acces-cible.incubateur.net/109.232.236.90","443","OK","not offered","",""
"TLS1","acces-cible.incubateur.net/109.232.236.90","443","INFO","not offered","",""
"TLS1_1","acces-cible.incubateur.net/109.232.236.90","443","INFO","not offered","",""
"TLS1_2","acces-cible.incubateur.net/109.232.236.90","443","OK","offered","",""
"TLS1_3","acces-cible.incubateur.net/109.232.236.90","443","OK","offered with final","",""
"ALPN_HTTP2","acces-cible.incubateur.net/109.232.236.90","443","OK","h2","",""
"ALPN","acces-cible.incubateur.net/109.232.236.90","443","INFO","http/1.1","",""
"cipherlist_NULL","acces-cible.incubateur.net/109.232.236.90","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","acces-cible.incubateur.net/109.232.236.90","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","acces-cible.incubateur.net/109.232.236.90","443","OK","not offered","","CWE-327"
"cipherlist_LOW","acces-cible.incubateur.net/109.232.236.90","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","acces-cible.incubateur.net/109.232.236.90","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","acces-cible.incubateur.net/109.232.236.90","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","acces-cible.incubateur.net/109.232.236.90","443","INFO","not offered","",""
"cipherlist_STRONG_FS","acces-cible.incubateur.net/109.232.236.90","443","OK","offered","",""
"cipher_order-tls1_2","acces-cible.incubateur.net/109.232.236.90","443","OK","server","",""
"cipherorder_TLSv1_2","acces-cible.incubateur.net/109.232.236.90","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","acces-cible.incubateur.net/109.232.236.90","443","OK","server","",""
"FS","acces-cible.incubateur.net/109.232.236.90","443","OK","offered","",""
"FS_ciphers","acces-cible.incubateur.net/109.232.236.90","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_KEMs","acces-cible.incubateur.net/109.232.236.90","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","acces-cible.incubateur.net/109.232.236.90","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","acces-cible.incubateur.net/109.232.236.90","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","acces-cible.incubateur.net/109.232.236.90","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","acces-cible.incubateur.net/109.232.236.90","443","INFO","yes","",""
"sessionresumption_ticket","acces-cible.incubateur.net/109.232.236.90","443","INFO","not supported","",""
"sessionresumption_ID","acces-cible.incubateur.net/109.232.236.90","443","INFO","not supported","",""
"TLS_timestamp","acces-cible.incubateur.net/109.232.236.90","443","INFO","random","",""
"certificate_compression","acces-cible.incubateur.net/109.232.236.90","443","INFO","none","",""
"clientAuth","acces-cible.incubateur.net/109.232.236.90","443","INFO","none","",""
"cert_numbers","acces-cible.incubateur.net/109.232.236.90","443","INFO","1","",""
"cert_signatureAlgorithm","acces-cible.incubateur.net/109.232.236.90","443","OK","SHA256 with RSA","",""
"cert_keySize","acces-cible.incubateur.net/109.232.236.90","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","acces-cible.incubateur.net/109.232.236.90","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","acces-cible.incubateur.net/109.232.236.90","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","acces-cible.incubateur.net/109.232.236.90","443","INFO","05B34A7C69B81B92569E24FFAC8B20967401","",""
"cert_serialNumberLen","acces-cible.incubateur.net/109.232.236.90","443","INFO","18","",""
"cert_fingerprintSHA1","acces-cible.incubateur.net/109.232.236.90","443","INFO","39D7BE3C246AE1DC9CA183BC998B91B475A693E7","",""
"cert_fingerprintSHA256","acces-cible.incubateur.net/109.232.236.90","443","INFO","17F68DB774C0AF80ED55BFFA1BC90DAE4F5C52E959E087DFBE2DE709C8F06D14","",""
"cert","acces-cible.incubateur.net/109.232.236.90","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFDjCCA/agAwIBAgISBbNKfGm4G5JWniT/rIsglnQBMA0GCSqGSIb3DQEBCwUAMDMxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQwwCgYDVQQDEwNZUjEwHhcNMjYwODEyMTk0MTQwWhcNMjYxMTEwMTk0MTM5WjAlMSMwIQYDVQQDExphY2Nlcy1jaWJsZS5pbmN1YmF0ZXVyLm5ldDCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBALgSJsn+NplsNCCh8DaevVC+uivD0/o1/f7Y6XcODuvdEXsSQcuCsHNqKSpQwRJmByIRedKANcD8vQO/+TcYxFCYeTHc6YhG/nhS8GFp5I1WVbUscEtSyRcYoJ6ZYZEpiiEfPFQ61RXnzutl7HJLHnY8r3gFEHldYVPHPuupzEh50LAst647ltMVI2vTRp2HaXaEgrMzza0Cb8lhXjk3RFW7BQaUx01vq4c2lfx5w3y70c0jS0oJB9gOgZID0TNEe+iil/79gT4p4DBQP8dDGOUlOhIJ5IAHMOTV7muAjBB+Ugi+NbLIDzTQTLeAQwp5s2BTd3JGb7ul05UYm9P4R2cCAwEAAaOCAigwggIkMA4GA1UdDwEB/wQEAwIFoDATBgNVHSUEDDAKBggrBgEFBQcDATAMBgNVHRMBAf8EAjAAMB0GA1UdDgQWBBTVrRzfUjJ9Yfus9kqHEhdLYHsIHjAfBgNVHSMEGDAWgBQfLzW+RhSCzUCxrnksVXj699Ro+zAzBggrBgEFBQcBAQQnMCUwIwYIKwYBBQUHMAKGF2h0dHA6Ly95cjEuaS5sZW5jci5vcmcvMCUGA1UdEQQeMByCGmFjY2VzLWNpYmxlLmluY3ViYXRldXIubmV0MBMGA1UdIAQMMAowCAYGZ4EMAQIBMC0GA1UdHwQmMCQwIqAgoB6GHGh0dHA6Ly95cjEuYy5sZW5jci5vcmcvMi5jcmwwggENBgorBgEEAdZ5AgQCBIH+BIH7APkAdgDYCVU7lE96/8gWGW+UT4WrsPj8XodVJg8V0S5yu0VLFAAAAZ/3tDYgAAAEAwBHMEUCIBcwYDhYXCYj1b1Bs3BUT9eX3/SFAXhP4Qj/aPJT51tHAiEArCw8X1UCJQuCeTDx2bRRzCGrHPuGg7wZGdxFp5gjahsAfwBs/lAZQ6heqRa8UtEz5NzJHvFBHH0lhCDRc4CeGBjrOgAAAZ/3tDfxAAgAAAUAHRkRkgQDAEgwRgIhAN5UCAhuL1JXpMCAcyzrQMoQzY4OpRH6bOfjJmtGGrplAiEAgVOt+eT6WVFnkf6jauDYJa2ywsVg0u9R0O2PYPvvL80wDQYJKoZIhvcNAQELBQADggEBAHUu9VOCrK/FXSFf+Q4UetAGyrdVHp/xG3XSBag7WLXooNuDD2xrF3E59EMVVAYcpBXzLk4vyi2vwabFcSwAcTVP8mnU2wbbbapIRORgDvZc5H5a+v/MCfVCj6dEkGl70X2V4b4l1HRX7vAL152sf8nxTOug9ckuGXdnX1qEMlYqesyqzeXeiLFaflUzl/Qp29sX/v+FhMp+BlkZa/WsotpivdT3vZShv542i3XeKeDj7/yk1KTlkh8tunoFPnIob/QNqyXfjF1192Bx/uJ1InkQL0nSUynTL5JGX46Oq/LBPxm8bhiXilGFoFQFAXNnAAKyVLB4CdjA1umCpTG015k=\n-----END CERTIFICATE-----","",""
"cert_commonName","acces-cible.incubateur.net/109.232.236.90","443","OK","acces-cible.incubateur.net","",""
"cert_commonName_wo_SNI","acces-cible.incubateur.net/109.232.236.90","443","INFO","*.osc-fr1.scalingo.io","",""
"cert_subjectAltName","acces-cible.incubateur.net/109.232.236.90","443","INFO","acces-cible.incubateur.net","",""
"cert_trust","acces-cible.incubateur.net/109.232.236.90","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_trust_wildcard","acces-cible.incubateur.net/109.232.236.90","443","LOW","trust is via wildcard","",""
"cert_chain_of_trust","acces-cible.incubateur.net/109.232.236.90","443","OK","passed.","",""
"cert_certificatePolicies_EV","acces-cible.incubateur.net/109.232.236.90","443","INFO","no","",""
"cert_expirationStatus","acces-cible.incubateur.net/109.232.236.90","443","OK","86 >= 30 days","",""
"cert_notBefore","acces-cible.incubateur.net/109.232.236.90","443","INFO","2026-08-12 19:41","",""
"cert_notAfter","acces-cible.incubateur.net/109.232.236.90","443","OK","2026-11-10 19:41","",""
"cert_extlifeSpan","acces-cible.incubateur.net/109.232.236.90","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","acces-cible.incubateur.net/109.232.236.90","443","INFO","not present","",""
"cert_crlDistributionPoints","acces-cible.incubateur.net/109.232.236.90","443","INFO","http://yr1.c.lencr.org/2.crl","",""
"cert_ocspURL","acces-cible.incubateur.net/109.232.236.90","443","INFO","--","",""
"OCSP_stapling","acces-cible.incubateur.net/109.232.236.90","443","INFO","not offered","",""
"cert_mustStapleExtension","acces-cible.incubateur.net/109.232.236.90","443","INFO","--","",""
"DNS_CAArecord","acces-cible.incubateur.net/109.232.236.90","443","LOW","--","",""
"certificate_transparency","acces-cible.incubateur.net/109.232.236.90","443","OK","yes (certificate extension)","",""
"certs_countServer","acces-cible.incubateur.net/109.232.236.90","443","INFO","3","",""
"certs_list_ordering_problem","acces-cible.incubateur.net/109.232.236.90","443","INFO","no","",""
"cert_caIssuers","acces-cible.incubateur.net/109.232.236.90","443","INFO","YR1 (Let's Encrypt from US)","",""
