"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","admin.snu.gouv.fr/185.231.167.165","443","INFO","HTTP","",""
"pre_128cipher","admin.snu.gouv.fr/185.231.167.165","443","INFO","No 128 cipher limit bug","",""
"SSLv2","admin.snu.gouv.fr/185.231.167.165","443","OK","not offered","",""
"SSLv3","admin.snu.gouv.fr/185.231.167.165","443","OK","not offered","",""
"TLS1","admin.snu.gouv.fr/185.231.167.165","443","INFO","not offered","",""
"TLS1_1","admin.snu.gouv.fr/185.231.167.165","443","INFO","not offered","",""
"TLS1_2","admin.snu.gouv.fr/185.231.167.165","443","OK","offered","",""
"TLS1_3","admin.snu.gouv.fr/185.231.167.165","443","OK","offered with final","",""
"ALPN_HTTP2","admin.snu.gouv.fr/185.231.167.165","443","OK","h2","",""
"ALPN","admin.snu.gouv.fr/185.231.167.165","443","INFO","http/1.1","",""
"cipherlist_NULL","admin.snu.gouv.fr/185.231.167.165","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","admin.snu.gouv.fr/185.231.167.165","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","admin.snu.gouv.fr/185.231.167.165","443","OK","not offered","","CWE-327"
"cipherlist_LOW","admin.snu.gouv.fr/185.231.167.165","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","admin.snu.gouv.fr/185.231.167.165","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","admin.snu.gouv.fr/185.231.167.165","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","admin.snu.gouv.fr/185.231.167.165","443","INFO","not offered","",""
"cipherlist_STRONG_FS","admin.snu.gouv.fr/185.231.167.165","443","OK","offered","",""
"cipher_order-tls1_2","admin.snu.gouv.fr/185.231.167.165","443","OK","server","",""
"cipherorder_TLSv1_2","admin.snu.gouv.fr/185.231.167.165","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","admin.snu.gouv.fr/185.231.167.165","443","OK","server","",""
"FS","admin.snu.gouv.fr/185.231.167.165","443","OK","offered","",""
"FS_ciphers","admin.snu.gouv.fr/185.231.167.165","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384","",""
"FS_ECDHE_curves","admin.snu.gouv.fr/185.231.167.165","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","admin.snu.gouv.fr/185.231.167.165","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","admin.snu.gouv.fr/185.231.167.165","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","admin.snu.gouv.fr/185.231.167.165","443","INFO","yes","",""
"sessionresumption_ticket","admin.snu.gouv.fr/185.231.167.165","443","INFO","not supported","",""
"sessionresumption_ID","admin.snu.gouv.fr/185.231.167.165","443","INFO","not supported","",""
"TLS_timestamp","admin.snu.gouv.fr/185.231.167.165","443","INFO","random","",""
"certificate_compression","admin.snu.gouv.fr/185.231.167.165","443","INFO","none","",""
"clientAuth","admin.snu.gouv.fr/185.231.167.165","443","INFO","none","",""
"cert_numbers","admin.snu.gouv.fr/185.231.167.165","443","INFO","1","",""
"cert_signatureAlgorithm","admin.snu.gouv.fr/185.231.167.165","443","OK","SHA256 with RSA","",""
"cert_keySize","admin.snu.gouv.fr/185.231.167.165","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","admin.snu.gouv.fr/185.231.167.165","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","admin.snu.gouv.fr/185.231.167.165","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","admin.snu.gouv.fr/185.231.167.165","443","INFO","066DE6CBB0DF16DBB93A2590F3FBDE22E568","",""
"cert_serialNumberLen","admin.snu.gouv.fr/185.231.167.165","443","INFO","18","",""
"cert_fingerprintSHA1","admin.snu.gouv.fr/185.231.167.165","443","INFO","FBE529A3D5FC40A9785889E68F24FDB697CB487A","",""
"cert_fingerprintSHA256","admin.snu.gouv.fr/185.231.167.165","443","INFO","9FCF2C111AD96B3A4DE7D59CA23A54448484712A85465D4FB06C5EB768F04A95","",""
"cert","admin.snu.gouv.fr/185.231.167.165","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFATCCA+mgAwIBAgISBm3my7DfFtu5OiWQ8/veIuVoMA0GCSqGSIb3DQEBCwUAMDMxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQwwCgYDVQQDEwNSMTMwHhcNMjUwOTI4MDgwNDQ3WhcNMjUxMjI3MDgwNDQ2WjAcMRowGAYDVQQDExFhZG1pbi5zbnUuZ291di5mcjCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBAKxggv+6gL0SIGeAaSasktAIwVkOYJQwnPGyXi9RwTZS5ECGU8NCwSBgH3hkPW30y1/xEBav2GNgS24XOVAFE4s7gOrA8i2bEnaVeoL1dOx+9YJQD2AiW/gs/vcLASsXKgzCNd7OnmACz+R8EIPJzMNE9DPRGFhROkCj+VQBISsBD2mCXB0QJCYyCOJnpsweo2HcLs9P0XL05g0HvmtNgjcjD4EgAt5a3MGIlIUWWhDCGaO8S8M7U3Zglbpwk5om8RM1bCF1ceUoS76R4rA/D9MEPMyjBIRrdoYtPMk1J7t6PFBUq1UTPXYip9acuTY/OxI4KMvNhgoc0EJXsG50y0UCAwEAAaOCAiQwggIgMA4GA1UdDwEB/wQEAwIFoDAdBgNVHSUEFjAUBggrBgEFBQcDAQYIKwYBBQUHAwIwDAYDVR0TAQH/BAIwADAdBgNVHQ4EFgQUAh1IYiRYukAvlPxkghqBZ1yXcBgwHwYDVR0jBBgwFoAU56ufDywzoFPTXk94yLKEDjvWkjMwMwYIKwYBBQUHAQEEJzAlMCMGCCsGAQUFBzAChhdodHRwOi8vcjEzLmkubGVuY3Iub3JnLzAcBgNVHREEFTATghFhZG1pbi5zbnUuZ291di5mcjATBgNVHSAEDDAKMAgGBmeBDAECATAvBgNVHR8EKDAmMCSgIqAghh5odHRwOi8vcjEzLmMubGVuY3Iub3JnLzEwNS5jcmwwggEGBgorBgEEAdZ5AgQCBIH3BIH0APIAdwCkQsUGSWBhVI8P1Oqc+3otJkVNh6l/L99FWfYnTzqEVAAAAZmPj+ooAAAEAwBIMEYCIQCnqGJRlWYhwSRwwjg/TW2q/Cg1WbTyfNR8DkeMsRMkcAIhAPCcrqvSdHi1D0tIBMo2xw9GAgKjl0IZRZmUs1TiYFMaAHcA3dzKNJXX4RYF55Uy+sef+D0cUN/bADoUEnYKLKy7yCoAAAGZj4/qXAAABAMASDBGAiEAk7IuV+zLopXzbj90ORB0RzWo5fLgZGQ6MXWtYFkcp80CIQCPOwtbeNyQnUxyhdYzDpna2xZ6a9ZmwzgTqixWn/S1pjANBgkqhkiG9w0BAQsFAAOCAQEAM03RSjfzr+XqdE6jT0Kh8FJTeMaCerfv95jM0DU/31fETem1h6WQUrhvvOO8dJNGiY3FZ7fEFfRtFGPkkwJnhl7uH9ik0mQunPflJozgZ3iRNVwZqz3W7mZd13GjaFXa2Bcyka61UfjHj+ADBya4zLyuURnPjsH1o/SP6+KPMfFcmrz8U9JbuTEXWQnTdFBLAp3NN+MeEWNhNqDg5TApYBKl3SM0lxJxGjP3Cz9aUY/heeIt8c08yyOV4+L4lOyEEmAL2Mepq4Aig2zexpaqJZFkCe7ZR51XoNYXiotsYjoZOKamdly7DCioYq0uUmm1O+Mf40UXR2pNFIkGdIIMYw==\n-----END CERTIFICATE-----","",""
"cert_commonName","admin.snu.gouv.fr/185.231.167.165","443","OK","admin.snu.gouv.fr","",""
"cert_commonName_wo_SNI","admin.snu.gouv.fr/185.231.167.165","443","INFO","admin.snu.gouv.fr","",""
"cert_subjectAltName","admin.snu.gouv.fr/185.231.167.165","443","INFO","admin.snu.gouv.fr","",""
"cert_trust","admin.snu.gouv.fr/185.231.167.165","443","OK","Ok via SAN and CN (same w/o SNI)","",""
"cert_chain_of_trust","admin.snu.gouv.fr/185.231.167.165","443","OK","passed.","",""
"cert_certificatePolicies_EV","admin.snu.gouv.fr/185.231.167.165","443","INFO","no","",""
"cert_expirationStatus","admin.snu.gouv.fr/185.231.167.165","443","OK","34 >= 30 days","",""
"cert_notBefore","admin.snu.gouv.fr/185.231.167.165","443","INFO","2025-09-28 08:04","",""
"cert_notAfter","admin.snu.gouv.fr/185.231.167.165","443","OK","2025-12-27 08:04","",""
"cert_extlifeSpan","admin.snu.gouv.fr/185.231.167.165","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","admin.snu.gouv.fr/185.231.167.165","443","INFO","not present","",""
"cert_crlDistributionPoints","admin.snu.gouv.fr/185.231.167.165","443","INFO","http://r13.c.lencr.org/105.crl","",""
"cert_ocspURL","admin.snu.gouv.fr/185.231.167.165","443","INFO","--","",""
"OCSP_stapling","admin.snu.gouv.fr/185.231.167.165","443","INFO","not offered","",""
"cert_mustStapleExtension","admin.snu.gouv.fr/185.231.167.165","443","INFO","--","",""
"DNS_CAArecord","admin.snu.gouv.fr/185.231.167.165","443","LOW","--","",""
"certificate_transparency","admin.snu.gouv.fr/185.231.167.165","443","OK","yes (certificate extension)","",""
"certs_countServer","admin.snu.gouv.fr/185.231.167.165","443","INFO","2","",""
"certs_list_ordering_problem","admin.snu.gouv.fr/185.231.167.165","443","INFO","no","",""
"cert_caIssuers","admin.snu.gouv.fr/185.231.167.165","443","INFO","R13 (Let's Encrypt from US)","",""
