"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","anssi-mac-prod.osc-secnum-fr1.scalingo.io/80.247.12.255","443","INFO","HTTP","",""
"pre_128cipher","anssi-mac-prod.osc-secnum-fr1.scalingo.io/80.247.12.255","443","INFO","No 128 cipher limit bug","",""
"SSLv2","anssi-mac-prod.osc-secnum-fr1.scalingo.io/80.247.12.255","443","OK","not offered","",""
"SSLv3","anssi-mac-prod.osc-secnum-fr1.scalingo.io/80.247.12.255","443","OK","not offered","",""
"TLS1","anssi-mac-prod.osc-secnum-fr1.scalingo.io/80.247.12.255","443","INFO","not offered","",""
"TLS1_1","anssi-mac-prod.osc-secnum-fr1.scalingo.io/80.247.12.255","443","INFO","not offered","",""
"TLS1_2","anssi-mac-prod.osc-secnum-fr1.scalingo.io/80.247.12.255","443","OK","offered","",""
"TLS1_3","anssi-mac-prod.osc-secnum-fr1.scalingo.io/80.247.12.255","443","OK","offered with final","",""
"ALPN_HTTP2","anssi-mac-prod.osc-secnum-fr1.scalingo.io/80.247.12.255","443","OK","h2","",""
"ALPN","anssi-mac-prod.osc-secnum-fr1.scalingo.io/80.247.12.255","443","INFO","http/1.1","",""
"cipherlist_NULL","anssi-mac-prod.osc-secnum-fr1.scalingo.io/80.247.12.255","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","anssi-mac-prod.osc-secnum-fr1.scalingo.io/80.247.12.255","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","anssi-mac-prod.osc-secnum-fr1.scalingo.io/80.247.12.255","443","OK","not offered","","CWE-327"
"cipherlist_LOW","anssi-mac-prod.osc-secnum-fr1.scalingo.io/80.247.12.255","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","anssi-mac-prod.osc-secnum-fr1.scalingo.io/80.247.12.255","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","anssi-mac-prod.osc-secnum-fr1.scalingo.io/80.247.12.255","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","anssi-mac-prod.osc-secnum-fr1.scalingo.io/80.247.12.255","443","INFO","not offered","",""
"cipherlist_STRONG_FS","anssi-mac-prod.osc-secnum-fr1.scalingo.io/80.247.12.255","443","OK","offered","",""
"cipher_order-tls1_2","anssi-mac-prod.osc-secnum-fr1.scalingo.io/80.247.12.255","443","OK","server","",""
"cipherorder_TLSv1_2","anssi-mac-prod.osc-secnum-fr1.scalingo.io/80.247.12.255","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","anssi-mac-prod.osc-secnum-fr1.scalingo.io/80.247.12.255","443","OK","server","",""
"FS","anssi-mac-prod.osc-secnum-fr1.scalingo.io/80.247.12.255","443","OK","offered","",""
"FS_ciphers","anssi-mac-prod.osc-secnum-fr1.scalingo.io/80.247.12.255","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","anssi-mac-prod.osc-secnum-fr1.scalingo.io/80.247.12.255","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","anssi-mac-prod.osc-secnum-fr1.scalingo.io/80.247.12.255","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","anssi-mac-prod.osc-secnum-fr1.scalingo.io/80.247.12.255","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","anssi-mac-prod.osc-secnum-fr1.scalingo.io/80.247.12.255","443","INFO","yes","",""
"sessionresumption_ticket","anssi-mac-prod.osc-secnum-fr1.scalingo.io/80.247.12.255","443","INFO","not supported","",""
"sessionresumption_ID","anssi-mac-prod.osc-secnum-fr1.scalingo.io/80.247.12.255","443","INFO","not supported","",""
"TLS_timestamp","anssi-mac-prod.osc-secnum-fr1.scalingo.io/80.247.12.255","443","INFO","random","",""
"certificate_compression","anssi-mac-prod.osc-secnum-fr1.scalingo.io/80.247.12.255","443","INFO","none","",""
"clientAuth","anssi-mac-prod.osc-secnum-fr1.scalingo.io/80.247.12.255","443","INFO","none","",""
"cert_numbers","anssi-mac-prod.osc-secnum-fr1.scalingo.io/80.247.12.255","443","INFO","1","",""
"cert_signatureAlgorithm","anssi-mac-prod.osc-secnum-fr1.scalingo.io/80.247.12.255","443","OK","SHA384 with RSA","",""
"cert_keySize","anssi-mac-prod.osc-secnum-fr1.scalingo.io/80.247.12.255","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","anssi-mac-prod.osc-secnum-fr1.scalingo.io/80.247.12.255","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","anssi-mac-prod.osc-secnum-fr1.scalingo.io/80.247.12.255","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","anssi-mac-prod.osc-secnum-fr1.scalingo.io/80.247.12.255","443","INFO","D6D09F7B7A83EDB911FE211D9B18276D","",""
"cert_serialNumberLen","anssi-mac-prod.osc-secnum-fr1.scalingo.io/80.247.12.255","443","INFO","16","",""
"cert_fingerprintSHA1","anssi-mac-prod.osc-secnum-fr1.scalingo.io/80.247.12.255","443","INFO","825DB51BBA1CA898A0704538E6FEAC2E5A3800B2","",""
"cert_fingerprintSHA256","anssi-mac-prod.osc-secnum-fr1.scalingo.io/80.247.12.255","443","INFO","87D6BAB07D593141C0A8074031292398D212D296CF6DB0DB291888AC615A51C1","",""
"cert","anssi-mac-prod.osc-secnum-fr1.scalingo.io/80.247.12.255","443","INFO","-----BEGIN CERTIFICATE-----\nMIIGojCCBQqgAwIBAgIRANbQn3t6g+25Ef4hHZsYJ20wDQYJKoZIhvcNAQEMBQAwVjELMAkGA1UEBhMCRlIxDjAMBgNVBAoTBUdhbmRpMTcwNQYDVQQDEy5HYW5kaSBSU0EgRG9tYWluIFZhbGlkYXRpb24gU2VjdXJlIFNlcnZlciBDQSAzMB4XDTI0MDEwMjAwMDAwMFoXDTI1MDExMjIzNTk1OVowJzElMCMGA1UEAwwcKi5vc2Mtc2VjbnVtLWZyMS5zY2FsaW5nby5pbzCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBAKeAq+KnulaF5qdGCZVZl+bBp+qVEIAFR6bxssOzNa7BAKeH27Fa1BCtOTYKWJbNaqyQ9ZPwSAU9GYTTGOM0hWVJMiB55cOIJ4jfywCuTsKnN/1Th9hmr93LNO6+gKVMbaqOygaRzixa5vkIvv9jobWYInmjAUXSnFIYyFLBGsvjAaITXsTYpNy6fz0QzwBqywjwY37ukY6bIAP9MxWHHZdvmQ395aQwUdGacL9pKndP675vyX+0S+nZxODN6A1KnC31k5nrsqI/5v3crxgHq3R0CVLNwyOGbModyULsh8YMyQsOsx3ezpxrtMplUX3Il5Sosg8TArDGPerr2wyoMP0CAwEAAaOCAxgwggMUMB8GA1UdIwQYMBaAFIERkt5mMqWwWzM9ZUOF/NQELfGuMB0GA1UdDgQWBBRnsPcRhkwdmymuxM2S4ezXYT4umjAOBgNVHQ8BAf8EBAMCBaAwDAYDVR0TAQH/BAIwADAdBgNVHSUEFjAUBggrBgEFBQcDAQYIKwYBBQUHAwIwSQYDVR0gBEIwQDA0BgsrBgEEAbIxAQICGjAlMCMGCCsGAQUFBwIBFhdodHRwczovL3NlY3RpZ28uY29tL0NQUzAIBgZngQwBAgEwgYMGCCsGAQUFBwEBBHcwdTBOBggrBgEFBQcwAoZCaHR0cDovL2NydC5zZWN0aWdvLmNvbS9HYW5kaVJTQURvbWFpblZhbGlkYXRpb25TZWN1cmVTZXJ2ZXJDQTMuY3J0MCMGCCsGAQUFBzABhhdodHRwOi8vb2NzcC5zZWN0aWdvLmNvbTBDBgNVHREEPDA6ghwqLm9zYy1zZWNudW0tZnIxLnNjYWxpbmdvLmlvghpvc2Mtc2VjbnVtLWZyMS5zY2FsaW5nby5pbzCCAX0GCisGAQQB1nkCBAIEggFtBIIBaQFnAHcAzxFW7tUufK/zh1vZaS6b6RpxZ0qwF+ysAdJbd87MOwgAAAGMyZxHPgAABAMASDBGAiEA8f7xvxYRgTm8SOD/UXhAfJ5o/KP+HuVjehjSraqhnFYCIQCigIL4RVvlvjDRvjcc0+/iQq0mIkAr46ODxvbe7UerEgB1AKLjCuRF772tm3447Udnd1PXgluElNcrXhssxLlQpEfnAAABjMmcRxkAAAQDAEYwRAIgJOqrHKXWgViJXgUzqJBpKDjQ32z10DwXF4Eg/3fWR9ICIARd2OOtdLB0XVUz1xyYjontZ+vu1MaQQqFUgPaXuGcSAHUATnWjJ1yaEMM4W2zU3z9S6x3w4I4bjWnAsfpksWKaOd8AAAGMyZxHGQAABAMARjBEAiAkOrtEpHsxGdIwTa0Js7KkMtI8DO2tGLynvV/KiQ8SfQIgNoK6ezbu5x40Plvfd7BqoiYOHxG1rHRHuxc/Jukq6IcwDQYJKoZIhvcNAQEMBQADggGBAKJROYJqJI14O+bJnpR2nnM0Huf59W3lmKW2Qm+pbJBd8+JG9Ugl6Xbtq5LRDC6BTNuRtLTn9lgGFMrzjQrXvR/2A3BZ4ObLgYe94xS/pI3LkF2++10iV86v34Yd7PWDtBtsr/W4p2J2/cI0NeCOFZWk3lMeCP0Oh8Lf1NbpXUTk9qoRbkNwlUtSa1Gmm52vXsjzsYlcWTLzx0SYALmQ73vY1SfWaJrA6cjMKHUpN8aEGU1u8da2X+ss931BimSmTmCtPtqSspI371unu1oyJirIdtxKgh8yNsYXLPg1cobMX7gj3NULfDnIwwqttHH9ebCZ/vc4Yzs8R6XN8F2Lw2XUb6VmTWcV3B/0K2lnw3sJecHx2O5vPiuj2o/mml7b7R7UhffBC47+UfZeRvLnTi53Rq8yxF/1lT6uDrh20x9nBtg3XrCxYmtCTqy4hOxdKdPhwFtnOZ+vb7z4JcMdMQ9uUQCXUQ58hEwj84taxiOFCL6iLPeYR2CcS4WCJEWzDg==\n-----END CERTIFICATE-----","",""
"cert_commonName","anssi-mac-prod.osc-secnum-fr1.scalingo.io/80.247.12.255","443","OK","*.osc-secnum-fr1.scalingo.io","",""
"cert_commonName_wo_SNI","anssi-mac-prod.osc-secnum-fr1.scalingo.io/80.247.12.255","443","INFO","*.osc-secnum-fr1.scalingo.io","",""
"cert_subjectAltName","anssi-mac-prod.osc-secnum-fr1.scalingo.io/80.247.12.255","443","INFO","*.osc-secnum-fr1.scalingo.io osc-secnum-fr1.scalingo.io","",""
"cert_trust","anssi-mac-prod.osc-secnum-fr1.scalingo.io/80.247.12.255","443","OK","Ok via SAN wildcard and CN wildcard (same w/o SNI)","",""
"cert_trust_wildcard","anssi-mac-prod.osc-secnum-fr1.scalingo.io/80.247.12.255","443","LOW","trust is via wildcard","",""
"cert_chain_of_trust","anssi-mac-prod.osc-secnum-fr1.scalingo.io/80.247.12.255","443","OK","passed.","",""
"cert_certificatePolicies_EV","anssi-mac-prod.osc-secnum-fr1.scalingo.io/80.247.12.255","443","INFO","no","",""
"cert_expirationStatus","anssi-mac-prod.osc-secnum-fr1.scalingo.io/80.247.12.255","443","HIGH","expires < 30 days (14)","",""
"cert_notBefore","anssi-mac-prod.osc-secnum-fr1.scalingo.io/80.247.12.255","443","INFO","2024-01-02 00:00","",""
"cert_notAfter","anssi-mac-prod.osc-secnum-fr1.scalingo.io/80.247.12.255","443","HIGH","2025-01-12 23:59","",""
"cert_extlifeSpan","anssi-mac-prod.osc-secnum-fr1.scalingo.io/80.247.12.255","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","anssi-mac-prod.osc-secnum-fr1.scalingo.io/80.247.12.255","443","INFO","not present","",""
"cert_crlDistributionPoints","anssi-mac-prod.osc-secnum-fr1.scalingo.io/80.247.12.255","443","INFO","--","",""
"cert_ocspURL","anssi-mac-prod.osc-secnum-fr1.scalingo.io/80.247.12.255","443","INFO","http://ocsp.sectigo.com","",""
"OCSP_stapling","anssi-mac-prod.osc-secnum-fr1.scalingo.io/80.247.12.255","443","LOW","not offered","",""
