"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","assistant-declaration.incubateur.net/109.232.236.90","443","INFO","HTTP","",""
"pre_128cipher","assistant-declaration.incubateur.net/109.232.236.90","443","INFO","No 128 cipher limit bug","",""
"SSLv2","assistant-declaration.incubateur.net/109.232.236.90","443","OK","not offered","",""
"SSLv3","assistant-declaration.incubateur.net/109.232.236.90","443","OK","not offered","",""
"TLS1","assistant-declaration.incubateur.net/109.232.236.90","443","INFO","not offered","",""
"TLS1_1","assistant-declaration.incubateur.net/109.232.236.90","443","INFO","not offered","",""
"TLS1_2","assistant-declaration.incubateur.net/109.232.236.90","443","OK","offered","",""
"TLS1_3","assistant-declaration.incubateur.net/109.232.236.90","443","OK","offered with final","",""
"ALPN_HTTP2","assistant-declaration.incubateur.net/109.232.236.90","443","OK","h2","",""
"ALPN","assistant-declaration.incubateur.net/109.232.236.90","443","INFO","http/1.1","",""
"cipherlist_NULL","assistant-declaration.incubateur.net/109.232.236.90","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","assistant-declaration.incubateur.net/109.232.236.90","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","assistant-declaration.incubateur.net/109.232.236.90","443","OK","not offered","","CWE-327"
"cipherlist_LOW","assistant-declaration.incubateur.net/109.232.236.90","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","assistant-declaration.incubateur.net/109.232.236.90","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","assistant-declaration.incubateur.net/109.232.236.90","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","assistant-declaration.incubateur.net/109.232.236.90","443","INFO","not offered","",""
"cipherlist_STRONG_FS","assistant-declaration.incubateur.net/109.232.236.90","443","OK","offered","",""
"cipher_order-tls1_2","assistant-declaration.incubateur.net/109.232.236.90","443","OK","server","",""
"cipherorder_TLSv1_2","assistant-declaration.incubateur.net/109.232.236.90","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","assistant-declaration.incubateur.net/109.232.236.90","443","OK","server","",""
"FS","assistant-declaration.incubateur.net/109.232.236.90","443","OK","offered","",""
"FS_ciphers","assistant-declaration.incubateur.net/109.232.236.90","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","assistant-declaration.incubateur.net/109.232.236.90","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","assistant-declaration.incubateur.net/109.232.236.90","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","assistant-declaration.incubateur.net/109.232.236.90","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","assistant-declaration.incubateur.net/109.232.236.90","443","INFO","yes","",""
"sessionresumption_ticket","assistant-declaration.incubateur.net/109.232.236.90","443","INFO","not supported","",""
"sessionresumption_ID","assistant-declaration.incubateur.net/109.232.236.90","443","INFO","supported","",""
"TLS_timestamp","assistant-declaration.incubateur.net/109.232.236.90","443","INFO","random","",""
"certificate_compression","assistant-declaration.incubateur.net/109.232.236.90","443","INFO","none","",""
"clientAuth","assistant-declaration.incubateur.net/109.232.236.90","443","INFO","none","",""
"cert_numbers","assistant-declaration.incubateur.net/109.232.236.90","443","INFO","1","",""
"cert_signatureAlgorithm","assistant-declaration.incubateur.net/109.232.236.90","443","OK","SHA256 with RSA","",""
"cert_keySize","assistant-declaration.incubateur.net/109.232.236.90","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","assistant-declaration.incubateur.net/109.232.236.90","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","assistant-declaration.incubateur.net/109.232.236.90","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","assistant-declaration.incubateur.net/109.232.236.90","443","INFO","030FCA7157214BC74E71111693E784CBFBD4","",""
"cert_serialNumberLen","assistant-declaration.incubateur.net/109.232.236.90","443","INFO","18","",""
"cert_fingerprintSHA1","assistant-declaration.incubateur.net/109.232.236.90","443","INFO","8D080155C5EF13022D43203C49F63AF5E121323A","",""
"cert_fingerprintSHA256","assistant-declaration.incubateur.net/109.232.236.90","443","INFO","29D933618F325A7BB8DDEBE07F3053AF8F45C3DFBC2CFBE8CB62FFF88C0F182F","",""
"cert","assistant-declaration.incubateur.net/109.232.236.90","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFGTCCBAGgAwIBAgISAw/KcVchS8dOcREWk+eEy/vUMA0GCSqGSIb3DQEBCwUAMDMxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQwwCgYDVQQDEwNSMTEwHhcNMjQxMjAyMTQwMjQwWhcNMjUwMzAyMTQwMjM5WjAvMS0wKwYDVQQDEyRhc3Npc3RhbnQtZGVjbGFyYXRpb24uaW5jdWJhdGV1ci5uZXQwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQC6Kkk353IdJcOicouBYmFckcZ86AfNRnsNl56GYYFSizb0LlQWB2RjVUeqLEbnbHNx4wBfoMH8Q+mmswDeUdqkelat6UokOjCjWhcJwz7skTAPnQCzIBmld/sql0w6SaioqXWOPKOfeVdsLve4EuTwJDQS7vs5WrxDMaV++bb5CMR9WgaBmcjCNGH6TXsvEX/F6SC3gCjmaM8gCllUY0irSvb78o44sLoqyfPhVOurH8uCt0V25qTGeZAtI8++hYadwYncYSlygV9npZ7ZOe4b+Ykhb77uuhTFAarFg1bzoiajUsHcxntfntB8J2CUjHG+ay7LahVESC+BsLDHJH13AgMBAAGjggIpMIICJTAOBgNVHQ8BAf8EBAMCBaAwHQYDVR0lBBYwFAYIKwYBBQUHAwEGCCsGAQUFBwMCMAwGA1UdEwEB/wQCMAAwHQYDVR0OBBYEFJqyCiTJUMaEHaW8xXgIc3OfnFJSMB8GA1UdIwQYMBaAFMXPRqTq9MPAemyVxC2wXpIvJuO5MFcGCCsGAQUFBwEBBEswSTAiBggrBgEFBQcwAYYWaHR0cDovL3IxMS5vLmxlbmNyLm9yZzAjBggrBgEFBQcwAoYXaHR0cDovL3IxMS5pLmxlbmNyLm9yZy8wLwYDVR0RBCgwJoIkYXNzaXN0YW50LWRlY2xhcmF0aW9uLmluY3ViYXRldXIubmV0MBMGA1UdIAQMMAowCAYGZ4EMAQIBMIIBBQYKKwYBBAHWeQIEAgSB9gSB8wDxAHYAfVkeEuF4KnscYWd8Xv340IdcFKBOlZ65Ay/ZDowuebgAAAGTh+O/PQAABAMARzBFAiEAsnTapxvWslck1G07SJZ8t04MZSK4kKpQQfk9xsqsslwCIC3CCafdqU3Eqp9acBCZ+0i71j8onYjJCd9XZFJ0cj9TAHcAouMK5EXvva2bfjjtR2d3U9eCW4SU1yteGyzEuVCkR+cAAAGTh+O/OwAABAMASDBGAiEAx5pVlo0R3+A3cjXrnTh/R7bmNGRfoTK/bVlpVQaZhUwCIQCMD3VGr2+WISMRuaVhgNhPdOv3lPLoxV2WpAH4f9c9KDANBgkqhkiG9w0BAQsFAAOCAQEAs720K5L9eFiQoo2Sbmse9RZcaceiI7ps53TvAI5gjqU7hoDe17vD/xTSDpO6ysiD9ktzEMxYNshF18X3SMLhZ2V2FD//wvaeOOQd4uUzipX4pmfsIlBBlTCbLji9RDUyDbg8E+2kYzT5vRI8T3zYcSSVtT9h36njfovcgtNj/xcKqpghlwWH3mBO46gUDmHJ/nTHq0+i9Ip+wQEiYL6/fZ3FwkTBHHsFBZR48ykJbHBZewlnjx41kaItPNydL34dAyyr/edPwlSjCzopiY6Kg0EKoHB+ZGfcESB8iD1kfQmoOsVNpACVEVJvVJWpxGdNzWCsts9eTH+Op9QkWkq/KA==\n-----END CERTIFICATE-----","",""
"cert_commonName","assistant-declaration.incubateur.net/109.232.236.90","443","OK","assistant-declaration.incubateur.net","",""
"cert_commonName_wo_SNI","assistant-declaration.incubateur.net/109.232.236.90","443","INFO","*.osc-fr1.scalingo.io","",""
"cert_subjectAltName","assistant-declaration.incubateur.net/109.232.236.90","443","INFO","assistant-declaration.incubateur.net","",""
"cert_trust","assistant-declaration.incubateur.net/109.232.236.90","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","assistant-declaration.incubateur.net/109.232.236.90","443","OK","passed.","",""
"cert_certificatePolicies_EV","assistant-declaration.incubateur.net/109.232.236.90","443","INFO","no","",""
"cert_expirationStatus","assistant-declaration.incubateur.net/109.232.236.90","443","OK","56 >= 30 days","",""
"cert_notBefore","assistant-declaration.incubateur.net/109.232.236.90","443","INFO","2024-12-02 14:02","",""
"cert_notAfter","assistant-declaration.incubateur.net/109.232.236.90","443","OK","2025-03-02 14:02","",""
"cert_extlifeSpan","assistant-declaration.incubateur.net/109.232.236.90","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","assistant-declaration.incubateur.net/109.232.236.90","443","INFO","not present","",""
"cert_crlDistributionPoints","assistant-declaration.incubateur.net/109.232.236.90","443","INFO","--","",""
"cert_ocspURL","assistant-declaration.incubateur.net/109.232.236.90","443","INFO","http://r11.o.lencr.org","",""
"OCSP_stapling","assistant-declaration.incubateur.net/109.232.236.90","443","LOW","not offered","",""
"cert_mustStapleExtension","assistant-declaration.incubateur.net/109.232.236.90","443","INFO","--","",""
"DNS_CAArecord","assistant-declaration.incubateur.net/109.232.236.90","443","LOW","--","",""
"certificate_transparency","assistant-declaration.incubateur.net/109.232.236.90","443","OK","yes (certificate extension)","",""
"certs_countServer","assistant-declaration.incubateur.net/109.232.236.90","443","INFO","2","",""
"certs_list_ordering_problem","assistant-declaration.incubateur.net/109.232.236.90","443","INFO","no","",""
"cert_caIssuers","assistant-declaration.incubateur.net/109.232.236.90","443","INFO","R11 (Let's Encrypt from US)","",""
