"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","api.dora.incubateur.net/80.247.13.145","443","INFO","HTTP","",""
"pre_128cipher","api.dora.incubateur.net/80.247.13.145","443","INFO","No 128 cipher limit bug","",""
"SSLv2","api.dora.incubateur.net/80.247.13.145","443","OK","not offered","",""
"SSLv3","api.dora.incubateur.net/80.247.13.145","443","OK","not offered","",""
"TLS1","api.dora.incubateur.net/80.247.13.145","443","INFO","not offered","",""
"TLS1_1","api.dora.incubateur.net/80.247.13.145","443","INFO","not offered","",""
"TLS1_2","api.dora.incubateur.net/80.247.13.145","443","OK","offered","",""
"TLS1_3","api.dora.incubateur.net/80.247.13.145","443","OK","offered with final","",""
"ALPN_HTTP2","api.dora.incubateur.net/80.247.13.145","443","OK","h2","",""
"ALPN","api.dora.incubateur.net/80.247.13.145","443","INFO","http/1.1","",""
"cipherlist_NULL","api.dora.incubateur.net/80.247.13.145","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","api.dora.incubateur.net/80.247.13.145","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","api.dora.incubateur.net/80.247.13.145","443","OK","not offered","","CWE-327"
"cipherlist_LOW","api.dora.incubateur.net/80.247.13.145","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","api.dora.incubateur.net/80.247.13.145","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","api.dora.incubateur.net/80.247.13.145","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","api.dora.incubateur.net/80.247.13.145","443","INFO","not offered","",""
"cipherlist_STRONG_FS","api.dora.incubateur.net/80.247.13.145","443","OK","offered","",""
"cipher_order-tls1_2","api.dora.incubateur.net/80.247.13.145","443","OK","server","",""
"cipherorder_TLSv1_2","api.dora.incubateur.net/80.247.13.145","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","api.dora.incubateur.net/80.247.13.145","443","OK","server","",""
"FS","api.dora.incubateur.net/80.247.13.145","443","OK","offered","",""
"FS_ciphers","api.dora.incubateur.net/80.247.13.145","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","api.dora.incubateur.net/80.247.13.145","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","api.dora.incubateur.net/80.247.13.145","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","api.dora.incubateur.net/80.247.13.145","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","api.dora.incubateur.net/80.247.13.145","443","INFO","yes","",""
"sessionresumption_ticket","api.dora.incubateur.net/80.247.13.145","443","INFO","not supported","",""
"sessionresumption_ID","api.dora.incubateur.net/80.247.13.145","443","INFO","not supported","",""
"TLS_timestamp","api.dora.incubateur.net/80.247.13.145","443","INFO","random","",""
"certificate_compression","api.dora.incubateur.net/80.247.13.145","443","INFO","none","",""
"clientAuth","api.dora.incubateur.net/80.247.13.145","443","INFO","none","",""
"cert_numbers","api.dora.incubateur.net/80.247.13.145","443","INFO","1","",""
"cert_signatureAlgorithm","api.dora.incubateur.net/80.247.13.145","443","OK","SHA256 with RSA","",""
"cert_keySize","api.dora.incubateur.net/80.247.13.145","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","api.dora.incubateur.net/80.247.13.145","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","api.dora.incubateur.net/80.247.13.145","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","api.dora.incubateur.net/80.247.13.145","443","INFO","04396ECF8FE71A0625B8477D5CB35AB62104","",""
"cert_serialNumberLen","api.dora.incubateur.net/80.247.13.145","443","INFO","18","",""
"cert_fingerprintSHA1","api.dora.incubateur.net/80.247.13.145","443","INFO","56FF1D7B372BD56CB6C0C691D5E0C4C08F556AC3","",""
