"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","api.dora.inclusion.beta.gouv.fr/185.21.194.105","443","INFO","HTTP","",""
"pre_128cipher","api.dora.inclusion.beta.gouv.fr/185.21.194.105","443","INFO","No 128 cipher limit bug","",""
"SSLv2","api.dora.inclusion.beta.gouv.fr/185.21.194.105","443","OK","not offered","",""
"SSLv3","api.dora.inclusion.beta.gouv.fr/185.21.194.105","443","OK","not offered","",""
"TLS1","api.dora.inclusion.beta.gouv.fr/185.21.194.105","443","INFO","not offered","",""
"TLS1_1","api.dora.inclusion.beta.gouv.fr/185.21.194.105","443","INFO","not offered","",""
"TLS1_2","api.dora.inclusion.beta.gouv.fr/185.21.194.105","443","OK","offered","",""
"TLS1_3","api.dora.inclusion.beta.gouv.fr/185.21.194.105","443","OK","offered with final","",""
"ALPN_HTTP2","api.dora.inclusion.beta.gouv.fr/185.21.194.105","443","OK","h2","",""
"ALPN","api.dora.inclusion.beta.gouv.fr/185.21.194.105","443","INFO","http/1.1","",""
"cipherlist_NULL","api.dora.inclusion.beta.gouv.fr/185.21.194.105","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","api.dora.inclusion.beta.gouv.fr/185.21.194.105","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","api.dora.inclusion.beta.gouv.fr/185.21.194.105","443","OK","not offered","","CWE-327"
"cipherlist_LOW","api.dora.inclusion.beta.gouv.fr/185.21.194.105","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","api.dora.inclusion.beta.gouv.fr/185.21.194.105","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","api.dora.inclusion.beta.gouv.fr/185.21.194.105","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","api.dora.inclusion.beta.gouv.fr/185.21.194.105","443","INFO","not offered","",""
"cipherlist_STRONG_FS","api.dora.inclusion.beta.gouv.fr/185.21.194.105","443","OK","offered","",""
"cipher_order-tls1_2","api.dora.inclusion.beta.gouv.fr/185.21.194.105","443","OK","server","",""
"cipherorder_TLSv1_2","api.dora.inclusion.beta.gouv.fr/185.21.194.105","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","api.dora.inclusion.beta.gouv.fr/185.21.194.105","443","OK","server","",""
"FS","api.dora.inclusion.beta.gouv.fr/185.21.194.105","443","OK","offered","",""
"FS_ciphers","api.dora.inclusion.beta.gouv.fr/185.21.194.105","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_KEMs","api.dora.inclusion.beta.gouv.fr/185.21.194.105","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","api.dora.inclusion.beta.gouv.fr/185.21.194.105","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","api.dora.inclusion.beta.gouv.fr/185.21.194.105","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","api.dora.inclusion.beta.gouv.fr/185.21.194.105","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","api.dora.inclusion.beta.gouv.fr/185.21.194.105","443","INFO","yes","",""
"sessionresumption_ticket","api.dora.inclusion.beta.gouv.fr/185.21.194.105","443","INFO","not supported","",""
"sessionresumption_ID","api.dora.inclusion.beta.gouv.fr/185.21.194.105","443","INFO","not supported","",""
"TLS_timestamp","api.dora.inclusion.beta.gouv.fr/185.21.194.105","443","INFO","random","",""
"certificate_compression","api.dora.inclusion.beta.gouv.fr/185.21.194.105","443","INFO","none","",""
"clientAuth","api.dora.inclusion.beta.gouv.fr/185.21.194.105","443","INFO","none","",""
"cert_numbers","api.dora.inclusion.beta.gouv.fr/185.21.194.105","443","INFO","1","",""
"cert_signatureAlgorithm","api.dora.inclusion.beta.gouv.fr/185.21.194.105","443","OK","SHA256 with RSA","",""
"cert_keySize","api.dora.inclusion.beta.gouv.fr/185.21.194.105","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","api.dora.inclusion.beta.gouv.fr/185.21.194.105","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","api.dora.inclusion.beta.gouv.fr/185.21.194.105","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","api.dora.inclusion.beta.gouv.fr/185.21.194.105","443","INFO","062F3CD078CB9DB2E5ED3EBCBA0B63AFE973","",""
"cert_serialNumberLen","api.dora.inclusion.beta.gouv.fr/185.21.194.105","443","INFO","18","",""
"cert_fingerprintSHA1","api.dora.inclusion.beta.gouv.fr/185.21.194.105","443","INFO","0BD0530E98E510D1B36C93F6795CA8DB6ABE556F","",""
"cert_fingerprintSHA256","api.dora.inclusion.beta.gouv.fr/185.21.194.105","443","INFO","2FAB2C5B879CAB50FAEED339623AC0556C3C55C0AA2E0B9CEAC272B7BCAD36B2","",""
"cert","api.dora.inclusion.beta.gouv.fr/185.21.194.105","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFDzCCA/egAwIBAgISBi880HjLnbLl7T68ugtjr+lzMA0GCSqGSIb3DQEBCwUAMDMxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQwwCgYDVQQDEwNSMTMwHhcNMjYwMzIwMTEwMzM4WhcNMjYwNjE4MTEwMzM3WjAqMSgwJgYDVQQDEx9hcGkuZG9yYS5pbmNsdXNpb24uYmV0YS5nb3V2LmZyMIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAneDnrGqRuJJVPY66zt6HuLk31DQVcSY3lsAf5u6x9vChft5bdBoMuD0fnXPZjzls2qP8f9bzTwo3iLQEp+2q3SZOSH7pl4Rr8Q6Sn3cPVOezD/3fRsJ8lTn7QozyTthRTHzQgi9/3/BUgtLWR71RpJ7E0th65l/gHmQeHqOqfDD4wpeIFpdr0WCgVs1rSwqQ9aOicwzwnIpzTLdlP0w3f9wdje2FhwiMMHjgRJj/l1iSdU5dxOiwcBGru2PuY44rRBzsTx/b6CLZVehv7XD9UjAPF4ubll/DHJJBXFqVgm+aPuUM4MGl+1CMm1SvdPbv6yQbSFwcQfFK2jhKCOiuXQIDAQABo4ICJDCCAiAwDgYDVR0PAQH/BAQDAgWgMBMGA1UdJQQMMAoGCCsGAQUFBwMBMAwGA1UdEwEB/wQCMAAwHQYDVR0OBBYEFKUeLZ2+52lduPL5++JrpIO7rb8dMB8GA1UdIwQYMBaAFOernw8sM6BT015PeMiyhA471pIzMDMGCCsGAQUFBwEBBCcwJTAjBggrBgEFBQcwAoYXaHR0cDovL3IxMy5pLmxlbmNyLm9yZy8wKgYDVR0RBCMwIYIfYXBpLmRvcmEuaW5jbHVzaW9uLmJldGEuZ291di5mcjATBgNVHSAEDDAKMAgGBmeBDAECATAvBgNVHR8EKDAmMCSgIqAghh5odHRwOi8vcjEzLmMubGVuY3Iub3JnLzExNi5jcmwwggECBgorBgEEAdZ5AgQCBIHzBIHwAO4AdQDLOPcViXyEoURfW8Hd+8lu8ppZzUcKaQWFsMsUwxRY5wAAAZ0LH9O1AAAEAwBGMEQCIBUuwaoSttHenx2sLvFK9vM3+RCKdNE7klmlbiL1O4jNAiBg6avTkrnf4/gmLujacjq155r0Tfxf6n11dogwRGD+vwB1AJaXZL9VWJet90OHaDcIQnfp8DrV9qTzNm5GpD8PyqnGAAABnQsf090AAAQDAEYwRAIgKhCP0j0M2GEJSlJhacoGxxNm/ZXWkp3MYnXK0t071qwCICe7WuoNLzwNWhyC3RtX9j/DkHWl5T9nOpeWyh2cVUj4MA0GCSqGSIb3DQEBCwUAA4IBAQCAZjHuyv1CLqGoYdNu673vf8GNTyd7ECTsFOZiksMbvuO93UAEOLyPeRuhgldFiqoxJ4p7M4OMnbRr02V5pSHd0FDQedanmUm2p6nv3MrLXjl5nVaO/fhIHaA73/8UpUs+7hRDJHRa2XhSWYKaGrOrB2ZBwgz07kTTdUaAVbNiVoDoMdNdZYpc7TsAwaliR94iIoCdomLVjnCsacge+jlV+aMbRcSgaV2csGzg7swYcUK7YysOdi8AfY1/2xWH/vqXC1MSowjizuKy5xw0eVseaOS/mFhHYS0d9qtkEf+0slnPW2BWm0jSCkr7+2bKZjrylhJxuYCStV/o0kP0fNDU\n-----END CERTIFICATE-----","",""
"cert_commonName","api.dora.inclusion.beta.gouv.fr/185.21.194.105","443","OK","api.dora.inclusion.beta.gouv.fr","",""
"cert_commonName_wo_SNI","api.dora.inclusion.beta.gouv.fr/185.21.194.105","443","INFO","*.osc-secnum-fr1.scalingo.io","",""
"cert_subjectAltName","api.dora.inclusion.beta.gouv.fr/185.21.194.105","443","INFO","api.dora.inclusion.beta.gouv.fr","",""
"cert_trust","api.dora.inclusion.beta.gouv.fr/185.21.194.105","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_trust_wildcard","api.dora.inclusion.beta.gouv.fr/185.21.194.105","443","LOW","trust is via wildcard","",""
"cert_chain_of_trust","api.dora.inclusion.beta.gouv.fr/185.21.194.105","443","OK","passed.","",""
"cert_certificatePolicies_EV","api.dora.inclusion.beta.gouv.fr/185.21.194.105","443","INFO","no","",""
"cert_expirationStatus","api.dora.inclusion.beta.gouv.fr/185.21.194.105","443","OK","45 >= 30 days","",""
"cert_notBefore","api.dora.inclusion.beta.gouv.fr/185.21.194.105","443","INFO","2026-03-20 11:03","",""
"cert_notAfter","api.dora.inclusion.beta.gouv.fr/185.21.194.105","443","OK","2026-06-18 11:03","",""
"cert_extlifeSpan","api.dora.inclusion.beta.gouv.fr/185.21.194.105","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","api.dora.inclusion.beta.gouv.fr/185.21.194.105","443","INFO","not present","",""
"cert_crlDistributionPoints","api.dora.inclusion.beta.gouv.fr/185.21.194.105","443","INFO","http://r13.c.lencr.org/116.crl","",""
"cert_ocspURL","api.dora.inclusion.beta.gouv.fr/185.21.194.105","443","INFO","--","",""
"OCSP_stapling","api.dora.inclusion.beta.gouv.fr/185.21.194.105","443","INFO","not offered","",""
"cert_mustStapleExtension","api.dora.inclusion.beta.gouv.fr/185.21.194.105","443","INFO","--","",""
"DNS_CAArecord","api.dora.inclusion.beta.gouv.fr/185.21.194.105","443","LOW","--","",""
"certificate_transparency","api.dora.inclusion.beta.gouv.fr/185.21.194.105","443","OK","yes (certificate extension)","",""
"certs_countServer","api.dora.inclusion.beta.gouv.fr/185.21.194.105","443","INFO","2","",""
"certs_list_ordering_problem","api.dora.inclusion.beta.gouv.fr/185.21.194.105","443","INFO","no","",""
"cert_caIssuers","api.dora.inclusion.beta.gouv.fr/185.21.194.105","443","INFO","R13 (Let's Encrypt from US)","",""
