"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","api.data.inclusion.beta.gouv.fr/148.253.96.193","443","INFO","HTTP","",""
"pre_128cipher","api.data.inclusion.beta.gouv.fr/148.253.96.193","443","INFO","No 128 cipher limit bug","",""
"SSLv2","api.data.inclusion.beta.gouv.fr/148.253.96.193","443","OK","not offered","",""
"SSLv3","api.data.inclusion.beta.gouv.fr/148.253.96.193","443","OK","not offered","",""
"TLS1","api.data.inclusion.beta.gouv.fr/148.253.96.193","443","INFO","not offered","",""
"TLS1_1","api.data.inclusion.beta.gouv.fr/148.253.96.193","443","INFO","not offered","",""
"TLS1_2","api.data.inclusion.beta.gouv.fr/148.253.96.193","443","OK","offered","",""
"TLS1_3","api.data.inclusion.beta.gouv.fr/148.253.96.193","443","OK","offered with final","",""
"ALPN_HTTP2","api.data.inclusion.beta.gouv.fr/148.253.96.193","443","OK","h2","",""
"ALPN","api.data.inclusion.beta.gouv.fr/148.253.96.193","443","INFO","http/1.1","",""
"cipherlist_NULL","api.data.inclusion.beta.gouv.fr/148.253.96.193","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","api.data.inclusion.beta.gouv.fr/148.253.96.193","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","api.data.inclusion.beta.gouv.fr/148.253.96.193","443","OK","not offered","","CWE-327"
"cipherlist_LOW","api.data.inclusion.beta.gouv.fr/148.253.96.193","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","api.data.inclusion.beta.gouv.fr/148.253.96.193","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","api.data.inclusion.beta.gouv.fr/148.253.96.193","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","api.data.inclusion.beta.gouv.fr/148.253.96.193","443","INFO","not offered","",""
"cipherlist_STRONG_FS","api.data.inclusion.beta.gouv.fr/148.253.96.193","443","OK","offered","",""
"cipher_order-tls1_2","api.data.inclusion.beta.gouv.fr/148.253.96.193","443","OK","server","",""
"cipherorder_TLSv1_2","api.data.inclusion.beta.gouv.fr/148.253.96.193","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","api.data.inclusion.beta.gouv.fr/148.253.96.193","443","OK","server","",""
"FS","api.data.inclusion.beta.gouv.fr/148.253.96.193","443","OK","offered","",""
"FS_ciphers","api.data.inclusion.beta.gouv.fr/148.253.96.193","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_KEMs","api.data.inclusion.beta.gouv.fr/148.253.96.193","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","api.data.inclusion.beta.gouv.fr/148.253.96.193","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","api.data.inclusion.beta.gouv.fr/148.253.96.193","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","api.data.inclusion.beta.gouv.fr/148.253.96.193","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","api.data.inclusion.beta.gouv.fr/148.253.96.193","443","INFO","yes","",""
"sessionresumption_ticket","api.data.inclusion.beta.gouv.fr/148.253.96.193","443","INFO","not supported","",""
"sessionresumption_ID","api.data.inclusion.beta.gouv.fr/148.253.96.193","443","INFO","not supported","",""
"TLS_timestamp","api.data.inclusion.beta.gouv.fr/148.253.96.193","443","INFO","random","",""
"certificate_compression","api.data.inclusion.beta.gouv.fr/148.253.96.193","443","INFO","none","",""
"clientAuth","api.data.inclusion.beta.gouv.fr/148.253.96.193","443","INFO","none","",""
"cert_numbers","api.data.inclusion.beta.gouv.fr/148.253.96.193","443","INFO","1","",""
"cert_signatureAlgorithm","api.data.inclusion.beta.gouv.fr/148.253.96.193","443","OK","SHA256 with RSA","",""
"cert_keySize","api.data.inclusion.beta.gouv.fr/148.253.96.193","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","api.data.inclusion.beta.gouv.fr/148.253.96.193","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","api.data.inclusion.beta.gouv.fr/148.253.96.193","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","api.data.inclusion.beta.gouv.fr/148.253.96.193","443","INFO","05087025CFEA33C28F6FC24D1698CFEE7FF1","",""
"cert_serialNumberLen","api.data.inclusion.beta.gouv.fr/148.253.96.193","443","INFO","18","",""
"cert_fingerprintSHA1","api.data.inclusion.beta.gouv.fr/148.253.96.193","443","INFO","B1AC8D7BEC98067D84CD29CEDC77A75F72726F1D","",""
"cert_fingerprintSHA256","api.data.inclusion.beta.gouv.fr/148.253.96.193","443","INFO","29B5F4E5B8BB8E8C1A5403F83E51C91F938C1ACF785246FFD36C8D7DAE1A0FA4","",""
