"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","api.exposition.inserjeunes.beta.gouv.fr/141.94.2.159","443","INFO","HTTP","",""
"pre_128cipher","api.exposition.inserjeunes.beta.gouv.fr/141.94.2.159","443","INFO","No 128 cipher limit bug","",""
"SSLv2","api.exposition.inserjeunes.beta.gouv.fr/141.94.2.159","443","OK","not offered","",""
"SSLv3","api.exposition.inserjeunes.beta.gouv.fr/141.94.2.159","443","OK","not offered","",""
"TLS1","api.exposition.inserjeunes.beta.gouv.fr/141.94.2.159","443","INFO","not offered","",""
"TLS1_1","api.exposition.inserjeunes.beta.gouv.fr/141.94.2.159","443","INFO","not offered","",""
"TLS1_2","api.exposition.inserjeunes.beta.gouv.fr/141.94.2.159","443","OK","offered","",""
"TLS1_3","api.exposition.inserjeunes.beta.gouv.fr/141.94.2.159","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN_HTTP2","api.exposition.inserjeunes.beta.gouv.fr/141.94.2.159","443","OK","h2","",""
"ALPN","api.exposition.inserjeunes.beta.gouv.fr/141.94.2.159","443","INFO","http/1.1","",""
"cipherlist_NULL","api.exposition.inserjeunes.beta.gouv.fr/141.94.2.159","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","api.exposition.inserjeunes.beta.gouv.fr/141.94.2.159","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","api.exposition.inserjeunes.beta.gouv.fr/141.94.2.159","443","OK","not offered","","CWE-327"
"cipherlist_LOW","api.exposition.inserjeunes.beta.gouv.fr/141.94.2.159","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","api.exposition.inserjeunes.beta.gouv.fr/141.94.2.159","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","api.exposition.inserjeunes.beta.gouv.fr/141.94.2.159","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","api.exposition.inserjeunes.beta.gouv.fr/141.94.2.159","443","INFO","not offered","",""
"cipherlist_STRONG_FS","api.exposition.inserjeunes.beta.gouv.fr/141.94.2.159","443","OK","offered","",""
"cipher_order-tls1_2","api.exposition.inserjeunes.beta.gouv.fr/141.94.2.159","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc030","api.exposition.inserjeunes.beta.gouv.fr/141.94.2.159","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 521   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x9f","api.exposition.inserjeunes.beta.gouv.fr/141.94.2.159","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 2048    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","api.exposition.inserjeunes.beta.gouv.fr/141.94.2.159","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 521   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x9e","api.exposition.inserjeunes.beta.gouv.fr/141.94.2.159","443","OK","TLSv1.2   x9e     DHE-RSA-AES128-GCM-SHA256         DH 2048    AESGCM      128      TLS_DHE_RSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","api.exposition.inserjeunes.beta.gouv.fr/141.94.2.159","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","api.exposition.inserjeunes.beta.gouv.fr/141.94.2.159","443","INFO","NOT a cipher order configured","",""
"FS","api.exposition.inserjeunes.beta.gouv.fr/141.94.2.159","443","OK","offered","",""
"FS_ciphers","api.exposition.inserjeunes.beta.gouv.fr/141.94.2.159","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","api.exposition.inserjeunes.beta.gouv.fr/141.94.2.159","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","api.exposition.inserjeunes.beta.gouv.fr/141.94.2.159","443","INFO","'server name/#0' 'max fragment length/#1' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'next protocol/#13172' 'renegotiation info/#65281'","",""
"TLS_session_ticket","api.exposition.inserjeunes.beta.gouv.fr/141.94.2.159","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","api.exposition.inserjeunes.beta.gouv.fr/141.94.2.159","443","INFO","yes","",""
"sessionresumption_ticket","api.exposition.inserjeunes.beta.gouv.fr/141.94.2.159","443","INFO","not supported","",""
"sessionresumption_ID","api.exposition.inserjeunes.beta.gouv.fr/141.94.2.159","443","INFO","not supported","",""
"TLS_timestamp","api.exposition.inserjeunes.beta.gouv.fr/141.94.2.159","443","INFO","random","",""
"cert_compression","api.exposition.inserjeunes.beta.gouv.fr/141.94.2.159","443","INFO","N/A","",""
"clientAuth","api.exposition.inserjeunes.beta.gouv.fr/141.94.2.159","443","INFO","none","",""
"cert_numbers","api.exposition.inserjeunes.beta.gouv.fr/141.94.2.159","443","INFO","1","",""
"cert_signatureAlgorithm","api.exposition.inserjeunes.beta.gouv.fr/141.94.2.159","443","OK","SHA256 with RSA","",""
"cert_keySize","api.exposition.inserjeunes.beta.gouv.fr/141.94.2.159","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","api.exposition.inserjeunes.beta.gouv.fr/141.94.2.159","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","api.exposition.inserjeunes.beta.gouv.fr/141.94.2.159","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","api.exposition.inserjeunes.beta.gouv.fr/141.94.2.159","443","INFO","05DE1176000CCFB9B0DC5EE7BEB6498CF7D9","",""
"cert_serialNumberLen","api.exposition.inserjeunes.beta.gouv.fr/141.94.2.159","443","INFO","18","",""
"cert_fingerprintSHA1","api.exposition.inserjeunes.beta.gouv.fr/141.94.2.159","443","INFO","B424EE4CE5AF5DF621ADC8C23B19641A97B11AB9","",""
"cert_fingerprintSHA256","api.exposition.inserjeunes.beta.gouv.fr/141.94.2.159","443","INFO","D3801191F06269F61B951C9CCEB6731166A153347372D1953FD9D2E637A578ED","",""
"cert","api.exposition.inserjeunes.beta.gouv.fr/141.94.2.159","443","INFO","-----BEGIN CERTIFICATE-----\nMIIGQDCCBSigAwIBAgISBd4RdgAMz7mw3F7nvrZJjPfZMA0GCSqGSIb3DQEBCwUAMDMxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQwwCgYDVQQDEwNSMTAwHhcNMjUwNTI1MjMwODI2WhcNMjUwODIzMjMwODI1WjAuMSwwKgYDVQQDEyNleHBvc2l0aW9uLmluc2VyamV1bmVzLmJldGEuZ291di5mcjCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBANOPHySW/qSVm/b/qqApiLeoDAKUMrwmBWgwSfBpn0ZOpeRwkKDKHxWmJtVK5sWiz8LIwPJbrcSGYYvoZxWDARzZ8skizPDtSEHyKTFPA90vEV3Tdxan5l1KjU2WesAlEHgVRzuBKUWz6vX17UuhfPgILyrTUnk2MnWk6ciKZHAGnj3kBdGL7OusnN038NYrLUjjHzNQ4avoMkEu/MiwBeZAUXpa5ePvATGE4vibQ8alh1SQyjyvAY5vSS6JVPoQMDIIz0D83y5ERCQYNvxT8H+msHs4fsBdkMjTzONOwk8uC9zAFMcs0fn2CdfvAbkZ9L+xrSspQ1X7A0oTXkpyU8ECAwEAAaOCA1EwggNNMA4GA1UdDwEB/wQEAwIFoDAdBgNVHSUEFjAUBggrBgEFBQcDAQYIKwYBBQUHAwIwDAYDVR0TAQH/BAIwADAdBgNVHQ4EFgQUr06K8WNSsl5YDS8LJYPZKEpKXxkwHwYDVR0jBBgwFoAUu7zDR6XkvKnGw6RyDBCNojXhyOgwMwYIKwYBBQUHAQEEJzAlMCMGCCsGAQUFBzAChhdodHRwOi8vcjEwLmkubGVuY3Iub3JnLzCCAUoGA1UdEQSCAUEwggE9gidhcGkuZXhwb3NpdGlvbi5pbnNlcmpldW5lcy5iZXRhLmdvdXYuZnKCMWRvY3VtZW50YXRpb24uZXhwb3NpdGlvbi5pbnNlcmpldW5lcy5iZXRhLmdvdXYuZnKCLGV4cGxvcmVyLmV4cG9zaXRpb24uaW5zZXJqZXVuZXMuYmV0YS5nb3V2LmZygiNleHBvc2l0aW9uLmluc2VyamV1bmVzLmJldGEuZ291di5mcoIwcHJlc2NyaXB0ZXVyLmV4cG9zaXRpb24uaW5zZXJqZXVuZXMuYmV0YS5nb3V2LmZygihzaXRlLmV4cG9zaXRpb24uaW5zZXJqZXVuZXMuYmV0YS5nb3V2LmZygjBzdGF0aXN0aXF1ZXMuZXhwb3NpdGlvbi5pbnNlcmpldW5lcy5iZXRhLmdvdXYuZnIwEwYDVR0gBAwwCjAIBgZngQwBAgEwLgYDVR0fBCcwJTAjoCGgH4YdaHR0cDovL3IxMC5jLmxlbmNyLm9yZy85MC5jcmwwggEEBgorBgEEAdZ5AgQCBIH1BIHyAPAAdgDM+w9qhXEJZf6Vm1PO6bJ8IumFXA2XjbapflTA/kwNsAAAAZcJ6fIAAAAEAwBHMEUCIHzdVS1P5nJ9m4uBVIF+lUxNHk27umN4fm/cjenXvrLWAiEAs3Ll0cz4+YQZr5QkVBKhBTPb/ZOJ8l9r81H/OTkJjO8AdgAN4fIwK9MNwUBiEgnqVS78R3R8sdfpMO8OQh60fk6qNAAAAZcJ6fKMAAAEAwBHMEUCICpxp+Uup8tBiPJnNcAG6lmLDUlf0TDhZOs78SOs+VDLAiEAyhpuOhrnfe11Jv2eMUYIvAanYYu541zNcdYoeieeAREwDQYJKoZIhvcNAQELBQADggEBADvSQjzp8PYhC3C4uD98s0cSNAvUeQvnyq/YnvDeUnZuejknTgcQQh+6yz+t7fixya6FwkQpfywSj7URy7gikmnlyqAomKIfP2d0KfcjFeCjyw/+6TfeO5gNmugerRcCO81VLDxfcIiE16vOWOz3UhGVbEYzoi6dWNlMqSEqmAGyZ9KbMAVFLQn6uCXTcvTNgSSkd4hKpJgpgdZcrmB0mIxSFKwAGolJDINfXjorPi29EQj6FE0tEx0kYIJqwKxOGiAsFE328w4KDYL04Lh5KwnG19yMvQf2GWP/8LJIUqrY/kKCnjNYrpkMlEeWBITe5c3dDpMd/zfIfUbdCMqgm6o=\n-----END CERTIFICATE-----","",""
"cert_commonName","api.exposition.inserjeunes.beta.gouv.fr/141.94.2.159","443","OK","exposition.inserjeunes.beta.gouv.fr","",""
"cert_commonName_wo_SNI","api.exposition.inserjeunes.beta.gouv.fr/141.94.2.159","443","INFO","request w/o SNI didn't succeed","",""
"cert_subjectAltName","api.exposition.inserjeunes.beta.gouv.fr/141.94.2.159","443","INFO","api.exposition.inserjeunes.beta.gouv.fr documentation.exposition.inserjeunes.beta.gouv.fr explorer.exposition.inserjeunes.beta.gouv.fr exposition.inserjeunes.beta.gouv.fr prescripteur.exposition.inserjeunes.beta.gouv.fr site.exposition.inserjeunes.beta.gouv.fr statistiques.exposition.inserjeunes.beta.gouv.fr","",""
"cert_trust","api.exposition.inserjeunes.beta.gouv.fr/141.94.2.159","443","OK","Ok via SAN (SNI mandatory)","",""
"cert_chain_of_trust","api.exposition.inserjeunes.beta.gouv.fr/141.94.2.159","443","OK","passed.","",""
"cert_certificatePolicies_EV","api.exposition.inserjeunes.beta.gouv.fr/141.94.2.159","443","INFO","no","",""
"cert_expirationStatus","api.exposition.inserjeunes.beta.gouv.fr/141.94.2.159","443","OK","69 >= 30 days","",""
"cert_notBefore","api.exposition.inserjeunes.beta.gouv.fr/141.94.2.159","443","INFO","2025-05-25 23:08","",""
"cert_notAfter","api.exposition.inserjeunes.beta.gouv.fr/141.94.2.159","443","OK","2025-08-23 23:08","",""
"cert_extlifeSpan","api.exposition.inserjeunes.beta.gouv.fr/141.94.2.159","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","api.exposition.inserjeunes.beta.gouv.fr/141.94.2.159","443","INFO","not present","",""
