"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","aplypro.beta.gouv.fr/148.253.96.193","443","INFO","HTTP","",""
"pre_128cipher","aplypro.beta.gouv.fr/148.253.96.193","443","INFO","No 128 cipher limit bug","",""
"SSLv2","aplypro.beta.gouv.fr/148.253.96.193","443","OK","not offered","",""
"SSLv3","aplypro.beta.gouv.fr/148.253.96.193","443","OK","not offered","",""
"TLS1","aplypro.beta.gouv.fr/148.253.96.193","443","INFO","not offered","",""
"TLS1_1","aplypro.beta.gouv.fr/148.253.96.193","443","INFO","not offered","",""
"TLS1_2","aplypro.beta.gouv.fr/148.253.96.193","443","OK","offered","",""
"TLS1_3","aplypro.beta.gouv.fr/148.253.96.193","443","OK","offered with final","",""
"ALPN_HTTP2","aplypro.beta.gouv.fr/148.253.96.193","443","OK","h2","",""
"ALPN","aplypro.beta.gouv.fr/148.253.96.193","443","INFO","http/1.1","",""
"cipherlist_NULL","aplypro.beta.gouv.fr/148.253.96.193","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","aplypro.beta.gouv.fr/148.253.96.193","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","aplypro.beta.gouv.fr/148.253.96.193","443","OK","not offered","","CWE-327"
"cipherlist_LOW","aplypro.beta.gouv.fr/148.253.96.193","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","aplypro.beta.gouv.fr/148.253.96.193","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","aplypro.beta.gouv.fr/148.253.96.193","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","aplypro.beta.gouv.fr/148.253.96.193","443","INFO","not offered","",""
"cipherlist_STRONG_FS","aplypro.beta.gouv.fr/148.253.96.193","443","OK","offered","",""
"cipher_order-tls1_2","aplypro.beta.gouv.fr/148.253.96.193","443","OK","server","",""
"cipherorder_TLSv1_2","aplypro.beta.gouv.fr/148.253.96.193","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","aplypro.beta.gouv.fr/148.253.96.193","443","OK","server","",""
"FS","aplypro.beta.gouv.fr/148.253.96.193","443","OK","offered","",""
"FS_ciphers","aplypro.beta.gouv.fr/148.253.96.193","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","aplypro.beta.gouv.fr/148.253.96.193","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","aplypro.beta.gouv.fr/148.253.96.193","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","aplypro.beta.gouv.fr/148.253.96.193","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","aplypro.beta.gouv.fr/148.253.96.193","443","INFO","yes","",""
"sessionresumption_ticket","aplypro.beta.gouv.fr/148.253.96.193","443","INFO","not supported","",""
"sessionresumption_ID","aplypro.beta.gouv.fr/148.253.96.193","443","INFO","not supported","",""
"TLS_timestamp","aplypro.beta.gouv.fr/148.253.96.193","443","INFO","random","",""
"certificate_compression","aplypro.beta.gouv.fr/148.253.96.193","443","INFO","none","",""
"clientAuth","aplypro.beta.gouv.fr/148.253.96.193","443","INFO","none","",""
"cert_numbers","aplypro.beta.gouv.fr/148.253.96.193","443","INFO","1","",""
"cert_signatureAlgorithm","aplypro.beta.gouv.fr/148.253.96.193","443","OK","SHA256 with RSA","",""
"cert_keySize","aplypro.beta.gouv.fr/148.253.96.193","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","aplypro.beta.gouv.fr/148.253.96.193","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","aplypro.beta.gouv.fr/148.253.96.193","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","aplypro.beta.gouv.fr/148.253.96.193","443","INFO","05270EA524773DCC67CC62D35FB81B3FC12F","",""
"cert_serialNumberLen","aplypro.beta.gouv.fr/148.253.96.193","443","INFO","18","",""
"cert_fingerprintSHA1","aplypro.beta.gouv.fr/148.253.96.193","443","INFO","368FA9D93E786B7B600C669620B3A2F71D3D3DC0","",""
"cert_fingerprintSHA256","aplypro.beta.gouv.fr/148.253.96.193","443","INFO","089CB32591FE4943C6FC8DCD41106D98F3694FEE9E1F226A2A8CFE397E07813D","",""
"cert","aplypro.beta.gouv.fr/148.253.96.193","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFBTCCA+2gAwIBAgISBScOpSR3PcxnzGLTX7gbP8EvMA0GCSqGSIb3DQEBCwUAMDMxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQwwCgYDVQQDEwNSMTAwHhcNMjUwNjIzMTE1NDQyWhcNMjUwOTIxMTE1NDQxWjAfMR0wGwYDVQQDExRhcGx5cHJvLmJldGEuZ291di5mcjCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBAOVmVnvU53zXV4XC4UTOtpafM24woCMBcBmNXqEIYeyUtt76YZ5ch2CygVOf7nLeJnv7reotYYgTFWj5GiCE3kexhYM1qNIPGEBnqEgJfuyULz++984db/5ele/9RN+p9VQR2lbV7wI0HmlzD+iPQTL1clQOHfVwMRrKOeHGzc7MdLWDERTCANdQEI67TT7d3m8ZwetsAdVx4KSo1nuvQawccX4P1s3nL17YSb05YqaBmrI1uvi8mbfGB4oxwvfr0ElUz70f7zGSqqrcjlY6yegL4sRb0t2vQx2+qvTqhEQgxGaHMixicTL/oyqKi0/QrjpiZh7KtY8gS4wNPc4KDIECAwEAAaOCAiUwggIhMA4GA1UdDwEB/wQEAwIFoDAdBgNVHSUEFjAUBggrBgEFBQcDAQYIKwYBBQUHAwIwDAYDVR0TAQH/BAIwADAdBgNVHQ4EFgQUshmZNTPSjQ2eA0nqJ0WNOmcy+LwwHwYDVR0jBBgwFoAUu7zDR6XkvKnGw6RyDBCNojXhyOgwMwYIKwYBBQUHAQEEJzAlMCMGCCsGAQUFBzAChhdodHRwOi8vcjEwLmkubGVuY3Iub3JnLzAfBgNVHREEGDAWghRhcGx5cHJvLmJldGEuZ291di5mcjATBgNVHSAEDDAKMAgGBmeBDAECATAuBgNVHR8EJzAlMCOgIaAfhh1odHRwOi8vcjEwLmMubGVuY3Iub3JnLzQ4LmNybDCCAQUGCisGAQQB1nkCBAIEgfYEgfMA8QB2ABLxTjS9U3JMhAYZw48/ehP457Vih4icbTAFhOvlhiY6AAABl5zZi7YAAAQDAEcwRQIhAIBWq+4n6GV2FuzCft7tKnFBRo0R4iWTh7hFShzahI2wAiBZpkPKMw+H2+n23SAjU0v2vS9WPT8WdaNu3hfPRn/vEAB3ABoE/0nQVB1Ar/agw7/x2MRnL07s7iNAaJhrF0Au3Il9AAABl5zZjJsAAAQDAEgwRgIhAPVvqnQMr4P/prSaWBU8qBIx1Cq+vZqEuIzglnsLHO55AiEA1OlKaclyo+57ocZFi2/G9IiDCqZXNt3Py852DZPBwBQwDQYJKoZIhvcNAQELBQADggEBALCMJgb7rrpcGJBC2k/A+WyZSTdyP7lSQsRWcC9YJZdeOBeoIB2NudOwgWGpa0GUtFSW2J7+GUgpxKKTkYegcfn0nlZze+6UihOabcLXF5dcm5NF+ncuoofTibfZbhC2dCjyKl6ll4Zf7HM3l8D2phGOr+yOO9yCJyLdA8/SbEDRtZMqHzyfhcR9NH5mSiTctb9qG/yvSnah/gHdWjzvcrXRgke/WsKrnFhtM/pUNz5iCO3HiTJ7r7QIXEbCwdSzwXvg28R3luck+f6JxbiBPHfZnjGLb0iYt4CZ4kvA2UZ7OyhVlF3dBsEZHXsWfjnwLs1NTckBwP0jOZAjBHKt5fw=\n-----END CERTIFICATE-----","",""
"cert_commonName","aplypro.beta.gouv.fr/148.253.96.193","443","OK","aplypro.beta.gouv.fr","",""
"cert_commonName_wo_SNI","aplypro.beta.gouv.fr/148.253.96.193","443","INFO","*.osc-secnum-fr1.scalingo.io","",""
"cert_subjectAltName","aplypro.beta.gouv.fr/148.253.96.193","443","INFO","aplypro.beta.gouv.fr","",""
"cert_trust","aplypro.beta.gouv.fr/148.253.96.193","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_trust_wildcard","aplypro.beta.gouv.fr/148.253.96.193","443","LOW","trust is via wildcard","",""
"cert_chain_of_trust","aplypro.beta.gouv.fr/148.253.96.193","443","OK","passed.","",""
"cert_certificatePolicies_EV","aplypro.beta.gouv.fr/148.253.96.193","443","INFO","no","",""
"cert_expirationStatus","aplypro.beta.gouv.fr/148.253.96.193","443","OK","35 >= 30 days","",""
"cert_notBefore","aplypro.beta.gouv.fr/148.253.96.193","443","INFO","2025-06-23 11:54","",""
"cert_notAfter","aplypro.beta.gouv.fr/148.253.96.193","443","OK","2025-09-21 11:54","",""
"cert_extlifeSpan","aplypro.beta.gouv.fr/148.253.96.193","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","aplypro.beta.gouv.fr/148.253.96.193","443","INFO","not present","",""
"cert_crlDistributionPoints","aplypro.beta.gouv.fr/148.253.96.193","443","INFO","http://r10.c.lencr.org/48.crl","",""
"cert_ocspURL","aplypro.beta.gouv.fr/148.253.96.193","443","INFO","--","",""
"OCSP_stapling","aplypro.beta.gouv.fr/148.253.96.193","443","INFO","not offered","",""
"cert_mustStapleExtension","aplypro.beta.gouv.fr/148.253.96.193","443","INFO","--","",""
"DNS_CAArecord","aplypro.beta.gouv.fr/148.253.96.193","443","LOW","--","",""
"certificate_transparency","aplypro.beta.gouv.fr/148.253.96.193","443","OK","yes (certificate extension)","",""
"certs_countServer","aplypro.beta.gouv.fr/148.253.96.193","443","INFO","2","",""
"certs_list_ordering_problem","aplypro.beta.gouv.fr/148.253.96.193","443","INFO","no","",""
"cert_caIssuers","aplypro.beta.gouv.fr/148.253.96.193","443","INFO","R10 (Let's Encrypt from US)","",""
