"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","app.pix.fr/45.60.62.41","443","INFO","HTTP","",""
"pre_128cipher","app.pix.fr/45.60.62.41","443","INFO","No 128 cipher limit bug","",""
"SSLv2","app.pix.fr/45.60.62.41","443","OK","not offered","",""
"SSLv3","app.pix.fr/45.60.62.41","443","OK","not offered","",""
"TLS1","app.pix.fr/45.60.62.41","443","INFO","not offered","",""
"TLS1_1","app.pix.fr/45.60.62.41","443","INFO","not offered","",""
"TLS1_2","app.pix.fr/45.60.62.41","443","OK","offered","",""
"TLS1_3","app.pix.fr/45.60.62.41","443","OK","offered with final","",""
"ALPN_HTTP2","app.pix.fr/45.60.62.41","443","OK","h2","",""
"cipherlist_NULL","app.pix.fr/45.60.62.41","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","app.pix.fr/45.60.62.41","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","app.pix.fr/45.60.62.41","443","OK","not offered","","CWE-327"
"cipherlist_LOW","app.pix.fr/45.60.62.41","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","app.pix.fr/45.60.62.41","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","app.pix.fr/45.60.62.41","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","app.pix.fr/45.60.62.41","443","OK","offered","",""
"cipherlist_STRONG_FS","app.pix.fr/45.60.62.41","443","OK","offered","",""
"cipher_order-tls1_2","app.pix.fr/45.60.62.41","443","OK","server","",""
"cipherorder_TLSv1_2","app.pix.fr/45.60.62.41","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","app.pix.fr/45.60.62.41","443","OK","server","",""
"FS","app.pix.fr/45.60.62.41","443","OK","offered","",""
"FS_ciphers","app.pix.fr/45.60.62.41","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_KEMs","app.pix.fr/45.60.62.41","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","app.pix.fr/45.60.62.41","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","app.pix.fr/45.60.62.41","443","INFO","'server name/#0' 'max fragment length/#1' 'status request/#5' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'next protocol/#13172' 'renegotiation info/#65281'","",""
"TLS_session_ticket","app.pix.fr/45.60.62.41","443","INFO","valid for 7200 seconds only (<daily)","",""
"SSL_sessionID_support","app.pix.fr/45.60.62.41","443","INFO","yes","",""
"sessionresumption_ticket","app.pix.fr/45.60.62.41","443","INFO","supported","",""
"sessionresumption_ID","app.pix.fr/45.60.62.41","443","INFO","supported","",""
"TLS_timestamp","app.pix.fr/45.60.62.41","443","INFO","random","",""
"certificate_compression","app.pix.fr/45.60.62.41","443","INFO","none","",""
"clientAuth","app.pix.fr/45.60.62.41","443","INFO","none","",""
"cert_numbers","app.pix.fr/45.60.62.41","443","INFO","1","",""
"cert_signatureAlgorithm","app.pix.fr/45.60.62.41","443","OK","SHA256 with RSA","",""
"cert_keySize","app.pix.fr/45.60.62.41","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","app.pix.fr/45.60.62.41","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","app.pix.fr/45.60.62.41","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","app.pix.fr/45.60.62.41","443","INFO","017DB6337EBC2F9020F6D5300FD8B967","",""
"cert_serialNumberLen","app.pix.fr/45.60.62.41","443","INFO","16","",""
"cert_fingerprintSHA1","app.pix.fr/45.60.62.41","443","INFO","693F2A250BB1D9C9F600FF64D1E8C60BDB18944D","",""
"cert_fingerprintSHA256","app.pix.fr/45.60.62.41","443","INFO","11821495733318E7885A0E0B90DE8B7D8A1EEC8F8CF70F3ECA6DF17190E853DB","",""
"cert","app.pix.fr/45.60.62.41","443","INFO","-----BEGIN CERTIFICATE-----\nMIIG5jCCBM6gAwIBAgIQAX22M368L5Ag9tUwD9i5ZzANBgkqhkiG9w0BAQsFADBZMQswCQYDVQQGEwJCRTEZMBcGA1UEChMQR2xvYmFsU2lnbiBudi1zYTEvMC0GA1UEAxMmR2xvYmFsU2lnbiBBdGxhcyBSNDYgRFYgVExTIENBIDIwMjYgUTMwHhcNMjYwODE5MTEwMzMyWhcNMjYxMTE3MTEwMzMyWjAWMRQwEgYDVQQDDAthcHAucGl4Lm9yZzCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBAKEtl3nKR8AZhgwjiBhDBVFByt2LHpRmbMNufBf6Hij4IlUQbY/9nBi8TSCDkREq1XvvhDF6OWD4HiFZANGOv6RP9B4XGyCQyf2LF+ItQwR4Vump0QVcNyaJRA33visQdFp8sr0DDihiW32B2X7qFIfCrjPI6LdYjzfBEOcybTymGdrPSCmjskdbsFDjkIwKAMcHowcpP9p3qmGxfe7/4EeGGgzcXW5gQmTcubMbdX8QKGsZr4ki21muScGXKaMWhNF0DJKDNhVjkOQEg4g++TlW3ZSCT8X9qiK6nu5c2uxdnPFKLxpC2HXAFjf2bAxkxbLlokJquKHjeYzVjTAFpKcCAwEAAaOCAuswggLnMCIGA1UdEQQbMBmCC2FwcC5waXgub3JnggphcHAucGl4LmZyMA4GA1UdDwEB/wQEAwIFoDATBgNVHSUEDDAKBggrBgEFBQcDATAdBgNVHQ4EFgQUf1EdDZPeIfAVoyaoScibCG5O/WgwVwYDVR0gBFAwTjAIBgZngQwBAgEwQgYKKwYBBAGgMgoBAzA0MDIGCCsGAQUFBwIBFiZodHRwczovL3d3dy5nbG9iYWxzaWduLmNvbS9yZXBvc2l0b3J5LzAMBgNVHRMBAf8EAjAAMIGgBggrBgEFBQcBAQSBkzCBkDBBBggrBgEFBQcwAYY1aHR0cDovL29jc3AuZ2xvYmFsc2lnbi5jb20vY2EvZ3NhdGxhc3I0NmR2dGxzY2EyMDI2cTMwSwYIKwYBBQUHMAKGP2h0dHA6Ly9zZWN1cmUuZ2xvYmFsc2lnbi5jb20vY2FjZXJ0L2dzYXRsYXNyNDZkdnRsc2NhMjAyNnEzLmNydDAfBgNVHSMEGDAWgBTcUn3UEBe+5fsBRLD7GcrH7tAo6zBJBgNVHR8EQjBAMD6gPKA6hjhodHRwOi8vY3JsLmdsb2JhbHNpZ24uY29tL2NhL2dzYXRsYXNyNDZkdnRsc2NhMjAyNnEzLmNybDCCAQUGCisGAQQB1nkCBAIEgfYEgfMA8QB3AMs49xWJfIShRF9bwd37yW7ymlnNRwppBYWwyxTDFFjnAAABoBmw1vgAAAQDAEgwRgIhALut8hciavCiiu3jUabxzjYJPVMkt8mVQ9obsZl+LJZqAiEA/xBpllPy5irv/YeXRy3JjPIBPcV98PAvK7KgoNIC0hAAdgDIo8R/x7OtuTVrAT9qehJt4zpOQ6XGRvmXrTl1mR3PmgAAAaAZsNdeAAAEAwBHMEUCIG8/fmfd+CxC+HgHz8xz6En5JooOzP6UVbvGPSeAdfXqAiEAxWfD65rinmFLoHHdloF1lsfvIF1OZxZKHVB6vZlzPBcwDQYJKoZIhvcNAQELBQADggIBABnh1g9Lh4kM+xj3QmiT1IpsP5p/7NN7azt7HlHB8Q/J4OmtvUY+Kg26KDGlVAxypgP7k3U7NokikRLZNNTZEtGhEczSvDNAlcRYqDPC2pqm/UhqfWnYFzPl9ZNyW8h3hgXJUDs2pjS/JXqvoyAr97AhOfifXeEe22+39t+LLKxF0lIN8K3l19B0tD7kvNO7jBKucDSQXBoMGMgzobv0uJRnF7Aw8yMZtKi4VPAoJW3iks3C/9xx2HdTTEQtH8yalju8OLvB4MCdaFEk6yygcoMXAItmdIhhhc2Xc+yF69l2q5PO0oVVloAKKOA6Les8Xf6dA8SVmIkj4HiSpJObn9/z86y+L8gq/gWyX9a+WLEt+H8xnlPumYlqbNBZREY9f/C+xsDluKdUdJk38ALMiJYA6dLgxgQmY68jhPmf/2LZq0hR8CpPxJARvoBsZVgCgbIC0aAsR/WK27VyaA53z5Mutsxt1JLyB22nQcOCWWhpa+tLVZ6h6w8WY9SwqRyJOGQ4KalYqOQAKqrjyUJ5fU/nE8F/5u4IMwewfX4I95khEEjTuQpd//McpKHpcBcr+SJqOtuyImRiv/U020joQBbXiObKqy997S1NjdX8O4U7EyTcO4SYSzbC8WIpICVUf3mGlDds6EhFEWbOp1NLBCcgYBYV2RmnW44gFxhi0YMc\n-----END CERTIFICATE-----","",""
"cert_commonName","app.pix.fr/45.60.62.41","443","OK","app.pix.org","",""
"cert_commonName_wo_SNI","app.pix.fr/45.60.62.41","443","INFO","imperva.com","",""
"cert_subjectAltName","app.pix.fr/45.60.62.41","443","INFO","app.pix.org app.pix.fr","",""
"cert_trust","app.pix.fr/45.60.62.41","443","OK","Ok via SAN (SNI mandatory)","",""
"cert_chain_of_trust","app.pix.fr/45.60.62.41","443","OK","passed.","",""
"cert_certificatePolicies_EV","app.pix.fr/45.60.62.41","443","INFO","no","",""
"cert_expirationStatus","app.pix.fr/45.60.62.41","443","OK","79 >= 60 days","",""
"cert_notBefore","app.pix.fr/45.60.62.41","443","INFO","2026-08-19 11:03","",""
"cert_notAfter","app.pix.fr/45.60.62.41","443","OK","2026-11-17 11:03","",""
"cert_extlifeSpan","app.pix.fr/45.60.62.41","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","app.pix.fr/45.60.62.41","443","INFO","not present","",""
"cert_crlDistributionPoints","app.pix.fr/45.60.62.41","443","INFO","http://crl.globalsign.com/ca/gsatlasr46dvtlsca2026q3.crl","",""
"cert_ocspURL","app.pix.fr/45.60.62.41","443","INFO","http://ocsp.globalsign.com/ca/gsatlasr46dvtlsca2026q3","",""
"OCSP_stapling","app.pix.fr/45.60.62.41","443","OK","offered","",""
"cert_ocspRevoked","app.pix.fr/45.60.62.41","443","OK","not revoked","",""
"cert_mustStapleExtension","app.pix.fr/45.60.62.41","443","INFO","--","",""
"DNS_CAArecord","app.pix.fr/45.60.62.41","443","OK","iodef=mailto:security@pix.fr, issue=amazontrust.com, issue=globalsign.com, issue=letsencrypt.org, issue=pki.goog, issue=sectigo.com, issuewild=letsencrypt.org","",""
"certificate_transparency","app.pix.fr/45.60.62.41","443","OK","yes (certificate extension)","",""
"certs_countServer","app.pix.fr/45.60.62.41","443","INFO","3","",""
"certs_list_ordering_problem","app.pix.fr/45.60.62.41","443","INFO","no","",""
"cert_caIssuers","app.pix.fr/45.60.62.41","443","INFO","GlobalSign Atlas R46 DV TLS CA 2026 Q3 (GlobalSign nv-sa from BE)","",""
