"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","backend.passculture.beta.gouv.fr/34.76.99.202","443","INFO","HTTP","",""
"pre_128cipher","backend.passculture.beta.gouv.fr/34.76.99.202","443","INFO","No 128 cipher limit bug","",""
"SSLv2","backend.passculture.beta.gouv.fr/34.76.99.202","443","OK","not offered","",""
"SSLv3","backend.passculture.beta.gouv.fr/34.76.99.202","443","OK","not offered","",""
"TLS1","backend.passculture.beta.gouv.fr/34.76.99.202","443","INFO","not offered","",""
"TLS1_1","backend.passculture.beta.gouv.fr/34.76.99.202","443","INFO","not offered","",""
"TLS1_2","backend.passculture.beta.gouv.fr/34.76.99.202","443","OK","offered","",""
"TLS1_3","backend.passculture.beta.gouv.fr/34.76.99.202","443","OK","offered with final","",""
"ALPN_HTTP2","backend.passculture.beta.gouv.fr/34.76.99.202","443","OK","h2","",""
"ALPN","backend.passculture.beta.gouv.fr/34.76.99.202","443","INFO","http/1.1","",""
"cipherlist_NULL","backend.passculture.beta.gouv.fr/34.76.99.202","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","backend.passculture.beta.gouv.fr/34.76.99.202","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","backend.passculture.beta.gouv.fr/34.76.99.202","443","OK","not offered","","CWE-327"
"cipherlist_LOW","backend.passculture.beta.gouv.fr/34.76.99.202","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","backend.passculture.beta.gouv.fr/34.76.99.202","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","backend.passculture.beta.gouv.fr/34.76.99.202","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","backend.passculture.beta.gouv.fr/34.76.99.202","443","INFO","not offered","",""
"cipherlist_STRONG_FS","backend.passculture.beta.gouv.fr/34.76.99.202","443","OK","offered","",""
"cipher_order-tls1_2","backend.passculture.beta.gouv.fr/34.76.99.202","443","OK","server","",""
"cipherorder_TLSv1_2","backend.passculture.beta.gouv.fr/34.76.99.202","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","backend.passculture.beta.gouv.fr/34.76.99.202","443","OK","server","",""
"FS","backend.passculture.beta.gouv.fr/34.76.99.202","443","OK","offered","",""
"FS_ciphers","backend.passculture.beta.gouv.fr/34.76.99.202","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","backend.passculture.beta.gouv.fr/34.76.99.202","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","backend.passculture.beta.gouv.fr/34.76.99.202","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'next protocol/#13172' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","backend.passculture.beta.gouv.fr/34.76.99.202","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","backend.passculture.beta.gouv.fr/34.76.99.202","443","INFO","yes","",""
"sessionresumption_ticket","backend.passculture.beta.gouv.fr/34.76.99.202","443","INFO","not supported","",""
"sessionresumption_ID","backend.passculture.beta.gouv.fr/34.76.99.202","443","INFO","not supported","",""
"TLS_timestamp","backend.passculture.beta.gouv.fr/34.76.99.202","443","INFO","random","",""
"certificate_compression","backend.passculture.beta.gouv.fr/34.76.99.202","443","INFO","none","",""
"clientAuth","backend.passculture.beta.gouv.fr/34.76.99.202","443","INFO","none","",""
"cert_numbers","backend.passculture.beta.gouv.fr/34.76.99.202","443","INFO","1","",""
"cert_signatureAlgorithm","backend.passculture.beta.gouv.fr/34.76.99.202","443","OK","SHA256 with RSA","",""
"cert_keySize","backend.passculture.beta.gouv.fr/34.76.99.202","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","backend.passculture.beta.gouv.fr/34.76.99.202","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","backend.passculture.beta.gouv.fr/34.76.99.202","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","backend.passculture.beta.gouv.fr/34.76.99.202","443","INFO","380FD2395AF9C21E300602795FC331A2","",""
"cert_serialNumberLen","backend.passculture.beta.gouv.fr/34.76.99.202","443","INFO","16","",""
"cert_fingerprintSHA1","backend.passculture.beta.gouv.fr/34.76.99.202","443","INFO","40D2BEACCC10EDF676D39F126AE46BE4989D433D","",""
"cert_fingerprintSHA256","backend.passculture.beta.gouv.fr/34.76.99.202","443","INFO","5A1A09D69E1369E4851BABEC6826F47092CF238D9CBEEF6B8FF82DAE6A5F028A","",""
"cert","backend.passculture.beta.gouv.fr/34.76.99.202","443","INFO","-----BEGIN CERTIFICATE-----\nMIIGdDCCBVygAwIBAgIQOA/SOVr5wh4wBgJ5X8MxojANBgkqhkiG9w0BAQsFADBfMQswCQYDVQQGEwJGUjEOMAwGA1UECBMFUGFyaXMxDjAMBgNVBAcTBVBhcmlzMQ4wDAYDVQQKEwVHYW5kaTEgMB4GA1UEAxMXR2FuZGkgU3RhbmRhcmQgU1NMIENBIDIwHhcNMjIwOTE2MDAwMDAwWhcNMjMwOTMwMjM1OTU5WjAiMSAwHgYDVQQDExdiYWNrZW5kLnBhc3NjdWx0dXJlLnBybzCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBANErXHeT9Iz/lM8vrzMkxiXA0sKV+L9V5FhToY9jP3VaqdOifiw6joXMrYFeptj6M7DTDOsdp9gJt0OzrWdTgwLp/BdAh+0lZSg42aBFK3MbDSIrOiJnL9rmtyVdLAllDHL9bzwR1osFWXkNKQM0GBnNVHavCv74Kxeb2oaYpz69DaDaZWAmUQJ15gJuU7RF1EQDCWj6wEvtz3gtxGTqT/nkZR2vSpYlN11gJElxW09GJBrry2+QWx+6LUaby4jt83r5pTz1Vxtc6T5JOKmOdbYBdybTEllgjsPZLmcWRxU86bm/QcPQHdqHsvXwmd1ThvgIQh05+YlVDcS2SLQl/OMCAwEAAaOCA2cwggNjMB8GA1UdIwQYMBaAFLOQp9jJr07NYTyffK1df0H9aTDqMB0GA1UdDgQWBBSZehsaIRqXwik52/ZVQTSlOMUcmTAOBgNVHQ8BAf8EBAMCBaAwDAYDVR0TAQH/BAIwADAdBgNVHSUEFjAUBggrBgEFBQcDAQYIKwYBBQUHAwIwSwYDVR0gBEQwQjA2BgsrBgEEAbIxAQICGjAnMCUGCCsGAQUFBwIBFhlodHRwczovL2Nwcy51c2VydHJ1c3QuY29tMAgGBmeBDAECATBBBgNVHR8EOjA4MDagNKAyhjBodHRwOi8vY3JsLnVzZXJ0cnVzdC5jb20vR2FuZGlTdGFuZGFyZFNTTENBMi5jcmwwcwYIKwYBBQUHAQEEZzBlMDwGCCsGAQUFBzAChjBodHRwOi8vY3J0LnVzZXJ0cnVzdC5jb20vR2FuZGlTdGFuZGFyZFNTTENBMi5jcnQwJQYIKwYBBQUHMAGGGWh0dHA6Ly9vY3NwLnVzZXJ0cnVzdC5jb20wggF+BgorBgEEAdZ5AgQCBIIBbgSCAWoBaAB2AK33vvp8/xDIi509nB4+GGq0Zyldz7EMJMqFhjTr3IKKAAABg0WYw64AAAQDAEcwRQIgS8PX79QONr3wy35nRSfHjZpiOWTbbt8/KjRp0X1otkICIQCImfwgGQgNvGypPgkfGZA2or4R2NnaCN7358kGxaKHiwB2AHoyjFTYty22IOo44FIe6YQWcDIThU070ivBOlejUutSAAABg0WYw8UAAAQDAEcwRQIgZ5jqihoscFcmuVKS6r2SoeLBTBGC6JTN88QnlcuIZKACIQCiNkU4taM5X2mes10519Yulea5/Jw07qtr/q7McR8RuQB2AOg+0No+9QY1MudXKLyJa8kD08vREWvs62nhd31tBr1uAAABg0WYw5AAAAQDAEcwRQIgWraVJ0S2pEJIjs+eOIdo/uf+KY8NSnq6q3hoZlA9b/cCIQCgVHI7tua9x85IRl5+3q6wRJNcvdvvYIOdIpXo6x/gyzBdBgNVHREEVjBUghdiYWNrZW5kLnBhc3NjdWx0dXJlLnByb4IXYmFja2VuZC5wYXNzY3VsdHVyZS5hcHCCIGJhY2tlbmQucGFzc2N1bHR1cmUuYmV0YS5nb3V2LmZyMA0GCSqGSIb3DQEBCwUAA4IBAQASImuEkUZem1Ww7xfy8rKlZzyHd5+sK+mbWIeHAKGv2XQDaz74HR9I9RQMVa1M0B2KbLNXP7n+ppAPUFEJYvT1KynxaOkOiVLQlA5IK69hGLf3FHw6qtc1RePcRM6oyjuuzuaUCip6OvQTFh5VfQhdMHNB5t5NRHFx/0GcDDFC0W98+17JyPrCiwkJSwXRsGrataLtyYoulWzKhRSIrADmrt7dloe4GGYnJCvM31URPQNS/o7VVBnKH1O45GRv9ZZhwL7QrYBqeCUe6zftPMX2PxeePYDFG2uOahYixE92pMAsc2jZMjSi7Vd2Y7PlmsRSTcTA2XcOIwUfv2JzfF3j\n-----END CERTIFICATE-----","",""
"cert_commonName","backend.passculture.beta.gouv.fr/34.76.99.202","443","OK","backend.passculture.pro","",""
"cert_commonName_wo_SNI","backend.passculture.beta.gouv.fr/34.76.99.202","443","INFO","Kubernetes Ingress Controller Fake Certificate","",""
"cert_subjectAltName","backend.passculture.beta.gouv.fr/34.76.99.202","443","INFO","backend.passculture.pro backend.passculture.app backend.passculture.beta.gouv.fr","",""
"cert_trust","backend.passculture.beta.gouv.fr/34.76.99.202","443","OK","Ok via SAN (SNI mandatory)","",""
"cert_chain_of_trust","backend.passculture.beta.gouv.fr/34.76.99.202","443","OK","passed.","",""
"cert_certificatePolicies_EV","backend.passculture.beta.gouv.fr/34.76.99.202","443","INFO","no","",""
"cert_expirationStatus","backend.passculture.beta.gouv.fr/34.76.99.202","443","MEDIUM","expires < 60 days (55)","",""
"cert_notBefore","backend.passculture.beta.gouv.fr/34.76.99.202","443","INFO","2022-09-16 00:00","",""
"cert_notAfter","backend.passculture.beta.gouv.fr/34.76.99.202","443","MEDIUM","2023-09-30 23:59","",""
"cert_extlifeSpan","backend.passculture.beta.gouv.fr/34.76.99.202","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","backend.passculture.beta.gouv.fr/34.76.99.202","443","INFO","not present","",""
"cert_crlDistributionPoints","backend.passculture.beta.gouv.fr/34.76.99.202","443","INFO","http://crl.usertrust.com/GandiStandardSSLCA2.crl","",""
"cert_ocspURL","backend.passculture.beta.gouv.fr/34.76.99.202","443","INFO","http://ocsp.usertrust.com","",""
"OCSP_stapling","backend.passculture.beta.gouv.fr/34.76.99.202","443","LOW","not offered","",""
"cert_mustStapleExtension","backend.passculture.beta.gouv.fr/34.76.99.202","443","INFO","--","",""
"DNS_CAArecord","backend.passculture.beta.gouv.fr/34.76.99.202","443","LOW","--","",""
"certificate_transparency","backend.passculture.beta.gouv.fr/34.76.99.202","443","OK","yes (certificate extension)","",""
"certs_countServer","backend.passculture.beta.gouv.fr/34.76.99.202","443","INFO","2","",""
"certs_list_ordering_problem","backend.passculture.beta.gouv.fr/34.76.99.202","443","INFO","no","",""
"cert_caIssuers","backend.passculture.beta.gouv.fr/34.76.99.202","443","INFO","Gandi Standard SSL CA 2 (Gandi from FR)","",""
