"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","blog.datasubvention.beta.gouv.fr/162.159.137.9","443","INFO","HTTP","",""
"pre_128cipher","blog.datasubvention.beta.gouv.fr/162.159.137.9","443","INFO","No 128 cipher limit bug","",""
"SSLv2","blog.datasubvention.beta.gouv.fr/162.159.137.9","443","OK","not offered","",""
"SSLv3","blog.datasubvention.beta.gouv.fr/162.159.137.9","443","OK","not offered","",""
"TLS1","blog.datasubvention.beta.gouv.fr/162.159.137.9","443","INFO","not offered","",""
"TLS1_1","blog.datasubvention.beta.gouv.fr/162.159.137.9","443","INFO","not offered","",""
"TLS1_2","blog.datasubvention.beta.gouv.fr/162.159.137.9","443","OK","offered","",""
"TLS1_3","blog.datasubvention.beta.gouv.fr/162.159.137.9","443","OK","offered with final","",""
"ALPN_HTTP2","blog.datasubvention.beta.gouv.fr/162.159.137.9","443","OK","h2","",""
"ALPN","blog.datasubvention.beta.gouv.fr/162.159.137.9","443","INFO","http/1.1","",""
"cipherlist_NULL","blog.datasubvention.beta.gouv.fr/162.159.137.9","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","blog.datasubvention.beta.gouv.fr/162.159.137.9","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","blog.datasubvention.beta.gouv.fr/162.159.137.9","443","OK","not offered","","CWE-327"
"cipherlist_LOW","blog.datasubvention.beta.gouv.fr/162.159.137.9","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","blog.datasubvention.beta.gouv.fr/162.159.137.9","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","blog.datasubvention.beta.gouv.fr/162.159.137.9","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","blog.datasubvention.beta.gouv.fr/162.159.137.9","443","OK","offered","",""
"cipherlist_STRONG_FS","blog.datasubvention.beta.gouv.fr/162.159.137.9","443","OK","offered","",""
"cipher_order-tls1_2","blog.datasubvention.beta.gouv.fr/162.159.137.9","443","OK","server","",""
"cipherorder_TLSv1_2","blog.datasubvention.beta.gouv.fr/162.159.137.9","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256","",""
"cipher_order","blog.datasubvention.beta.gouv.fr/162.159.137.9","443","OK","server -- TLS 1.3 client determined","",""
"FS","blog.datasubvention.beta.gouv.fr/162.159.137.9","443","OK","offered","",""
