"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","cfas.apprentissage.beta.gouv.fr/141.95.161.225","443","INFO","HTTP","",""
"pre_128cipher","cfas.apprentissage.beta.gouv.fr/141.95.161.225","443","INFO","No 128 cipher limit bug","",""
"SSLv2","cfas.apprentissage.beta.gouv.fr/141.95.161.225","443","OK","not offered","",""
"SSLv3","cfas.apprentissage.beta.gouv.fr/141.95.161.225","443","OK","not offered","",""
"TLS1","cfas.apprentissage.beta.gouv.fr/141.95.161.225","443","INFO","not offered","",""
"TLS1_1","cfas.apprentissage.beta.gouv.fr/141.95.161.225","443","INFO","not offered","",""
"TLS1_2","cfas.apprentissage.beta.gouv.fr/141.95.161.225","443","OK","offered","",""
"TLS1_3","cfas.apprentissage.beta.gouv.fr/141.95.161.225","443","OK","offered with final","",""
"ALPN_HTTP2","cfas.apprentissage.beta.gouv.fr/141.95.161.225","443","OK","h2","",""
"ALPN","cfas.apprentissage.beta.gouv.fr/141.95.161.225","443","INFO","http/1.1","",""
"cipherlist_NULL","cfas.apprentissage.beta.gouv.fr/141.95.161.225","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","cfas.apprentissage.beta.gouv.fr/141.95.161.225","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","cfas.apprentissage.beta.gouv.fr/141.95.161.225","443","OK","not offered","","CWE-327"
"cipherlist_LOW","cfas.apprentissage.beta.gouv.fr/141.95.161.225","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","cfas.apprentissage.beta.gouv.fr/141.95.161.225","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","cfas.apprentissage.beta.gouv.fr/141.95.161.225","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","cfas.apprentissage.beta.gouv.fr/141.95.161.225","443","INFO","not offered","",""
"cipherlist_STRONG_FS","cfas.apprentissage.beta.gouv.fr/141.95.161.225","443","OK","offered","",""
"cipher_order-tls1_2","cfas.apprentissage.beta.gouv.fr/141.95.161.225","443","INFO","NOT a cipher order configured","",""
