"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","communaute.inclusion.beta.gouv.fr/91.208.207.221","443","INFO","HTTP","",""
"pre_128cipher","communaute.inclusion.beta.gouv.fr/91.208.207.221","443","INFO","No 128 cipher limit bug","",""
"SSLv2","communaute.inclusion.beta.gouv.fr/91.208.207.221","443","OK","not offered","",""
"SSLv3","communaute.inclusion.beta.gouv.fr/91.208.207.221","443","OK","not offered","",""
"TLS1","communaute.inclusion.beta.gouv.fr/91.208.207.221","443","INFO","not offered","",""
"TLS1_1","communaute.inclusion.beta.gouv.fr/91.208.207.221","443","INFO","not offered","",""
"TLS1_2","communaute.inclusion.beta.gouv.fr/91.208.207.221","443","OK","offered","",""
"TLS1_3","communaute.inclusion.beta.gouv.fr/91.208.207.221","443","OK","offered with final","",""
"ALPN","communaute.inclusion.beta.gouv.fr/91.208.207.221","443","INFO","http/1.1","",""
"cipherlist_NULL","communaute.inclusion.beta.gouv.fr/91.208.207.221","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","communaute.inclusion.beta.gouv.fr/91.208.207.221","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","communaute.inclusion.beta.gouv.fr/91.208.207.221","443","OK","not offered","","CWE-327"
"cipherlist_LOW","communaute.inclusion.beta.gouv.fr/91.208.207.221","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","communaute.inclusion.beta.gouv.fr/91.208.207.221","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","communaute.inclusion.beta.gouv.fr/91.208.207.221","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","communaute.inclusion.beta.gouv.fr/91.208.207.221","443","INFO","not offered","",""
"cipherlist_STRONG_FS","communaute.inclusion.beta.gouv.fr/91.208.207.221","443","OK","offered","",""
"cipher_order-tls1_2","communaute.inclusion.beta.gouv.fr/91.208.207.221","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc030","communaute.inclusion.beta.gouv.fr/91.208.207.221","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 384   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","communaute.inclusion.beta.gouv.fr/91.208.207.221","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 384   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","communaute.inclusion.beta.gouv.fr/91.208.207.221","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","communaute.inclusion.beta.gouv.fr/91.208.207.221","443","INFO","NOT a cipher order configured","",""
"FS","communaute.inclusion.beta.gouv.fr/91.208.207.221","443","OK","offered","",""
"FS_ciphers","communaute.inclusion.beta.gouv.fr/91.208.207.221","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","communaute.inclusion.beta.gouv.fr/91.208.207.221","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","communaute.inclusion.beta.gouv.fr/91.208.207.221","443","INFO","'server name/#0' 'renegotiation info/#65281' 'key share/#51' 'supported versions/#43' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","communaute.inclusion.beta.gouv.fr/91.208.207.221","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","communaute.inclusion.beta.gouv.fr/91.208.207.221","443","INFO","yes","",""
"sessionresumption_ticket","communaute.inclusion.beta.gouv.fr/91.208.207.221","443","INFO","not supported","",""
"sessionresumption_ID","communaute.inclusion.beta.gouv.fr/91.208.207.221","443","INFO","not supported","",""
"TLS_timestamp","communaute.inclusion.beta.gouv.fr/91.208.207.221","443","INFO","random","",""
"certificate_compression","communaute.inclusion.beta.gouv.fr/91.208.207.221","443","INFO","none","",""
"clientAuth","communaute.inclusion.beta.gouv.fr/91.208.207.221","443","INFO","none","",""
"cert_numbers","communaute.inclusion.beta.gouv.fr/91.208.207.221","443","INFO","1","",""
"cert_signatureAlgorithm","communaute.inclusion.beta.gouv.fr/91.208.207.221","443","OK","SHA256 with RSA","",""
"cert_keySize","communaute.inclusion.beta.gouv.fr/91.208.207.221","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","communaute.inclusion.beta.gouv.fr/91.208.207.221","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","communaute.inclusion.beta.gouv.fr/91.208.207.221","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","communaute.inclusion.beta.gouv.fr/91.208.207.221","443","INFO","049BAEF7B1A8BFF0E389D4C64563A54C5A1F","",""
"cert_serialNumberLen","communaute.inclusion.beta.gouv.fr/91.208.207.221","443","INFO","18","",""
"cert_fingerprintSHA1","communaute.inclusion.beta.gouv.fr/91.208.207.221","443","INFO","6EAE400B9A430EB5747A021A60AD94592F479CAC","",""
"cert_fingerprintSHA256","communaute.inclusion.beta.gouv.fr/91.208.207.221","443","INFO","D94F78D635EE8ECB6F9232D2AB7399FF0181502DB4B38275792DB25AAB729E28","",""
"cert","communaute.inclusion.beta.gouv.fr/91.208.207.221","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFEDCCA/igAwIBAgISBJuu97Gov/DjidTGRWOlTFofMA0GCSqGSIb3DQEBCwUAMDMxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQwwCgYDVQQDEwNSMTEwHhcNMjUwMTA0MjA1OTUyWhcNMjUwNDA0MjA1OTUxWjAsMSowKAYDVQQDEyFjb21tdW5hdXRlLmluY2x1c2lvbi5iZXRhLmdvdXYuZnIwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQCAhRXOsPll/T6PADhtLgXsuLXTeUZklRwX8Vg8Wr9sJaaSdvFl8sDt4UVIHtoWARqITvdpsOS05Nt9j3piINutEm/Csz/MsANdXG5m4g6IM+nxp5ABd9+LuNH2rBlHZmax01pnKlcP3vVELnb247DzXnaY3vv73f2UCieVhwb6LA0vEv8XxrDxm1hNKLVIC2oxtpN9D/3EQYpPyOvBtoFSvtQNEPw/36JRCe8wlYSuJPCw1WPUgqrkpychaB6GuByRIjjH5XV0MIP4qwiGjSwW36/9LFRlUHRpLYpfG7Xtx65cUKOV1X2c/dEuPV6bNAPS/GiC6Yq3Y3tlJ962hs8/AgMBAAGjggIjMIICHzAOBgNVHQ8BAf8EBAMCBaAwHQYDVR0lBBYwFAYIKwYBBQUHAwEGCCsGAQUFBwMCMAwGA1UdEwEB/wQCMAAwHQYDVR0OBBYEFF1WnHt3sjQHOqaUQA4BXYVr/RPlMB8GA1UdIwQYMBaAFMXPRqTq9MPAemyVxC2wXpIvJuO5MFcGCCsGAQUFBwEBBEswSTAiBggrBgEFBQcwAYYWaHR0cDovL3IxMS5vLmxlbmNyLm9yZzAjBggrBgEFBQcwAoYXaHR0cDovL3IxMS5pLmxlbmNyLm9yZy8wLAYDVR0RBCUwI4IhY29tbXVuYXV0ZS5pbmNsdXNpb24uYmV0YS5nb3V2LmZyMBMGA1UdIAQMMAowCAYGZ4EMAQIBMIIBAgYKKwYBBAHWeQIEAgSB8wSB8ADuAHUAfVkeEuF4KnscYWd8Xv340IdcFKBOlZ65Ay/ZDowuebgAAAGUM1ORKgAABAMARjBEAiBAzAuQiJ0tpaku554HStAURQwL4sTd+bnQSWFYkyhrFQIgaTX2zdhLyvX4B7R79UvA6tZVyyNo2pt92iXzOl+cAdQAdQBOdaMnXJoQwzhbbNTfP1LrHfDgjhuNacCx+mSxYpo53wAAAZQzU5EfAAAEAwBGMEQCIChGr1CEXOF/LkEG3oO4zn1MKORfB/vh1dI4KQYnoo+gAiA+v4lFscHdPIIZElLm5XP74Sp1z/9S+7xj+3iwEkhtsjANBgkqhkiG9w0BAQsFAAOCAQEAUFosp8gl4JWQoMNwBjtlsbXAoAWlfl4Qc/HSC33+u0JlVK2CuwKHl3gdt5L1YpVksw6YFaex2YA3rjUS2n0Ks1WVhXGeZ7mOLDq/Y+1IBsDM1NYoypL3BLsdUg/t5GqdQXh+nWsxRK82OfVUxtTvTlZCaz1DgfhqnmeWE0wGLHgafHewMaUDDR7+mRRJbEHkQEiVh1gGCqPomq1fgyA9ziJvQB10WIv2AJgkvRH88x7+Dfhr7UQDryAGG/fJm3zDa9XteF3KO1GxnM+i+YJyci/A6+nJssGxweorQai9HQ/sG9vNHFAgDadYHyS7slrJvq7IGWhcjx6F2V7RWlf+Xw==\n-----END CERTIFICATE-----","",""
"cert_commonName","communaute.inclusion.beta.gouv.fr/91.208.207.221","443","OK","communaute.inclusion.beta.gouv.fr","",""
"cert_commonName_wo_SNI","communaute.inclusion.beta.gouv.fr/91.208.207.221","443","INFO","request w/o SNI didn't succeed","",""
