"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","collectivite.fr/80.247.13.145","443","INFO","HTTP","",""
"pre_128cipher","collectivite.fr/80.247.13.145","443","INFO","No 128 cipher limit bug","",""
"SSLv2","collectivite.fr/80.247.13.145","443","OK","not offered","",""
"SSLv3","collectivite.fr/80.247.13.145","443","OK","not offered","",""
"TLS1","collectivite.fr/80.247.13.145","443","INFO","not offered","",""
"TLS1_1","collectivite.fr/80.247.13.145","443","INFO","not offered","",""
"TLS1_2","collectivite.fr/80.247.13.145","443","OK","offered","",""
"TLS1_3","collectivite.fr/80.247.13.145","443","OK","offered with final","",""
"ALPN_HTTP2","collectivite.fr/80.247.13.145","443","OK","h2","",""
"ALPN","collectivite.fr/80.247.13.145","443","INFO","http/1.1","",""
"cipherlist_NULL","collectivite.fr/80.247.13.145","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","collectivite.fr/80.247.13.145","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","collectivite.fr/80.247.13.145","443","OK","not offered","","CWE-327"
"cipherlist_LOW","collectivite.fr/80.247.13.145","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","collectivite.fr/80.247.13.145","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","collectivite.fr/80.247.13.145","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","collectivite.fr/80.247.13.145","443","INFO","not offered","",""
"cipherlist_STRONG_FS","collectivite.fr/80.247.13.145","443","OK","offered","",""
"cipher_order-tls1_2","collectivite.fr/80.247.13.145","443","OK","server","",""
"cipherorder_TLSv1_2","collectivite.fr/80.247.13.145","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","collectivite.fr/80.247.13.145","443","OK","server","",""
"FS","collectivite.fr/80.247.13.145","443","OK","offered","",""
"FS_ciphers","collectivite.fr/80.247.13.145","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_KEMs","collectivite.fr/80.247.13.145","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","collectivite.fr/80.247.13.145","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","collectivite.fr/80.247.13.145","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","collectivite.fr/80.247.13.145","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","collectivite.fr/80.247.13.145","443","INFO","yes","",""
"sessionresumption_ticket","collectivite.fr/80.247.13.145","443","INFO","not supported","",""
"sessionresumption_ID","collectivite.fr/80.247.13.145","443","INFO","not supported","",""
"TLS_timestamp","collectivite.fr/80.247.13.145","443","INFO","random","",""
"certificate_compression","collectivite.fr/80.247.13.145","443","INFO","none","",""
"clientAuth","collectivite.fr/80.247.13.145","443","INFO","none","",""
"cert_numbers","collectivite.fr/80.247.13.145","443","INFO","1","",""
"cert_signatureAlgorithm","collectivite.fr/80.247.13.145","443","OK","SHA256 with RSA","",""
"cert_keySize","collectivite.fr/80.247.13.145","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","collectivite.fr/80.247.13.145","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","collectivite.fr/80.247.13.145","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","collectivite.fr/80.247.13.145","443","INFO","06661DF30348A069E29A28EC61E73F87C391","",""
"cert_serialNumberLen","collectivite.fr/80.247.13.145","443","INFO","18","",""
"cert_fingerprintSHA1","collectivite.fr/80.247.13.145","443","INFO","1681E1E225F5432154EC26C618A553121CBB68B1","",""
"cert_fingerprintSHA256","collectivite.fr/80.247.13.145","443","INFO","EF5F94A14DCA592E951C3E9769BC56AA2FB359BB1AFA4B16B44B714F0699055C","",""
"cert","collectivite.fr/80.247.13.145","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFAjCCA+qgAwIBAgISBmYd8wNIoGnimijsYec/h8ORMA0GCSqGSIb3DQEBCwUAMDMxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQwwCgYDVQQDEwNSMTIwHhcNMjUxMjMwMTczNDQyWhcNMjYwMzMwMTczNDQxWjAaMRgwFgYDVQQDEw9jb2xsZWN0aXZpdGUuZnIwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQChzAcTsI7IDDMEJ3IWd/+CQbFCzA8Z25C1KLfxHt7Me4E6R+G966BfiHDGwggEvCrgzRgTUjoiHXtTJmDafdua51t5I6zayt9bFfWf6RUvRfeJdSI9hm+0SLUPiOZ2+YYhVFFCXAgiB5qmqkXNVJSHAz2TJgGGR5/OwR3sGisFfvp0K2Ip6eASZhmcUndGpm2xIuPjpTgtDWIClmGHn7SbqEJvPn6ZHBFwfcOqfdoaDXt+PS3jWWT/irFInD9YkdCjpxwW6pji7XBKYvZmuBX505Wue4PEeNwVijD8JuMA60wBuujJ6jnV7YgewIaBEQ6+8KgzU4FeXRZj0GINxwbBAgMBAAGjggInMIICIzAOBgNVHQ8BAf8EBAMCBaAwHQYDVR0lBBYwFAYIKwYBBQUHAwEGCCsGAQUFBwMCMAwGA1UdEwEB/wQCMAAwHQYDVR0OBBYEFKD7HTdVm2S4dIriSxbIclDtJsfgMB8GA1UdIwQYMBaAFAC1KfItjm8x6JtMrXg++tzpDNHSMDMGCCsGAQUFBwEBBCcwJTAjBggrBgEFBQcwAoYXaHR0cDovL3IxMi5pLmxlbmNyLm9yZy8wGgYDVR0RBBMwEYIPY29sbGVjdGl2aXRlLmZyMBMGA1UdIAQMMAowCAYGZ4EMAQIBMC4GA1UdHwQnMCUwI6AhoB+GHWh0dHA6Ly9yMTIuYy5sZW5jci5vcmcvMTguY3JsMIIBDAYKKwYBBAHWeQIEAgSB/QSB+gD4AH8AcX6V88I4im2x44RJPTHhWqliCHYtQgDgBQzQZ7WmYeIAAAGbcIkcPAAIAAAFAAWWqGAEAwBIMEYCIQCq5MNbSFolRpJU6T3ywDPgeknUD0JLDuo4HAkT8oteiwIhANnynqvSpHbEvfufCBiu4gKXu/ssdsPAMGI62pzTlyCIAHUA0W6ppWgHfmY1oD83pd28A6U8QRIU1IgY9ekxsyPLlQQAAAGbcIkchAAABAMARjBEAiAcKFoFVQQ9DnPQnnOBS2UzxAXv6xhettAuJ7WzH7GNbQIgAnIHg6eUIuxNeFQffphbywEdd8mTlonwaRwvSb7D8KEwDQYJKoZIhvcNAQELBQADggEBAL90Z6X6MxjQlKDD5yFzEnAEYmus+zX7aPcEtRqn3nOguQD3tF9CHUn5ikfopYIy1e8AXOdLvglZRE47j8NXGjSX7/RMmNHNMpnHerbrqr4k/961BFOix+0xJvw3CIkyfO0zWYPXKjMzqsfx4lql4tESI2vMy4TlN+UuUjwWFAjalYwBKXm3y+VjhvhgVRJPDuOOAlXs2AcGChN8aY/gXk9jM3hS2rRhJ8Buo0OaCB53NCqyTQQ2U+TAEPfwPTkl2U2kx3sbFdQNGY0163wzoC5U5akXTalz3jimi7cRnaWSsWTLssYxgzZoMDOlftNJ3WoKn1vhLf25YY+1UBIpqC4=\n-----END CERTIFICATE-----","",""
"cert_commonName","collectivite.fr/80.247.13.145","443","OK","collectivite.fr","",""
"cert_commonName_wo_SNI","collectivite.fr/80.247.13.145","443","INFO","*.osc-secnum-fr1.scalingo.io","",""
"cert_subjectAltName","collectivite.fr/80.247.13.145","443","INFO","collectivite.fr","",""
"cert_trust","collectivite.fr/80.247.13.145","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_trust_wildcard","collectivite.fr/80.247.13.145","443","LOW","trust is via wildcard","",""
"cert_chain_of_trust","collectivite.fr/80.247.13.145","443","OK","passed.","",""
"cert_certificatePolicies_EV","collectivite.fr/80.247.13.145","443","INFO","no","",""
"cert_expirationStatus","collectivite.fr/80.247.13.145","443","OK","50 >= 30 days","",""
"cert_notBefore","collectivite.fr/80.247.13.145","443","INFO","2025-12-30 17:34","",""
"cert_notAfter","collectivite.fr/80.247.13.145","443","OK","2026-03-30 17:34","",""
"cert_extlifeSpan","collectivite.fr/80.247.13.145","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","collectivite.fr/80.247.13.145","443","INFO","not present","",""
"cert_crlDistributionPoints","collectivite.fr/80.247.13.145","443","INFO","http://r12.c.lencr.org/18.crl","",""
"cert_ocspURL","collectivite.fr/80.247.13.145","443","INFO","--","",""
"OCSP_stapling","collectivite.fr/80.247.13.145","443","INFO","not offered","",""
"cert_mustStapleExtension","collectivite.fr/80.247.13.145","443","INFO","--","",""
"DNS_CAArecord","collectivite.fr/80.247.13.145","443","LOW","--","",""
"certificate_transparency","collectivite.fr/80.247.13.145","443","OK","yes (certificate extension)","",""
"certs_countServer","collectivite.fr/80.247.13.145","443","INFO","2","",""
"certs_list_ordering_problem","collectivite.fr/80.247.13.145","443","INFO","no","",""
"cert_caIssuers","collectivite.fr/80.247.13.145","443","INFO","R12 (Let's Encrypt from US)","",""
