"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","classe-a-12.beta.gouv.fr/185.31.40.21","443","INFO","HTTP","",""
"pre_128cipher","classe-a-12.beta.gouv.fr/185.31.40.21","443","INFO","No 128 cipher limit bug","",""
"SSLv2","classe-a-12.beta.gouv.fr/185.31.40.21","443","OK","not offered","",""
"SSLv3","classe-a-12.beta.gouv.fr/185.31.40.21","443","OK","not offered","",""
"TLS1","classe-a-12.beta.gouv.fr/185.31.40.21","443","INFO","not offered","",""
"TLS1_1","classe-a-12.beta.gouv.fr/185.31.40.21","443","INFO","not offered","",""
"TLS1_2","classe-a-12.beta.gouv.fr/185.31.40.21","443","OK","offered","",""
"TLS1_3","classe-a-12.beta.gouv.fr/185.31.40.21","443","OK","offered with final","",""
"ALPN_HTTP2","classe-a-12.beta.gouv.fr/185.31.40.21","443","OK","h2","",""
"ALPN","classe-a-12.beta.gouv.fr/185.31.40.21","443","INFO","http/1.1","",""
"cipherlist_NULL","classe-a-12.beta.gouv.fr/185.31.40.21","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","classe-a-12.beta.gouv.fr/185.31.40.21","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","classe-a-12.beta.gouv.fr/185.31.40.21","443","OK","not offered","","CWE-327"
"cipherlist_LOW","classe-a-12.beta.gouv.fr/185.31.40.21","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","classe-a-12.beta.gouv.fr/185.31.40.21","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","classe-a-12.beta.gouv.fr/185.31.40.21","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","classe-a-12.beta.gouv.fr/185.31.40.21","443","INFO","not offered","",""
"cipherlist_STRONG_FS","classe-a-12.beta.gouv.fr/185.31.40.21","443","OK","offered","",""
"cipher_order-tls1_2","classe-a-12.beta.gouv.fr/185.31.40.21","443","OK","server","",""
"cipherorder_TLSv1_2","classe-a-12.beta.gouv.fr/185.31.40.21","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","classe-a-12.beta.gouv.fr/185.31.40.21","443","OK","server","",""
"FS","classe-a-12.beta.gouv.fr/185.31.40.21","443","OK","offered","",""
"FS_ciphers","classe-a-12.beta.gouv.fr/185.31.40.21","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","classe-a-12.beta.gouv.fr/185.31.40.21","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","classe-a-12.beta.gouv.fr/185.31.40.21","443","INFO","'renegotiation info/#65281' 'EC point formats/#11' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","classe-a-12.beta.gouv.fr/185.31.40.21","443","INFO","valid for 7200 seconds only (<daily)","",""
"SSL_sessionID_support","classe-a-12.beta.gouv.fr/185.31.40.21","443","INFO","yes","",""
"sessionresumption_ticket","classe-a-12.beta.gouv.fr/185.31.40.21","443","INFO","supported","",""
"sessionresumption_ID","classe-a-12.beta.gouv.fr/185.31.40.21","443","INFO","not supported","",""
"TLS_timestamp","classe-a-12.beta.gouv.fr/185.31.40.21","443","INFO","random","",""
"certificate_compression","classe-a-12.beta.gouv.fr/185.31.40.21","443","INFO","none","",""
"clientAuth","classe-a-12.beta.gouv.fr/185.31.40.21","443","INFO","none","",""
