"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","dev.precontentieux.app.cc.anje-justice.fr/212.129.27.239","443","INFO","HTTP","",""
"pre_128cipher","dev.precontentieux.app.cc.anje-justice.fr/212.129.27.239","443","INFO","No 128 cipher limit bug","",""
"SSLv2","dev.precontentieux.app.cc.anje-justice.fr/212.129.27.239","443","OK","not offered","",""
"SSLv3","dev.precontentieux.app.cc.anje-justice.fr/212.129.27.239","443","OK","not offered","",""
"TLS1","dev.precontentieux.app.cc.anje-justice.fr/212.129.27.239","443","INFO","not offered","",""
"TLS1_1","dev.precontentieux.app.cc.anje-justice.fr/212.129.27.239","443","INFO","not offered","",""
"TLS1_2","dev.precontentieux.app.cc.anje-justice.fr/212.129.27.239","443","OK","offered","",""
"TLS1_3","dev.precontentieux.app.cc.anje-justice.fr/212.129.27.239","443","OK","offered with final","",""
"ALPN","dev.precontentieux.app.cc.anje-justice.fr/212.129.27.239","443","INFO","http/1.1","",""
"cipherlist_NULL","dev.precontentieux.app.cc.anje-justice.fr/212.129.27.239","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","dev.precontentieux.app.cc.anje-justice.fr/212.129.27.239","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","dev.precontentieux.app.cc.anje-justice.fr/212.129.27.239","443","OK","not offered","","CWE-327"
"cipherlist_LOW","dev.precontentieux.app.cc.anje-justice.fr/212.129.27.239","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","dev.precontentieux.app.cc.anje-justice.fr/212.129.27.239","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","dev.precontentieux.app.cc.anje-justice.fr/212.129.27.239","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","dev.precontentieux.app.cc.anje-justice.fr/212.129.27.239","443","INFO","not offered","",""
"cipherlist_STRONG_FS","dev.precontentieux.app.cc.anje-justice.fr/212.129.27.239","443","OK","offered","",""
"cipher_order-tls1_2","dev.precontentieux.app.cc.anje-justice.fr/212.129.27.239","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc030","dev.precontentieux.app.cc.anje-justice.fr/212.129.27.239","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 384   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","dev.precontentieux.app.cc.anje-justice.fr/212.129.27.239","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 384   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","dev.precontentieux.app.cc.anje-justice.fr/212.129.27.239","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","dev.precontentieux.app.cc.anje-justice.fr/212.129.27.239","443","INFO","NOT a server cipher order configured","",""
"FS","dev.precontentieux.app.cc.anje-justice.fr/212.129.27.239","443","OK","offered","",""
"FS_ciphers","dev.precontentieux.app.cc.anje-justice.fr/212.129.27.239","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","dev.precontentieux.app.cc.anje-justice.fr/212.129.27.239","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","dev.precontentieux.app.cc.anje-justice.fr/212.129.27.239","443","INFO","'server name/#0' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","dev.precontentieux.app.cc.anje-justice.fr/212.129.27.239","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","dev.precontentieux.app.cc.anje-justice.fr/212.129.27.239","443","INFO","yes","",""
"sessionresumption_ticket","dev.precontentieux.app.cc.anje-justice.fr/212.129.27.239","443","INFO","not supported","",""
"sessionresumption_ID","dev.precontentieux.app.cc.anje-justice.fr/212.129.27.239","443","INFO","not supported","",""
"TLS_timestamp","dev.precontentieux.app.cc.anje-justice.fr/212.129.27.239","443","INFO","random","",""
"certificate_compression","dev.precontentieux.app.cc.anje-justice.fr/212.129.27.239","443","INFO","none","",""
"clientAuth","dev.precontentieux.app.cc.anje-justice.fr/212.129.27.239","443","INFO","none","",""
"cert_numbers","dev.precontentieux.app.cc.anje-justice.fr/212.129.27.239","443","INFO","1","",""
"cert_signatureAlgorithm","dev.precontentieux.app.cc.anje-justice.fr/212.129.27.239","443","OK","SHA256 with RSA","",""
"cert_keySize","dev.precontentieux.app.cc.anje-justice.fr/212.129.27.239","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","dev.precontentieux.app.cc.anje-justice.fr/212.129.27.239","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","dev.precontentieux.app.cc.anje-justice.fr/212.129.27.239","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","dev.precontentieux.app.cc.anje-justice.fr/212.129.27.239","443","INFO","05B1831D2A977DDF1EFB90F2D45FEB1E1284","",""
"cert_serialNumberLen","dev.precontentieux.app.cc.anje-justice.fr/212.129.27.239","443","INFO","18","",""
"cert_fingerprintSHA1","dev.precontentieux.app.cc.anje-justice.fr/212.129.27.239","443","INFO","325503B260A9E64C2C7C612B88159E6D3CFE3BBF","",""
"cert_fingerprintSHA256","dev.precontentieux.app.cc.anje-justice.fr/212.129.27.239","443","INFO","2318D62EAA8D93C23C0379B1EBA3DC7A2C5EFE55D37B15EC860DA11BBAAE1F3A","",""
"cert","dev.precontentieux.app.cc.anje-justice.fr/212.129.27.239","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFLTCCBBWgAwIBAgISBbGDHSqXfd8e+5Dy1F/rHhKEMA0GCSqGSIb3DQEBCwUAMDMxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQwwCgYDVQQDEwNSMTIwHhcNMjUxMDI1MjM1NDAxWhcNMjYwMTIzMjM1NDAwWjA0MTIwMAYDVQQDEylkZXYucHJlY29udGVudGlldXguYXBwLmNjLmFuamUtanVzdGljZS5mcjCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBALKv9z4k+BHl51anxZZV3MmTyS2/umIFMw/M4IC8BQ+UYmjHfOz+yfji41OFbeu2QLoyCrYlhl0p1zxmtC6tZg680DwcvpQYkK3dqBq6V7Nb9Awj25ph7Y3ZS/pOdWgpkSxUb+Wy0VdxZchnkghWN4xIioA9naJxu3et/iWaL+pnHZd3NuP1BO1m46ZqgLRwV/cit0zKU/4KDvRYkmoaPkrufH/pPwZPREL41Fvh/l84ko/CIWUvO7Jok/PY7ZtQrGCRzt0NldqJMnkR67N7Au1ysB2F1hqEF56QLlB6W6Kb5ZskDohoxlHZbEPXau2m1ZZwuPrfaLosh5p1x8D31i0CAwEAAaOCAjgwggI0MA4GA1UdDwEB/wQEAwIFoDAdBgNVHSUEFjAUBggrBgEFBQcDAQYIKwYBBQUHAwIwDAYDVR0TAQH/BAIwADAdBgNVHQ4EFgQUQbcNBki7hd3L1LyL9QtIeXQfwi4wHwYDVR0jBBgwFoAUALUp8i2ObzHom0yteD763OkM0dIwMwYIKwYBBQUHAQEEJzAlMCMGCCsGAQUFBzAChhdodHRwOi8vcjEyLmkubGVuY3Iub3JnLzA0BgNVHREELTArgilkZXYucHJlY29udGVudGlldXguYXBwLmNjLmFuamUtanVzdGljZS5mcjATBgNVHSAEDDAKMAgGBmeBDAECATAtBgNVHR8EJjAkMCKgIKAehhxodHRwOi8vcjEyLmMubGVuY3Iub3JnLzUuY3JsMIIBBAYKKwYBBAHWeQIEAgSB9QSB8gDwAHYASZybad4dfOz8Nt7Nh2SmuFuvCoeAGdFVUvvp6ynd+MMAAAGaHgCtYAAABAMARzBFAiEAs84t8+0p27MyxGjnlwTLk24RvEcZQUJTiDGap4gaomICIC+rMB63jRDiFIlUjmfe3R1wpjIPoNxDdr306XcT1/+1AHYADleUvPOuqT4zGyyZB7P3kN+bwj1xMiXdIaklrGHFTiEAAAGaHgCtVwAABAMARzBFAiEA2bALiK3g26HPgeN326SvsgNT5y6sdhLEdXfPFMcxx/4CIEff5zbYQYthSjZz0hvIf0hbuGjG+IFPWERaVP+qxa5sMA0GCSqGSIb3DQEBCwUAA4IBAQC46Rf2VX5geg80hjHEvalk6+5WWu6fYmzeJ0tPFKMcFFj26k9C3FXpE76GdMMqUfNFPdyedwV7UaXNr0h7uAcu4RPmFPEcO0qVw32CwvKq2pnaSoKmBHoWkLnLXRwVfG+Vth/e3KGj3QSnVhlHgICJRW3DnmwULcHGqZiQL5w//p9+sdFhIauZZ8MddQNH5kEqALDps7bfdkKoWzkQmx+Obk4DnKll8awhbKFq1GFE2uTmpW6hMolwUSMREIoDBU62TDTcvbMfWUuWNVsJ5gl2YK3AHuBh5bGv4Pl9h5SM7zB+CHacqoUhlD61dyohFp+TWeT8vNg7M5hSqc1KDmVB\n-----END CERTIFICATE-----","",""
"cert_commonName","dev.precontentieux.app.cc.anje-justice.fr/212.129.27.239","443","OK","dev.precontentieux.app.cc.anje-justice.fr","",""
"cert_commonName_wo_SNI","dev.precontentieux.app.cc.anje-justice.fr/212.129.27.239","443","INFO","request w/o SNI didn't succeed","",""
"cert_subjectAltName","dev.precontentieux.app.cc.anje-justice.fr/212.129.27.239","443","INFO","dev.precontentieux.app.cc.anje-justice.fr","",""
"cert_trust","dev.precontentieux.app.cc.anje-justice.fr/212.129.27.239","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","dev.precontentieux.app.cc.anje-justice.fr/212.129.27.239","443","OK","passed.","",""
