"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","donnees.incubateur.anct.gouv.fr/35.185.44.232","443","INFO","HTTP","",""
"pre_128cipher","donnees.incubateur.anct.gouv.fr/35.185.44.232","443","INFO","No 128 cipher limit bug","",""
"SSLv2","donnees.incubateur.anct.gouv.fr/35.185.44.232","443","OK","not offered","",""
"SSLv3","donnees.incubateur.anct.gouv.fr/35.185.44.232","443","OK","not offered","",""
"TLS1","donnees.incubateur.anct.gouv.fr/35.185.44.232","443","INFO","not offered","",""
"TLS1_1","donnees.incubateur.anct.gouv.fr/35.185.44.232","443","INFO","not offered","",""
"TLS1_2","donnees.incubateur.anct.gouv.fr/35.185.44.232","443","OK","offered","",""
"TLS1_3","donnees.incubateur.anct.gouv.fr/35.185.44.232","443","OK","offered with final","",""
"ALPN_HTTP2","donnees.incubateur.anct.gouv.fr/35.185.44.232","443","OK","h2","",""
"ALPN","donnees.incubateur.anct.gouv.fr/35.185.44.232","443","INFO","http/1.1","",""
"cipherlist_NULL","donnees.incubateur.anct.gouv.fr/35.185.44.232","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","donnees.incubateur.anct.gouv.fr/35.185.44.232","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","donnees.incubateur.anct.gouv.fr/35.185.44.232","443","OK","not offered","","CWE-327"
"cipherlist_LOW","donnees.incubateur.anct.gouv.fr/35.185.44.232","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","donnees.incubateur.anct.gouv.fr/35.185.44.232","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","donnees.incubateur.anct.gouv.fr/35.185.44.232","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","donnees.incubateur.anct.gouv.fr/35.185.44.232","443","INFO","not offered","",""
"cipherlist_STRONG_FS","donnees.incubateur.anct.gouv.fr/35.185.44.232","443","OK","offered","",""
"cipher_order-tls1_2","donnees.incubateur.anct.gouv.fr/35.185.44.232","443","OK","server","",""
"cipherorder_TLSv1_2","donnees.incubateur.anct.gouv.fr/35.185.44.232","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","donnees.incubateur.anct.gouv.fr/35.185.44.232","443","OK","server -- TLS 1.3 client determined","",""
"FS","donnees.incubateur.anct.gouv.fr/35.185.44.232","443","OK","offered","",""
"FS_ciphers","donnees.incubateur.anct.gouv.fr/35.185.44.232","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_KEMs","donnees.incubateur.anct.gouv.fr/35.185.44.232","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","donnees.incubateur.anct.gouv.fr/35.185.44.232","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","donnees.incubateur.anct.gouv.fr/35.185.44.232","443","INFO","'server name/#0' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","donnees.incubateur.anct.gouv.fr/35.185.44.232","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","donnees.incubateur.anct.gouv.fr/35.185.44.232","443","INFO","yes","",""
"sessionresumption_ticket","donnees.incubateur.anct.gouv.fr/35.185.44.232","443","INFO","not supported","",""
"sessionresumption_ID","donnees.incubateur.anct.gouv.fr/35.185.44.232","443","INFO","not supported","",""
"TLS_timestamp","donnees.incubateur.anct.gouv.fr/35.185.44.232","443","INFO","random","",""
