"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","dotations.incubateur.anct.gouv.fr/109.232.236.90","443","INFO","HTTP","",""
"pre_128cipher","dotations.incubateur.anct.gouv.fr/109.232.236.90","443","INFO","No 128 cipher limit bug","",""
"SSLv2","dotations.incubateur.anct.gouv.fr/109.232.236.90","443","OK","not offered","",""
"SSLv3","dotations.incubateur.anct.gouv.fr/109.232.236.90","443","OK","not offered","",""
"TLS1","dotations.incubateur.anct.gouv.fr/109.232.236.90","443","INFO","not offered","",""
"TLS1_1","dotations.incubateur.anct.gouv.fr/109.232.236.90","443","INFO","not offered","",""
"TLS1_2","dotations.incubateur.anct.gouv.fr/109.232.236.90","443","OK","offered","",""
"TLS1_3","dotations.incubateur.anct.gouv.fr/109.232.236.90","443","OK","offered with final","",""
"ALPN_HTTP2","dotations.incubateur.anct.gouv.fr/109.232.236.90","443","OK","h2","",""
"ALPN","dotations.incubateur.anct.gouv.fr/109.232.236.90","443","INFO","http/1.1","",""
"cipherlist_NULL","dotations.incubateur.anct.gouv.fr/109.232.236.90","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","dotations.incubateur.anct.gouv.fr/109.232.236.90","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","dotations.incubateur.anct.gouv.fr/109.232.236.90","443","OK","not offered","","CWE-327"
"cipherlist_LOW","dotations.incubateur.anct.gouv.fr/109.232.236.90","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","dotations.incubateur.anct.gouv.fr/109.232.236.90","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","dotations.incubateur.anct.gouv.fr/109.232.236.90","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","dotations.incubateur.anct.gouv.fr/109.232.236.90","443","INFO","not offered","",""
"cipherlist_STRONG_FS","dotations.incubateur.anct.gouv.fr/109.232.236.90","443","OK","offered","",""
"cipher_order-tls1_2","dotations.incubateur.anct.gouv.fr/109.232.236.90","443","OK","server","",""
"cipherorder_TLSv1_2","dotations.incubateur.anct.gouv.fr/109.232.236.90","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","dotations.incubateur.anct.gouv.fr/109.232.236.90","443","OK","server","",""
"FS","dotations.incubateur.anct.gouv.fr/109.232.236.90","443","OK","offered","",""
"FS_ciphers","dotations.incubateur.anct.gouv.fr/109.232.236.90","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","dotations.incubateur.anct.gouv.fr/109.232.236.90","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","dotations.incubateur.anct.gouv.fr/109.232.236.90","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","dotations.incubateur.anct.gouv.fr/109.232.236.90","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","dotations.incubateur.anct.gouv.fr/109.232.236.90","443","INFO","yes","",""
"sessionresumption_ticket","dotations.incubateur.anct.gouv.fr/109.232.236.90","443","INFO","not supported","",""
"sessionresumption_ID","dotations.incubateur.anct.gouv.fr/109.232.236.90","443","INFO","not supported","",""
"TLS_timestamp","dotations.incubateur.anct.gouv.fr/109.232.236.90","443","INFO","random","",""
"certificate_compression","dotations.incubateur.anct.gouv.fr/109.232.236.90","443","INFO","none","",""
"clientAuth","dotations.incubateur.anct.gouv.fr/109.232.236.90","443","INFO","none","",""
"cert_numbers","dotations.incubateur.anct.gouv.fr/109.232.236.90","443","INFO","1","",""
"cert_signatureAlgorithm","dotations.incubateur.anct.gouv.fr/109.232.236.90","443","OK","SHA256 with RSA","",""
"cert_keySize","dotations.incubateur.anct.gouv.fr/109.232.236.90","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","dotations.incubateur.anct.gouv.fr/109.232.236.90","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","dotations.incubateur.anct.gouv.fr/109.232.236.90","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","dotations.incubateur.anct.gouv.fr/109.232.236.90","443","INFO","06FE50692DDEFCC1C82034A47212BD351B15","",""
"cert_serialNumberLen","dotations.incubateur.anct.gouv.fr/109.232.236.90","443","INFO","18","",""
"cert_fingerprintSHA1","dotations.incubateur.anct.gouv.fr/109.232.236.90","443","INFO","105A981857953B280608EDA7B9710CEBB05A5E74","",""
"cert_fingerprintSHA256","dotations.incubateur.anct.gouv.fr/109.232.236.90","443","INFO","681C0FCB309575427798BA5C6CB0D8C6C776FD0673D818B49A0E2E6A432A7944","",""
"cert","dotations.incubateur.anct.gouv.fr/109.232.236.90","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFHTCCBAWgAwIBAgISBv5QaS3e/MHIIDSkchK9NRsVMA0GCSqGSIb3DQEBCwUAMDMxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQwwCgYDVQQDEwNSMTEwHhcNMjUwNzAyMTU1NzQxWhcNMjUwOTMwMTU1NzQwWjAsMSowKAYDVQQDEyFkb3RhdGlvbnMuaW5jdWJhdGV1ci5hbmN0LmdvdXYuZnIwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQCumAur7khvmy212Ohi4RK7sDWP5jxuRmUnLagu2r0zT5vC9vyxd4AfjEIHZSGdxMgagCqn+FaueBO2WLvoa2jAKIArbcZb1zvjNj+BgTNNiqwx36KN6KHpWnJTq23NCixF/w7nbTNDEmJegdfPagb9lv4icdvCeiXEwuACdNUBh3OaNsbtPuvyaNMe7fmtEyoVDKCcNHkJQsIbpnwzUOzMviD3ZHT1TXq4HMl8VCpCH9FhyYLUU7+zGcriyUcRLtvuQLJWnOg03ZE1V1EsPZ+dMfwpy3oSWn7X+/1rClkGzwSI3B1Be/4PW/qDsFgYXlE6T8TNUqtXMoN1OWPb1IdDAgMBAAGjggIwMIICLDAOBgNVHQ8BAf8EBAMCBaAwHQYDVR0lBBYwFAYIKwYBBQUHAwEGCCsGAQUFBwMCMAwGA1UdEwEB/wQCMAAwHQYDVR0OBBYEFMEFEUfhQdpLNeHmnje3uwmHcQrvMB8GA1UdIwQYMBaAFMXPRqTq9MPAemyVxC2wXpIvJuO5MDMGCCsGAQUFBwEBBCcwJTAjBggrBgEFBQcwAoYXaHR0cDovL3IxMS5pLmxlbmNyLm9yZy8wLAYDVR0RBCUwI4IhZG90YXRpb25zLmluY3ViYXRldXIuYW5jdC5nb3V2LmZyMBMGA1UdIAQMMAowCAYGZ4EMAQIBMC4GA1UdHwQnMCUwI6AhoB+GHWh0dHA6Ly9yMTEuYy5sZW5jci5vcmcvMjIuY3JsMIIBAwYKKwYBBAHWeQIEAgSB9ASB8QDvAHUAfVkeEuF4KnscYWd8Xv340IdcFKBOlZ65Ay/ZDowuebgAAAGXzBE+pwAABAMARjBEAiAP5KIzEZd284kTcfw+XhTrQJwJTyvUB9NkcT+I0s/GbwIgQLIPWJ5dZMRFqWwF/aJSsPZY1dmEyQQTsn5g2ZbHo9cAdgDM+w9qhXEJZf6Vm1PO6bJ8IumFXA2XjbapflTA/kwNsAAAAZfMEUZ3AAAEAwBHMEUCIQCL2FW45eqfehhjITku2gTR+KWhR7DXgiP9Le3+7jTfPAIgWwXImx1XzOz0Dq5OtG0ca317P185GfUe9Tt5PuKyJKUwDQYJKoZIhvcNAQELBQADggEBABJTq+0uwvOOtrX3tQ9arW9U3KdO4rk+AqZ4vSR7NIFS2iWISXl1clgI3RGXBj0XkqdKh56K4BKmusEmeDd7cH8OSPhwjFtFDatskDxnN+5yiKjk7Yo6NjQyq8M/g03zaiOMWf6LpPFuRDrrmHJBAWGS2lZ256/bJiUG4pXU2cBJgQLj3VgxV9iqfn6AxUoZ3wfZ48L/QRIVkwtTYmdmpDWgVazws8ygW7abjYINThHTUYEBaPN5dhDZD6GvQSOHfrL+tIOuCB9TZa5xU3QZZuhlZROkjx8hlo0rfJ4PEimZzTMh/uod7JRYtvXYwg4NMFnGulyko6f7Juz7Pyc0bEQ=\n-----END CERTIFICATE-----","",""
"cert_commonName","dotations.incubateur.anct.gouv.fr/109.232.236.90","443","OK","dotations.incubateur.anct.gouv.fr","",""
"cert_commonName_wo_SNI","dotations.incubateur.anct.gouv.fr/109.232.236.90","443","INFO","*.osc-fr1.scalingo.io","",""
"cert_subjectAltName","dotations.incubateur.anct.gouv.fr/109.232.236.90","443","INFO","dotations.incubateur.anct.gouv.fr","",""
"cert_trust","dotations.incubateur.anct.gouv.fr/109.232.236.90","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_trust_wildcard","dotations.incubateur.anct.gouv.fr/109.232.236.90","443","LOW","trust is via wildcard","",""
"cert_chain_of_trust","dotations.incubateur.anct.gouv.fr/109.232.236.90","443","OK","passed.","",""
"cert_certificatePolicies_EV","dotations.incubateur.anct.gouv.fr/109.232.236.90","443","INFO","no","",""
"cert_expirationStatus","dotations.incubateur.anct.gouv.fr/109.232.236.90","443","OK","37 >= 30 days","",""
"cert_notBefore","dotations.incubateur.anct.gouv.fr/109.232.236.90","443","INFO","2025-07-02 15:57","",""
"cert_notAfter","dotations.incubateur.anct.gouv.fr/109.232.236.90","443","OK","2025-09-30 15:57","",""
"cert_extlifeSpan","dotations.incubateur.anct.gouv.fr/109.232.236.90","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","dotations.incubateur.anct.gouv.fr/109.232.236.90","443","INFO","not present","",""
"cert_crlDistributionPoints","dotations.incubateur.anct.gouv.fr/109.232.236.90","443","INFO","http://r11.c.lencr.org/22.crl","",""
"cert_ocspURL","dotations.incubateur.anct.gouv.fr/109.232.236.90","443","INFO","--","",""
"OCSP_stapling","dotations.incubateur.anct.gouv.fr/109.232.236.90","443","INFO","not offered","",""
"cert_mustStapleExtension","dotations.incubateur.anct.gouv.fr/109.232.236.90","443","INFO","--","",""
"DNS_CAArecord","dotations.incubateur.anct.gouv.fr/109.232.236.90","443","LOW","--","",""
"certificate_transparency","dotations.incubateur.anct.gouv.fr/109.232.236.90","443","OK","yes (certificate extension)","",""
"certs_countServer","dotations.incubateur.anct.gouv.fr/109.232.236.90","443","INFO","2","",""
"certs_list_ordering_problem","dotations.incubateur.anct.gouv.fr/109.232.236.90","443","INFO","no","",""
"cert_caIssuers","dotations.incubateur.anct.gouv.fr/109.232.236.90","443","INFO","R11 (Let's Encrypt from US)","",""
