"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","ellesfontlaculture.beta.gouv.fr/185.31.40.13","443","INFO","HTTP","",""
"pre_128cipher","ellesfontlaculture.beta.gouv.fr/185.31.40.13","443","INFO","No 128 cipher limit bug","",""
"SSLv2","ellesfontlaculture.beta.gouv.fr/185.31.40.13","443","OK","not offered","",""
"SSLv3","ellesfontlaculture.beta.gouv.fr/185.31.40.13","443","OK","not offered","",""
"TLS1","ellesfontlaculture.beta.gouv.fr/185.31.40.13","443","INFO","not offered","",""
"TLS1_1","ellesfontlaculture.beta.gouv.fr/185.31.40.13","443","INFO","not offered","",""
"TLS1_2","ellesfontlaculture.beta.gouv.fr/185.31.40.13","443","OK","offered","",""
"TLS1_3","ellesfontlaculture.beta.gouv.fr/185.31.40.13","443","OK","offered with final","",""
"ALPN_HTTP2","ellesfontlaculture.beta.gouv.fr/185.31.40.13","443","OK","h2","",""
"ALPN","ellesfontlaculture.beta.gouv.fr/185.31.40.13","443","INFO","http/1.1","",""
"cipherlist_NULL","ellesfontlaculture.beta.gouv.fr/185.31.40.13","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","ellesfontlaculture.beta.gouv.fr/185.31.40.13","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","ellesfontlaculture.beta.gouv.fr/185.31.40.13","443","OK","not offered","","CWE-327"
"cipherlist_LOW","ellesfontlaculture.beta.gouv.fr/185.31.40.13","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","ellesfontlaculture.beta.gouv.fr/185.31.40.13","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","ellesfontlaculture.beta.gouv.fr/185.31.40.13","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","ellesfontlaculture.beta.gouv.fr/185.31.40.13","443","INFO","not offered","",""
"cipherlist_STRONG_FS","ellesfontlaculture.beta.gouv.fr/185.31.40.13","443","OK","offered","",""
"cipher_order-tls1_2","ellesfontlaculture.beta.gouv.fr/185.31.40.13","443","OK","server","",""
"cipherorder_TLSv1_2","ellesfontlaculture.beta.gouv.fr/185.31.40.13","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","ellesfontlaculture.beta.gouv.fr/185.31.40.13","443","OK","server","",""
"FS","ellesfontlaculture.beta.gouv.fr/185.31.40.13","443","OK","offered","",""
