"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","entreprise.api.gouv.fr/54.36.95.60","443","INFO","HTTP","",""
"pre_128cipher","entreprise.api.gouv.fr/54.36.95.60","443","INFO","No 128 cipher limit bug","",""
"SSLv2","entreprise.api.gouv.fr/54.36.95.60","443","OK","not offered","",""
"SSLv3","entreprise.api.gouv.fr/54.36.95.60","443","OK","not offered","",""
"TLS1","entreprise.api.gouv.fr/54.36.95.60","443","INFO","not offered","",""
"TLS1_1","entreprise.api.gouv.fr/54.36.95.60","443","INFO","not offered","",""
"TLS1_2","entreprise.api.gouv.fr/54.36.95.60","443","OK","offered","",""
"TLS1_3","entreprise.api.gouv.fr/54.36.95.60","443","OK","offered with final","",""
"ALPN","entreprise.api.gouv.fr/54.36.95.60","443","INFO","http/1.1","",""
"cipherlist_NULL","entreprise.api.gouv.fr/54.36.95.60","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","entreprise.api.gouv.fr/54.36.95.60","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","entreprise.api.gouv.fr/54.36.95.60","443","OK","not offered","","CWE-327"
"cipherlist_LOW","entreprise.api.gouv.fr/54.36.95.60","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","entreprise.api.gouv.fr/54.36.95.60","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","entreprise.api.gouv.fr/54.36.95.60","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","entreprise.api.gouv.fr/54.36.95.60","443","INFO","not offered","",""
"cipherlist_STRONG_FS","entreprise.api.gouv.fr/54.36.95.60","443","OK","offered","",""
"cipher_order-tls1_2","entreprise.api.gouv.fr/54.36.95.60","443","OK","server","",""
"cipherorder_TLSv1_2","entreprise.api.gouv.fr/54.36.95.60","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256","",""
"cipher_order","entreprise.api.gouv.fr/54.36.95.60","443","OK","server","",""
"FS","entreprise.api.gouv.fr/54.36.95.60","443","OK","offered","",""
"FS_ciphers","entreprise.api.gouv.fr/54.36.95.60","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES256-GCM-SHA384","",""
"FS_KEMs","entreprise.api.gouv.fr/54.36.95.60","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","entreprise.api.gouv.fr/54.36.95.60","443","OK","prime256v1","",""
"TLS_extensions","entreprise.api.gouv.fr/54.36.95.60","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","entreprise.api.gouv.fr/54.36.95.60","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","entreprise.api.gouv.fr/54.36.95.60","443","INFO","yes","",""
"sessionresumption_ticket","entreprise.api.gouv.fr/54.36.95.60","443","INFO","not supported","",""
"sessionresumption_ID","entreprise.api.gouv.fr/54.36.95.60","443","INFO","supported","",""
"TLS_timestamp","entreprise.api.gouv.fr/54.36.95.60","443","INFO","random","",""
"certificate_compression","entreprise.api.gouv.fr/54.36.95.60","443","INFO","none","",""
"clientAuth","entreprise.api.gouv.fr/54.36.95.60","443","INFO","none","",""
"cert_numbers","entreprise.api.gouv.fr/54.36.95.60","443","INFO","1","",""
"cert_signatureAlgorithm","entreprise.api.gouv.fr/54.36.95.60","443","OK","ECDSA with SHA384","",""
"cert_keySize","entreprise.api.gouv.fr/54.36.95.60","443","OK","EC 256 bits (curve P-256)","",""
"cert_keyUsage","entreprise.api.gouv.fr/54.36.95.60","443","INFO","Digital Signature","",""
"cert_extKeyUsage","entreprise.api.gouv.fr/54.36.95.60","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","entreprise.api.gouv.fr/54.36.95.60","443","INFO","064A35ACC9D4138B5BF3349E9617AF2A5C3F","",""
"cert_serialNumberLen","entreprise.api.gouv.fr/54.36.95.60","443","INFO","18","",""
"cert_fingerprintSHA1","entreprise.api.gouv.fr/54.36.95.60","443","INFO","C9BFA72CF8C80E8DF546BA33E4CEFA8EA65517B3","",""
"cert_fingerprintSHA256","entreprise.api.gouv.fr/54.36.95.60","443","INFO","CF9B910F36E4DA175904DAEB8D4FF138F88BD728A0CD41C662F807AB1C7EEB27","",""
"cert","entreprise.api.gouv.fr/54.36.95.60","443","INFO","-----BEGIN CERTIFICATE-----\nMIIDoDCCAyegAwIBAgISBko1rMnUE4tb8zSelhevKlw/MAoGCCqGSM49BAMDMDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQDEwJFNzAeFw0yNTEyMTcwMzA1NTFaFw0yNjAzMTcwMzA1NTBaMCExHzAdBgNVBAMTFmVudHJlcHJpc2UuYXBpLmdvdXYuZnIwWTATBgcqhkjOPQIBBggqhkjOPQMBBwNCAARfsKNcWS2PLGdgTidEG36k3PcMvr5ab0NSaz3mQsSJSW2BEOVwH2sD6lviXL01S1NlXR3p1MSWOGWR5WPlIaXxo4ICLDCCAigwDgYDVR0PAQH/BAQDAgeAMB0GA1UdJQQWMBQGCCsGAQUFBwMBBggrBgEFBQcDAjAMBgNVHRMBAf8EAjAAMB0GA1UdDgQWBBRhMN9u/yUDKfmBa/9N0utBbeSxUzAfBgNVHSMEGDAWgBSuSJ7chx1EoG/aouVgdAR4wpwAgDAyBggrBgEFBQcBAQQmMCQwIgYIKwYBBQUHMAKGFmh0dHA6Ly9lNy5pLmxlbmNyLm9yZy8wIQYDVR0RBBowGIIWZW50cmVwcmlzZS5hcGkuZ291di5mcjATBgNVHSAEDDAKMAgGBmeBDAECATAtBgNVHR8EJjAkMCKgIKAehhxodHRwOi8vZTcuYy5sZW5jci5vcmcvNjQuY3JsMIIBDAYKKwYBBAHWeQIEAgSB/QSB+gD4AHYAZBHEbKQS7KeJHKICLgC8q08oB9QeNSer6v7VA8l9zfAAAAGbKnr61gAABAMARzBFAiEAmdSQ0+gvY2WLDKbDtPmPgrn96z3N2wPfSPh/5aZ5haMCICMWxYmjq3dn4Ic7bZEpGra1EIPI0gZYq02qAVXcJJs3AH4Apcl4kl1XRheChw3YiWYLXFVki30AQPLsB2hR0YhpGfcAAAGbKnsElgAIAAAFACvkozIEAwBHMEUCIQCdGbWqF2NQXLrvPQrB6gGpuhOMlScG2CDx9OfsfmYGRAIgSyThA4VdILBBc7d2olMWsAuCbBTNDtUBIRtCPWD/+6QwCgYIKoZIzj0EAwMDZwAwZAIwLgtUnkbhsly8el3nnJm0201+u4sAYQmXVhS/86dmxwNXsk8bzCCklZYO0iVHqGvIAjBAsHQ0XTSPBqA7IOx2ndccihDNhPeh2cFfBryaSRvjwt9HnRsOHiHc2quJl5nGU84=\n-----END CERTIFICATE-----","",""
"cert_commonName","entreprise.api.gouv.fr/54.36.95.60","443","OK","entreprise.api.gouv.fr","",""
"cert_commonName_wo_SNI","entreprise.api.gouv.fr/54.36.95.60","443","INFO","back.datapass.api.gouv.fr","",""
"cert_subjectAltName","entreprise.api.gouv.fr/54.36.95.60","443","INFO","entreprise.api.gouv.fr","",""
"cert_trust","entreprise.api.gouv.fr/54.36.95.60","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","entreprise.api.gouv.fr/54.36.95.60","443","OK","passed.","",""
"cert_certificatePolicies_EV","entreprise.api.gouv.fr/54.36.95.60","443","INFO","no","",""
"cert_expirationStatus","entreprise.api.gouv.fr/54.36.95.60","443","OK","50 >= 30 days","",""
"cert_notBefore","entreprise.api.gouv.fr/54.36.95.60","443","INFO","2025-12-17 03:05","",""
"cert_notAfter","entreprise.api.gouv.fr/54.36.95.60","443","OK","2026-03-17 03:05","",""
"cert_extlifeSpan","entreprise.api.gouv.fr/54.36.95.60","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","entreprise.api.gouv.fr/54.36.95.60","443","INFO","not present","",""
"cert_crlDistributionPoints","entreprise.api.gouv.fr/54.36.95.60","443","INFO","http://e7.c.lencr.org/64.crl","",""
"cert_ocspURL","entreprise.api.gouv.fr/54.36.95.60","443","INFO","--","",""
"OCSP_stapling","entreprise.api.gouv.fr/54.36.95.60","443","INFO","not offered","",""
"cert_mustStapleExtension","entreprise.api.gouv.fr/54.36.95.60","443","INFO","--","",""
"DNS_CAArecord","entreprise.api.gouv.fr/54.36.95.60","443","LOW","--","",""
"certificate_transparency","entreprise.api.gouv.fr/54.36.95.60","443","OK","yes (certificate extension)","",""
"certs_countServer","entreprise.api.gouv.fr/54.36.95.60","443","INFO","2","",""
"certs_list_ordering_problem","entreprise.api.gouv.fr/54.36.95.60","443","INFO","no","",""
"cert_caIssuers","entreprise.api.gouv.fr/54.36.95.60","443","INFO","E7 (Let's Encrypt from US)","",""
