"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","futurpro.inserjeunes.beta.gouv.fr/54.38.224.97","443","INFO","HTTP","",""
"pre_128cipher","futurpro.inserjeunes.beta.gouv.fr/54.38.224.97","443","INFO","No 128 cipher limit bug","",""
"SSLv2","futurpro.inserjeunes.beta.gouv.fr/54.38.224.97","443","OK","not offered","",""
"SSLv3","futurpro.inserjeunes.beta.gouv.fr/54.38.224.97","443","OK","not offered","",""
"TLS1","futurpro.inserjeunes.beta.gouv.fr/54.38.224.97","443","INFO","not offered","",""
"TLS1_1","futurpro.inserjeunes.beta.gouv.fr/54.38.224.97","443","INFO","not offered","",""
"TLS1_2","futurpro.inserjeunes.beta.gouv.fr/54.38.224.97","443","OK","offered","",""
"TLS1_3","futurpro.inserjeunes.beta.gouv.fr/54.38.224.97","443","OK","offered with final","",""
"ALPN","futurpro.inserjeunes.beta.gouv.fr/54.38.224.97","443","INFO","http/1.1","",""
"cipherlist_NULL","futurpro.inserjeunes.beta.gouv.fr/54.38.224.97","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","futurpro.inserjeunes.beta.gouv.fr/54.38.224.97","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","futurpro.inserjeunes.beta.gouv.fr/54.38.224.97","443","OK","not offered","","CWE-327"
"cipherlist_LOW","futurpro.inserjeunes.beta.gouv.fr/54.38.224.97","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","futurpro.inserjeunes.beta.gouv.fr/54.38.224.97","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","futurpro.inserjeunes.beta.gouv.fr/54.38.224.97","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","futurpro.inserjeunes.beta.gouv.fr/54.38.224.97","443","INFO","not offered","",""
"cipherlist_STRONG_FS","futurpro.inserjeunes.beta.gouv.fr/54.38.224.97","443","OK","offered","",""
"cipher_order-tls1_2","futurpro.inserjeunes.beta.gouv.fr/54.38.224.97","443","OK","server","",""
"cipherorder_TLSv1_2","futurpro.inserjeunes.beta.gouv.fr/54.38.224.97","443","INFO","ECDHE-ECDSA-AES256-GCM-SHA384","",""
"cipher_order","futurpro.inserjeunes.beta.gouv.fr/54.38.224.97","443","OK","server","",""
"FS","futurpro.inserjeunes.beta.gouv.fr/54.38.224.97","443","OK","offered","",""
"FS_ciphers","futurpro.inserjeunes.beta.gouv.fr/54.38.224.97","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES128-SHA256 ECDHE-ECDSA-AES128-SHA ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES256-SHA384 ECDHE-ECDSA-AES256-SHA ECDHE-ECDSA-CAMELLIA128-SHA256 ECDHE-ECDSA-CAMELLIA256-SHA384","",""
"FS_KEMs","futurpro.inserjeunes.beta.gouv.fr/54.38.224.97","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","futurpro.inserjeunes.beta.gouv.fr/54.38.224.97","443","OK","prime256v1","",""
"TLS_extensions","futurpro.inserjeunes.beta.gouv.fr/54.38.224.97","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","futurpro.inserjeunes.beta.gouv.fr/54.38.224.97","443","INFO","valid for 600 seconds only (<daily)","",""
"SSL_sessionID_support","futurpro.inserjeunes.beta.gouv.fr/54.38.224.97","443","INFO","yes","",""
"sessionresumption_ticket","futurpro.inserjeunes.beta.gouv.fr/54.38.224.97","443","INFO","supported","",""
"sessionresumption_ID","futurpro.inserjeunes.beta.gouv.fr/54.38.224.97","443","INFO","supported","",""
"TLS_timestamp","futurpro.inserjeunes.beta.gouv.fr/54.38.224.97","443","INFO","random","",""
"certificate_compression","futurpro.inserjeunes.beta.gouv.fr/54.38.224.97","443","INFO","none","",""
"clientAuth","futurpro.inserjeunes.beta.gouv.fr/54.38.224.97","443","INFO","none","",""
"cert_numbers","futurpro.inserjeunes.beta.gouv.fr/54.38.224.97","443","INFO","1","",""
"cert_signatureAlgorithm","futurpro.inserjeunes.beta.gouv.fr/54.38.224.97","443","OK","ECDSA with SHA384","",""
"cert_keySize","futurpro.inserjeunes.beta.gouv.fr/54.38.224.97","443","OK","EC 256 bits (curve P-256)","",""
"cert_keyUsage","futurpro.inserjeunes.beta.gouv.fr/54.38.224.97","443","INFO","Digital Signature","",""
"cert_extKeyUsage","futurpro.inserjeunes.beta.gouv.fr/54.38.224.97","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","futurpro.inserjeunes.beta.gouv.fr/54.38.224.97","443","INFO","060482762B8466956F7963693CB744A84CF5","",""
"cert_serialNumberLen","futurpro.inserjeunes.beta.gouv.fr/54.38.224.97","443","INFO","18","",""
"cert_fingerprintSHA1","futurpro.inserjeunes.beta.gouv.fr/54.38.224.97","443","INFO","6E8BC7350C534305CBAD0E3A9DC9A932A4221CE7","",""
"cert_fingerprintSHA256","futurpro.inserjeunes.beta.gouv.fr/54.38.224.97","443","INFO","C5BA45E8695370D09A18B3A2AE71FB519A87B0D40824D2E6A56A6022C58131F1","",""
"cert","futurpro.inserjeunes.beta.gouv.fr/54.38.224.97","443","INFO","-----BEGIN CERTIFICATE-----\nMIIEODCCA76gAwIBAgISBgSCdiuEZpVveWNpPLdEqEz1MAoGCCqGSM49BAMDMDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQDEwJFNzAeFw0yNjA1MDkxMzMzNDZaFw0yNjA4MDcxMzMzNDVaMCwxKjAoBgNVBAMTIWZ1dHVycHJvLmluc2VyamV1bmVzLmJldGEuZ291di5mcjBZMBMGByqGSM49AgEGCCqGSM49AwEHA0IABLBhVIvEH2GKRf062asveKlihETBUgAqQhH+we6fCKGBJ6Pb7NBRtPBYhLLeLqqu27ItYx99mD5LTCyizX4Dl2GjggK4MIICtDAOBgNVHQ8BAf8EBAMCB4AwEwYDVR0lBAwwCgYIKwYBBQUHAwEwDAYDVR0TAQH/BAIwADAdBgNVHQ4EFgQU0RHcDvMZ78yFNnmmxmP5liA3FRYwHwYDVR0jBBgwFoAUrkie3IcdRKBv2qLlYHQEeMKcAIAwMgYIKwYBBQUHAQEEJjAkMCIGCCsGAQUFBzAChhZodHRwOi8vZTcuaS5sZW5jci5vcmcvMIG2BgNVHREEga4wgauCJWFwaS5mdXR1cnByby5pbnNlcmpldW5lcy5iZXRhLmdvdXYuZnKCL2RvY3VtZW50YXRpb24uZnV0dXJwcm8uaW5zZXJqZXVuZXMuYmV0YS5nb3V2LmZygiFmdXR1cnByby5pbnNlcmpldW5lcy5iZXRhLmdvdXYuZnKCLnN0YXRpc3RpcXVlcy5mdXR1cnByby5pbnNlcmpldW5lcy5iZXRhLmdvdXYuZnIwEwYDVR0gBAwwCjAIBgZngQwBAgEwLgYDVR0fBCcwJTAjoCGgH4YdaHR0cDovL2U3LmMubGVuY3Iub3JnLzExOC5jcmwwggELBgorBgEEAdZ5AgQCBIH8BIH5APcAdgDCMX5XRRmjRe5/ON6ykEHrx8IhWiK/f9W1rXaa2Q5SzQAAAZ4NJ0EgAAAEAwBHMEUCIC0S2UTOSWAWc9L1hdsVXN8JKyZVFVkWTU2Be8I9qxEuAiEA0pVaclCSIu4aapp6H1u3qunHYb9SI5VZqvlLFo1mZysAfQCoJsvjCsY1EkZTP+Bl8U8Z2W4ZCBPEHdlteQCzEjxVJwAAAZ4NJ0NZAAgAAAUACjJaTQQDAEYwRAIgRCe9JpzAupHgPNcsgHS+37X23FgNkdXivuWigJqtU7UCIAhd5fhYzCo8MMfuNP5kpIMGM01aJXmFBw3c4mjBRad3MAoGCCqGSM49BAMDA2gAMGUCMQCZXTolzzyszF2MsMTaeDFSxMJhV0unmGxfxrj+Mp2S9vL3sYHjBEMGQT8yhN4P7FgCMG8d5SD0aglA8upj/SEy00wEdwxNIrHdfb/gE9u7u1KVqIktXAnFGvKj9DZyb1PhrA==\n-----END CERTIFICATE-----","",""
"cert_commonName","futurpro.inserjeunes.beta.gouv.fr/54.38.224.97","443","OK","futurpro.inserjeunes.beta.gouv.fr","",""
"cert_commonName_wo_SNI","futurpro.inserjeunes.beta.gouv.fr/54.38.224.97","443","INFO","futurpro.inserjeunes.beta.gouv.fr","",""
"cert_subjectAltName","futurpro.inserjeunes.beta.gouv.fr/54.38.224.97","443","INFO","api.futurpro.inserjeunes.beta.gouv.fr documentation.futurpro.inserjeunes.beta.gouv.fr futurpro.inserjeunes.beta.gouv.fr statistiques.futurpro.inserjeunes.beta.gouv.fr","",""
"cert_trust","futurpro.inserjeunes.beta.gouv.fr/54.38.224.97","443","OK","Ok via SAN and CN (same w/o SNI)","",""
"cert_chain_of_trust","futurpro.inserjeunes.beta.gouv.fr/54.38.224.97","443","OK","passed.","",""
"cert_certificatePolicies_EV","futurpro.inserjeunes.beta.gouv.fr/54.38.224.97","443","INFO","no","",""
"cert_expirationStatus","futurpro.inserjeunes.beta.gouv.fr/54.38.224.97","443","OK","60 >= 30 days","",""
"cert_notBefore","futurpro.inserjeunes.beta.gouv.fr/54.38.224.97","443","INFO","2026-05-09 13:33","",""
"cert_notAfter","futurpro.inserjeunes.beta.gouv.fr/54.38.224.97","443","OK","2026-08-07 13:33","",""
"cert_extlifeSpan","futurpro.inserjeunes.beta.gouv.fr/54.38.224.97","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","futurpro.inserjeunes.beta.gouv.fr/54.38.224.97","443","INFO","not present","",""
"cert_crlDistributionPoints","futurpro.inserjeunes.beta.gouv.fr/54.38.224.97","443","INFO","http://e7.c.lencr.org/118.crl","",""
"cert_ocspURL","futurpro.inserjeunes.beta.gouv.fr/54.38.224.97","443","INFO","--","",""
"OCSP_stapling","futurpro.inserjeunes.beta.gouv.fr/54.38.224.97","443","INFO","not offered","",""
"cert_mustStapleExtension","futurpro.inserjeunes.beta.gouv.fr/54.38.224.97","443","INFO","--","",""
"DNS_CAArecord","futurpro.inserjeunes.beta.gouv.fr/54.38.224.97","443","LOW","--","",""
"certificate_transparency","futurpro.inserjeunes.beta.gouv.fr/54.38.224.97","443","OK","yes (certificate extension)","",""
"certs_countServer","futurpro.inserjeunes.beta.gouv.fr/54.38.224.97","443","INFO","2","",""
"certs_list_ordering_problem","futurpro.inserjeunes.beta.gouv.fr/54.38.224.97","443","INFO","no","",""
"cert_caIssuers","futurpro.inserjeunes.beta.gouv.fr/54.38.224.97","443","INFO","E7 (Let's Encrypt from US)","",""
