"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","labonnealternance.apprentissage.beta.gouv.fr/57.128.2.134","443","INFO","HTTP","",""
"pre_128cipher","labonnealternance.apprentissage.beta.gouv.fr/57.128.2.134","443","INFO","No 128 cipher limit bug","",""
"SSLv2","labonnealternance.apprentissage.beta.gouv.fr/57.128.2.134","443","OK","not offered","",""
"SSLv3","labonnealternance.apprentissage.beta.gouv.fr/57.128.2.134","443","OK","not offered","",""
"TLS1","labonnealternance.apprentissage.beta.gouv.fr/57.128.2.134","443","INFO","not offered","",""
"TLS1_1","labonnealternance.apprentissage.beta.gouv.fr/57.128.2.134","443","INFO","not offered","",""
"TLS1_2","labonnealternance.apprentissage.beta.gouv.fr/57.128.2.134","443","OK","offered","",""
"TLS1_3","labonnealternance.apprentissage.beta.gouv.fr/57.128.2.134","443","OK","offered with final","",""
"ALPN_HTTP2","labonnealternance.apprentissage.beta.gouv.fr/57.128.2.134","443","OK","h2","",""
"ALPN","labonnealternance.apprentissage.beta.gouv.fr/57.128.2.134","443","INFO","http/1.1","",""
"cipherlist_NULL","labonnealternance.apprentissage.beta.gouv.fr/57.128.2.134","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","labonnealternance.apprentissage.beta.gouv.fr/57.128.2.134","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","labonnealternance.apprentissage.beta.gouv.fr/57.128.2.134","443","OK","not offered","","CWE-327"
"cipherlist_LOW","labonnealternance.apprentissage.beta.gouv.fr/57.128.2.134","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","labonnealternance.apprentissage.beta.gouv.fr/57.128.2.134","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","labonnealternance.apprentissage.beta.gouv.fr/57.128.2.134","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","labonnealternance.apprentissage.beta.gouv.fr/57.128.2.134","443","INFO","not offered","",""
"cipherlist_STRONG_FS","labonnealternance.apprentissage.beta.gouv.fr/57.128.2.134","443","OK","offered","",""
"cipher_order-tls1_2","labonnealternance.apprentissage.beta.gouv.fr/57.128.2.134","443","INFO","NOT a cipher order configured","",""
