"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","ma-cantine.beta.gouv.fr/185.42.117.108","443","INFO","HTTP","",""
"pre_128cipher","ma-cantine.beta.gouv.fr/185.42.117.108","443","INFO","No 128 cipher limit bug","",""
"SSLv2","ma-cantine.beta.gouv.fr/185.42.117.108","443","OK","not offered","",""
"SSLv3","ma-cantine.beta.gouv.fr/185.42.117.108","443","OK","not offered","",""
"TLS1","ma-cantine.beta.gouv.fr/185.42.117.108","443","LOW","offered (deprecated)","",""
"TLS1_1","ma-cantine.beta.gouv.fr/185.42.117.108","443","LOW","offered (deprecated)","",""
"TLS1_2","ma-cantine.beta.gouv.fr/185.42.117.108","443","OK","offered","",""
"TLS1_3","ma-cantine.beta.gouv.fr/185.42.117.108","443","OK","offered with final","",""
"ALPN","ma-cantine.beta.gouv.fr/185.42.117.108","443","INFO","not offered","",""
"cipherlist_NULL","ma-cantine.beta.gouv.fr/185.42.117.108","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","ma-cantine.beta.gouv.fr/185.42.117.108","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","ma-cantine.beta.gouv.fr/185.42.117.108","443","OK","not offered","","CWE-327"
"cipherlist_LOW","ma-cantine.beta.gouv.fr/185.42.117.108","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","ma-cantine.beta.gouv.fr/185.42.117.108","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","ma-cantine.beta.gouv.fr/185.42.117.108","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","ma-cantine.beta.gouv.fr/185.42.117.108","443","OK","offered","",""
"cipherlist_STRONG","ma-cantine.beta.gouv.fr/185.42.117.108","443","OK","offered","",""
"cipher_order","ma-cantine.beta.gouv.fr/185.42.117.108","443","OK","server","",""
"protocol_negotiated","ma-cantine.beta.gouv.fr/185.42.117.108","443","OK","Default protocol TLS1.3","",""
"cipher_negotiated","ma-cantine.beta.gouv.fr/185.42.117.108","443","OK","TLS_AES_256_GCM_SHA384, 256 bit ECDH (P-256)","",""
"cipherorder_TLSv1","ma-cantine.beta.gouv.fr/185.42.117.108","443","INFO","ECDHE-RSA-AES128-SHA","",""
"cipherorder_TLSv1_1","ma-cantine.beta.gouv.fr/185.42.117.108","443","INFO","ECDHE-RSA-AES128-SHA","",""
"cipherorder_TLSv1_2","ma-cantine.beta.gouv.fr/185.42.117.108","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"FS","ma-cantine.beta.gouv.fr/185.42.117.108","443","OK","offered","",""
"FS_ciphers","ma-cantine.beta.gouv.fr/185.42.117.108","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES128-SHA DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 DHE-RSA-AES256-SHA ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","ma-cantine.beta.gouv.fr/185.42.117.108","443","OK","prime256v1","",""
"TLS_extensions","ma-cantine.beta.gouv.fr/185.42.117.108","443","INFO","'renegotiation info/#65281' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'max fragment length/#1' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","ma-cantine.beta.gouv.fr/185.42.117.108","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","ma-cantine.beta.gouv.fr/185.42.117.108","443","INFO","no","",""
"sessionresumption_ticket","ma-cantine.beta.gouv.fr/185.42.117.108","443","INFO","not supported","",""
