"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","mediature.beta.gouv.fr/185.21.194.105","443","INFO","HTTP","",""
"pre_128cipher","mediature.beta.gouv.fr/185.21.194.105","443","INFO","No 128 cipher limit bug","",""
"SSLv2","mediature.beta.gouv.fr/185.21.194.105","443","OK","not offered","",""
"SSLv3","mediature.beta.gouv.fr/185.21.194.105","443","OK","not offered","",""
"TLS1","mediature.beta.gouv.fr/185.21.194.105","443","INFO","not offered","",""
"TLS1_1","mediature.beta.gouv.fr/185.21.194.105","443","INFO","not offered","",""
"TLS1_2","mediature.beta.gouv.fr/185.21.194.105","443","OK","offered","",""
"TLS1_3","mediature.beta.gouv.fr/185.21.194.105","443","OK","offered with final","",""
"ALPN_HTTP2","mediature.beta.gouv.fr/185.21.194.105","443","OK","h2","",""
"ALPN","mediature.beta.gouv.fr/185.21.194.105","443","INFO","http/1.1","",""
"cipherlist_NULL","mediature.beta.gouv.fr/185.21.194.105","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","mediature.beta.gouv.fr/185.21.194.105","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","mediature.beta.gouv.fr/185.21.194.105","443","OK","not offered","","CWE-327"
"cipherlist_LOW","mediature.beta.gouv.fr/185.21.194.105","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","mediature.beta.gouv.fr/185.21.194.105","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","mediature.beta.gouv.fr/185.21.194.105","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","mediature.beta.gouv.fr/185.21.194.105","443","INFO","not offered","",""
"cipherlist_STRONG_FS","mediature.beta.gouv.fr/185.21.194.105","443","OK","offered","",""
"cipher_order-tls1_2","mediature.beta.gouv.fr/185.21.194.105","443","OK","server","",""
"cipherorder_TLSv1_2","mediature.beta.gouv.fr/185.21.194.105","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","mediature.beta.gouv.fr/185.21.194.105","443","OK","server","",""
"FS","mediature.beta.gouv.fr/185.21.194.105","443","OK","offered","",""
"FS_ciphers","mediature.beta.gouv.fr/185.21.194.105","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_KEMs","mediature.beta.gouv.fr/185.21.194.105","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","mediature.beta.gouv.fr/185.21.194.105","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","mediature.beta.gouv.fr/185.21.194.105","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","mediature.beta.gouv.fr/185.21.194.105","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","mediature.beta.gouv.fr/185.21.194.105","443","INFO","yes","",""
"sessionresumption_ticket","mediature.beta.gouv.fr/185.21.194.105","443","INFO","not supported","",""
"sessionresumption_ID","mediature.beta.gouv.fr/185.21.194.105","443","INFO","not supported","",""
"TLS_timestamp","mediature.beta.gouv.fr/185.21.194.105","443","INFO","random","",""
"certificate_compression","mediature.beta.gouv.fr/185.21.194.105","443","INFO","none","",""
"clientAuth","mediature.beta.gouv.fr/185.21.194.105","443","INFO","none","",""
"cert_numbers","mediature.beta.gouv.fr/185.21.194.105","443","INFO","1","",""
"cert_signatureAlgorithm","mediature.beta.gouv.fr/185.21.194.105","443","OK","SHA256 with RSA","",""
"cert_keySize","mediature.beta.gouv.fr/185.21.194.105","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","mediature.beta.gouv.fr/185.21.194.105","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","mediature.beta.gouv.fr/185.21.194.105","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","mediature.beta.gouv.fr/185.21.194.105","443","INFO","059F2BC4774C98C65072B71FF42126EEA75D","",""
"cert_serialNumberLen","mediature.beta.gouv.fr/185.21.194.105","443","INFO","18","",""
"cert_fingerprintSHA1","mediature.beta.gouv.fr/185.21.194.105","443","INFO","558D768C8BF6C7416468467301B087E378534146","",""
"cert_fingerprintSHA256","mediature.beta.gouv.fr/185.21.194.105","443","INFO","F8B2E55B3F9A4EF5CADEC544EE2FB34AEAC56DFC5D8AC8C5D616AC238E5CFAE2","",""
"cert","mediature.beta.gouv.fr/185.21.194.105","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFBzCCA++gAwIBAgISBZ8rxHdMmMZQcrcf9CEm7qddMA0GCSqGSIb3DQEBCwUAMDMxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQwwCgYDVQQDEwNZUjEwHhcNMjYwODAzMTQ0NjQyWhcNMjYxMTAxMTQ0NjQxWjAhMR8wHQYDVQQDExZtZWRpYXR1cmUuYmV0YS5nb3V2LmZyMIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAtb1va4nJw3Hcq3gqq6su9np2rx4n2ZU9rkIDPlLOXD5+jcDTtvohdpgwHXCmVOP9UeGDj6vu7wqjJ9ZI74YfcNGrW+o9PuZ2p2pN1C7l9aS+EDNw6pK90oH5lQXkPDliTaHZL3Lgbx7KBSZpc3AkAIJOxTl0ksvci0KgCRYAK2J8zktgQeNoRVn6z7GiuOGnWXpivDwZfE3ET8qssaDRR016AZxUDYScEz3oRQ+FMcipzSUiDVuEUX8ZFslKiANtyUHhGyOV25IWeA+nwxOT0Yk8BEEv473mCxTHbEaLbvYZ7xCSnzXIWQHTXbwLG26g2Jvh9KPjvAKtXLl+O8uAmwIDAQABo4ICJTCCAiEwDgYDVR0PAQH/BAQDAgWgMBMGA1UdJQQMMAoGCCsGAQUFBwMBMAwGA1UdEwEB/wQCMAAwHQYDVR0OBBYEFMsypj1By7KPUbMRODTTJjnybjgpMB8GA1UdIwQYMBaAFB8vNb5GFILNQLGueSxVePr31Gj7MDMGCCsGAQUFBwEBBCcwJTAjBggrBgEFBQcwAoYXaHR0cDovL3lyMS5pLmxlbmNyLm9yZy8wIQYDVR0RBBowGIIWbWVkaWF0dXJlLmJldGEuZ291di5mcjATBgNVHSAEDDAKMAgGBmeBDAECATAuBgNVHR8EJzAlMCOgIaAfhh1odHRwOi8veXIxLmMubGVuY3Iub3JnLzk0LmNybDCCAQ0GCisGAQQB1nkCBAIEgf4EgfsA+QB3AK9niDtXsE7dj6bZfvYuqOuBCsdxYPAkXlXWDC/nhYc6AAABn8hM7UgAAAQDAEgwRgIhAOld43mQGr4BdlpbJDo1zb3vmFFOZwXkLDv5PykSjWJkAiEA38JOpsSxphB3jbq2ywWnz8zpZmgQCzaBQ6QYKUgoqfAAfgAai51rD/6/gbR5OcbSMQqG1tEC1PBG4hgsneNfXiYl7wAAAZ/ITO2OAAgAAAUAMN7xOAQDAEcwRQIhANEN0uQNEj4ZjxVDYERXswltTrohQUz28yUfvcblWttDAiBcy5r3zhjGlPPp4E8QkcTJrZOniLAEmmPTLrRWRyBIjzANBgkqhkiG9w0BAQsFAAOCAQEAj5F30M+zbad3ia3LCqqSBAssbkVo2y6XzjqUUAvTkPQY6pQdJDTEJDcqPZFR6pLG0XaLM4eiFxyPw1E1BFbP6DCLu5sT49tKCeFxOyrAo6OOHQtcR4bVnB0FfAuUsFpV91NdTMArK9yAR+yrMv1hT2he7cRqQOnyNb9K0FVVZ1koRrJCcVKcaWK+pCbwE2NuOu/3XTTb/pbZ/0Q3Zg/xE5+XVgim5TkqVp+iyFjVfqYmiqGLgttBtQb6RJEB5jZiy8wHUJvHeNNoTRhCSBkbDNt2WwTW5gD4kQQttci05KGb43ErAVOcEg5A7ZPlX2SlHZyNCsYQCk+tm6O64kw5Ug==\n-----END CERTIFICATE-----","",""
"cert_commonName","mediature.beta.gouv.fr/185.21.194.105","443","OK","mediature.beta.gouv.fr","",""
"cert_commonName_wo_SNI","mediature.beta.gouv.fr/185.21.194.105","443","INFO","*.osc-secnum-fr1.scalingo.io","",""
"cert_subjectAltName","mediature.beta.gouv.fr/185.21.194.105","443","INFO","mediature.beta.gouv.fr","",""
"cert_trust","mediature.beta.gouv.fr/185.21.194.105","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_trust_wildcard","mediature.beta.gouv.fr/185.21.194.105","443","LOW","trust is via wildcard","",""
"cert_chain_of_trust","mediature.beta.gouv.fr/185.21.194.105","443","OK","passed.","",""
"cert_certificatePolicies_EV","mediature.beta.gouv.fr/185.21.194.105","443","INFO","no","",""
"cert_expirationStatus","mediature.beta.gouv.fr/185.21.194.105","443","OK","63 >= 30 days","",""
"cert_notBefore","mediature.beta.gouv.fr/185.21.194.105","443","INFO","2026-08-03 14:46","",""
"cert_notAfter","mediature.beta.gouv.fr/185.21.194.105","443","OK","2026-11-01 14:46","",""
"cert_extlifeSpan","mediature.beta.gouv.fr/185.21.194.105","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","mediature.beta.gouv.fr/185.21.194.105","443","INFO","not present","",""
"cert_crlDistributionPoints","mediature.beta.gouv.fr/185.21.194.105","443","INFO","http://yr1.c.lencr.org/94.crl","",""
"cert_ocspURL","mediature.beta.gouv.fr/185.21.194.105","443","INFO","--","",""
"OCSP_stapling","mediature.beta.gouv.fr/185.21.194.105","443","INFO","not offered","",""
"cert_mustStapleExtension","mediature.beta.gouv.fr/185.21.194.105","443","INFO","--","",""
"DNS_CAArecord","mediature.beta.gouv.fr/185.21.194.105","443","LOW","--","",""
"certificate_transparency","mediature.beta.gouv.fr/185.21.194.105","443","OK","yes (certificate extension)","",""
"certs_countServer","mediature.beta.gouv.fr/185.21.194.105","443","INFO","3","",""
"certs_list_ordering_problem","mediature.beta.gouv.fr/185.21.194.105","443","INFO","no","",""
"cert_caIssuers","mediature.beta.gouv.fr/185.21.194.105","443","INFO","YR1 (Let's Encrypt from US)","",""
