"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","mediature.incubateur.net/5.104.101.30","443","INFO","HTTP","",""
"pre_128cipher","mediature.incubateur.net/5.104.101.30","443","INFO","No 128 cipher limit bug","",""
"SSLv2","mediature.incubateur.net/5.104.101.30","443","OK","not offered","",""
"SSLv3","mediature.incubateur.net/5.104.101.30","443","OK","not offered","",""
"TLS1","mediature.incubateur.net/5.104.101.30","443","INFO","not offered","",""
"TLS1_1","mediature.incubateur.net/5.104.101.30","443","INFO","not offered","",""
"TLS1_2","mediature.incubateur.net/5.104.101.30","443","OK","offered","",""
"TLS1_3","mediature.incubateur.net/5.104.101.30","443","OK","offered with final","",""
"ALPN_HTTP2","mediature.incubateur.net/5.104.101.30","443","OK","h2","",""
"ALPN","mediature.incubateur.net/5.104.101.30","443","INFO","http/1.1","",""
"cipherlist_NULL","mediature.incubateur.net/5.104.101.30","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","mediature.incubateur.net/5.104.101.30","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","mediature.incubateur.net/5.104.101.30","443","OK","not offered","","CWE-327"
"cipherlist_LOW","mediature.incubateur.net/5.104.101.30","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","mediature.incubateur.net/5.104.101.30","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","mediature.incubateur.net/5.104.101.30","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","mediature.incubateur.net/5.104.101.30","443","INFO","not offered","",""
"cipherlist_STRONG_FS","mediature.incubateur.net/5.104.101.30","443","OK","offered","",""
"cipher_order-tls1_2","mediature.incubateur.net/5.104.101.30","443","OK","server","",""
"cipherorder_TLSv1_2","mediature.incubateur.net/5.104.101.30","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","mediature.incubateur.net/5.104.101.30","443","OK","server","",""
"FS","mediature.incubateur.net/5.104.101.30","443","OK","offered","",""
"FS_ciphers","mediature.incubateur.net/5.104.101.30","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","mediature.incubateur.net/5.104.101.30","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","mediature.incubateur.net/5.104.101.30","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","mediature.incubateur.net/5.104.101.30","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","mediature.incubateur.net/5.104.101.30","443","INFO","yes","",""
"sessionresumption_ticket","mediature.incubateur.net/5.104.101.30","443","INFO","not supported","",""
"sessionresumption_ID","mediature.incubateur.net/5.104.101.30","443","INFO","supported","",""
"TLS_timestamp","mediature.incubateur.net/5.104.101.30","443","INFO","random","",""
"certificate_compression","mediature.incubateur.net/5.104.101.30","443","INFO","none","",""
"clientAuth","mediature.incubateur.net/5.104.101.30","443","INFO","none","",""
"cert_numbers","mediature.incubateur.net/5.104.101.30","443","INFO","1","",""
"cert_signatureAlgorithm","mediature.incubateur.net/5.104.101.30","443","OK","SHA256 with RSA","",""
"cert_keySize","mediature.incubateur.net/5.104.101.30","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","mediature.incubateur.net/5.104.101.30","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","mediature.incubateur.net/5.104.101.30","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","mediature.incubateur.net/5.104.101.30","443","INFO","05D6DFE73E6A87D18DFAA9CAF87EAB64C7D6","",""
"cert_serialNumberLen","mediature.incubateur.net/5.104.101.30","443","INFO","18","",""
