"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","mes-adresses.data.gouv.fr/80.247.12.255","443","INFO","HTTP","",""
"pre_128cipher","mes-adresses.data.gouv.fr/80.247.12.255","443","INFO","No 128 cipher limit bug","",""
"SSLv2","mes-adresses.data.gouv.fr/80.247.12.255","443","OK","not offered","",""
"SSLv3","mes-adresses.data.gouv.fr/80.247.12.255","443","OK","not offered","",""
"TLS1","mes-adresses.data.gouv.fr/80.247.12.255","443","INFO","not offered","",""
"TLS1_1","mes-adresses.data.gouv.fr/80.247.12.255","443","INFO","not offered","",""
"TLS1_2","mes-adresses.data.gouv.fr/80.247.12.255","443","OK","offered","",""
"TLS1_3","mes-adresses.data.gouv.fr/80.247.12.255","443","OK","offered with final","",""
"ALPN_HTTP2","mes-adresses.data.gouv.fr/80.247.12.255","443","OK","h2","",""
"ALPN","mes-adresses.data.gouv.fr/80.247.12.255","443","INFO","http/1.1","",""
"cipherlist_NULL","mes-adresses.data.gouv.fr/80.247.12.255","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","mes-adresses.data.gouv.fr/80.247.12.255","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","mes-adresses.data.gouv.fr/80.247.12.255","443","OK","not offered","","CWE-327"
"cipherlist_LOW","mes-adresses.data.gouv.fr/80.247.12.255","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","mes-adresses.data.gouv.fr/80.247.12.255","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","mes-adresses.data.gouv.fr/80.247.12.255","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","mes-adresses.data.gouv.fr/80.247.12.255","443","INFO","not offered","",""
"cipherlist_STRONG_FS","mes-adresses.data.gouv.fr/80.247.12.255","443","OK","offered","",""
"cipher_order-tls1_2","mes-adresses.data.gouv.fr/80.247.12.255","443","OK","server","",""
"cipherorder_TLSv1_2","mes-adresses.data.gouv.fr/80.247.12.255","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","mes-adresses.data.gouv.fr/80.247.12.255","443","OK","server","",""
