"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","mission-transition-ecologique.beta.gouv.fr/109.232.233.130","443","INFO","HTTP","",""
"pre_128cipher","mission-transition-ecologique.beta.gouv.fr/109.232.233.130","443","INFO","No 128 cipher limit bug","",""
"SSLv2","mission-transition-ecologique.beta.gouv.fr/109.232.233.130","443","OK","not offered","",""
"SSLv3","mission-transition-ecologique.beta.gouv.fr/109.232.233.130","443","OK","not offered","",""
"TLS1","mission-transition-ecologique.beta.gouv.fr/109.232.233.130","443","INFO","not offered","",""
"TLS1_1","mission-transition-ecologique.beta.gouv.fr/109.232.233.130","443","INFO","not offered","",""
"TLS1_2","mission-transition-ecologique.beta.gouv.fr/109.232.233.130","443","OK","offered","",""
"TLS1_3","mission-transition-ecologique.beta.gouv.fr/109.232.233.130","443","OK","offered with final","",""
"ALPN_HTTP2","mission-transition-ecologique.beta.gouv.fr/109.232.233.130","443","OK","h2","",""
"ALPN","mission-transition-ecologique.beta.gouv.fr/109.232.233.130","443","INFO","http/1.1","",""
"cipherlist_NULL","mission-transition-ecologique.beta.gouv.fr/109.232.233.130","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","mission-transition-ecologique.beta.gouv.fr/109.232.233.130","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","mission-transition-ecologique.beta.gouv.fr/109.232.233.130","443","OK","not offered","","CWE-327"
"cipherlist_LOW","mission-transition-ecologique.beta.gouv.fr/109.232.233.130","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","mission-transition-ecologique.beta.gouv.fr/109.232.233.130","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","mission-transition-ecologique.beta.gouv.fr/109.232.233.130","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","mission-transition-ecologique.beta.gouv.fr/109.232.233.130","443","INFO","not offered","",""
"cipherlist_STRONG_FS","mission-transition-ecologique.beta.gouv.fr/109.232.233.130","443","OK","offered","",""
"cipher_order-tls1_2","mission-transition-ecologique.beta.gouv.fr/109.232.233.130","443","OK","server","",""
"cipherorder_TLSv1_2","mission-transition-ecologique.beta.gouv.fr/109.232.233.130","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","mission-transition-ecologique.beta.gouv.fr/109.232.233.130","443","OK","server","",""
"FS","mission-transition-ecologique.beta.gouv.fr/109.232.233.130","443","OK","offered","",""
"FS_ciphers","mission-transition-ecologique.beta.gouv.fr/109.232.233.130","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","mission-transition-ecologique.beta.gouv.fr/109.232.233.130","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","mission-transition-ecologique.beta.gouv.fr/109.232.233.130","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","mission-transition-ecologique.beta.gouv.fr/109.232.233.130","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","mission-transition-ecologique.beta.gouv.fr/109.232.233.130","443","INFO","yes","",""
"sessionresumption_ticket","mission-transition-ecologique.beta.gouv.fr/109.232.233.130","443","INFO","not supported","",""
"sessionresumption_ID","mission-transition-ecologique.beta.gouv.fr/109.232.233.130","443","INFO","supported","",""
"TLS_timestamp","mission-transition-ecologique.beta.gouv.fr/109.232.233.130","443","INFO","random","",""
"certificate_compression","mission-transition-ecologique.beta.gouv.fr/109.232.233.130","443","INFO","none","",""
"clientAuth","mission-transition-ecologique.beta.gouv.fr/109.232.233.130","443","INFO","none","",""
"cert_numbers","mission-transition-ecologique.beta.gouv.fr/109.232.233.130","443","INFO","1","",""
"cert_signatureAlgorithm","mission-transition-ecologique.beta.gouv.fr/109.232.233.130","443","OK","SHA256 with RSA","",""
"cert_keySize","mission-transition-ecologique.beta.gouv.fr/109.232.233.130","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","mission-transition-ecologique.beta.gouv.fr/109.232.233.130","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","mission-transition-ecologique.beta.gouv.fr/109.232.233.130","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","mission-transition-ecologique.beta.gouv.fr/109.232.233.130","443","INFO","03193441CAF1E1E4D8DDCFE96BA082CCD771","",""
"cert_serialNumberLen","mission-transition-ecologique.beta.gouv.fr/109.232.233.130","443","INFO","18","",""
"cert_fingerprintSHA1","mission-transition-ecologique.beta.gouv.fr/109.232.233.130","443","INFO","4FBEAB14E1B3686F931616E4E91CB18F653D9A5F","",""
"cert_fingerprintSHA256","mission-transition-ecologique.beta.gouv.fr/109.232.233.130","443","INFO","20ECAE6DD445C25E3547EDF42AD6D2D8FF3A844BA8E2728B287F10568F5734E4","",""
"cert","mission-transition-ecologique.beta.gouv.fr/109.232.233.130","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFITCCBAmgAwIBAgISAxk0Qcrx4eTY3c/pa6CCzNdxMA0GCSqGSIb3DQEBCwUAMDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQDEwJSMzAeFw0yNDAzMTYwODU0MDdaFw0yNDA2MTQwODU0MDZaMDUxMzAxBgNVBAMTKm1pc3Npb24tdHJhbnNpdGlvbi1lY29sb2dpcXVlLmJldGEuZ291di5mcjCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBAND/K7Xn53BNj8UN5M6xgb+49MJLozCod3mw9dd0OKhmbXuOmbzciTpsAEcQKYKb4kCKD46BtX0UCxzUfDLhJamuuwcJ0VEb4ti7mwYyIYb7vwc+4cLjLYwhodLU5VMD/VV2g1JmZLX0RIn/fMr+p7SJBlPXmAYoBnGNg7b5U577HoSHVXy/zCqu+Tj0ljfTyhsSYsGJDC+Nqx9e9SSUaVTw0VDtEsIhF3LjrlXbXUv1dbXj/uwWxaSVRThKdd0Nrot5s3HXZEIfBmzYYaED4pYPgOjqx0QaX5uKGJ1+CBybWOxYGjVqrkF8zNA8EqbZklj5zkbdaHgi7jKNJ+FzTPcCAwEAAaOCAiwwggIoMA4GA1UdDwEB/wQEAwIFoDAdBgNVHSUEFjAUBggrBgEFBQcDAQYIKwYBBQUHAwIwDAYDVR0TAQH/BAIwADAdBgNVHQ4EFgQU6UBB+ZIAKYu1WbwXeR3RZ2yKPw8wHwYDVR0jBBgwFoAUFC6zF7dYVsuuUAlA5h+vnYsUwsYwVQYIKwYBBQUHAQEESTBHMCEGCCsGAQUFBzABhhVodHRwOi8vcjMuby5sZW5jci5vcmcwIgYIKwYBBQUHMAKGFmh0dHA6Ly9yMy5pLmxlbmNyLm9yZy8wNQYDVR0RBC4wLIIqbWlzc2lvbi10cmFuc2l0aW9uLWVjb2xvZ2lxdWUuYmV0YS5nb3V2LmZyMBMGA1UdIAQMMAowCAYGZ4EMAQIBMIIBBAYKKwYBBAHWeQIEAgSB9QSB8gDwAHUAO1N3dT4tuYBOizBbBv5AO2fYT8P0x70ADS1yb+H61BcAAAGORq7ZGQAABAMARjBEAiAxpWFgH7ZQX31zSpn67quOCOd1UvSLTOkAC+lWGlzQIwIgQrYzQFe32XElkpBCwNbGFnbpsbF0ASV9IYfEuoa5AegAdwB2/4g/Crb7lVHCYcz1h7o0tKTNuyncaEIKn+ZnTFo6dAAAAY5GrtlSAAAEAwBIMEYCIQCmAyU0ouMlY0+7rlXDF81mXwm/5bcI+PwPDWj96P+8JAIhAP+pXAL9kIHQv9qNHdhOQ77U7vfxcOyj2wZ6ZUluzjRgMA0GCSqGSIb3DQEBCwUAA4IBAQC3AmnVr4ulxL4ipcHIQeFcFXNmSH4QpwEYZIKv9i4jvvxcIAIG+2BONLlnN3ULaNaZ3AQuqrS4ezBnSQ0WFI4HMYloZ1+uZMmsoa4sFyEfhJPIOlmZnOa4C3hRwP+ZifNX1k4V/+BI9iLc6bRlr5U/SiKyafaOlyTpKWfSAUZiV+zXMq4xH0XLpPv3OKVCC5USFUKPqyyoLaHmsrQuVs3+q2t9B1BUzk4Iqt9FaJoMy9K4oq/tsbScZA7DtjQuYqF8woGw629i/Wk+F2AfVDPeKoqyhESmoNWc7qR+Z3uZdlEECSbgrFrxQj5wW0uzEg07ojGSzE3kKo6QwrzIq5tw\n-----END CERTIFICATE-----","",""
"cert_commonName","mission-transition-ecologique.beta.gouv.fr/109.232.233.130","443","OK","mission-transition-ecologique.beta.gouv.fr","",""
"cert_commonName_wo_SNI","mission-transition-ecologique.beta.gouv.fr/109.232.233.130","443","INFO","*.osc-fr1.scalingo.io","",""
"cert_subjectAltName","mission-transition-ecologique.beta.gouv.fr/109.232.233.130","443","INFO","mission-transition-ecologique.beta.gouv.fr","",""
"cert_trust","mission-transition-ecologique.beta.gouv.fr/109.232.233.130","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","mission-transition-ecologique.beta.gouv.fr/109.232.233.130","443","OK","passed.","",""
"cert_certificatePolicies_EV","mission-transition-ecologique.beta.gouv.fr/109.232.233.130","443","INFO","no","",""
"cert_expirationStatus","mission-transition-ecologique.beta.gouv.fr/109.232.233.130","443","OK","61 >= 30 days","",""
"cert_notBefore","mission-transition-ecologique.beta.gouv.fr/109.232.233.130","443","INFO","2024-03-16 08:54","",""
"cert_notAfter","mission-transition-ecologique.beta.gouv.fr/109.232.233.130","443","OK","2024-06-14 08:54","",""
