"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","mon-entreprise.urssaf.fr/54.84.236.175","443","INFO","HTTP","",""
"pre_128cipher","mon-entreprise.urssaf.fr/54.84.236.175","443","INFO","No 128 cipher limit bug","",""
"SSLv2","mon-entreprise.urssaf.fr/54.84.236.175","443","OK","not offered","",""
"SSLv3","mon-entreprise.urssaf.fr/54.84.236.175","443","OK","not offered","",""
"TLS1","mon-entreprise.urssaf.fr/54.84.236.175","443","INFO","not offered","",""
"TLS1_1","mon-entreprise.urssaf.fr/54.84.236.175","443","INFO","not offered","",""
"TLS1_2","mon-entreprise.urssaf.fr/54.84.236.175","443","OK","offered","",""
"TLS1_3","mon-entreprise.urssaf.fr/54.84.236.175","443","OK","offered with final","",""
"ALPN_HTTP2","mon-entreprise.urssaf.fr/54.84.236.175","443","OK","h2","",""
"ALPN","mon-entreprise.urssaf.fr/54.84.236.175","443","INFO","http/1.1","",""
"cipherlist_NULL","mon-entreprise.urssaf.fr/54.84.236.175","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","mon-entreprise.urssaf.fr/54.84.236.175","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","mon-entreprise.urssaf.fr/54.84.236.175","443","OK","not offered","","CWE-327"
"cipherlist_LOW","mon-entreprise.urssaf.fr/54.84.236.175","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","mon-entreprise.urssaf.fr/54.84.236.175","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","mon-entreprise.urssaf.fr/54.84.236.175","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","mon-entreprise.urssaf.fr/54.84.236.175","443","INFO","not offered","",""
"cipherlist_STRONG_FS","mon-entreprise.urssaf.fr/54.84.236.175","443","OK","offered","",""
"cipher_order-tls1_2","mon-entreprise.urssaf.fr/54.84.236.175","443","OK","server","",""
"cipherorder_TLSv1_2","mon-entreprise.urssaf.fr/54.84.236.175","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","mon-entreprise.urssaf.fr/54.84.236.175","443","OK","server -- TLS 1.3 client determined","",""
"FS","mon-entreprise.urssaf.fr/54.84.236.175","443","OK","offered","",""
"FS_ciphers","mon-entreprise.urssaf.fr/54.84.236.175","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","mon-entreprise.urssaf.fr/54.84.236.175","443","OK","prime256v1","",""
"TLS_extensions","mon-entreprise.urssaf.fr/54.84.236.175","443","INFO","'session ticket/#35' 'renegotiation info/#65281' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'extended master secret/#23' 'application layer protocol negotiation/#16'","",""
"TLS_session_ticket","mon-entreprise.urssaf.fr/54.84.236.175","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","mon-entreprise.urssaf.fr/54.84.236.175","443","INFO","yes","",""
"sessionresumption_ticket","mon-entreprise.urssaf.fr/54.84.236.175","443","INFO","not supported","",""
"sessionresumption_ID","mon-entreprise.urssaf.fr/54.84.236.175","443","INFO","not supported","",""
"TLS_timestamp","mon-entreprise.urssaf.fr/54.84.236.175","443","INFO","random","",""
"certificate_compression","mon-entreprise.urssaf.fr/54.84.236.175","443","INFO","none","",""
"clientAuth","mon-entreprise.urssaf.fr/54.84.236.175","443","INFO","none","",""
"cert_numbers","mon-entreprise.urssaf.fr/54.84.236.175","443","INFO","1","",""
"cert_signatureAlgorithm","mon-entreprise.urssaf.fr/54.84.236.175","443","OK","SHA384 with RSA","",""
"cert_keySize","mon-entreprise.urssaf.fr/54.84.236.175","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","mon-entreprise.urssaf.fr/54.84.236.175","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","mon-entreprise.urssaf.fr/54.84.236.175","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","mon-entreprise.urssaf.fr/54.84.236.175","443","INFO","84D1318BEE30D01E4735933E8DE5F386","",""
"cert_serialNumberLen","mon-entreprise.urssaf.fr/54.84.236.175","443","INFO","16","",""
"cert_fingerprintSHA1","mon-entreprise.urssaf.fr/54.84.236.175","443","INFO","C80EC4A09D2982CD645230F790AB7B40D7F9CCF9","",""
"cert_fingerprintSHA256","mon-entreprise.urssaf.fr/54.84.236.175","443","INFO","E807507F23C6CE0464C216913497FE0647F0095411E307DDD9CD6BE6A809BB36","",""
"cert","mon-entreprise.urssaf.fr/54.84.236.175","443","INFO","-----BEGIN CERTIFICATE-----\nMIIHxzCCBi+gAwIBAgIRAITRMYvuMNAeRzWTPo3l84YwDQYJKoZIhvcNAQEMBQAwgZAxCzAJBgNVBAYTAlBUMT0wOwYDVQQKDDRNYXJrZXRXYXJlIC0gU29sdcOnw7VlcyBwYXJhIE1lcmNhZG9zIERpZ2l0YWlzLCBMZGEuMUIwQAYDVQQDEzlNYXJrZXRXYXJlIFJTQSBPcmdhbml6YXRpb24gVmFsaWRhdGlvbiBTZWN1cmUgU2VydmVyIENBIDMwHhcNMjMxMTI5MDAwMDAwWhcNMjQxMTI4MjM1OTU5WjCBhjELMAkGA1UEBhMCRlIxFzAVBgNVBAgMDsOObGUtZGUtRnJhbmNlMTswOQYDVQQKEzJBR0VOQ0UgQ0VOVFJBTEUgREVTIE9SR0FOSVNNRVMgREUgU0VDVVJJVEUgU09DSUFMRTEhMB8GA1UEAxMYbW9uLWVudHJlcHJpc2UudXJzc2FmLmZyMIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAv4VCaCIjGCLJzNFKezYrTK/mVFKTeMqomUkbGgGwHOfct6L/kEVqqL5imgcYrFg8KX2lC8wXQQzHxKZ/oTx8Ixkm2PMyi3Y0xWXgSwrp9Vz6mBxgL59aQ7tTQj+7QrpvO5IXelGo5iIxmJ5PzeAPodfGH0/EqsFcyC5e1/sa8xacFP1tmj/Y8vQEMLhfClOB7krtfm2K59i/wywH4GXk1rXv9zW27XBr6ny9xWKYFLP2vYgjl5Aqn285sRBQI2kkTjoT/cu0OM2M+gQYhXm9ZFXhDXuXuCoHJ3J7wOqGC9CA4BmWuWRwS2JnH6m1Hz9P9SijLfXqhI9n9NO9KbY6UwIDAQABo4IDojCCA54wHwYDVR0jBBgwFoAUoCUHdkIduNj/x0BuG6oT2R0H83swHQYDVR0OBBYEFMXDEzD8loMherVeZPFQa5ufpDk9MA4GA1UdDwEB/wQEAwIFoDAMBgNVHRMBAf8EAjAAMB0GA1UdJQQWMBQGCCsGAQUFBwMBBggrBgEFBQcDAjBJBgNVHSAEQjBAMDQGCysGAQQBsjEBAgIiMCUwIwYIKwYBBQUHAgEWF2h0dHBzOi8vc2VjdGlnby5jb20vQ1BTMAgGBmeBDAECAjBeBgNVHR8EVzBVMFOgUaBPhk1odHRwOi8vY3JsLnNlY3RpZ28uY29tL01hcmtldFdhcmVSU0FPcmdhbml6YXRpb25WYWxpZGF0aW9uU2VjdXJlU2VydmVyQ0EzLmNybDCBkAYIKwYBBQUHAQEEgYMwgYAwWQYIKwYBBQUHMAKGTWh0dHA6Ly9jcnQuc2VjdGlnby5jb20vTWFya2V0V2FyZVJTQU9yZ2FuaXphdGlvblZhbGlkYXRpb25TZWN1cmVTZXJ2ZXJDQTMuY3J0MCMGCCsGAQUFBzABhhdodHRwOi8vb2NzcC5zZWN0aWdvLmNvbTCCAXwGCisGAQQB1nkCBAIEggFsBIIBaAFmAHUAdv+IPwq2+5VRwmHM9Ye6NLSkzbsp3GhCCp/mZ0xaOnQAAAGMGiIUPQAABAMARjBEAiBrN0RIYEuBikYN6BazG7fg+q/t6ae8NAduVqNqHgMNNgIgEyF2oLAQT4ELZfWMbH70iYara5cr693Jd++yCqQWd2wAdQA/F0tP1yJHWJQdZRyEvg0S7ZA3fx+FauvBvyiF7PhkbgAAAYwaIhVkAAAEAwBGMEQCIGgci+dKwAHxR3mLbz6z4fPJutB9vqOOt+iiXOqnRHayAiAXMPuQ7v7HJ5LqbOe2v2HaBCHn8CBjKrLov4VoGreTcAB2AO7N0GTV2xrOxVy3nbTNE6Iyh0Z8vOzew1FIWUZxH7WbAAABjBoiFGgAAAQDAEcwRQIgNyUExfW+LGn+Dpm2COpGP2P9cnLJkWFpzYQAr/0OmvsCIQCwmXK9Nk+/fQOjp7XAkx3gH4MQxxGlkqWeKmrIAGlPYjBhBgNVHREEWjBYghhtb24tZW50cmVwcmlzZS51cnNzYWYuZnKCG215Y29tcGFueWluZnJhbmNlLnVyc3NhZi5mcoIfd3d3Lm15Y29tcGFueWluZnJhbmNlLnVyc3NhZi5mcjANBgkqhkiG9w0BAQwFAAOCAYEAkEtuCByHtkCjYjI5S/1E2VTTaHY2X3jz5bNE/zgwf/WMngQFL8AEzML8yTPlCBBsjj/MrREqO7o7+dQBWL6GUgVvXFj/x/DqmnfbVQSRlafZ1NPvAvvHNqvuSaOf0DmPyhhbvAbp6cVWhVsAutbqKhv9TfrOPNlRXlQXJ7INvUHe0H7dlkPW5PqTq6GxVEE+L7P4nXqomg7IzI3ppSEBnnIDpbmcV0wfb4bFaDrewVbtnTJ7EKBqtXYsAf9h96SYiRzbRlIZSjyGNv9iTgdonaNmcfdp8CHg+UwcUT5Ae3BaRZsCcuwpj113H+Gj3h/QD81Hgo28cuIuVAXUpH2hv+blQx5r8oWUs0HKQaZwbJx8cDFg60TnMR7pzaqSJzM1SXdJJjwSqiOIFk+Ce/kr7Mcqpe8+aEXE20rk6Y+pKgNo4aD40VGPlUXxQfSUeifAbRCHMoCqUNXaA0dlnTRvt3UnFjENLE1fjRN24O5RqeJBXubqD9HTnjbesT4ShqAI\n-----END CERTIFICATE-----","",""
"cert_commonName","mon-entreprise.urssaf.fr/54.84.236.175","443","OK","mon-entreprise.urssaf.fr","",""
"cert_commonName_wo_SNI","mon-entreprise.urssaf.fr/54.84.236.175","443","INFO","*.netlify.app","",""
"cert_subjectAltName","mon-entreprise.urssaf.fr/54.84.236.175","443","INFO","mon-entreprise.urssaf.fr mycompanyinfrance.urssaf.fr www.mycompanyinfrance.urssaf.fr","",""
"cert_trust","mon-entreprise.urssaf.fr/54.84.236.175","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","mon-entreprise.urssaf.fr/54.84.236.175","443","CRITICAL","failed (chain incomplete).","",""
"cert_certificatePolicies_EV","mon-entreprise.urssaf.fr/54.84.236.175","443","INFO","no","",""
"cert_expirationStatus","mon-entreprise.urssaf.fr/54.84.236.175","443","OK","319 >= 60 days","",""
"cert_notBefore","mon-entreprise.urssaf.fr/54.84.236.175","443","INFO","2023-11-29 00:00","",""
"cert_notAfter","mon-entreprise.urssaf.fr/54.84.236.175","443","OK","2024-11-28 23:59","",""
"cert_extlifeSpan","mon-entreprise.urssaf.fr/54.84.236.175","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","mon-entreprise.urssaf.fr/54.84.236.175","443","INFO","not present","",""
"cert_crlDistributionPoints","mon-entreprise.urssaf.fr/54.84.236.175","443","INFO","http://crl.sectigo.com/MarketWareRSAOrganizationValidationSecureServerCA3.crl","",""
"cert_ocspURL","mon-entreprise.urssaf.fr/54.84.236.175","443","INFO","http://ocsp.sectigo.com","",""
"OCSP_stapling","mon-entreprise.urssaf.fr/54.84.236.175","443","LOW","not offered","",""
"cert_mustStapleExtension","mon-entreprise.urssaf.fr/54.84.236.175","443","INFO","--","",""
"DNS_CAArecord","mon-entreprise.urssaf.fr/54.84.236.175","443","OK","iodef=mailto:hostmaster@acoss.fr, issue=certigna.fr, issue=digicert.com, issue=sectigo.com","",""
"certificate_transparency","mon-entreprise.urssaf.fr/54.84.236.175","443","OK","yes (certificate extension)","",""
"certs_countServer","mon-entreprise.urssaf.fr/54.84.236.175","443","INFO","2","",""
"certs_list_ordering_problem","mon-entreprise.urssaf.fr/54.84.236.175","443","LOW","yes","",""
"cert_caIssuers","mon-entreprise.urssaf.fr/54.84.236.175","443","INFO","MarketWare RSA Organization Validation Secure Server CA 3 (MarketWare - Soluções para Mercados Digitais, Lda. from PT)","",""
