"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","mon-suivi-justice.beta.gouv.fr/109.232.233.130","443","INFO","HTTP","",""
"pre_128cipher","mon-suivi-justice.beta.gouv.fr/109.232.233.130","443","INFO","No 128 cipher limit bug","",""
"SSLv2","mon-suivi-justice.beta.gouv.fr/109.232.233.130","443","OK","not offered","",""
"SSLv3","mon-suivi-justice.beta.gouv.fr/109.232.233.130","443","OK","not offered","",""
"TLS1","mon-suivi-justice.beta.gouv.fr/109.232.233.130","443","INFO","not offered","",""
"TLS1_1","mon-suivi-justice.beta.gouv.fr/109.232.233.130","443","INFO","not offered","",""
"TLS1_2","mon-suivi-justice.beta.gouv.fr/109.232.233.130","443","OK","offered","",""
"TLS1_3","mon-suivi-justice.beta.gouv.fr/109.232.233.130","443","OK","offered with final","",""
"ALPN_HTTP2","mon-suivi-justice.beta.gouv.fr/109.232.233.130","443","OK","h2","",""
"ALPN","mon-suivi-justice.beta.gouv.fr/109.232.233.130","443","INFO","http/1.1","",""
"cipherlist_NULL","mon-suivi-justice.beta.gouv.fr/109.232.233.130","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","mon-suivi-justice.beta.gouv.fr/109.232.233.130","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","mon-suivi-justice.beta.gouv.fr/109.232.233.130","443","OK","not offered","","CWE-327"
"cipherlist_LOW","mon-suivi-justice.beta.gouv.fr/109.232.233.130","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","mon-suivi-justice.beta.gouv.fr/109.232.233.130","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","mon-suivi-justice.beta.gouv.fr/109.232.233.130","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","mon-suivi-justice.beta.gouv.fr/109.232.233.130","443","INFO","not offered","",""
"cipherlist_STRONG_FS","mon-suivi-justice.beta.gouv.fr/109.232.233.130","443","OK","offered","",""
"cipher_order-tls1_2","mon-suivi-justice.beta.gouv.fr/109.232.233.130","443","OK","server","",""
"cipherorder_TLSv1_2","mon-suivi-justice.beta.gouv.fr/109.232.233.130","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","mon-suivi-justice.beta.gouv.fr/109.232.233.130","443","OK","server","",""
"FS","mon-suivi-justice.beta.gouv.fr/109.232.233.130","443","OK","offered","",""
"FS_ciphers","mon-suivi-justice.beta.gouv.fr/109.232.233.130","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","mon-suivi-justice.beta.gouv.fr/109.232.233.130","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","mon-suivi-justice.beta.gouv.fr/109.232.233.130","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","mon-suivi-justice.beta.gouv.fr/109.232.233.130","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","mon-suivi-justice.beta.gouv.fr/109.232.233.130","443","INFO","yes","",""
"sessionresumption_ticket","mon-suivi-justice.beta.gouv.fr/109.232.233.130","443","INFO","not supported","",""
"sessionresumption_ID","mon-suivi-justice.beta.gouv.fr/109.232.233.130","443","INFO","not supported","",""
"TLS_timestamp","mon-suivi-justice.beta.gouv.fr/109.232.233.130","443","INFO","random","",""
"certificate_compression","mon-suivi-justice.beta.gouv.fr/109.232.233.130","443","INFO","none","",""
"clientAuth","mon-suivi-justice.beta.gouv.fr/109.232.233.130","443","INFO","none","",""
"cert_numbers","mon-suivi-justice.beta.gouv.fr/109.232.233.130","443","INFO","1","",""
"cert_signatureAlgorithm","mon-suivi-justice.beta.gouv.fr/109.232.233.130","443","OK","SHA256 with RSA","",""
"cert_keySize","mon-suivi-justice.beta.gouv.fr/109.232.233.130","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","mon-suivi-justice.beta.gouv.fr/109.232.233.130","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","mon-suivi-justice.beta.gouv.fr/109.232.233.130","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","mon-suivi-justice.beta.gouv.fr/109.232.233.130","443","INFO","0628D63425D1502AE4895F305A4DCF413AAE","",""
"cert_serialNumberLen","mon-suivi-justice.beta.gouv.fr/109.232.233.130","443","INFO","18","",""
"cert_fingerprintSHA1","mon-suivi-justice.beta.gouv.fr/109.232.233.130","443","INFO","D5820AE1569F74400B4AC7FEE033A7AB6205DE51","",""
"cert_fingerprintSHA256","mon-suivi-justice.beta.gouv.fr/109.232.233.130","443","INFO","9EDA9E4A71DDE8BA6C78E5E406462BE5CA47748012E70E521A734AB274304468","",""
"cert","mon-suivi-justice.beta.gouv.fr/109.232.233.130","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFGDCCBACgAwIBAgISBijWNCXRUCrkiV8wWk3PQTquMA0GCSqGSIb3DQEBCwUAMDMxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQwwCgYDVQQDEwNSMTAwHhcNMjUwNzExMTAwMDM4WhcNMjUxMDA5MTAwMDM3WjApMScwJQYDVQQDEx5tb24tc3VpdmktanVzdGljZS5iZXRhLmdvdXYuZnIwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQDkGNHJd4LkYcwepESOVgUhr+1TNwo2mOnHkeIONs7SPHwm44n1JWWb72MmGExsWvoF6BT7760SjXDe9qPJrRKRNggHfibUFQ0v5A7TwsCqa5OgQ39kPGPktWRevme5+lRTF05vlXnmyLcMCY+N53B63YgKRnHki6HM6XPMfDjZaYUiybof/ZiOqYhdHyxye9ckPZoFw31YqzOqHq6Zm0oErat0lHrZMiDmc5gD4xZT9MJudx0zA6+nRCe0SRHrse+Nnk2TSlMVYAGkkMvdxSNWEk7ZmV0jGgkumQCVknu9VTP4fQbeZOCBfSIJY2buu+7CLN/l85p59gTKCvkZ3+LJAgMBAAGjggIuMIICKjAOBgNVHQ8BAf8EBAMCBaAwHQYDVR0lBBYwFAYIKwYBBQUHAwEGCCsGAQUFBwMCMAwGA1UdEwEB/wQCMAAwHQYDVR0OBBYEFPxIO+PaYTNUoruCpKmU4FxjBZa0MB8GA1UdIwQYMBaAFLu8w0el5LypxsOkcgwQjaI14cjoMDMGCCsGAQUFBwEBBCcwJTAjBggrBgEFBQcwAoYXaHR0cDovL3IxMC5pLmxlbmNyLm9yZy8wKQYDVR0RBCIwIIIebW9uLXN1aXZpLWp1c3RpY2UuYmV0YS5nb3V2LmZyMBMGA1UdIAQMMAowCAYGZ4EMAQIBMC4GA1UdHwQnMCUwI6AhoB+GHWh0dHA6Ly9yMTAuYy5sZW5jci5vcmcvNDcuY3JsMIIBBAYKKwYBBAHWeQIEAgSB9QSB8gDwAHcApELFBklgYVSPD9TqnPt6LSZFTYepfy/fRVn2J086hFQAAAGX+SOVngAABAMASDBGAiEA0jIM0adWo1g4h1bKOSwYzsaAV/wUT4ROl/l0h/yWrWgCIQCixWE1P5Nr2zO8vsp2G361Ojn10YSUnUk5ClkQbi9lvwB1AMz7D2qFcQll/pWbU87psnwi6YVcDZeNtql+VMD+TA2wAAABl/kjnYMAAAQDAEYwRAIgdvWu4ZSzRiARoByzgQq9DtE79jVH5MANcTg5g0m7ffICIFfkOQWw8oKGqQoFct4cC3wPIGoYE1838ZPhBq4iLmTDMA0GCSqGSIb3DQEBCwUAA4IBAQCg5yhqfwjpY3Bxz7SHJdJbO0a6SqszEGe9zTr3XCO8jxiBb6gT+UsU8GkLLUQDXD8VO811+fyfFSAlvLouCWt2J781JsxWmYsuqXqjdrV0zW30T+0bJD3Axknqihi5AlP8ryAzXIhs8R9/dGsDig4x1sfJ/4sohJmYastgrf1b+1I4MnUPjCPVAhyUXPpcZywnKIemqAkKwKAEbnRM2Ud5kYyDq/GNEo1CY42nN4jKXrfrYqHleImRCTwntPIXVQ+zF/H6Apxtxa35WOJdY5aP8QU6fKpek9UfWUoUx47Gd/4P+LJmVDKbyoIT53UUMyBcxQSfV3mhH1YL3I1TMTXN\n-----END CERTIFICATE-----","",""
"cert_commonName","mon-suivi-justice.beta.gouv.fr/109.232.233.130","443","OK","mon-suivi-justice.beta.gouv.fr","",""
"cert_commonName_wo_SNI","mon-suivi-justice.beta.gouv.fr/109.232.233.130","443","INFO","*.osc-fr1.scalingo.io","",""
"cert_subjectAltName","mon-suivi-justice.beta.gouv.fr/109.232.233.130","443","INFO","mon-suivi-justice.beta.gouv.fr","",""
"cert_trust","mon-suivi-justice.beta.gouv.fr/109.232.233.130","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_trust_wildcard","mon-suivi-justice.beta.gouv.fr/109.232.233.130","443","LOW","trust is via wildcard","",""
"cert_chain_of_trust","mon-suivi-justice.beta.gouv.fr/109.232.233.130","443","OK","passed.","",""
"cert_certificatePolicies_EV","mon-suivi-justice.beta.gouv.fr/109.232.233.130","443","INFO","no","",""
"cert_expirationStatus","mon-suivi-justice.beta.gouv.fr/109.232.233.130","443","OK","39 >= 30 days","",""
