"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","mon.franceconnect.gouv.fr/145.239.220.162","443","INFO","HTTP","",""
"pre_128cipher","mon.franceconnect.gouv.fr/145.239.220.162","443","INFO","No 128 cipher limit bug","",""
"SSLv2","mon.franceconnect.gouv.fr/145.239.220.162","443","OK","not offered","",""
"SSLv3","mon.franceconnect.gouv.fr/145.239.220.162","443","OK","not offered","",""
"TLS1","mon.franceconnect.gouv.fr/145.239.220.162","443","INFO","not offered","",""
"TLS1_1","mon.franceconnect.gouv.fr/145.239.220.162","443","INFO","not offered","",""
"TLS1_2","mon.franceconnect.gouv.fr/145.239.220.162","443","OK","offered","",""
"TLS1_3","mon.franceconnect.gouv.fr/145.239.220.162","443","OK","offered with final","",""
"ALPN","mon.franceconnect.gouv.fr/145.239.220.162","443","INFO","not offered","",""
"cipherlist_NULL","mon.franceconnect.gouv.fr/145.239.220.162","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","mon.franceconnect.gouv.fr/145.239.220.162","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","mon.franceconnect.gouv.fr/145.239.220.162","443","OK","not offered","","CWE-327"
"cipherlist_LOW","mon.franceconnect.gouv.fr/145.239.220.162","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","mon.franceconnect.gouv.fr/145.239.220.162","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","mon.franceconnect.gouv.fr/145.239.220.162","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","mon.franceconnect.gouv.fr/145.239.220.162","443","INFO","not offered","",""
"cipherlist_STRONG_FS","mon.franceconnect.gouv.fr/145.239.220.162","443","OK","offered","",""
"cipher_order-tls1_2","mon.franceconnect.gouv.fr/145.239.220.162","443","OK","server","",""
"cipherorder_TLSv1_2","mon.franceconnect.gouv.fr/145.239.220.162","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","mon.franceconnect.gouv.fr/145.239.220.162","443","OK","server","",""
"FS","mon.franceconnect.gouv.fr/145.239.220.162","443","OK","offered","",""
"FS_ciphers","mon.franceconnect.gouv.fr/145.239.220.162","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","mon.franceconnect.gouv.fr/145.239.220.162","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","mon.franceconnect.gouv.fr/145.239.220.162","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'extended master secret/#23'","",""
"TLS_session_ticket","mon.franceconnect.gouv.fr/145.239.220.162","443","INFO","valid for 7200 seconds only (<daily)","",""
"SSL_sessionID_support","mon.franceconnect.gouv.fr/145.239.220.162","443","INFO","yes","",""
"sessionresumption_ticket","mon.franceconnect.gouv.fr/145.239.220.162","443","INFO","not supported","",""
"sessionresumption_ID","mon.franceconnect.gouv.fr/145.239.220.162","443","INFO","not supported","",""
"TLS_timestamp","mon.franceconnect.gouv.fr/145.239.220.162","443","INFO","random","",""
"certificate_compression","mon.franceconnect.gouv.fr/145.239.220.162","443","INFO","none","",""
"clientAuth","mon.franceconnect.gouv.fr/145.239.220.162","443","INFO","none","",""
"cert_numbers","mon.franceconnect.gouv.fr/145.239.220.162","443","INFO","1","",""
"cert_signatureAlgorithm","mon.franceconnect.gouv.fr/145.239.220.162","443","OK","SHA256 with RSA","",""
"cert_keySize","mon.franceconnect.gouv.fr/145.239.220.162","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","mon.franceconnect.gouv.fr/145.239.220.162","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","mon.franceconnect.gouv.fr/145.239.220.162","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","mon.franceconnect.gouv.fr/145.239.220.162","443","INFO","47AAB8BF5B1A4FC89707725163406895","",""
"cert_serialNumberLen","mon.franceconnect.gouv.fr/145.239.220.162","443","INFO","16","",""
"cert_fingerprintSHA1","mon.franceconnect.gouv.fr/145.239.220.162","443","INFO","2B5CB5B83A2861CD4A0951D8DF04E60CD36FD73D","",""
"cert_fingerprintSHA256","mon.franceconnect.gouv.fr/145.239.220.162","443","INFO","AFD3C2707B10AC681481267C62C25F47283954A6ADF221DAAF1605152F2CA39E","",""
"cert","mon.franceconnect.gouv.fr/145.239.220.162","443","INFO","-----BEGIN CERTIFICATE-----\nMIIJojCCB4qgAwIBAgIQR6q4v1saT8iXB3JRY0BolTANBgkqhkiG9w0BAQsFADB9MQswCQYDVQQGEwJGUjESMBAGA1UECgwJREhJTVlPVElTMRwwGgYDVQQLDBMwMDAyIDQ4MTQ2MzA4MTAwMDM2MR0wGwYDVQRhDBROVFJGUi00ODE0NjMwODEwMDAzNjEdMBsGA1UEAwwUQ2VydGlnbmEgU2VydmljZXMgQ0EwHhcNMjIwOTIyMjIwMDAwWhcNMjMxMDEwMjE1OTU5WjB+MQswCQYDVQQGEwJGUjEOMAwGA1UEBwwFUEFSSVMxJjAkBgNVBAoMHUdPVVZFUk5FTUVOVCBQUkVNSUVSIE1JTklTVFJFMSIwIAYDVQQDDBltb24uZnJhbmNlY29ubmVjdC5nb3V2LmZyMRMwEQYDVQQFEwpTMjQ5NDYwNDU0MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAzVYN+Gb8vrkgy3/u5MWQtkLI4SVkHLh4HQs+Zo1KXbgAsy6jYvLSkYmsQrYRdjVroRXM7swHP1KrTmO0hTgAzdPJpznBkV3EHDpVB6hY4mI8SllYi0pLXJ7wTbzo+0w+qW/kEf8HHQMKY62gIHsbSMG/ZbPKkam2cAD+JhwJCJgx11oKZXnKmak4JAJCyoT+azrpF2quNOrRrFnMH0AeO1jtrNnSmKjdQ1TqyULBmPYw0nOtoHzLZozFBh7UAXhrg0/JjmIMZEn/MrjiM5tRfBLIP8hq0eZABX1Zm4ULrGy1BzCM84Pn6G6jzI1E1pUpjTbPe3wA9fIMytBhes8aYQIDAQABo4IFGzCCBRcwgeQGCCsGAQUFBwEBBIHXMIHUMDYGCCsGAQUFBzAChipodHRwOi8vYXV0b3JpdGUuY2VydGlnbmEuZnIvc2VydmljZXNjYS5kZXIwOAYIKwYBBQUHMAKGLGh0dHA6Ly9hdXRvcml0ZS5kaGlteW90aXMuY29tL3NlcnZpY2VzY2EuZGVyMDAGCCsGAQUFBzABhiRodHRwOi8vc2VydmljZXNjYS5vY3NwLmRoaW15b3Rpcy5jb20wLgYIKwYBBQUHMAGGImh0dHA6Ly9zZXJ2aWNlc2NhLm9jc3AuY2VydGlnbmEuZnIwHwYDVR0jBBgwFoAUrOyGj0s3HLh/FxsZ0K7oTuM0XBIwCQYDVR0TBAIwADBhBgNVHSAEWjBYMAgGBmeBDAECAjBMBgsqgXoBgTECBQEBATA9MDsGCCsGAQUFBwIBFi9odHRwczovL3d3dy5jZXJ0aWduYS5jb20vYXV0b3JpdGUtY2VydGlmaWNhdGlvbjBlBgNVHR8EXjBcMCugKaAnhiVodHRwOi8vY3JsLmNlcnRpZ25hLmZyL3NlcnZpY2VzY2EuY3JsMC2gK6AphidodHRwOi8vY3JsLmRoaW15b3Rpcy5jb20vc2VydmljZXNjYS5jcmwwEwYDVR0lBAwwCgYIKwYBBQUHAwEwDgYDVR0PAQH/BAQDAgWgMIIBbwYDVR0RBIIBZjCCAWKCIG1hdG9tby5tb24uZnJhbmNlY29ubmVjdC5nb3V2LmZygh5pbmZvLm1vbi5mcmFuY2Vjb25uZWN0LmdvdXYuZnKCJmJhY2stbXMtaXVtcy5tb24uZnJhbmNlY29ubmVjdC5nb3V2LmZygh50ZWNoLm1vbi5mcmFuY2Vjb25uZWN0LmdvdXYuZnKCJmJhY2stbXMtZXhtcy5tb24uZnJhbmNlY29ubmVjdC5nb3V2LmZygiViYWNrLW1zLWRtcy5tb24uZnJhbmNlY29ubmVjdC5nb3V2LmZygiViYWNrLW1zLWZtcy5tb24uZnJhbmNlY29ubmVjdC5nb3V2LmZyghltb24uZnJhbmNlY29ubmVjdC5nb3V2LmZygiZiYWNrLW1zLXN1bXMubW9uLmZyYW5jZWNvbm5lY3QuZ291di5mcoIdZG9jLm1vbi5mcmFuY2Vjb25uZWN0LmdvdXYuZnIwHQYDVR0OBBYEFMu4gxZgjFK9T/oEX3Qi3d9VA4OxMIIBfwYKKwYBBAHWeQIEAgSCAW8EggFrAWkAdgCt9776fP8QyIudPZwePhhqtGcpXc+xDCTKhYY069yCigAAAYNp1sQXAAAEAwBHMEUCIHZCvGc7RHlqcx0GwCsC0UfD4J/r6KVeZBuoVe8OI7ajAiEAztSTWwP4McgFV0xTA/sLcOxDWwSmq4SZB9tyP3wwpSAAdwDoPtDaPvUGNTLnVyi8iWvJA9PL0RFr7Otp4Xd9bQa9bgAAAYNp1sYFAAAEAwBIMEYCIQCC5tjFn02LA8FXYQEbsXcj2zQZEa7q2Bwc0fXt9zBwCwIhAKG2nOeUi4j1zFq5xIET4psgc2xFmfSpXK8EUATGq2GBAHYANc8ZG7+xbFe/D61MbULLu7YnICZR6j/hKu+oA8M71kwAAAGDadbKcAAABAMARzBFAiA6EbtPTyNBqGs8a+wwyqngRE8E7bX/ikiLUoaDpknU+wIhANvGQET2Fq7qvlzQlO1DdOyu6B7OQZNz0tnU2oFOBADnMA0GCSqGSIb3DQEBCwUAA4ICAQAMKOuOFpSFLQvdpc6LdrgbnImEIAQeMKgjn+CbyKg6MrIuA1raMKuMwpNqO+rP4ODQvBstkR+XTcHfyDAt74x26Np4SmcgxcL+IRhCeKAJjg6NgmSH12BO2DLtdce4al2F6wzt1a2zpytDfnQUHygdhA76aBtGR+UI34FrvGDpJljKGzdU83s318cZYwtwAFUCW4/9T+NZ+d2x+1f/VK/zJDk/qtjQdhoDKyUN57FisgZOgvNA3G5Jp8AbYINPBh9CtvcvFTNZXG5FjtMdSjvbyT67445n21N1a2yMET+Ty4GJtQsqF00EemBRmke7bklhPx62sUv3lUrpjz4XnRdbbE8Pds1yvWHltTQD10JcgHezhLIZ3qk3FFcN0mAMCelSfgJCn4ifoUuuQL+XU8F4w6pLBKje/1moiGGmqyI7urxuKaFB8GsFfIHzYhuVk4/h6EfY5DgmkWn5GNzOB2pyfEcn7JkHNXQN72VP8IhPAMRXc0aqn5wCqe9Lg1GBqS/k3ST8UQy9zGYFHolECOct3rawrFpQMqmnSQ2Rp67EZXTYtUPWb+4w6QpbDPq+wEEivmUJ2IvslowfXZ2wMkT58XcYWRt7QaAn1LcJDlb5Ea9Psi3ZxRf9Xb3ZDoSGQEzZrlVs1kLLBwoiTHU6gJqX4yMcpr/5LYOBXkwm2ZMg/g==\n-----END CERTIFICATE-----","",""
"cert_commonName","mon.franceconnect.gouv.fr/145.239.220.162","443","OK","mon.franceconnect.gouv.fr","",""
"cert_commonName_wo_SNI","mon.franceconnect.gouv.fr/145.239.220.162","443","INFO","*.apps.dnc-prd.snc.tdp.ovh","",""
"cert_subjectAltName","mon.franceconnect.gouv.fr/145.239.220.162","443","INFO","matomo.mon.franceconnect.gouv.fr info.mon.franceconnect.gouv.fr back-ms-iums.mon.franceconnect.gouv.fr tech.mon.franceconnect.gouv.fr back-ms-exms.mon.franceconnect.gouv.fr back-ms-dms.mon.franceconnect.gouv.fr back-ms-fms.mon.franceconnect.gouv.fr mon.franceconnect.gouv.fr back-ms-sums.mon.franceconnect.gouv.fr doc.mon.franceconnect.gouv.fr","",""
"cert_trust","mon.franceconnect.gouv.fr/145.239.220.162","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","mon.franceconnect.gouv.fr/145.239.220.162","443","CRITICAL","failed (chain incomplete).","",""
"cert_certificatePolicies_EV","mon.franceconnect.gouv.fr/145.239.220.162","443","INFO","no","",""
"cert_expirationStatus","mon.franceconnect.gouv.fr/145.239.220.162","443","OK","176 >= 60 days","",""
"cert_notBefore","mon.franceconnect.gouv.fr/145.239.220.162","443","INFO","2022-09-22 22:00","",""
"cert_notAfter","mon.franceconnect.gouv.fr/145.239.220.162","443","OK","2023-10-10 21:59","",""
"cert_extlifeSpan","mon.franceconnect.gouv.fr/145.239.220.162","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","mon.franceconnect.gouv.fr/145.239.220.162","443","INFO","not present","",""
"cert_crlDistributionPoints","mon.franceconnect.gouv.fr/145.239.220.162","443","INFO","http://crl.certigna.fr/servicesca.crl http://crl.dhimyotis.com/servicesca.crl","",""
"cert_ocspURL","mon.franceconnect.gouv.fr/145.239.220.162","443","INFO","http://servicesca.ocsp.dhimyotis.com http://servicesca.ocsp.certigna.fr","",""
"OCSP_stapling","mon.franceconnect.gouv.fr/145.239.220.162","443","LOW","not offered","",""
"cert_mustStapleExtension","mon.franceconnect.gouv.fr/145.239.220.162","443","INFO","--","",""
"DNS_CAArecord","mon.franceconnect.gouv.fr/145.239.220.162","443","LOW","--","",""
"certificate_transparency","mon.franceconnect.gouv.fr/145.239.220.162","443","OK","yes (certificate extension)","",""
"certs_countServer","mon.franceconnect.gouv.fr/145.239.220.162","443","INFO","1","",""
"certs_list_ordering_problem","mon.franceconnect.gouv.fr/145.239.220.162","443","INFO","no","",""
"cert_caIssuers","mon.franceconnect.gouv.fr/145.239.220.162","443","INFO","Certigna Services CA (DHIMYOTIS from FR)","",""
"intermediate_cert_badOCSP","mon.franceconnect.gouv.fr/145.239.220.162","443","OK","intermediate certificate(s) is/are ok","",""
