"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","monespacenis2.cyber.gouv.fr/185.231.164.116","443","INFO","HTTP","",""
"pre_128cipher","monespacenis2.cyber.gouv.fr/185.231.164.116","443","INFO","No 128 cipher limit bug","",""
"SSLv2","monespacenis2.cyber.gouv.fr/185.231.164.116","443","OK","not offered","",""
"SSLv3","monespacenis2.cyber.gouv.fr/185.231.164.116","443","OK","not offered","",""
"TLS1","monespacenis2.cyber.gouv.fr/185.231.164.116","443","INFO","not offered","",""
"TLS1_1","monespacenis2.cyber.gouv.fr/185.231.164.116","443","INFO","not offered","",""
"TLS1_2","monespacenis2.cyber.gouv.fr/185.231.164.116","443","OK","offered","",""
"TLS1_3","monespacenis2.cyber.gouv.fr/185.231.164.116","443","OK","offered with final","",""
"ALPN_HTTP2","monespacenis2.cyber.gouv.fr/185.231.164.116","443","OK","h2","",""
"ALPN","monespacenis2.cyber.gouv.fr/185.231.164.116","443","INFO","http/1.1","",""
"cipherlist_NULL","monespacenis2.cyber.gouv.fr/185.231.164.116","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","monespacenis2.cyber.gouv.fr/185.231.164.116","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","monespacenis2.cyber.gouv.fr/185.231.164.116","443","OK","not offered","","CWE-327"
"cipherlist_LOW","monespacenis2.cyber.gouv.fr/185.231.164.116","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","monespacenis2.cyber.gouv.fr/185.231.164.116","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","monespacenis2.cyber.gouv.fr/185.231.164.116","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","monespacenis2.cyber.gouv.fr/185.231.164.116","443","INFO","not offered","",""
"cipherlist_STRONG_FS","monespacenis2.cyber.gouv.fr/185.231.164.116","443","OK","offered","",""
"cipher_order-tls1_2","monespacenis2.cyber.gouv.fr/185.231.164.116","443","OK","server","",""
"cipherorder_TLSv1_2","monespacenis2.cyber.gouv.fr/185.231.164.116","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","monespacenis2.cyber.gouv.fr/185.231.164.116","443","OK","server","",""
"FS","monespacenis2.cyber.gouv.fr/185.231.164.116","443","OK","offered","",""
"FS_ciphers","monespacenis2.cyber.gouv.fr/185.231.164.116","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","monespacenis2.cyber.gouv.fr/185.231.164.116","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","monespacenis2.cyber.gouv.fr/185.231.164.116","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","monespacenis2.cyber.gouv.fr/185.231.164.116","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","monespacenis2.cyber.gouv.fr/185.231.164.116","443","INFO","yes","",""
"sessionresumption_ticket","monespacenis2.cyber.gouv.fr/185.231.164.116","443","INFO","not supported","",""
"sessionresumption_ID","monespacenis2.cyber.gouv.fr/185.231.164.116","443","INFO","not supported","",""
"TLS_timestamp","monespacenis2.cyber.gouv.fr/185.231.164.116","443","INFO","random","",""
"certificate_compression","monespacenis2.cyber.gouv.fr/185.231.164.116","443","INFO","none","",""
"clientAuth","monespacenis2.cyber.gouv.fr/185.231.164.116","443","INFO","none","",""
"cert_numbers","monespacenis2.cyber.gouv.fr/185.231.164.116","443","INFO","1","",""
"cert_signatureAlgorithm","monespacenis2.cyber.gouv.fr/185.231.164.116","443","OK","SHA256 with RSA","",""
"cert_keySize","monespacenis2.cyber.gouv.fr/185.231.164.116","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","monespacenis2.cyber.gouv.fr/185.231.164.116","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","monespacenis2.cyber.gouv.fr/185.231.164.116","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","monespacenis2.cyber.gouv.fr/185.231.164.116","443","INFO","274257AC28E2F343F27C73E5FA9ED60D","",""
"cert_serialNumberLen","monespacenis2.cyber.gouv.fr/185.231.164.116","443","INFO","16","",""
"cert_fingerprintSHA1","monespacenis2.cyber.gouv.fr/185.231.164.116","443","INFO","A0255D65A0CCB6FEBC1BA7091936B2EF75DE2EE3","",""
"cert_fingerprintSHA256","monespacenis2.cyber.gouv.fr/185.231.164.116","443","INFO","1529FECDE894011F24687D55EF88B5A3A4792F432E6F26E0AEE879A8D7A7D98E","",""
