"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","monlogementetudiant.beta.gouv.fr/185.21.194.105","443","INFO","HTTP","",""
"pre_128cipher","monlogementetudiant.beta.gouv.fr/185.21.194.105","443","INFO","No 128 cipher limit bug","",""
"SSLv2","monlogementetudiant.beta.gouv.fr/185.21.194.105","443","OK","not offered","",""
"SSLv3","monlogementetudiant.beta.gouv.fr/185.21.194.105","443","OK","not offered","",""
"TLS1","monlogementetudiant.beta.gouv.fr/185.21.194.105","443","INFO","not offered","",""
"TLS1_1","monlogementetudiant.beta.gouv.fr/185.21.194.105","443","INFO","not offered","",""
"TLS1_2","monlogementetudiant.beta.gouv.fr/185.21.194.105","443","OK","offered","",""
"TLS1_3","monlogementetudiant.beta.gouv.fr/185.21.194.105","443","OK","offered with final","",""
"ALPN_HTTP2","monlogementetudiant.beta.gouv.fr/185.21.194.105","443","OK","h2","",""
"ALPN","monlogementetudiant.beta.gouv.fr/185.21.194.105","443","INFO","http/1.1","",""
"cipherlist_NULL","monlogementetudiant.beta.gouv.fr/185.21.194.105","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","monlogementetudiant.beta.gouv.fr/185.21.194.105","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","monlogementetudiant.beta.gouv.fr/185.21.194.105","443","OK","not offered","","CWE-327"
"cipherlist_LOW","monlogementetudiant.beta.gouv.fr/185.21.194.105","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","monlogementetudiant.beta.gouv.fr/185.21.194.105","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","monlogementetudiant.beta.gouv.fr/185.21.194.105","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","monlogementetudiant.beta.gouv.fr/185.21.194.105","443","INFO","not offered","",""
"cipherlist_STRONG_FS","monlogementetudiant.beta.gouv.fr/185.21.194.105","443","OK","offered","",""
"cipher_order-tls1_2","monlogementetudiant.beta.gouv.fr/185.21.194.105","443","OK","server","",""
"cipherorder_TLSv1_2","monlogementetudiant.beta.gouv.fr/185.21.194.105","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","monlogementetudiant.beta.gouv.fr/185.21.194.105","443","OK","server","",""
"FS","monlogementetudiant.beta.gouv.fr/185.21.194.105","443","OK","offered","",""
"FS_ciphers","monlogementetudiant.beta.gouv.fr/185.21.194.105","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_KEMs","monlogementetudiant.beta.gouv.fr/185.21.194.105","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","monlogementetudiant.beta.gouv.fr/185.21.194.105","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","monlogementetudiant.beta.gouv.fr/185.21.194.105","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","monlogementetudiant.beta.gouv.fr/185.21.194.105","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","monlogementetudiant.beta.gouv.fr/185.21.194.105","443","INFO","yes","",""
"sessionresumption_ticket","monlogementetudiant.beta.gouv.fr/185.21.194.105","443","INFO","not supported","",""
"sessionresumption_ID","monlogementetudiant.beta.gouv.fr/185.21.194.105","443","INFO","not supported","",""
"TLS_timestamp","monlogementetudiant.beta.gouv.fr/185.21.194.105","443","INFO","random","",""
"certificate_compression","monlogementetudiant.beta.gouv.fr/185.21.194.105","443","INFO","none","",""
"clientAuth","monlogementetudiant.beta.gouv.fr/185.21.194.105","443","INFO","none","",""
"cert_numbers","monlogementetudiant.beta.gouv.fr/185.21.194.105","443","INFO","1","",""
"cert_signatureAlgorithm","monlogementetudiant.beta.gouv.fr/185.21.194.105","443","OK","SHA256 with RSA","",""
"cert_keySize","monlogementetudiant.beta.gouv.fr/185.21.194.105","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","monlogementetudiant.beta.gouv.fr/185.21.194.105","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","monlogementetudiant.beta.gouv.fr/185.21.194.105","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","monlogementetudiant.beta.gouv.fr/185.21.194.105","443","INFO","05972D1300CDDAFD6FCB901BCFAA7DB038EF","",""
"cert_serialNumberLen","monlogementetudiant.beta.gouv.fr/185.21.194.105","443","INFO","18","",""
"cert_fingerprintSHA1","monlogementetudiant.beta.gouv.fr/185.21.194.105","443","INFO","1DAF803D2540AADDFB45E5032AEEA8495A88E62C","",""
"cert_fingerprintSHA256","monlogementetudiant.beta.gouv.fr/185.21.194.105","443","INFO","867CDE5F04DC50FA933A9C32B1A2A07F7FCF8A3FC5048F529343FBA29EE78932","",""
"cert","monlogementetudiant.beta.gouv.fr/185.21.194.105","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFHTCCBAWgAwIBAgISBZctEwDN2v1vy5Abz6p9sDjvMA0GCSqGSIb3DQEBCwUAMDMxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQwwCgYDVQQDEwNSMTMwHhcNMjYwMTIyMDg1MzQwWhcNMjYwNDIyMDg1MzM5WjArMSkwJwYDVQQDEyBtb25sb2dlbWVudGV0dWRpYW50LmJldGEuZ291di5mcjCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBAKjRV1IJfB+9fq6XRgz9I6oAfrRL+UAInhSSxyQVyLx/744bhDymiOlJkoppNi8mFZa+d4bwbu99W4JqQY6FEFX+5CFxWsrD6kYgGuhY7rQy+Hf8GAuUAyKR9JJmy7nYEvpwiYi0c73VA94AZ++X+fv+m5bC+XiVdq85WclbCWfqIhfwmh890NK1rXujo3tL6v6nHPV+dHLj7KpNqTx4sTGNdzYrJTzG1qyXF9ekkFffKJuDne7XPQPYl7/TCnuOsvbenMPHkoNoehD68qjzXLptlQBMWZO5FvFfFR9IPG76WvMYFRhQQbG7iKoQHErvASRax8R+lKcEyn9hJA7AyfECAwEAAaOCAjEwggItMA4GA1UdDwEB/wQEAwIFoDAdBgNVHSUEFjAUBggrBgEFBQcDAQYIKwYBBQUHAwIwDAYDVR0TAQH/BAIwADAdBgNVHQ4EFgQUFyU7V65byLPowObzKPousvbPQUMwHwYDVR0jBBgwFoAU56ufDywzoFPTXk94yLKEDjvWkjMwMwYIKwYBBQUHAQEEJzAlMCMGCCsGAQUFBzAChhdodHRwOi8vcjEzLmkubGVuY3Iub3JnLzArBgNVHREEJDAigiBtb25sb2dlbWVudGV0dWRpYW50LmJldGEuZ291di5mcjATBgNVHSAEDDAKMAgGBmeBDAECATAvBgNVHR8EKDAmMCSgIqAghh5odHRwOi8vcjEzLmMubGVuY3Iub3JnLzExMi5jcmwwggEEBgorBgEEAdZ5AgQCBIH1BIHyAPAAdgDLOPcViXyEoURfW8Hd+8lu8ppZzUcKaQWFsMsUwxRY5wAAAZvlHlvNAAAEAwBHMEUCIGfHdDkIETbwbBPv7GfStK8HCCIa5QmHHg7J4kwV07/7AiEAy4/bM8WKZ4RwaRRf3Yglw9MQ504NQ12M/B9+uTOjxMAAdgAWgy2r8KklDw/wOqVF/8i/yCPQh0v2BCkn+OcfMxP1+gAAAZvlHlveAAAEAwBHMEUCIEyzdvYIsgBBCxgwEjeVhizk7BTmpkrMunwcTDq1uaj8AiEAxtoXcoSd3ghVXrAzihEtZlMKUeNbiNi6As5llVfkxScwDQYJKoZIhvcNAQELBQADggEBABCR0JsKaL+fb1cUj/JEcB1ouhFVSfxyIex6wrqONxypDLKL/kaKgIeVLSxhK9rpfV6bBgEDrP4/G48/IsOW5S6Na5e1AbplWFk/iaNaSZ12XWm3152Yh1TP/J41mrZ4/eN1SrhXuR76mw5w2HievywyuQ35ovtpXJ89+LbZjjDrqlFlqQb2aCOmyFVLwFpzU8/mD7QCzNpULK+9CVXyTRMSXLYy4147mlHabBz28T3/moYAq+VAYLHOrao293VzUnNvU3Kq/rZ8fFCtDf8KSdwFYbmg14x0dgaYde+ljk2Ff6b0fP067iYZs4MXGKlJYJOAcSLVjU8/oRXGK0rK3CU=\n-----END CERTIFICATE-----","",""
"cert_commonName","monlogementetudiant.beta.gouv.fr/185.21.194.105","443","OK","monlogementetudiant.beta.gouv.fr","",""
"cert_commonName_wo_SNI","monlogementetudiant.beta.gouv.fr/185.21.194.105","443","INFO","*.osc-secnum-fr1.scalingo.io","",""
"cert_subjectAltName","monlogementetudiant.beta.gouv.fr/185.21.194.105","443","INFO","monlogementetudiant.beta.gouv.fr","",""
"cert_trust","monlogementetudiant.beta.gouv.fr/185.21.194.105","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_trust_wildcard","monlogementetudiant.beta.gouv.fr/185.21.194.105","443","LOW","trust is via wildcard","",""
"cert_chain_of_trust","monlogementetudiant.beta.gouv.fr/185.21.194.105","443","OK","passed.","",""
"cert_certificatePolicies_EV","monlogementetudiant.beta.gouv.fr/185.21.194.105","443","INFO","no","",""
"cert_expirationStatus","monlogementetudiant.beta.gouv.fr/185.21.194.105","443","OK","65 >= 30 days","",""
"cert_notBefore","monlogementetudiant.beta.gouv.fr/185.21.194.105","443","INFO","2026-01-22 08:53","",""
"cert_notAfter","monlogementetudiant.beta.gouv.fr/185.21.194.105","443","OK","2026-04-22 08:53","",""
"cert_extlifeSpan","monlogementetudiant.beta.gouv.fr/185.21.194.105","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","monlogementetudiant.beta.gouv.fr/185.21.194.105","443","INFO","not present","",""
"cert_crlDistributionPoints","monlogementetudiant.beta.gouv.fr/185.21.194.105","443","INFO","http://r13.c.lencr.org/112.crl","",""
"cert_ocspURL","monlogementetudiant.beta.gouv.fr/185.21.194.105","443","INFO","--","",""
"OCSP_stapling","monlogementetudiant.beta.gouv.fr/185.21.194.105","443","INFO","not offered","",""
"cert_mustStapleExtension","monlogementetudiant.beta.gouv.fr/185.21.194.105","443","INFO","--","",""
"DNS_CAArecord","monlogementetudiant.beta.gouv.fr/185.21.194.105","443","LOW","--","",""
"certificate_transparency","monlogementetudiant.beta.gouv.fr/185.21.194.105","443","OK","yes (certificate extension)","",""
"certs_countServer","monlogementetudiant.beta.gouv.fr/185.21.194.105","443","INFO","2","",""
"certs_list_ordering_problem","monlogementetudiant.beta.gouv.fr/185.21.194.105","443","INFO","no","",""
"cert_caIssuers","monlogementetudiant.beta.gouv.fr/185.21.194.105","443","INFO","R13 (Let's Encrypt from US)","",""
