"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","nosgestesclimat.fr/51.15.219.230","443","INFO","HTTP","",""
"pre_128cipher","nosgestesclimat.fr/51.15.219.230","443","INFO","No 128 cipher limit bug","",""
"SSLv2","nosgestesclimat.fr/51.15.219.230","443","OK","not offered","",""
"SSLv3","nosgestesclimat.fr/51.15.219.230","443","OK","not offered","",""
"TLS1","nosgestesclimat.fr/51.15.219.230","443","INFO","not offered","",""
"TLS1_1","nosgestesclimat.fr/51.15.219.230","443","INFO","not offered","",""
"TLS1_2","nosgestesclimat.fr/51.15.219.230","443","OK","offered","",""
"TLS1_3","nosgestesclimat.fr/51.15.219.230","443","OK","offered with final","",""
"ALPN_HTTP2","nosgestesclimat.fr/51.15.219.230","443","OK","h2","",""
"ALPN","nosgestesclimat.fr/51.15.219.230","443","INFO","http/1.1","",""
"cipherlist_NULL","nosgestesclimat.fr/51.15.219.230","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","nosgestesclimat.fr/51.15.219.230","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","nosgestesclimat.fr/51.15.219.230","443","OK","not offered","","CWE-327"
"cipherlist_LOW","nosgestesclimat.fr/51.15.219.230","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","nosgestesclimat.fr/51.15.219.230","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","nosgestesclimat.fr/51.15.219.230","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","nosgestesclimat.fr/51.15.219.230","443","INFO","not offered","",""
"cipherlist_STRONG_FS","nosgestesclimat.fr/51.15.219.230","443","OK","offered","",""
"cipher_order-tls1_2","nosgestesclimat.fr/51.15.219.230","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc02c","nosgestesclimat.fr/51.15.219.230","443","OK","TLSv1.2   xc02c   ECDHE-ECDSA-AES256-GCM-SHA384     ECDH 521   AESGCM      256      TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc024","nosgestesclimat.fr/51.15.219.230","443","LOW","TLSv1.2   xc024   ECDHE-ECDSA-AES256-SHA384         ECDH 521   AES         256      TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA384","",""
"cipher-tls1_2_xc00a","nosgestesclimat.fr/51.15.219.230","443","LOW","TLSv1.2   xc00a   ECDHE-ECDSA-AES256-SHA            ECDH 521   AES         256      TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_2_xc073","nosgestesclimat.fr/51.15.219.230","443","LOW","TLSv1.2   xc073   ECDHE-ECDSA-CAMELLIA256-SHA384    ECDH 521   Camellia    256      TLS_ECDHE_ECDSA_WITH_CAMELLIA_256_CBC_SHA384","",""
"cipher-tls1_2_xc02b","nosgestesclimat.fr/51.15.219.230","443","OK","TLSv1.2   xc02b   ECDHE-ECDSA-AES128-GCM-SHA256     ECDH 521   AESGCM      128      TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc023","nosgestesclimat.fr/51.15.219.230","443","LOW","TLSv1.2   xc023   ECDHE-ECDSA-AES128-SHA256         ECDH 521   AES         128      TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_xc009","nosgestesclimat.fr/51.15.219.230","443","LOW","TLSv1.2   xc009   ECDHE-ECDSA-AES128-SHA            ECDH 521   AES         128      TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_2_xc072","nosgestesclimat.fr/51.15.219.230","443","LOW","TLSv1.2   xc072   ECDHE-ECDSA-CAMELLIA128-SHA256    ECDH 521   Camellia    128      TLS_ECDHE_ECDSA_WITH_CAMELLIA_128_CBC_SHA256","",""
"supportedciphers_TLSv1_2","nosgestesclimat.fr/51.15.219.230","443","INFO","ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES256-SHA384 ECDHE-ECDSA-AES256-SHA ECDHE-ECDSA-CAMELLIA256-SHA384 ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES128-SHA256 ECDHE-ECDSA-AES128-SHA ECDHE-ECDSA-CAMELLIA128-SHA256","",""
"cipher_order","nosgestesclimat.fr/51.15.219.230","443","INFO","NOT a server cipher order configured","",""
"FS","nosgestesclimat.fr/51.15.219.230","443","OK","offered","",""
"FS_ciphers","nosgestesclimat.fr/51.15.219.230","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES128-SHA256 ECDHE-ECDSA-AES128-SHA ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES256-SHA384 ECDHE-ECDSA-AES256-SHA ECDHE-ECDSA-CAMELLIA128-SHA256 ECDHE-ECDSA-CAMELLIA256-SHA384","",""
"FS_KEMs","nosgestesclimat.fr/51.15.219.230","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","nosgestesclimat.fr/51.15.219.230","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","nosgestesclimat.fr/51.15.219.230","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","nosgestesclimat.fr/51.15.219.230","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","nosgestesclimat.fr/51.15.219.230","443","INFO","yes","",""
"sessionresumption_ticket","nosgestesclimat.fr/51.15.219.230","443","INFO","supported","",""
"sessionresumption_ID","nosgestesclimat.fr/51.15.219.230","443","INFO","not supported","",""
"TLS_timestamp","nosgestesclimat.fr/51.15.219.230","443","INFO","random","",""
"certificate_compression","nosgestesclimat.fr/51.15.219.230","443","INFO","none","",""
"clientAuth","nosgestesclimat.fr/51.15.219.230","443","INFO","none","",""
"cert_numbers","nosgestesclimat.fr/51.15.219.230","443","INFO","1","",""
"cert_signatureAlgorithm","nosgestesclimat.fr/51.15.219.230","443","OK","ECDSA with SHA384","",""
"cert_keySize","nosgestesclimat.fr/51.15.219.230","443","OK","EC 256 bits (curve P-256)","",""
"cert_keyUsage","nosgestesclimat.fr/51.15.219.230","443","INFO","Digital Signature","",""
"cert_extKeyUsage","nosgestesclimat.fr/51.15.219.230","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","nosgestesclimat.fr/51.15.219.230","443","INFO","05958A55D865FBD25CFB3DB035CB4CB3FEB4","",""
"cert_serialNumberLen","nosgestesclimat.fr/51.15.219.230","443","INFO","18","",""
"cert_fingerprintSHA1","nosgestesclimat.fr/51.15.219.230","443","INFO","754B4C50AE62716FAF42549851397C02BF7EE17E","",""
"cert_fingerprintSHA256","nosgestesclimat.fr/51.15.219.230","443","INFO","B14B77068B6E353093102589AF5C7C4E0992C67D62F0F6F98E50B9DC50A091D3","",""
"cert","nosgestesclimat.fr/51.15.219.230","443","INFO","-----BEGIN CERTIFICATE-----\nMIIDqDCCAy+gAwIBAgISBZWKVdhl+9Jc+z2wNctMs/60MAoGCCqGSM49BAMDMDMxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQwwCgYDVQQDEwNZRTEwHhcNMjYwOTAxMTAwMjE1WhcNMjYxMTMwMTAwMjE0WjAdMRswGQYDVQQDExJub3NnZXN0ZXNjbGltYXQuZnIwWTATBgcqhkjOPQIBBggqhkjOPQMBBwNCAAQJKBdeB3F94i4EQ+avO0cyzXZeZfQ9JBDGtNCtmJcncDT7JJ3qsIlihMeDIhBbpws7ddZGx0b5/dNl8XY4cgN/o4ICNzCCAjMwDgYDVR0PAQH/BAQDAgeAMBMGA1UdJQQMMAoGCCsGAQUFBwMBMAwGA1UdEwEB/wQCMAAwHQYDVR0OBBYEFHT0yOMOx7ZQVYa2tp7O6mwDmwWEMB8GA1UdIwQYMBaAFLsgykcL/tflnPmPCSqjjDdFsbzYMDMGCCsGAQUFBwEBBCcwJTAjBggrBgEFBQcwAoYXaHR0cDovL3llMS5pLmxlbmNyLm9yZy8wNQYDVR0RBC4wLIISbm9zZ2VzdGVzY2xpbWF0LmZyghZ3d3cubm9zZ2VzdGVzY2xpbWF0LmZyMBMGA1UdIAQMMAowCAYGZ4EMAQIBMC4GA1UdHwQnMCUwI6AhoB+GHWh0dHA6Ly95ZTEuYy5sZW5jci5vcmcvNTMuY3JsMIIBCwYKKwYBBAHWeQIEAgSB/ASB+QD3AH0AqCbL4wrGNRJGUz/gZfFPGdluGQgTxB3ZbXkAsxI8VScAAAGgXKDwBgAIAAAFACn5odgEAwBGMEQCIG1bcCwXl2FHwJIDm59Bco7DoWEHcf9pHK4hyFaUc7YeAiAFuVUO9wK8xquHkF3NmH8b60uIA3gc0o45uGM1xcubHQB2AMIxfldFGaNF7n843rKQQevHwiFaIr9/1bWtdprZDlLNAAABoFyg9CkAAAQDAEcwRQIgBTaiZSA1T+6h6DGzskfKOKASm0jRifSkyDAemK/qxvECIQCOhOeGUEOdQ8BdAJQxYSPSmjM0kYOjabBu7GaJsKSzfTAKBggqhkjOPQQDAwNnADBkAjA3NiWQTV2XO3p6+nqtBGnzV/3ZjEYkKBPmjHTWuHh6vgpEUUxFeKfNCsBE1IwBBK4CMEN7bYBcYZ4POKMVAIq+cNjo0D39cOBn6F3WhL18Uf2Nf+CWYXZ18cMMTZl0XqFVKA==\n-----END CERTIFICATE-----","",""
"cert_commonName","nosgestesclimat.fr/51.15.219.230","443","OK","nosgestesclimat.fr","",""
"cert_commonName_wo_SNI","nosgestesclimat.fr/51.15.219.230","443","INFO","nosgestesclimat.fr","",""
"cert_subjectAltName","nosgestesclimat.fr/51.15.219.230","443","INFO","nosgestesclimat.fr www.nosgestesclimat.fr","",""
"cert_trust","nosgestesclimat.fr/51.15.219.230","443","OK","Ok via SAN and CN (same w/o SNI)","",""
"cert_chain_of_trust","nosgestesclimat.fr/51.15.219.230","443","OK","passed.","",""
"cert_certificatePolicies_EV","nosgestesclimat.fr/51.15.219.230","443","INFO","no","",""
"cert_expirationStatus","nosgestesclimat.fr/51.15.219.230","443","OK","85 >= 30 days","",""
"cert_notBefore","nosgestesclimat.fr/51.15.219.230","443","INFO","2026-09-01 10:02","",""
"cert_notAfter","nosgestesclimat.fr/51.15.219.230","443","OK","2026-11-30 10:02","",""
"cert_extlifeSpan","nosgestesclimat.fr/51.15.219.230","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","nosgestesclimat.fr/51.15.219.230","443","INFO","not present","",""
"cert_crlDistributionPoints","nosgestesclimat.fr/51.15.219.230","443","INFO","http://ye1.c.lencr.org/53.crl","",""
"cert_ocspURL","nosgestesclimat.fr/51.15.219.230","443","INFO","--","",""
"OCSP_stapling","nosgestesclimat.fr/51.15.219.230","443","INFO","not offered","",""
"cert_mustStapleExtension","nosgestesclimat.fr/51.15.219.230","443","INFO","--","",""
"DNS_CAArecord","nosgestesclimat.fr/51.15.219.230","443","LOW","--","",""
"certificate_transparency","nosgestesclimat.fr/51.15.219.230","443","OK","yes (certificate extension)","",""
"certs_countServer","nosgestesclimat.fr/51.15.219.230","443","INFO","4","",""
"certs_list_ordering_problem","nosgestesclimat.fr/51.15.219.230","443","INFO","no","",""
"cert_caIssuers","nosgestesclimat.fr/51.15.219.230","443","INFO","YE1 (Let's Encrypt from US)","",""
"intermediate_cert <#1>","nosgestesclimat.fr/51.15.219.230","443","INFO","-----BEGIN CERTIFICATE-----\nMIICizCCAhGgAwIBAgIQXd1w3TH4AchcGGp6BLgK/jAKBggqhkjOPQQDAzAuMQswCQYDVQQGEwJVUzENMAsGA1UEChMESVNSRzEQMA4GA1UEAxMHUm9vdCBZRTAeFw0yNTA5MDMwMDAwMDBaFw0yODA5MDIyMzU5NTlaMDMxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQwwCgYDVQQDEwNZRTEwdjAQBgcqhkjOPQIBBgUrgQQAIgNiAAQHZVB1/mimla2hfSurylScjPMZaOJXLz/NnAc2sylm8WDyhU9Ccp+zASQi5vSwGGJjSGklkD9fdPR8GpyDIOIjCEfrnbt/v+ZSEPLLEGbaM6EccDbN7p9xteIm2Avf+ryjge4wgeswDgYDVR0PAQH/BAQDAgGGMBMGA1UdJQQMMAoGCCsGAQUFBwMBMBIGA1UdEwEB/wQIMAYBAf8CAQAwHQYDVR0OBBYEFLsgykcL/tflnPmPCSqjjDdFsbzYMB8GA1UdIwQYMBaAFKPIJlqOoUzQNWP8myPIOq5W809WMDIGCCsGAQUFBwEBBCYwJDAiBggrBgEFBQcwAoYWaHR0cDovL3llLmkubGVuY3Iub3JnLzATBgNVHSAEDDAKMAgGBmeBDAECATAnBgNVHR8EIDAeMBygGqAYhhZodHRwOi8veWUuYy5sZW5jci5vcmcvMAoGCCqGSM49BAMDA2gAMGUCMQDgjUEahFT/h3DRakqiPZpLvPgfZwkt6K2EOMmh1nvEzl83eMLYcod4GCl3b0J1Nn0CMBNYmEQJb4CEG5WoOe7aRn/LVKu6saHmHEynI7ysIPd8zQsK1HdmhlHKlw9Z5GpGvA==\n-----END CERTIFICATE-----","",""
"intermediate_cert_fingerprintSHA256 <#1>","nosgestesclimat.fr/51.15.219.230","443","INFO","A2372D06431E9716365EEED47EC020351497D182FCC038E457E58168A03CAC07","",""
