"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","octopus.igloo.fabnum.fr/51.159.27.6","443","INFO","HTTP","",""
"pre_128cipher","octopus.igloo.fabnum.fr/51.159.27.6","443","INFO","No 128 cipher limit bug","",""
"SSLv2","octopus.igloo.fabnum.fr/51.159.27.6","443","OK","not offered","",""
"SSLv3","octopus.igloo.fabnum.fr/51.159.27.6","443","OK","not offered","",""
"TLS1","octopus.igloo.fabnum.fr/51.159.27.6","443","INFO","not offered","",""
"TLS1_1","octopus.igloo.fabnum.fr/51.159.27.6","443","INFO","not offered","",""
"TLS1_2","octopus.igloo.fabnum.fr/51.159.27.6","443","OK","offered","",""
"TLS1_3","octopus.igloo.fabnum.fr/51.159.27.6","443","OK","offered with final","",""
"ALPN_HTTP2","octopus.igloo.fabnum.fr/51.159.27.6","443","OK","h2","",""
"ALPN","octopus.igloo.fabnum.fr/51.159.27.6","443","INFO","http/1.1","",""
"cipherlist_NULL","octopus.igloo.fabnum.fr/51.159.27.6","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","octopus.igloo.fabnum.fr/51.159.27.6","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","octopus.igloo.fabnum.fr/51.159.27.6","443","OK","not offered","","CWE-327"
"cipherlist_LOW","octopus.igloo.fabnum.fr/51.159.27.6","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","octopus.igloo.fabnum.fr/51.159.27.6","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","octopus.igloo.fabnum.fr/51.159.27.6","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","octopus.igloo.fabnum.fr/51.159.27.6","443","INFO","not offered","",""
"cipherlist_STRONG","octopus.igloo.fabnum.fr/51.159.27.6","443","OK","offered","",""
"cipher_order","octopus.igloo.fabnum.fr/51.159.27.6","443","OK","server","",""
"protocol_negotiated","octopus.igloo.fabnum.fr/51.159.27.6","443","OK","Default protocol TLS1.3","",""
"cipher_negotiated","octopus.igloo.fabnum.fr/51.159.27.6","443","OK","TLS_AES_256_GCM_SHA384, 253 bit ECDH (X25519)","",""
"cipherorder_TLSv1_2","octopus.igloo.fabnum.fr/51.159.27.6","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"FS","octopus.igloo.fabnum.fr/51.159.27.6","443","OK","offered","",""
"FS_ciphers","octopus.igloo.fabnum.fr/51.159.27.6","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES128-SHA DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 DHE-RSA-AES256-SHA ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","octopus.igloo.fabnum.fr/51.159.27.6","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","octopus.igloo.fabnum.fr/51.159.27.6","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","octopus.igloo.fabnum.fr/51.159.27.6","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","octopus.igloo.fabnum.fr/51.159.27.6","443","INFO","yes","",""
"sessionresumption_ticket","octopus.igloo.fabnum.fr/51.159.27.6","443","INFO","not supported","",""
"sessionresumption_ID","octopus.igloo.fabnum.fr/51.159.27.6","443","INFO","supported","",""
"TLS_timestamp","octopus.igloo.fabnum.fr/51.159.27.6","443","INFO","random","",""
"certificate_compression","octopus.igloo.fabnum.fr/51.159.27.6","443","INFO","none","",""
"clientAuth","octopus.igloo.fabnum.fr/51.159.27.6","443","INFO","none","",""
"cert_numbers","octopus.igloo.fabnum.fr/51.159.27.6","443","INFO","1","",""
"cert_signatureAlgorithm","octopus.igloo.fabnum.fr/51.159.27.6","443","OK","SHA256 with RSA","",""
"cert_keySize","octopus.igloo.fabnum.fr/51.159.27.6","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","octopus.igloo.fabnum.fr/51.159.27.6","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","octopus.igloo.fabnum.fr/51.159.27.6","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","octopus.igloo.fabnum.fr/51.159.27.6","443","INFO","038278E3154BA505CD7ACF883BC652A6EED5","",""
"cert_serialNumberLen","octopus.igloo.fabnum.fr/51.159.27.6","443","INFO","18","",""
"cert_fingerprintSHA1","octopus.igloo.fabnum.fr/51.159.27.6","443","INFO","643383652402562F089C9401BAF772DEDE65AF57","",""
"cert_fingerprintSHA256","octopus.igloo.fabnum.fr/51.159.27.6","443","INFO","E5AE5944E9C0CEBD6FA1DE0A434029925E16FDBB2A37ED2C83EA85709A630120","",""
