"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","opentermsarchive.org/185.199.108.153","443","INFO","HTTP","",""
"pre_128cipher","opentermsarchive.org/185.199.108.153","443","INFO","No 128 cipher limit bug","",""
"SSLv2","opentermsarchive.org/185.199.108.153","443","OK","not offered","",""
"SSLv3","opentermsarchive.org/185.199.108.153","443","OK","not offered","",""
"TLS1","opentermsarchive.org/185.199.108.153","443","INFO","not offered","",""
"TLS1_1","opentermsarchive.org/185.199.108.153","443","INFO","not offered","",""
"TLS1_2","opentermsarchive.org/185.199.108.153","443","OK","offered","",""
"TLS1_3","opentermsarchive.org/185.199.108.153","443","OK","offered with final","",""
"ALPN_HTTP2","opentermsarchive.org/185.199.108.153","443","OK","h2","",""
"ALPN","opentermsarchive.org/185.199.108.153","443","INFO","http/1.1","",""
"cipherlist_NULL","opentermsarchive.org/185.199.108.153","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","opentermsarchive.org/185.199.108.153","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","opentermsarchive.org/185.199.108.153","443","OK","not offered","","CWE-327"
"cipherlist_LOW","opentermsarchive.org/185.199.108.153","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","opentermsarchive.org/185.199.108.153","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","opentermsarchive.org/185.199.108.153","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","opentermsarchive.org/185.199.108.153","443","OK","offered","",""
"cipherlist_STRONG_FS","opentermsarchive.org/185.199.108.153","443","OK","offered","",""
"cipher_order-tls1_2","opentermsarchive.org/185.199.108.153","443","OK","server","",""
"cipherorder_TLSv1_2","opentermsarchive.org/185.199.108.153","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","opentermsarchive.org/185.199.108.153","443","OK","server","",""
"FS","opentermsarchive.org/185.199.108.153","443","OK","offered","",""
"FS_ciphers","opentermsarchive.org/185.199.108.153","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA","",""
