"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","partaj.beta.gouv.fr/185.31.40.22","443","INFO","HTTP","",""
"pre_128cipher","partaj.beta.gouv.fr/185.31.40.22","443","INFO","No 128 cipher limit bug","",""
"SSLv2","partaj.beta.gouv.fr/185.31.40.22","443","OK","not offered","",""
"SSLv3","partaj.beta.gouv.fr/185.31.40.22","443","OK","not offered","",""
"TLS1","partaj.beta.gouv.fr/185.31.40.22","443","INFO","not offered","",""
"TLS1_1","partaj.beta.gouv.fr/185.31.40.22","443","INFO","not offered","",""
"TLS1_2","partaj.beta.gouv.fr/185.31.40.22","443","OK","offered","",""
"TLS1_3","partaj.beta.gouv.fr/185.31.40.22","443","OK","offered with final","",""
"ALPN_HTTP2","partaj.beta.gouv.fr/185.31.40.22","443","OK","h2","",""
"ALPN","partaj.beta.gouv.fr/185.31.40.22","443","INFO","http/1.1","",""
"cipherlist_NULL","partaj.beta.gouv.fr/185.31.40.22","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","partaj.beta.gouv.fr/185.31.40.22","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","partaj.beta.gouv.fr/185.31.40.22","443","OK","not offered","","CWE-327"
"cipherlist_LOW","partaj.beta.gouv.fr/185.31.40.22","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","partaj.beta.gouv.fr/185.31.40.22","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","partaj.beta.gouv.fr/185.31.40.22","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","partaj.beta.gouv.fr/185.31.40.22","443","INFO","not offered","",""
"cipherlist_STRONG_FS","partaj.beta.gouv.fr/185.31.40.22","443","OK","offered","",""
"cipher_order-tls1_2","partaj.beta.gouv.fr/185.31.40.22","443","OK","server","",""
"cipherorder_TLSv1_2","partaj.beta.gouv.fr/185.31.40.22","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","partaj.beta.gouv.fr/185.31.40.22","443","OK","server","",""
"FS","partaj.beta.gouv.fr/185.31.40.22","443","OK","offered","",""
"FS_ciphers","partaj.beta.gouv.fr/185.31.40.22","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","partaj.beta.gouv.fr/185.31.40.22","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","partaj.beta.gouv.fr/185.31.40.22","443","INFO","'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","partaj.beta.gouv.fr/185.31.40.22","443","INFO","valid for 7200 seconds only (<daily)","",""
"SSL_sessionID_support","partaj.beta.gouv.fr/185.31.40.22","443","INFO","yes","",""
"sessionresumption_ticket","partaj.beta.gouv.fr/185.31.40.22","443","INFO","not supported","",""
"sessionresumption_ID","partaj.beta.gouv.fr/185.31.40.22","443","INFO","not supported","",""
"TLS_timestamp","partaj.beta.gouv.fr/185.31.40.22","443","INFO","random","",""
"certificate_compression","partaj.beta.gouv.fr/185.31.40.22","443","INFO","none","",""
"clientAuth","partaj.beta.gouv.fr/185.31.40.22","443","INFO","none","",""
"cert_numbers","partaj.beta.gouv.fr/185.31.40.22","443","INFO","1","",""
"cert_signatureAlgorithm","partaj.beta.gouv.fr/185.31.40.22","443","OK","SHA256 with RSA","",""
"cert_keySize","partaj.beta.gouv.fr/185.31.40.22","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","partaj.beta.gouv.fr/185.31.40.22","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","partaj.beta.gouv.fr/185.31.40.22","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","partaj.beta.gouv.fr/185.31.40.22","443","INFO","06CF41AF917FA0886347CFB634DB843EB2F0","",""
"cert_serialNumberLen","partaj.beta.gouv.fr/185.31.40.22","443","INFO","18","",""
"cert_fingerprintSHA1","partaj.beta.gouv.fr/185.31.40.22","443","INFO","1AB377DAD9666C732AA0E90DA1665067468A0A9B","",""
"cert_fingerprintSHA256","partaj.beta.gouv.fr/185.31.40.22","443","INFO","04F6086116B4F0D7816C8568952DC46F7158411D12D4EF0CB636A77EEA408C66","",""
"cert","partaj.beta.gouv.fr/185.31.40.22","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFAzCCA+ugAwIBAgISBs9Br5F/oIhjR8+2NNuEPrLwMA0GCSqGSIb3DQEBCwUAMDMxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQwwCgYDVQQDEwNSMTEwHhcNMjUwNzEwMDY0NDM2WhcNMjUxMDA4MDY0NDM1WjAeMRwwGgYDVQQDExNwYXJ0YWouYmV0YS5nb3V2LmZyMIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAqkx/jJEcYhwfhVfkXQOva2STaC1Tkrvdd13PH3gX5F0gw2d/eJJD6C4OmGWNjTKOdeCD1pL+5yZpsA/f4iQJBVmcQ+eRvAxpOd8O3bPSC014hczqaFsaYCAYX+AGatkJRDr93aBzmVQ2eJrTABhbOKNTZzZ5T1edb/rQyHXGstdan8II7vbN4vS2Us4SYltwvhklUQieVWHRKVgoSMu2dzVDJYFwZAbV6iyb/XfcFE0wXnKHqkXiyBYKP84QilH3kg/8E+fdLmB7ck3KJS9tX2Hgn9Ktbe36JCQvTCXDDyZ213FXkoMQTcmG5b47YTwokL2jildbRanFJ4JBtKX9ZQIDAQABo4ICJDCCAiAwDgYDVR0PAQH/BAQDAgWgMB0GA1UdJQQWMBQGCCsGAQUFBwMBBggrBgEFBQcDAjAMBgNVHRMBAf8EAjAAMB0GA1UdDgQWBBRkJ3nMgC/CA2kwujwFgGBg6B9hKjAfBgNVHSMEGDAWgBTFz0ak6vTDwHpslcQtsF6SLybjuTAzBggrBgEFBQcBAQQnMCUwIwYIKwYBBQUHMAKGF2h0dHA6Ly9yMTEuaS5sZW5jci5vcmcvMB4GA1UdEQQXMBWCE3BhcnRhai5iZXRhLmdvdXYuZnIwEwYDVR0gBAwwCjAIBgZngQwBAgEwLwYDVR0fBCgwJjAkoCKgIIYeaHR0cDovL3IxMS5jLmxlbmNyLm9yZy8xMTMuY3JsMIIBBAYKKwYBBAHWeQIEAgSB9QSB8gDwAHYAGgT/SdBUHUCv9qDDv/HYxGcvTuzuI0BomGsXQC7ciX0AAAGX80nAggAABAMARzBFAiEA2WyiKx5MABvmxs8YRresNTCD0UpVvO04//hMFrwMZ0QCIHUN8oc+TF0NHlrPeIdmmf0UEZ0WKFFsO0JgqkuM/APJAHYAEvFONL1TckyEBhnDjz96E/jntWKHiJxtMAWE6+WGJjoAAAGX80nAXAAABAMARzBFAiEAvVGClXgYxl27mkxzlfyKQwvFKZ+DA2C2fXQHt6/qU9UCIGN2vwKSCPEwvESxtVJc2l+0TEpVUVuj6n8DY+mFiL/IMA0GCSqGSIb3DQEBCwUAA4IBAQAXcsBx1eyYdd1faw7tzIk00Sis2nJTQxT8Qp04tZZDJe43dmTqUoXX0MkhcY6DDe3tk1ouPnP960uM1wKPRVvswfrw3yd4WTogLjTgkbwU7eA3jihxY9KCyENxtbJhowm38tMFeWE2a/aTrtunh46T/9FIG0McxemEq8bNPjAz/w7onBIrZcNLTfvTY3QfgsGSrUhcOH3p+aoQUuagfsDqqVI+6nJ/3kSksrS6QCCvQifVK25nhwaMHwVF/qE9md5/6eI5sFSXnMEgSrikjpCs91jE2bhfKffy4D3oCO0kCjfcLGun433bhqcnh7Tym1B8mxPLrRwIlXMRBNMT3wAf\n-----END CERTIFICATE-----","",""
"cert_commonName","partaj.beta.gouv.fr/185.31.40.22","443","OK","partaj.beta.gouv.fr","",""
"cert_commonName_wo_SNI","partaj.beta.gouv.fr/185.31.40.22","443","INFO","*.alwaysdata.net","",""
"cert_subjectAltName","partaj.beta.gouv.fr/185.31.40.22","443","INFO","partaj.beta.gouv.fr","",""
"cert_trust","partaj.beta.gouv.fr/185.31.40.22","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_trust_wildcard","partaj.beta.gouv.fr/185.31.40.22","443","LOW","trust is via wildcard","",""
"cert_chain_of_trust","partaj.beta.gouv.fr/185.31.40.22","443","OK","passed.","",""
"cert_certificatePolicies_EV","partaj.beta.gouv.fr/185.31.40.22","443","INFO","no","",""
"cert_expirationStatus","partaj.beta.gouv.fr/185.31.40.22","443","OK","38 >= 30 days","",""
"cert_notBefore","partaj.beta.gouv.fr/185.31.40.22","443","INFO","2025-07-10 06:44","",""
"cert_notAfter","partaj.beta.gouv.fr/185.31.40.22","443","OK","2025-10-08 06:44","",""
"cert_extlifeSpan","partaj.beta.gouv.fr/185.31.40.22","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","partaj.beta.gouv.fr/185.31.40.22","443","INFO","not present","",""
"cert_crlDistributionPoints","partaj.beta.gouv.fr/185.31.40.22","443","INFO","http://r11.c.lencr.org/113.crl","",""
"cert_ocspURL","partaj.beta.gouv.fr/185.31.40.22","443","INFO","--","",""
"OCSP_stapling","partaj.beta.gouv.fr/185.31.40.22","443","INFO","not offered","",""
"cert_mustStapleExtension","partaj.beta.gouv.fr/185.31.40.22","443","INFO","--","",""
"DNS_CAArecord","partaj.beta.gouv.fr/185.31.40.22","443","LOW","--","",""
"certificate_transparency","partaj.beta.gouv.fr/185.31.40.22","443","OK","yes (certificate extension)","",""
"certs_countServer","partaj.beta.gouv.fr/185.31.40.22","443","INFO","2","",""
"certs_list_ordering_problem","partaj.beta.gouv.fr/185.31.40.22","443","INFO","no","",""
"cert_caIssuers","partaj.beta.gouv.fr/185.31.40.22","443","INFO","R11 (Let's Encrypt from US)","",""
