"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","pass.sports.gouv.fr/80.247.13.145","443","INFO","HTTP","",""
"pre_128cipher","pass.sports.gouv.fr/80.247.13.145","443","INFO","No 128 cipher limit bug","",""
"SSLv2","pass.sports.gouv.fr/80.247.13.145","443","OK","not offered","",""
"SSLv3","pass.sports.gouv.fr/80.247.13.145","443","OK","not offered","",""
"TLS1","pass.sports.gouv.fr/80.247.13.145","443","INFO","not offered","",""
"TLS1_1","pass.sports.gouv.fr/80.247.13.145","443","INFO","not offered","",""
"TLS1_2","pass.sports.gouv.fr/80.247.13.145","443","OK","offered","",""
"TLS1_3","pass.sports.gouv.fr/80.247.13.145","443","OK","offered with final","",""
"ALPN_HTTP2","pass.sports.gouv.fr/80.247.13.145","443","OK","h2","",""
"ALPN","pass.sports.gouv.fr/80.247.13.145","443","INFO","http/1.1","",""
"cipherlist_NULL","pass.sports.gouv.fr/80.247.13.145","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","pass.sports.gouv.fr/80.247.13.145","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","pass.sports.gouv.fr/80.247.13.145","443","OK","not offered","","CWE-327"
"cipherlist_LOW","pass.sports.gouv.fr/80.247.13.145","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","pass.sports.gouv.fr/80.247.13.145","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","pass.sports.gouv.fr/80.247.13.145","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","pass.sports.gouv.fr/80.247.13.145","443","INFO","not offered","",""
"cipherlist_STRONG_FS","pass.sports.gouv.fr/80.247.13.145","443","OK","offered","",""
"cipher_order-tls1_2","pass.sports.gouv.fr/80.247.13.145","443","OK","server","",""
"cipherorder_TLSv1_2","pass.sports.gouv.fr/80.247.13.145","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","pass.sports.gouv.fr/80.247.13.145","443","OK","server","",""
"FS","pass.sports.gouv.fr/80.247.13.145","443","OK","offered","",""
"FS_ciphers","pass.sports.gouv.fr/80.247.13.145","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_KEMs","pass.sports.gouv.fr/80.247.13.145","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","pass.sports.gouv.fr/80.247.13.145","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","pass.sports.gouv.fr/80.247.13.145","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","pass.sports.gouv.fr/80.247.13.145","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","pass.sports.gouv.fr/80.247.13.145","443","INFO","yes","",""
"sessionresumption_ticket","pass.sports.gouv.fr/80.247.13.145","443","INFO","not supported","",""
"sessionresumption_ID","pass.sports.gouv.fr/80.247.13.145","443","INFO","not supported","",""
"TLS_timestamp","pass.sports.gouv.fr/80.247.13.145","443","INFO","random","",""
"certificate_compression","pass.sports.gouv.fr/80.247.13.145","443","INFO","none","",""
"clientAuth","pass.sports.gouv.fr/80.247.13.145","443","INFO","none","",""
"cert_numbers","pass.sports.gouv.fr/80.247.13.145","443","INFO","1","",""
"cert_signatureAlgorithm","pass.sports.gouv.fr/80.247.13.145","443","OK","SHA256 with RSA","",""
"cert_keySize","pass.sports.gouv.fr/80.247.13.145","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","pass.sports.gouv.fr/80.247.13.145","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","pass.sports.gouv.fr/80.247.13.145","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","pass.sports.gouv.fr/80.247.13.145","443","INFO","065E10C2EACDF4EB134D816467805B53C248","",""
"cert_serialNumberLen","pass.sports.gouv.fr/80.247.13.145","443","INFO","18","",""
"cert_fingerprintSHA1","pass.sports.gouv.fr/80.247.13.145","443","INFO","E13D44E0CD7AD5A67A0AC50DE128988FD1008B09","",""
"cert_fingerprintSHA256","pass.sports.gouv.fr/80.247.13.145","443","INFO","549FD1E839A918E2A1D00D87A9EBCE2CE1D6C86F38CE87D59E1882390D7DD434","",""
"cert","pass.sports.gouv.fr/80.247.13.145","443","INFO","-----BEGIN CERTIFICATE-----\nMIIE/zCCA+egAwIBAgISBl4QwurN9OsTTYFkZ4BbU8JIMA0GCSqGSIb3DQEBCwUAMDMxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQwwCgYDVQQDEwNZUjEwHhcNMjYwNzMxMTM0NTQzWhcNMjYxMDI5MTM0NTQyWjAeMRwwGgYDVQQDExNwYXNzLnNwb3J0cy5nb3V2LmZyMIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAxTYTyzPN5a/Lu7Bnw/5czcoUOkVbCwiNQEZwGhUqT4b5c8tevg08V/mn5Ppm7r2YQ2GnH1iCxt3BUneSlmck976GWABjRJqQFPleMwGC5XDFP6VYIvlTRuRKnoONgqprvXbTbhcKFxfR49E2lu6cF/h/HthjQRWfF8sq4GiSjd1/wR0nxMJTM3a1SEfLwEr7eTmxTiylx4AXT95e0P0/ga3l+7zEkkKMEFGaFXDZ1YTKiEFWqDms7Xfp6WlfUVr5tCf+Va0RuKNjiCW/h/BVcV0UvV8IzwY1mt9M5DGvCNKjbwoIZnAFEU/6++IHZPl4nIApiYG3KdTbWbQszjMWRwIDAQABo4ICIDCCAhwwDgYDVR0PAQH/BAQDAgWgMBMGA1UdJQQMMAoGCCsGAQUFBwMBMAwGA1UdEwEB/wQCMAAwHQYDVR0OBBYEFIqsyIJ+4hp7ZK8Z7zA97dl3qNVgMB8GA1UdIwQYMBaAFB8vNb5GFILNQLGueSxVePr31Gj7MDMGCCsGAQUFBwEBBCcwJTAjBggrBgEFBQcwAoYXaHR0cDovL3lyMS5pLmxlbmNyLm9yZy8wHgYDVR0RBBcwFYITcGFzcy5zcG9ydHMuZ291di5mcjATBgNVHSAEDDAKMAgGBmeBDAECATAuBgNVHR8EJzAlMCOgIaAfhh1odHRwOi8veXIxLmMubGVuY3Iub3JnLzczLmNybDCCAQsGCisGAQQB1nkCBAIEgfwEgfkA9wB1AMijxH/Hs625NWsBP2p6Em3jOk5DpcZG+ZetOXWZHc+aAAABn7iiAv0AAAQDAEYwRAIgNWWKVWfPIU12p1KhOsYPQJFJdGZVXndtNpV1jkyQtnECIGvK9StzXj1TXPK7IhlB/zimkibbKNo+Hg7RzbGiiIoyAH4AJuNkblhpISO8ND9HJDWbN5LNJFqI2BXTkzP9mRirRyMAAAGfuKH+4QAIAAAFAC99vIEEAwBHMEUCIGFEgB4Xqt4aWVlw1OfEpFkgw0bQHleP4uMS/TFmt092AiEAqJ1x3gzd3BTlLys5qJaa0oLhLSXsmOpHSHKL/63lWV0wDQYJKoZIhvcNAQELBQADggEBAAYqoPM471b6S0AeApwUyz6yc+8Pq7869VNnqCmz3xodO17h5T/A+mPYHmgYvP7f89P40SXrI66BcRKaEEJKOaORUVwv4ZlvX3jp0I8vhLs4FOrxxlc72AE77yiLeLpY0TgrYHb4YAK84nCtpWXRU39hF7LlZJXZxtNQQvBaN786yMhlgZP7gAF+jMN+xeOIqMCMoKAU7zCUldMraYpc2n+ad6oaRNbZ6ZMjFsgBzdE0jxHswkUTETkGgwD+EYca6WZv/BWjSxoSDFscgDV2VKS51s82w77BVlPgvvT5qDAqa8wMQ0gFsvFdzn5Rr9KJaQLu87DEIUiMXWgzUu1loaI=\n-----END CERTIFICATE-----","",""
"cert_commonName","pass.sports.gouv.fr/80.247.13.145","443","OK","pass.sports.gouv.fr","",""
"cert_commonName_wo_SNI","pass.sports.gouv.fr/80.247.13.145","443","INFO","*.osc-secnum-fr1.scalingo.io","",""
"cert_subjectAltName","pass.sports.gouv.fr/80.247.13.145","443","INFO","pass.sports.gouv.fr","",""
"cert_trust","pass.sports.gouv.fr/80.247.13.145","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_trust_wildcard","pass.sports.gouv.fr/80.247.13.145","443","LOW","trust is via wildcard","",""
"cert_chain_of_trust","pass.sports.gouv.fr/80.247.13.145","443","OK","passed.","",""
"cert_certificatePolicies_EV","pass.sports.gouv.fr/80.247.13.145","443","INFO","no","",""
"cert_expirationStatus","pass.sports.gouv.fr/80.247.13.145","443","OK","81 >= 30 days","",""
"cert_notBefore","pass.sports.gouv.fr/80.247.13.145","443","INFO","2026-07-31 13:45","",""
"cert_notAfter","pass.sports.gouv.fr/80.247.13.145","443","OK","2026-10-29 13:45","",""
"cert_extlifeSpan","pass.sports.gouv.fr/80.247.13.145","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","pass.sports.gouv.fr/80.247.13.145","443","INFO","not present","",""
"cert_crlDistributionPoints","pass.sports.gouv.fr/80.247.13.145","443","INFO","http://yr1.c.lencr.org/73.crl","",""
"cert_ocspURL","pass.sports.gouv.fr/80.247.13.145","443","INFO","--","",""
"OCSP_stapling","pass.sports.gouv.fr/80.247.13.145","443","INFO","not offered","",""
"cert_mustStapleExtension","pass.sports.gouv.fr/80.247.13.145","443","INFO","--","",""
"DNS_CAArecord","pass.sports.gouv.fr/80.247.13.145","443","LOW","--","",""
"certificate_transparency","pass.sports.gouv.fr/80.247.13.145","443","OK","yes (certificate extension)","",""
"certs_countServer","pass.sports.gouv.fr/80.247.13.145","443","INFO","3","",""
"certs_list_ordering_problem","pass.sports.gouv.fr/80.247.13.145","443","INFO","no","",""
"cert_caIssuers","pass.sports.gouv.fr/80.247.13.145","443","INFO","YR1 (Let's Encrypt from US)","",""
