"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","pdf.dora.incubateur.net/80.247.12.255","443","INFO","HTTP","",""
"pre_128cipher","pdf.dora.incubateur.net/80.247.12.255","443","INFO","No 128 cipher limit bug","",""
"SSLv2","pdf.dora.incubateur.net/80.247.12.255","443","OK","not offered","",""
"SSLv3","pdf.dora.incubateur.net/80.247.12.255","443","OK","not offered","",""
"TLS1","pdf.dora.incubateur.net/80.247.12.255","443","INFO","not offered","",""
"TLS1_1","pdf.dora.incubateur.net/80.247.12.255","443","INFO","not offered","",""
"TLS1_2","pdf.dora.incubateur.net/80.247.12.255","443","OK","offered","",""
"TLS1_3","pdf.dora.incubateur.net/80.247.12.255","443","OK","offered with final","",""
"ALPN_HTTP2","pdf.dora.incubateur.net/80.247.12.255","443","OK","h2","",""
"ALPN","pdf.dora.incubateur.net/80.247.12.255","443","INFO","http/1.1","",""
"cipherlist_NULL","pdf.dora.incubateur.net/80.247.12.255","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","pdf.dora.incubateur.net/80.247.12.255","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","pdf.dora.incubateur.net/80.247.12.255","443","OK","not offered","","CWE-327"
"cipherlist_LOW","pdf.dora.incubateur.net/80.247.12.255","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","pdf.dora.incubateur.net/80.247.12.255","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","pdf.dora.incubateur.net/80.247.12.255","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","pdf.dora.incubateur.net/80.247.12.255","443","INFO","not offered","",""
"cipherlist_STRONG_FS","pdf.dora.incubateur.net/80.247.12.255","443","OK","offered","",""
"cipher_order-tls1_2","pdf.dora.incubateur.net/80.247.12.255","443","OK","server","",""
"cipherorder_TLSv1_2","pdf.dora.incubateur.net/80.247.12.255","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","pdf.dora.incubateur.net/80.247.12.255","443","OK","server","",""
"FS","pdf.dora.incubateur.net/80.247.12.255","443","OK","offered","",""
"FS_ciphers","pdf.dora.incubateur.net/80.247.12.255","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","pdf.dora.incubateur.net/80.247.12.255","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","pdf.dora.incubateur.net/80.247.12.255","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","pdf.dora.incubateur.net/80.247.12.255","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","pdf.dora.incubateur.net/80.247.12.255","443","INFO","yes","",""
"sessionresumption_ticket","pdf.dora.incubateur.net/80.247.12.255","443","INFO","not supported","",""
"sessionresumption_ID","pdf.dora.incubateur.net/80.247.12.255","443","INFO","not supported","",""
"TLS_timestamp","pdf.dora.incubateur.net/80.247.12.255","443","INFO","random","",""
"certificate_compression","pdf.dora.incubateur.net/80.247.12.255","443","INFO","none","",""
"clientAuth","pdf.dora.incubateur.net/80.247.12.255","443","INFO","none","",""
"cert_numbers","pdf.dora.incubateur.net/80.247.12.255","443","INFO","1","",""
"cert_signatureAlgorithm","pdf.dora.incubateur.net/80.247.12.255","443","OK","SHA256 with RSA","",""
"cert_keySize","pdf.dora.incubateur.net/80.247.12.255","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","pdf.dora.incubateur.net/80.247.12.255","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","pdf.dora.incubateur.net/80.247.12.255","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","pdf.dora.incubateur.net/80.247.12.255","443","INFO","04E324FE8B73C7DF57B0B51A444CF2774A0C","",""
"cert_serialNumberLen","pdf.dora.incubateur.net/80.247.12.255","443","INFO","18","",""
"cert_fingerprintSHA1","pdf.dora.incubateur.net/80.247.12.255","443","INFO","31A2108BC6C5919307DB87FB4FEBB49F9DB11149","",""
"cert_fingerprintSHA256","pdf.dora.incubateur.net/80.247.12.255","443","INFO","5268AE0816DB59995E91F7B6257DE718EAEA09B320A602180CDEB0DC7865CAFD","",""
"cert","pdf.dora.incubateur.net/80.247.12.255","443","INFO","-----BEGIN CERTIFICATE-----\nMIIE+TCCA+GgAwIBAgISBOMk/otzx99XsLUaREzyd0oMMA0GCSqGSIb3DQEBCwUAMDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQDEwJSMzAeFw0yMzEyMzAwODU4MTBaFw0yNDAzMjkwODU4MDlaMCIxIDAeBgNVBAMTF3BkZi5kb3JhLmluY3ViYXRldXIubmV0MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAs0G2lTTLK9HTBTZOPYy3YHjmZEI1iirR0ccoHOzJ+KHgrr9r7rjgIvIW1Sw8ueJnL1Y+0Jtc/sXPTY9rivtmbBVRLsSpF5Z4HmqifmBXIdqTkBE+KbX82Khbiz+lKucAuzG5iBQAmeapZVyujZi8KsnJMpBdM6tN1CnbWFIpS1MQlzYgnUdK+8+UL7HXYIIYr5CQBHW6nAm4Sur3Ntb65vOa33LKr+afe1366fkGPAvxxN6pSaBUhHPfyo4De3dNtL3GIkBbksMrcmjvdNSIjP0JlxXW2G6mDPrW5YH7RwOTJrirx0Cih0llSYIPmV4yccUdZfgUYil7by+n2bgZMQIDAQABo4ICFzCCAhMwDgYDVR0PAQH/BAQDAgWgMB0GA1UdJQQWMBQGCCsGAQUFBwMBBggrBgEFBQcDAjAMBgNVHRMBAf8EAjAAMB0GA1UdDgQWBBSbb71flTENCNP5k0Dz8yvFEx5nTjAfBgNVHSMEGDAWgBQULrMXt1hWy65QCUDmH6+dixTCxjBVBggrBgEFBQcBAQRJMEcwIQYIKwYBBQUHMAGGFWh0dHA6Ly9yMy5vLmxlbmNyLm9yZzAiBggrBgEFBQcwAoYWaHR0cDovL3IzLmkubGVuY3Iub3JnLzAiBgNVHREEGzAZghdwZGYuZG9yYS5pbmN1YmF0ZXVyLm5ldDATBgNVHSAEDDAKMAgGBmeBDAECATCCAQIGCisGAQQB1nkCBAIEgfMEgfAA7gB1ADtTd3U+LbmAToswWwb+QDtn2E/D9Me9AA0tcm/h+tQXAAABjLoo4QIAAAQDAEYwRAIgHF9ksmcJKXR1HSPUoTyGypXFkGNGb7Jy+gES2P1oedACIBBmXl+kzYt6JfM6654pPTj6/bpM3FqN6PRYkC9GNGJWAHUAouK/1h7eLy8HoNZObTen3GVDsMa1LqLat4r4mm31F9gAAAGMuijhBAAABAMARjBEAiBTQKyG+QnrF7eN8tfVkmYvfoQvvnfO12MA20ZtU1XSPAIgLie5XuWNWnc/XXPD4X3PJ7yHhYECVKxZLfW1aUnGT8kwDQYJKoZIhvcNAQELBQADggEBAFu7SdvalHaplUSHwcePyf1FlGf53mmx46Bd9vt5xGQcljzpM6sX0UEkLzrDcBi9gXYvg0ppXFnVOq+uECt+evowUq+hL5cH9M8HxzDzjhOnj+9a11ljuH71N7Q8xeTi0BV7f4sGnicRXiFeX/rZlnzXTiPZKF76WIfeDXgFQJ5fx9B/MD7Sa7JJDh7Jn+di8ny8e32GtZRHUC08WHI+HRLA2N+/SoMtyqdo49MeWxRPUEHuC6l+elV0FF6HnxhSM3uhJQwZhtRGqIIGRhBU+bqpFHDe4KRSzk0DH1WveXgc88O9r4puA5seVLT1HHyAKMtDjBAnH8EOO1Fh466Tm7Y=\n-----END CERTIFICATE-----","",""
"cert_commonName","pdf.dora.incubateur.net/80.247.12.255","443","OK","pdf.dora.incubateur.net","",""
