"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","pix.fr/185.231.167.141","443","INFO","HTTP","",""
"pre_128cipher","pix.fr/185.231.167.141","443","INFO","No 128 cipher limit bug","",""
"SSLv2","pix.fr/185.231.167.141","443","OK","not offered","",""
"SSLv3","pix.fr/185.231.167.141","443","OK","not offered","",""
"TLS1","pix.fr/185.231.167.141","443","INFO","not offered","",""
"TLS1_1","pix.fr/185.231.167.141","443","INFO","not offered","",""
"TLS1_2","pix.fr/185.231.167.141","443","OK","offered","",""
"TLS1_3","pix.fr/185.231.167.141","443","OK","offered with final","",""
"ALPN_HTTP2","pix.fr/185.231.167.141","443","OK","h2","",""
"ALPN","pix.fr/185.231.167.141","443","INFO","http/1.1","",""
"cipherlist_NULL","pix.fr/185.231.167.141","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","pix.fr/185.231.167.141","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","pix.fr/185.231.167.141","443","OK","not offered","","CWE-327"
"cipherlist_LOW","pix.fr/185.231.167.141","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","pix.fr/185.231.167.141","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","pix.fr/185.231.167.141","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","pix.fr/185.231.167.141","443","INFO","not offered","",""
"cipherlist_STRONG_FS","pix.fr/185.231.167.141","443","OK","offered","",""
"cipher_order-tls1_2","pix.fr/185.231.167.141","443","OK","server","",""
"cipherorder_TLSv1_2","pix.fr/185.231.167.141","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","pix.fr/185.231.167.141","443","OK","server","",""
"FS","pix.fr/185.231.167.141","443","OK","offered","",""
"FS_ciphers","pix.fr/185.231.167.141","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384","",""
"FS_ECDHE_curves","pix.fr/185.231.167.141","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","pix.fr/185.231.167.141","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'next protocol/#13172' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","pix.fr/185.231.167.141","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","pix.fr/185.231.167.141","443","INFO","yes","",""
"sessionresumption_ticket","pix.fr/185.231.167.141","443","INFO","not supported","",""
"sessionresumption_ID","pix.fr/185.231.167.141","443","INFO","not supported","",""
"TLS_timestamp","pix.fr/185.231.167.141","443","INFO","random","",""
"certificate_compression","pix.fr/185.231.167.141","443","INFO","none","",""
"clientAuth","pix.fr/185.231.167.141","443","INFO","none","",""
"cert_numbers","pix.fr/185.231.167.141","443","INFO","1","",""
"cert_signatureAlgorithm","pix.fr/185.231.167.141","443","OK","SHA256 with RSA","",""
"cert_keySize","pix.fr/185.231.167.141","443","OK","RSA 3072 bits (exponent is 65537)","",""
"cert_keyUsage","pix.fr/185.231.167.141","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","pix.fr/185.231.167.141","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","pix.fr/185.231.167.141","443","INFO","993E91CD42D4A0B98E50559B55344104","",""
"cert_serialNumberLen","pix.fr/185.231.167.141","443","INFO","16","",""
"cert_fingerprintSHA1","pix.fr/185.231.167.141","443","INFO","C135378C70B4F9DA9FD2B266354D375F3E4C6073","",""
"cert_fingerprintSHA256","pix.fr/185.231.167.141","443","INFO","EF210A2702C11D7C30E601306C98D7F661885F63A41EE4820B3C0ADF7DC822E5","",""
"cert","pix.fr/185.231.167.141","443","INFO","-----BEGIN CERTIFICATE-----\nMIIJNjCCBx6gAwIBAgIRAJk+kc1C1KC5jlBVm1U0QQQwDQYJKoZIhvcNAQELBQAwfTELMAkGA1UEBhMCRlIxEjAQBgNVBAoMCURISU1ZT1RJUzEcMBoGA1UECwwTMDAwMiA0ODE0NjMwODEwMDAzNjEdMBsGA1UEYQwUTlRSRlItNDgxNDYzMDgxMDAwMzYxHTAbBgNVBAMMFENlcnRpZ25hIFNlcnZpY2VzIENBMB4XDTI0MDMyNDIzMDAwMFoXDTI0MTExMTIyNTk1OVowczELMAkGA1UEBhMCRlIxDjAMBgNVBAcMBVBBUklTMSgwJgYDVQQKDB9HUk9VUEVNRU5UIEQgSU5URVJFVCBQVUJMSUMgUElYMRUwEwYDVQQDDAxhZG1pbi5waXguZnIxEzARBgNVBAUTClMzMDQzMDM0MzUwggGiMA0GCSqGSIb3DQEBAQUAA4IBjwAwggGKAoIBgQCziBD5NujeXzJ5PfPqrOm5TToxTY3CSa7AB/LIxP9gvUhieLXrwup/un4RCS3W7nMTZjMuvoRbtt9TRgPq98fM/BkNhqqd/6YcC/Ky6Rsvj+Uj+zRrp1r+d3CQoD3Gw5iJmRfNfdlPzgxK5vwU+TJbPulTS5rleTyNRPpzWNM0crKp7JwIhdBZYW0pYBIzJgU7eQHysCQJsWGRwpShj7ifxvEoa84NS31t0NvwYTUIhDDwnUlHwxkvByofBoUa81nKM4O53tZAZW7TwhGvd5QhxRbzZ1tsxs3gOVS7XTWWRxFbXvinvbGyOwTj113KSNGtSx/6SJvUxWQPfp+kOusw0LTHo9tcpLET8vy2AZj5ZDRqpKocM37wlICx4hsAUSn8ZEkYjAzTonXYeSt4p3EZNzLzrODTKib9Y7Pv6e+1NmBbQTj0RtBltj7p8EP9fRjwNDbrv2UlNV4HOiY+8Zp2o7xwBxONmSCioUdK74KbwE9IgfWDieU84kxey/ytZOcCAwEAAaOCBDkwggQ1MIHkBggrBgEFBQcBAQSB1zCB1DA4BggrBgEFBQcwAoYsaHR0cDovL2F1dG9yaXRlLmRoaW15b3Rpcy5jb20vc2VydmljZXNjYS5kZXIwNgYIKwYBBQUHMAKGKmh0dHA6Ly9hdXRvcml0ZS5jZXJ0aWduYS5mci9zZXJ2aWNlc2NhLmRlcjAwBggrBgEFBQcwAYYkaHR0cDovL3NlcnZpY2VzY2Eub2NzcC5kaGlteW90aXMuY29tMC4GCCsGAQUFBzABhiJodHRwOi8vc2VydmljZXNjYS5vY3NwLmNlcnRpZ25hLmZyMB8GA1UdIwQYMBaAFKzsho9LNxy4fxcbGdCu6E7jNFwSMAwGA1UdEwEB/wQCMAAwYQYDVR0gBFowWDAIBgZngQwBAgIwTAYLKoF6AYExAgUBAQIwPTA7BggrBgEFBQcCARYvaHR0cHM6Ly93d3cuY2VydGlnbmEuY29tL2F1dG9yaXRlLWNlcnRpZmljYXRpb24wZQYDVR0fBF4wXDAroCmgJ4YlaHR0cDovL2NybC5jZXJ0aWduYS5mci9zZXJ2aWNlc2NhLmNybDAtoCugKYYnaHR0cDovL2NybC5kaGlteW90aXMuY29tL3NlcnZpY2VzY2EuY3JsMBMGA1UdJQQMMAoGCCsGAQUFBwMBMA4GA1UdDwEB/wQEAwIFoDCBjAYDVR0RBIGEMIGBgg5jZXJ0aWYucGl4Lm9yZ4ILYXBwLnBpeC5vcmeCBnBpeC5mcoINY2VydGlmLnBpeC5mcoILb3JnYS5waXguZnKCCmFwcC5waXguZnKCDG9yZ2EucGl4Lm9yZ4IHcGl4Lm9yZ4IMYWRtaW4ucGl4LmZygg1hZG1pbi5waXgub3JnMB0GA1UdDgQWBBRtoqSzchwlydDiGZGar6iB56y9nDCCAX4GCisGAQQB1nkCBAIEggFuBIIBagFoAHUAdv+IPwq2+5VRwmHM9Ye6NLSkzbsp3GhCCp/mZ0xaOnQAAAGOdTyTQwAABAMARjBEAiA+6Go0AznEMdx1Pl5qklI+CfgwCv5H6AennYCZm1BCAgIgLXl86BAt5whqhBYpihzwWuB9HDvF5yAEwonBKY05rtkAdgDuzdBk1dsazsVct520zROiModGfLzs3sNRSFlGcR+1mwAAAY51PJOoAAAEAwBHMEUCIBa9eFFObXF8k4xlt+UP+zNQaoigOvWTw1+xwaW+qm0ZAiEA1zw5f15U8+P5vQzCUuQr29j5OYXgOmmd5HANdlHNPr0AdwBVgdTCFpA2AUrqC5tXPFPwwOQ4eHAlCBcvo6odBxPTDAAAAY51PJWoAAAEAwBIMEYCIQCtqHM/SvxO8xm6KPrSkFuKRBe1L/RtQoil/qtTGYugFQIhAJ4F668W+ES1ex/+eJ6V3eOpGCtk0VN6+V2NsdgjewK6MA0GCSqGSIb3DQEBCwUAA4ICAQCxG43Povd4fCLt2f4wICjyllBV9CyPdzAM9M5dkleUFIQf1cepdqqq6BGglLR+SBgME7oXgTXRYEYRXtBSQspbW4zXASdkcBR3egf7oO2nWdfnX2mfQiu1lCgZtxpUSwggP+LDL7TU7AaBUssAIjKcp2K4Rvn2pUtSgwLfxDxARA0EP1wLxAfSeiVC3e6ott8+116gLRT4Aow1A+BdnT7oKZooHtphu1D6racUnXRHn2GZjFaCT9jct5Jbet/c3VR5+bjqLc9c2HfBgeLSuNzZVua10eUu+iCKIW6yVuiSj3RnmzC8v40rIPmt8oOxvuN43eRVtMNofskh68c1Q3DkQz8KDhn3hrME5Q4QC+Di7FN13lv7WXlLkOqZAbBtt7MM/dRwQ9wEIZMIYhKjs4wGIJN6AuGdQWCJoNwabylDnF6vVXpafI322tX8hi02H0xed647t4Co6zCEfk2qCqj73yEVSmVJOen4kjaIrWDvjD/v9qZsh0KKFA/G09E95qvfFdozbw3wO1glrhZoJ66u1ysAfYn5GcfJicA59WsjfKFu18PHZ/h7nGkrqKAuLnwQNnAToj8wUt2mtlQYH8VSjoB+XZpuoFgTUq58OFM6n34nBos6zCPRXrMH5hEUFXLnRe54JBe0QR3sF1MksBQK7ceUBmveag2k8tpNNgLbfQ==\n-----END CERTIFICATE-----","",""
"cert_commonName","pix.fr/185.231.167.141","443","OK","admin.pix.fr","",""
"cert_commonName_wo_SNI","pix.fr/185.231.167.141","443","INFO","admin.pix.fr","",""
"cert_subjectAltName","pix.fr/185.231.167.141","443","INFO","certif.pix.org app.pix.org pix.fr certif.pix.fr orga.pix.fr app.pix.fr orga.pix.org pix.org admin.pix.fr admin.pix.org","",""
"cert_trust","pix.fr/185.231.167.141","443","OK","Ok via SAN (same w/o SNI)","",""
"cert_chain_of_trust","pix.fr/185.231.167.141","443","OK","passed.","",""
"cert_certificatePolicies_EV","pix.fr/185.231.167.141","443","INFO","no","",""
"cert_expirationStatus","pix.fr/185.231.167.141","443","OK","211 >= 60 days","",""
"cert_notBefore","pix.fr/185.231.167.141","443","INFO","2024-03-24 23:00","",""
"cert_notAfter","pix.fr/185.231.167.141","443","OK","2024-11-11 22:59","",""
"cert_extlifeSpan","pix.fr/185.231.167.141","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","pix.fr/185.231.167.141","443","INFO","not present","",""
"cert_crlDistributionPoints","pix.fr/185.231.167.141","443","INFO","http://crl.certigna.fr/servicesca.crl http://crl.dhimyotis.com/servicesca.crl","",""
"cert_ocspURL","pix.fr/185.231.167.141","443","INFO","http://servicesca.ocsp.dhimyotis.com http://servicesca.ocsp.certigna.fr","",""
"OCSP_stapling","pix.fr/185.231.167.141","443","LOW","not offered","",""
"cert_mustStapleExtension","pix.fr/185.231.167.141","443","INFO","--","",""
"DNS_CAArecord","pix.fr/185.231.167.141","443","OK","iodef=mailto:security@pix.fr, issue=amazontrust.com, issue=certigna.fr, issue=letsencrypt.org, issue=sectigo.com, issuewild=letsencrypt.org","",""
"certificate_transparency","pix.fr/185.231.167.141","443","OK","yes (certificate extension)","",""
"certs_countServer","pix.fr/185.231.167.141","443","INFO","2","",""
"certs_list_ordering_problem","pix.fr/185.231.167.141","443","INFO","no","",""
"cert_caIssuers","pix.fr/185.231.167.141","443","INFO","Certigna Services CA (DHIMYOTIS from FR)","",""
"intermediate_cert <#1>","pix.fr/185.231.167.141","443","INFO","-----BEGIN CERTIFICATE-----\nMIIGFjCCBP6gAwIBAgIQb4L6KKzW94S7WxILqHNnrTANBgkqhkiG9w0BAQsFADA0MQswCQYDVQQGEwJGUjESMBAGA1UECgwJRGhpbXlvdGlzMREwDwYDVQQDDAhDZXJ0aWduYTAeFw0xNTExMjUxMTMzNTJaFw0yNTExMjIxMTMzNTJaMH0xCzAJBgNVBAYTAkZSMRIwEAYDVQQKDAlESElNWU9USVMxHDAaBgNVBAsMEzAwMDIgNDgxNDYzMDgxMDAwMzYxHTAbBgNVBGEMFE5UUkZSLTQ4MTQ2MzA4MTAwMDM2MR0wGwYDVQQDDBRDZXJ0aWduYSBTZXJ2aWNlcyBDQTCCAiIwDQYJKoZIhvcNAQEBBQADggIPADCCAgoCggIBALPM+7LpWBz9wFcPaTc3xnB+5g0XrnptB0EPPfrR04vO52Ykm4ky1d4ZLd10tbM1fa1RqNSOVWWg93O4pL7zCFKlz6JV74ZZVhHpEAwzBwv2oPnxvVbxtSN67xsSY66ahUYxjzs8+3FhmsiRxqwnTYvK2u70uglUvRisOKyTL/M6JnrC4y8tlmoz7OSa5BmBMVplJFQtvmON6N9aHLvYMz+EyJPCbXL6pELxeHjFT5QmIaRamsr2DOTaCjtBZKI1Wnh3X7lnbjM8MESJiV2t7E9tIQNG0Z/HI3tO4aaUMum3KysY5sC8v3vi7rryGidgzHQhrtP0ZXWW5UH/k7umLS/P/XXWnCFpc2Lxa1uDGfc2im7xibRoPP+JNZszN76euFlls6jyEXAiwnVr14tVVTewLK0OWs5SJHpEKp8PGMZRDj59EmMvokWwzL6QzNZ6vVAp00oOm05sbspNY9+MFqGKKUsKvhFGEa4XmRNxDe6KswLcjPZB+NKHZ0QWFd4ip5C5XmEK/8qIPjwVr9dah9+oiHGGO8Wx7gJAMF5DTmkvW7GhqCKj1LmHnabjzc8av6kxWVQZi/C7HCm9i/W4wio+JA2EAFLqNL3GPNbK9kau4yPhQt/c7zxzo0OHnlsV4THCG7oOCd3cfCiyfQcb3FBt6OSpaKRZxjCLBwP00r0fAgMBAAGjggHZMIIB1TASBgNVHRMBAf8ECDAGAQH/AgEAMA4GA1UdDwEB/wQEAwIBBjAdBgNVHQ4EFgQUrOyGj0s3HLh/FxsZ0K7oTuM0XBIwZAYDVR0jBF0wW4AUGu3+QTmQtCRZvgHyUtVF9lo53BGhOKQ2MDQxCzAJBgNVBAYTAkZSMRIwEAYDVQQKDAlEaGlteW90aXMxETAPBgNVBAMMCENlcnRpZ25hggkA/tzjAQ/JSP8wSQYDVR0gBEIwQDA+BgoqgXoBgTEBAAECMDAwLgYIKwYBBQUHAgEWImh0dHBzOi8vd3d3LmNlcnRpZ25hLmZyL2F1dG9yaXRlcy8wfAYIKwYBBQUHAQEEcDBuMDQGCCsGAQUFBzAChihodHRwOi8vYXV0b3JpdGUuY2VydGlnbmEuZnIvY2VydGlnbmEuZGVyMDYGCCsGAQUFBzAChipodHRwOi8vYXV0b3JpdGUuZGhpbXlvdGlzLmNvbS9jZXJ0aWduYS5kZXIwYQYDVR0fBFowWDApoCegJYYjaHR0cDovL2NybC5jZXJ0aWduYS5mci9jZXJ0aWduYS5jcmwwK6ApoCeGJWh0dHA6Ly9jcmwuZGhpbXlvdGlzLmNvbS9jZXJ0aWduYS5jcmwwDQYJKoZIhvcNAQELBQADggEBAGLft7gIuGPZVfg0cTM+HT2xAZFPDb/2+siH06x+dH044zMKbBINbRzhKipwB1A3MW8FQjveE9tyrfyuqZE/X+o2SlGcdNV44ybYkxo4f6kcLEavV/IW+oFEnojZlhpksYcxrvQoEyqkAwshe8IS2KtZHKVACrt+XSs0lwvy7ALGmHaF7A4by6cZWItA7Lhj8XWp+8tBJDj7HocRbWtxzEODdBuyMgJzFrNjc+97J0vH/K0+3yjmkczpKshMA0tM+MF9XDMN/MuwrPmUWGO/fHiqHgUp8yqeWtl1n44ZxkkK1t9GRwhnDWLv73/xhTmdhWYQ/reo0GbgBoLiltKmIJQ=\n-----END CERTIFICATE-----","",""
"intermediate_cert_fingerprintSHA256 <#1>","pix.fr/185.231.167.141","443","INFO","71E653BFBF5E72515B4099BBD5EC8872812B47C6EC1FA9ADD327E1C92C9EA16D","",""
"intermediate_cert_notBefore <#1>","pix.fr/185.231.167.141","443","INFO","2015-11-25 11:33","",""
"intermediate_cert_notAfter <#1>","pix.fr/185.231.167.141","443","OK","2025-11-22 11:33","",""
"intermediate_cert_expiration <#1>","pix.fr/185.231.167.141","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#1>","pix.fr/185.231.167.141","443","INFO","Certigna Services CA <-- Certigna","",""
"intermediate_cert_badOCSP","pix.fr/185.231.167.141","443","OK","intermediate certificate(s) is/are ok","",""
"HTTP_status_code","pix.fr/185.231.167.141","443","INFO","200 OK ('/')","",""
"HTTP_clock_skew","pix.fr/185.231.167.141","443","INFO","0 seconds from localtime","",""
"HTTP_headerTime","pix.fr/185.231.167.141","443","INFO","1713071753","",""
"HSTS_time","pix.fr/185.231.167.141","443","OK","730 days (=63072000 seconds) > 15552000 seconds","",""
"HSTS_subdomains","pix.fr/185.231.167.141","443","INFO","only for this domain","",""
"HSTS_preload","pix.fr/185.231.167.141","443","INFO","domain is NOT marked for preloading","",""
"HPKP","pix.fr/185.231.167.141","443","INFO","No support for HTTP Public Key Pinning","",""
"banner_server","pix.fr/185.231.167.141","443","INFO","No Server banner line in header, interesting!","",""
"banner_application","pix.fr/185.231.167.141","443","INFO","No application banner found","",""
"cookie_count","pix.fr/185.231.167.141","443","INFO","0 at '/'","",""
"X-Frame-Options","pix.fr/185.231.167.141","443","OK","DENY","",""
"X-Content-Type-Options","pix.fr/185.231.167.141","443","OK","nosniff","",""
"X-XSS-Protection","pix.fr/185.231.167.141","443","INFO","1; mode=block","",""
"Referrer-Policy","pix.fr/185.231.167.141","443","INFO","no-referrer","",""
"Cache-Control","pix.fr/185.231.167.141","443","INFO","no-cache","",""
"banner_reverseproxy","pix.fr/185.231.167.141","443","INFO","--","","CWE-200"
"heartbleed","pix.fr/185.231.167.141","443","OK","not vulnerable, no heartbeat extension","CVE-2014-0160","CWE-119"
"CCS","pix.fr/185.231.167.141","443","OK","not vulnerable","CVE-2014-0224","CWE-310"
"ticketbleed","pix.fr/185.231.167.141","443","OK","no session ticket extension","CVE-2016-9244","CWE-200"
"ROBOT","pix.fr/185.231.167.141","443","OK","not vulnerable, no RSA key transport cipher","CVE-2017-17382 CVE-2017-17427 CVE-2017-17428 CVE-2017-13098 CVE-2017-1000385 CVE-2017-13099 CVE-2016-6883 CVE-2012-5081 CVE-2017-6168","CWE-203"
"secure_renego","pix.fr/185.231.167.141","443","OK","supported","","CWE-310"
"secure_client_renego","pix.fr/185.231.167.141","443","OK","not vulnerable","CVE-2011-1473","CWE-310"
"CRIME_TLS","pix.fr/185.231.167.141","443","OK","not vulnerable","CVE-2012-4929","CWE-310"
"BREACH","pix.fr/185.231.167.141","443","MEDIUM","potentially VULNERABLE, gzip HTTP compression detected  - only supplied '/' tested","CVE-2013-3587","CWE-310"
"POODLE_SSL","pix.fr/185.231.167.141","443","OK","not vulnerable, no SSLv3","CVE-2014-3566","CWE-310"
"fallback_SCSV","pix.fr/185.231.167.141","443","OK","no protocol below TLS 1.2 offered","",""
"SWEET32","pix.fr/185.231.167.141","443","OK","not vulnerable","CVE-2016-2183 CVE-2016-6329","CWE-327"
"FREAK","pix.fr/185.231.167.141","443","OK","not vulnerable","CVE-2015-0204","CWE-310"
"DROWN","pix.fr/185.231.167.141","443","OK","not vulnerable on this host and port","CVE-2016-0800 CVE-2016-0703","CWE-310"
"DROWN_hint","pix.fr/185.231.167.141","443","INFO","Make sure you don't use this certificate elsewhere with SSLv2 enabled services, see https://search.censys.io/search?resource=hosts&virtual_hosts=INCLUDE&q=EF210A2702C11D7C30E601306C98D7F661885F63A41EE4820B3C0ADF7DC822E5","CVE-2016-0800 CVE-2016-0703","CWE-310"
"LOGJAM","pix.fr/185.231.167.141","443","OK","not vulnerable, no DH EXPORT ciphers,","CVE-2015-4000","CWE-310"
"LOGJAM-common_primes","pix.fr/185.231.167.141","443","OK","--","CVE-2015-4000","CWE-310"
"BEAST","pix.fr/185.231.167.141","443","OK","not vulnerable, no SSL3 or TLS1","CVE-2011-3389","CWE-20"
"LUCKY13","pix.fr/185.231.167.141","443","LOW","potentially vulnerable, uses TLS CBC ciphers","CVE-2013-0169","CWE-310"
"winshock","pix.fr/185.231.167.141","443","OK","not vulnerable","CVE-2014-6321","CWE-94"
"RC4","pix.fr/185.231.167.141","443","OK","not vulnerable","CVE-2013-2566 CVE-2015-2808","CWE-310"
"clientsimulation-android_60","pix.fr/185.231.167.141","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-android_70","pix.fr/185.231.167.141","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-android_81","pix.fr/185.231.167.141","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-android_90","pix.fr/185.231.167.141","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-android_X","pix.fr/185.231.167.141","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-android_11","pix.fr/185.231.167.141","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-android_12","pix.fr/185.231.167.141","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-chrome_79_win10","pix.fr/185.231.167.141","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-chrome_101_win10","pix.fr/185.231.167.141","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-firefox_66_win81","pix.fr/185.231.167.141","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-firefox_100_win10","pix.fr/185.231.167.141","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-ie_6_xp","pix.fr/185.231.167.141","443","INFO","No connection","",""
"clientsimulation-ie_8_win7","pix.fr/185.231.167.141","443","INFO","No connection","",""
"clientsimulation-ie_8_xp","pix.fr/185.231.167.141","443","INFO","No connection","",""
"clientsimulation-ie_11_win7","pix.fr/185.231.167.141","443","INFO","TLSv1.2 ECDHE-RSA-AES128-SHA256","",""
"clientsimulation-ie_11_win81","pix.fr/185.231.167.141","443","INFO","TLSv1.2 ECDHE-RSA-AES128-SHA256","",""
"clientsimulation-ie_11_winphone81","pix.fr/185.231.167.141","443","INFO","TLSv1.2 ECDHE-RSA-AES128-SHA256","",""
"clientsimulation-ie_11_win10","pix.fr/185.231.167.141","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-edge_15_win10","pix.fr/185.231.167.141","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-edge_101_win10_21h2","pix.fr/185.231.167.141","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-safari_121_ios_122","pix.fr/185.231.167.141","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-safari_130_osx_10146","pix.fr/185.231.167.141","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-safari_154_osx_1231","pix.fr/185.231.167.141","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-java_7u25","pix.fr/185.231.167.141","443","INFO","No connection","",""
"clientsimulation-java_8u161","pix.fr/185.231.167.141","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-java1102","pix.fr/185.231.167.141","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-java1703","pix.fr/185.231.167.141","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-go_1178","pix.fr/185.231.167.141","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-libressl_283","pix.fr/185.231.167.141","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-openssl_102e","pix.fr/185.231.167.141","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-openssl_110l","pix.fr/185.231.167.141","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-openssl_111d","pix.fr/185.231.167.141","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-openssl_303","pix.fr/185.231.167.141","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-apple_mail_16_0","pix.fr/185.231.167.141","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-thunderbird_91_9","pix.fr/185.231.167.141","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"rating_spec","pix.fr/185.231.167.141","443","INFO","SSL Labs's 'SSL Server Rating Guide' (version 2009q from 2020-01-30)","",""
"rating_doc","pix.fr/185.231.167.141","443","INFO","https://github.com/ssllabs/research/wiki/SSL-Server-Rating-Guide","",""
"protocol_support_score","pix.fr/185.231.167.141","443","INFO","100","",""
"protocol_support_score_weighted","pix.fr/185.231.167.141","443","INFO","30","",""
"key_exchange_score","pix.fr/185.231.167.141","443","INFO","90","",""
"key_exchange_score_weighted","pix.fr/185.231.167.141","443","INFO","27","",""
"cipher_strength_score","pix.fr/185.231.167.141","443","INFO","60","",""
"cipher_strength_score_weighted","pix.fr/185.231.167.141","443","INFO","24","",""
"final_score","pix.fr/185.231.167.141","443","INFO","81","",""
"overall_grade","pix.fr/185.231.167.141","443","OK","A+","",""
