"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","pro.passculture.beta.gouv.fr/109.232.236.90","443","INFO","HTTP","",""
"pre_128cipher","pro.passculture.beta.gouv.fr/109.232.236.90","443","INFO","No 128 cipher limit bug","",""
"SSLv2","pro.passculture.beta.gouv.fr/109.232.236.90","443","OK","not offered","",""
"SSLv3","pro.passculture.beta.gouv.fr/109.232.236.90","443","OK","not offered","",""
"TLS1","pro.passculture.beta.gouv.fr/109.232.236.90","443","INFO","not offered","",""
"TLS1_1","pro.passculture.beta.gouv.fr/109.232.236.90","443","INFO","not offered","",""
"TLS1_2","pro.passculture.beta.gouv.fr/109.232.236.90","443","OK","offered","",""
"TLS1_3","pro.passculture.beta.gouv.fr/109.232.236.90","443","OK","offered with final","",""
"ALPN_HTTP2","pro.passculture.beta.gouv.fr/109.232.236.90","443","OK","h2","",""
"ALPN","pro.passculture.beta.gouv.fr/109.232.236.90","443","INFO","http/1.1","",""
"cipherlist_NULL","pro.passculture.beta.gouv.fr/109.232.236.90","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","pro.passculture.beta.gouv.fr/109.232.236.90","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","pro.passculture.beta.gouv.fr/109.232.236.90","443","OK","not offered","","CWE-327"
"cipherlist_LOW","pro.passculture.beta.gouv.fr/109.232.236.90","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","pro.passculture.beta.gouv.fr/109.232.236.90","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","pro.passculture.beta.gouv.fr/109.232.236.90","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","pro.passculture.beta.gouv.fr/109.232.236.90","443","INFO","not offered","",""
"cipherlist_STRONG_FS","pro.passculture.beta.gouv.fr/109.232.236.90","443","OK","offered","",""
"cipher_order-tls1_2","pro.passculture.beta.gouv.fr/109.232.236.90","443","OK","server","",""
"cipherorder_TLSv1_2","pro.passculture.beta.gouv.fr/109.232.236.90","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","pro.passculture.beta.gouv.fr/109.232.236.90","443","OK","server","",""
"FS","pro.passculture.beta.gouv.fr/109.232.236.90","443","OK","offered","",""
"FS_ciphers","pro.passculture.beta.gouv.fr/109.232.236.90","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","pro.passculture.beta.gouv.fr/109.232.236.90","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","pro.passculture.beta.gouv.fr/109.232.236.90","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","pro.passculture.beta.gouv.fr/109.232.236.90","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","pro.passculture.beta.gouv.fr/109.232.236.90","443","INFO","yes","",""
"sessionresumption_ticket","pro.passculture.beta.gouv.fr/109.232.236.90","443","INFO","not supported","",""
"sessionresumption_ID","pro.passculture.beta.gouv.fr/109.232.236.90","443","INFO","not supported","",""
"TLS_timestamp","pro.passculture.beta.gouv.fr/109.232.236.90","443","INFO","random","",""
"certificate_compression","pro.passculture.beta.gouv.fr/109.232.236.90","443","INFO","none","",""
"clientAuth","pro.passculture.beta.gouv.fr/109.232.236.90","443","INFO","none","",""
"cert_numbers","pro.passculture.beta.gouv.fr/109.232.236.90","443","INFO","1","",""
"cert_signatureAlgorithm","pro.passculture.beta.gouv.fr/109.232.236.90","443","OK","SHA256 with RSA","",""
"cert_keySize","pro.passculture.beta.gouv.fr/109.232.236.90","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","pro.passculture.beta.gouv.fr/109.232.236.90","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","pro.passculture.beta.gouv.fr/109.232.236.90","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","pro.passculture.beta.gouv.fr/109.232.236.90","443","INFO","03EA9A236F27231F67133C32C1E2EC6C76E2","",""
"cert_serialNumberLen","pro.passculture.beta.gouv.fr/109.232.236.90","443","INFO","18","",""
"cert_fingerprintSHA1","pro.passculture.beta.gouv.fr/109.232.236.90","443","INFO","BD637EE87D23F121641566A673F59E41786C4634","",""
"cert_fingerprintSHA256","pro.passculture.beta.gouv.fr/109.232.236.90","443","INFO","130DF794F81B73DAD4BD119247EEF901CE89474EF34A50C283176C9C9913FAD5","",""
"cert","pro.passculture.beta.gouv.fr/109.232.236.90","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFBDCCA+ygAwIBAgISA+qaI28nIx9nEzwyweLsbHbiMA0GCSqGSIb3DQEBCwUAMDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQDEwJSMzAeFw0yMzA2MTkxNTA4MTBaFw0yMzA5MTcxNTA4MDlaMCcxJTAjBgNVBAMTHHByby5wYXNzY3VsdHVyZS5iZXRhLmdvdXYuZnIwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQDZFfmW8x0Jm6pdbeXgmzj7JmEr1/6ojCfj6DD8hZiAsMOy0j5aAPdG5/rW34OXwljXgRGssmYV+qV91sddiPshP0Y/C4uisppfHYjNPKLFA7au5owdAdHvEPr/hI6t3lohi5xLplSnvEuJAz0FsmxZxm1I6J+GwR8y5JI92B+RWHmdTQRhDt8M5bJSwmCmWLafgOBVp0rvlFz6oPfIm8em4nudgSId6dRrcktjvs4xWqKnaMhexE3VXEQ4142Vu3XQlB5cMcH5pijfflAga+d1hufcxFVIR+Je1hvSXS05Ch7bpGO4iG0EpFPdYLsT6tSShLV23oo7730LUHTbp+C5AgMBAAGjggIdMIICGTAOBgNVHQ8BAf8EBAMCBaAwHQYDVR0lBBYwFAYIKwYBBQUHAwEGCCsGAQUFBwMCMAwGA1UdEwEB/wQCMAAwHQYDVR0OBBYEFLnvEexLy6GXaiGrcsS4U1iZDENnMB8GA1UdIwQYMBaAFBQusxe3WFbLrlAJQOYfr52LFMLGMFUGCCsGAQUFBwEBBEkwRzAhBggrBgEFBQcwAYYVaHR0cDovL3IzLm8ubGVuY3Iub3JnMCIGCCsGAQUFBzAChhZodHRwOi8vcjMuaS5sZW5jci5vcmcvMCcGA1UdEQQgMB6CHHByby5wYXNzY3VsdHVyZS5iZXRhLmdvdXYuZnIwEwYDVR0gBAwwCjAIBgZngQwBAgEwggEDBgorBgEEAdZ5AgQCBIH0BIHxAO8AdQB6MoxU2LcttiDqOOBSHumEFnAyE4VNO9IrwTpXo1LrUgAAAYjUaedqAAAEAwBGMEQCIB0yXJScdPn6z4JCeyIIjHCtcRvJRavqfuyAF/4phNd5AiAnAjV12nKKD2nC4nkONJ07SSQJ1QrLwdeWZPro9XW9TwB2AOg+0No+9QY1MudXKLyJa8kD08vREWvs62nhd31tBr1uAAABiNRp58EAAAQDAEcwRQIgXn6mt6jIu+fGAjJJDZrU1bnA0oym52oxlL2GNpCmKIUCIQD0d+L0oMqwd7E6Zo3RuPeUaOfJiUWf7YxxjexLeNqOhjANBgkqhkiG9w0BAQsFAAOCAQEAhCMIpRFb/duwR8NSJT8G+2prBQYBUAczSSuwo1jZzPEJ422oOLBSDU7kbw/GvXmEuN+jDWirWxkp9+Bglu7Cr629PBqv8C6YYxy0qnwnkbR+CGxgoRdhSJKFb0zW+fSJdU8zAFN1r00MO9kWmUBstAMRpwfVfBf74UGCkDzHGDxgrvOs/bSRXAshSMLjgXHRgp3x6zQ9mAomtkPDLPzZ9TLnJ2vBEr9jAzfv5JChY2Muf+V2UzDB9DMXs72DraOjFsfxIuURPPYm/+KAbl9ByxF+IYf8NSBlqjw4iAzj1sdaeSQhgKz4H/cpHwyFGXVSCamSYJ4Zl8ASTHmE/v1M6A==\n-----END CERTIFICATE-----","",""
"cert_commonName","pro.passculture.beta.gouv.fr/109.232.236.90","443","OK","pro.passculture.beta.gouv.fr","",""
"cert_commonName_wo_SNI","pro.passculture.beta.gouv.fr/109.232.236.90","443","INFO","*.osc-fr1.scalingo.io","",""
"cert_subjectAltName","pro.passculture.beta.gouv.fr/109.232.236.90","443","INFO","pro.passculture.beta.gouv.fr","",""
"cert_trust","pro.passculture.beta.gouv.fr/109.232.236.90","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","pro.passculture.beta.gouv.fr/109.232.236.90","443","OK","passed.","",""
"cert_certificatePolicies_EV","pro.passculture.beta.gouv.fr/109.232.236.90","443","INFO","no","",""
"cert_expirationStatus","pro.passculture.beta.gouv.fr/109.232.236.90","443","OK","42 >= 30 days","",""
"cert_notBefore","pro.passculture.beta.gouv.fr/109.232.236.90","443","INFO","2023-06-19 15:08","",""
"cert_notAfter","pro.passculture.beta.gouv.fr/109.232.236.90","443","OK","2023-09-17 15:08","",""
"cert_extlifeSpan","pro.passculture.beta.gouv.fr/109.232.236.90","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","pro.passculture.beta.gouv.fr/109.232.236.90","443","INFO","not present","",""
"cert_crlDistributionPoints","pro.passculture.beta.gouv.fr/109.232.236.90","443","INFO","--","",""
"cert_ocspURL","pro.passculture.beta.gouv.fr/109.232.236.90","443","INFO","http://r3.o.lencr.org","",""
"OCSP_stapling","pro.passculture.beta.gouv.fr/109.232.236.90","443","LOW","not offered","",""
"cert_mustStapleExtension","pro.passculture.beta.gouv.fr/109.232.236.90","443","INFO","--","",""
"DNS_CAArecord","pro.passculture.beta.gouv.fr/109.232.236.90","443","LOW","--","",""
"certificate_transparency","pro.passculture.beta.gouv.fr/109.232.236.90","443","OK","yes (certificate extension)","",""
"certs_countServer","pro.passculture.beta.gouv.fr/109.232.236.90","443","INFO","3","",""
"certs_list_ordering_problem","pro.passculture.beta.gouv.fr/109.232.236.90","443","INFO","no","",""
"cert_caIssuers","pro.passculture.beta.gouv.fr/109.232.236.90","443","INFO","R3 (Let's Encrypt from US)","",""
