"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","preprod-lesalpps.defense.gouv.fr/77.196.241.8","443","INFO","HTTP","",""
"pre_128cipher","preprod-lesalpps.defense.gouv.fr/77.196.241.8","443","INFO","No 128 cipher limit bug","",""
"SSLv2","preprod-lesalpps.defense.gouv.fr/77.196.241.8","443","OK","not offered","",""
"SSLv3","preprod-lesalpps.defense.gouv.fr/77.196.241.8","443","OK","not offered","",""
"TLS1","preprod-lesalpps.defense.gouv.fr/77.196.241.8","443","INFO","not offered","",""
"TLS1_1","preprod-lesalpps.defense.gouv.fr/77.196.241.8","443","INFO","not offered","",""
"TLS1_2","preprod-lesalpps.defense.gouv.fr/77.196.241.8","443","OK","offered","",""
"TLS1_3","preprod-lesalpps.defense.gouv.fr/77.196.241.8","443","OK","offered with final","",""
"ALPN","preprod-lesalpps.defense.gouv.fr/77.196.241.8","443","INFO","not offered","",""
"cipherlist_NULL","preprod-lesalpps.defense.gouv.fr/77.196.241.8","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","preprod-lesalpps.defense.gouv.fr/77.196.241.8","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","preprod-lesalpps.defense.gouv.fr/77.196.241.8","443","OK","not offered","","CWE-327"
"cipherlist_LOW","preprod-lesalpps.defense.gouv.fr/77.196.241.8","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","preprod-lesalpps.defense.gouv.fr/77.196.241.8","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","preprod-lesalpps.defense.gouv.fr/77.196.241.8","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","preprod-lesalpps.defense.gouv.fr/77.196.241.8","443","OK","offered","",""
"cipherlist_STRONG","preprod-lesalpps.defense.gouv.fr/77.196.241.8","443","OK","offered","",""
"cipher_order","preprod-lesalpps.defense.gouv.fr/77.196.241.8","443","OK","server","",""
"protocol_negotiated","preprod-lesalpps.defense.gouv.fr/77.196.241.8","443","OK","Default protocol TLS1.3","",""
"cipher_negotiated","preprod-lesalpps.defense.gouv.fr/77.196.241.8","443","OK","TLS_AES_256_GCM_SHA384, 253 bit ECDH (X25519)","",""
"cipherorder_TLSv1_2","preprod-lesalpps.defense.gouv.fr/77.196.241.8","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"FS","preprod-lesalpps.defense.gouv.fr/77.196.241.8","443","OK","offered","",""
"FS_ciphers","preprod-lesalpps.defense.gouv.fr/77.196.241.8","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES128-SHA DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 DHE-RSA-AES256-SHA ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","preprod-lesalpps.defense.gouv.fr/77.196.241.8","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","preprod-lesalpps.defense.gouv.fr/77.196.241.8","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","preprod-lesalpps.defense.gouv.fr/77.196.241.8","443","INFO","valid for 7200 seconds only (<daily)","",""
"SSL_sessionID_support","preprod-lesalpps.defense.gouv.fr/77.196.241.8","443","INFO","yes","",""
"sessionresumption_ticket","preprod-lesalpps.defense.gouv.fr/77.196.241.8","443","INFO","supported","",""
"sessionresumption_ID","preprod-lesalpps.defense.gouv.fr/77.196.241.8","443","INFO","not supported","",""
"TLS_timestamp","preprod-lesalpps.defense.gouv.fr/77.196.241.8","443","INFO","random","",""
"certificate_compression","preprod-lesalpps.defense.gouv.fr/77.196.241.8","443","INFO","none","",""
"clientAuth","preprod-lesalpps.defense.gouv.fr/77.196.241.8","443","INFO","none","",""
"cert_numbers","preprod-lesalpps.defense.gouv.fr/77.196.241.8","443","INFO","1","",""
"cert_signatureAlgorithm","preprod-lesalpps.defense.gouv.fr/77.196.241.8","443","OK","SHA256 with RSA","",""
"cert_keySize","preprod-lesalpps.defense.gouv.fr/77.196.241.8","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","preprod-lesalpps.defense.gouv.fr/77.196.241.8","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","preprod-lesalpps.defense.gouv.fr/77.196.241.8","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","preprod-lesalpps.defense.gouv.fr/77.196.241.8","443","INFO","4307A077255BCF2E82A9DC306DA2FCEA","",""
"cert_serialNumberLen","preprod-lesalpps.defense.gouv.fr/77.196.241.8","443","INFO","16","",""
"cert_fingerprintSHA1","preprod-lesalpps.defense.gouv.fr/77.196.241.8","443","INFO","49EB5D4074582153E72F966CB30464B5B5D5D679","",""
"cert_fingerprintSHA256","preprod-lesalpps.defense.gouv.fr/77.196.241.8","443","INFO","DAD9E04C39ED12C1F0DC37DE2C8B6A467125A5E8F22CC00B38644FE06A8970AB","",""
