"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","signal-logement.beta.gouv.fr/109.232.233.130","443","INFO","HTTP","",""
"pre_128cipher","signal-logement.beta.gouv.fr/109.232.233.130","443","INFO","No 128 cipher limit bug","",""
"SSLv2","signal-logement.beta.gouv.fr/109.232.233.130","443","OK","not offered","",""
"SSLv3","signal-logement.beta.gouv.fr/109.232.233.130","443","OK","not offered","",""
"TLS1","signal-logement.beta.gouv.fr/109.232.233.130","443","INFO","not offered","",""
"TLS1_1","signal-logement.beta.gouv.fr/109.232.233.130","443","INFO","not offered","",""
"TLS1_2","signal-logement.beta.gouv.fr/109.232.233.130","443","OK","offered","",""
"TLS1_3","signal-logement.beta.gouv.fr/109.232.233.130","443","OK","offered with final","",""
"ALPN_HTTP2","signal-logement.beta.gouv.fr/109.232.233.130","443","OK","h2","",""
"ALPN","signal-logement.beta.gouv.fr/109.232.233.130","443","INFO","http/1.1","",""
"cipherlist_NULL","signal-logement.beta.gouv.fr/109.232.233.130","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","signal-logement.beta.gouv.fr/109.232.233.130","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","signal-logement.beta.gouv.fr/109.232.233.130","443","OK","not offered","","CWE-327"
"cipherlist_LOW","signal-logement.beta.gouv.fr/109.232.233.130","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","signal-logement.beta.gouv.fr/109.232.233.130","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","signal-logement.beta.gouv.fr/109.232.233.130","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","signal-logement.beta.gouv.fr/109.232.233.130","443","INFO","not offered","",""
"cipherlist_STRONG_FS","signal-logement.beta.gouv.fr/109.232.233.130","443","OK","offered","",""
"cipher_order-tls1_2","signal-logement.beta.gouv.fr/109.232.233.130","443","OK","server","",""
"cipherorder_TLSv1_2","signal-logement.beta.gouv.fr/109.232.233.130","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","signal-logement.beta.gouv.fr/109.232.233.130","443","OK","server","",""
