"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","sites-faciles.beta.numerique.gouv.fr/109.232.236.90","443","INFO","HTTP","",""
"pre_128cipher","sites-faciles.beta.numerique.gouv.fr/109.232.236.90","443","INFO","No 128 cipher limit bug","",""
"SSLv2","sites-faciles.beta.numerique.gouv.fr/109.232.236.90","443","OK","not offered","",""
"SSLv3","sites-faciles.beta.numerique.gouv.fr/109.232.236.90","443","OK","not offered","",""
"TLS1","sites-faciles.beta.numerique.gouv.fr/109.232.236.90","443","INFO","not offered","",""
"TLS1_1","sites-faciles.beta.numerique.gouv.fr/109.232.236.90","443","INFO","not offered","",""
"TLS1_2","sites-faciles.beta.numerique.gouv.fr/109.232.236.90","443","OK","offered","",""
"TLS1_3","sites-faciles.beta.numerique.gouv.fr/109.232.236.90","443","OK","offered with final","",""
"ALPN_HTTP2","sites-faciles.beta.numerique.gouv.fr/109.232.236.90","443","OK","h2","",""
"ALPN","sites-faciles.beta.numerique.gouv.fr/109.232.236.90","443","INFO","http/1.1","",""
"cipherlist_NULL","sites-faciles.beta.numerique.gouv.fr/109.232.236.90","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","sites-faciles.beta.numerique.gouv.fr/109.232.236.90","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","sites-faciles.beta.numerique.gouv.fr/109.232.236.90","443","OK","not offered","","CWE-327"
"cipherlist_LOW","sites-faciles.beta.numerique.gouv.fr/109.232.236.90","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","sites-faciles.beta.numerique.gouv.fr/109.232.236.90","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","sites-faciles.beta.numerique.gouv.fr/109.232.236.90","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","sites-faciles.beta.numerique.gouv.fr/109.232.236.90","443","INFO","not offered","",""
"cipherlist_STRONG_FS","sites-faciles.beta.numerique.gouv.fr/109.232.236.90","443","OK","offered","",""
"cipher_order-tls1_2","sites-faciles.beta.numerique.gouv.fr/109.232.236.90","443","OK","server","",""
"cipherorder_TLSv1_2","sites-faciles.beta.numerique.gouv.fr/109.232.236.90","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","sites-faciles.beta.numerique.gouv.fr/109.232.236.90","443","OK","server","",""
"FS","sites-faciles.beta.numerique.gouv.fr/109.232.236.90","443","OK","offered","",""
"FS_ciphers","sites-faciles.beta.numerique.gouv.fr/109.232.236.90","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","sites-faciles.beta.numerique.gouv.fr/109.232.236.90","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","sites-faciles.beta.numerique.gouv.fr/109.232.236.90","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","sites-faciles.beta.numerique.gouv.fr/109.232.236.90","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","sites-faciles.beta.numerique.gouv.fr/109.232.236.90","443","INFO","yes","",""
"sessionresumption_ticket","sites-faciles.beta.numerique.gouv.fr/109.232.236.90","443","INFO","not supported","",""
"sessionresumption_ID","sites-faciles.beta.numerique.gouv.fr/109.232.236.90","443","INFO","not supported","",""
"TLS_timestamp","sites-faciles.beta.numerique.gouv.fr/109.232.236.90","443","INFO","random","",""
"certificate_compression","sites-faciles.beta.numerique.gouv.fr/109.232.236.90","443","INFO","none","",""
"clientAuth","sites-faciles.beta.numerique.gouv.fr/109.232.236.90","443","INFO","none","",""
"cert_numbers","sites-faciles.beta.numerique.gouv.fr/109.232.236.90","443","INFO","1","",""
"cert_signatureAlgorithm","sites-faciles.beta.numerique.gouv.fr/109.232.236.90","443","OK","SHA256 with RSA","",""
"cert_keySize","sites-faciles.beta.numerique.gouv.fr/109.232.236.90","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","sites-faciles.beta.numerique.gouv.fr/109.232.236.90","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","sites-faciles.beta.numerique.gouv.fr/109.232.236.90","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","sites-faciles.beta.numerique.gouv.fr/109.232.236.90","443","INFO","0610BA139CD9CECAE719A96BCF51DD55F0BA","",""
"cert_serialNumberLen","sites-faciles.beta.numerique.gouv.fr/109.232.236.90","443","INFO","18","",""
"cert_fingerprintSHA1","sites-faciles.beta.numerique.gouv.fr/109.232.236.90","443","INFO","D356FF8EBD623BE917856EFC95319640B749BF1D","",""
"cert_fingerprintSHA256","sites-faciles.beta.numerique.gouv.fr/109.232.236.90","443","INFO","B8E563C8BB4E99544EB759E338C28E3BF6D48400D176012F9F80E453AFEF6310","",""
