"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","staging.qualicharge.incubateur.net/109.232.236.90","443","INFO","HTTP","",""
"pre_128cipher","staging.qualicharge.incubateur.net/109.232.236.90","443","INFO","No 128 cipher limit bug","",""
"SSLv2","staging.qualicharge.incubateur.net/109.232.236.90","443","OK","not offered","",""
"SSLv3","staging.qualicharge.incubateur.net/109.232.236.90","443","OK","not offered","",""
"TLS1","staging.qualicharge.incubateur.net/109.232.236.90","443","INFO","not offered","",""
"TLS1_1","staging.qualicharge.incubateur.net/109.232.236.90","443","INFO","not offered","",""
"TLS1_2","staging.qualicharge.incubateur.net/109.232.236.90","443","OK","offered","",""
"TLS1_3","staging.qualicharge.incubateur.net/109.232.236.90","443","OK","offered with final","",""
"ALPN_HTTP2","staging.qualicharge.incubateur.net/109.232.236.90","443","OK","h2","",""
"ALPN","staging.qualicharge.incubateur.net/109.232.236.90","443","INFO","http/1.1","",""
"cipherlist_NULL","staging.qualicharge.incubateur.net/109.232.236.90","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","staging.qualicharge.incubateur.net/109.232.236.90","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","staging.qualicharge.incubateur.net/109.232.236.90","443","OK","not offered","","CWE-327"
"cipherlist_LOW","staging.qualicharge.incubateur.net/109.232.236.90","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","staging.qualicharge.incubateur.net/109.232.236.90","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","staging.qualicharge.incubateur.net/109.232.236.90","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","staging.qualicharge.incubateur.net/109.232.236.90","443","INFO","not offered","",""
"cipherlist_STRONG_FS","staging.qualicharge.incubateur.net/109.232.236.90","443","OK","offered","",""
"cipher_order-tls1_2","staging.qualicharge.incubateur.net/109.232.236.90","443","OK","server","",""
"cipherorder_TLSv1_2","staging.qualicharge.incubateur.net/109.232.236.90","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","staging.qualicharge.incubateur.net/109.232.236.90","443","OK","server","",""
"FS","staging.qualicharge.incubateur.net/109.232.236.90","443","OK","offered","",""
